date,open,high,low,close,volume
2025-03-13,481.95001,497.85001,477.29999,495.00000,417175
2025-03-17,490.25000,499.00000,484.85001,486.70001,327667
2025-03-19,498.04999,506.60001,492.79999,502.29999,322685
2025-03-20,503.10001,525.00000,503.10001,516.95001,762037
2025-03-21,515.15002,533.00000,505.10001,508.25000,612446
2025-03-24,517.40002,520.95001,508.04999,514.54999,561347
2025-03-25,518.34998,524.29999,502.50000,520.65002,591235
2025-03-26,517.25000,540.00000,503.45001,507.54999,430472
2025-03-27,507.00000,522.00000,496.25000,512.45001,353822
2025-03-28,514.50000,522.00000,508.04999,511.64999,225454
2025-04-01,512.50000,520.00000,509.54999,516.25000,107531
2025-04-02,513.70001,537.00000,510.00000,514.84998,461760
2025-04-03,512.29999,518.34998,501.50000,506.29999,279926
2025-04-04,510.10001,510.10001,487.25000,499.64999,273435
2025-04-07,440.50000,505.00000,440.50000,490.20001,269777
2025-04-08,499.64999,502.70001,493.14999,499.00000,293533
2025-04-09,499.95001,519.70001,498.10001,512.34998,604654
2025-04-11,520.00000,532.79999,519.09998,524.04999,355245
2025-04-15,522.45001,540.45001,515.75000,535.95001,432276
2025-04-16,537.25000,550.00000,530.84998,548.04999,414452
2025-04-17,545.00000,558.00000,545.00000,554.00000,318877
2025-04-21,554.00000,561.95001,546.00000,555.45001,409250
2025-04-22,556.00000,567.09998,555.59998,562.20001,282965
2025-04-23,570.00000,570.00000,559.00000,565.54999,272391
2025-04-24,565.00000,569.95001,542.04999,544.54999,235912
2025-04-25,550.70001,565.00000,530.54999,546.00000,724848
2025-04-28,540.00000,560.50000,537.59998,556.09998,283832
2025-04-29,564.00000,564.50000,546.79999,560.34998,224837
2025-04-30,560.34998,561.00000,520.29999,524.04999,392183
2025-05-02,524.04999,531.90002,517.09998,524.65002,146498
2025-05-05,534.50000,542.90002,524.20001,540.90002,267021
2025-05-06,540.00000,540.00000,519.79999,533.09998,267293
2025-05-07,520.00000,538.75000,519.95001,534.59998,182633
2025-05-08,538.79999,552.00000,528.04999,547.04999,436638
2025-05-09,540.00000,540.00000,526.50000,535.25000,148969
2025-05-12,543.00000,550.50000,539.84998,543.00000,126004
2025-05-13,543.50000,545.95001,534.29999,544.20001,163778
2025-05-14,548.00000,555.00000,540.09998,548.15002,158573
2025-05-15,543.15002,565.00000,543.15002,555.40002,791291
2025-05-16,558.00000,558.15002,528.45001,540.15002,841782
2025-05-19,540.25000,546.34998,530.00000,530.90002,454935
2025-05-20,533.45001,540.00000,530.00000,537.59998,279533
2025-05-21,537.59998,538.90002,530.00000,536.15002,169595
2025-05-22,536.09998,541.54999,530.25000,537.65002,141360
2025-05-23,536.00000,547.54999,532.79999,543.04999,174380
2025-05-26,546.65002,558.09998,536.84998,554.90002,336147
2025-05-27,554.04999,560.00000,541.20001,559.15002,308372
2025-05-28,560.00000,560.00000,552.70001,554.79999,136739
2025-05-29,558.50000,558.50000,542.45001,548.25000,159348
2025-05-30,546.79999,546.79999,537.00000,542.54999,214308
2025-06-02,540.25000,550.00000,537.40002,546.84998,179046
2025-06-03,548.00000,556.65002,545.20001,552.00000,294864
2025-06-04,556.09998,603.00000,555.04999,567.50000,5961697
2025-06-05,573.00000,585.00000,573.00000,579.90002,821384
2025-06-06,582.00000,582.50000,565.09998,573.50000,375708
2025-06-09,577.79999,579.54999,560.34998,564.40002,247532
2025-06-10,562.59998,571.45001,556.84998,559.50000,269112
2025-06-11,558.00000,559.00000,545.50000,548.00000,189332
2025-06-12,548.20001,554.50000,540.04999,542.79999,157015
2025-06-13,536.54999,540.34998,529.04999,537.15002,183119
2025-06-16,537.00000,545.90002,531.15002,543.00000,190246
2025-06-17,541.00000,552.25000,541.00000,542.90002,212511
2025-06-18,540.00000,542.15002,522.00000,524.20001,160330
2025-06-19,524.20001,533.00000,512.00000,513.25000,267760
2025-06-20,518.00000,521.65002,495.64999,499.70001,934627
2025-06-23,500.00000,526.34998,495.10001,503.64999,1250591
2025-06-24,507.50000,514.95001,500.60001,503.45001,306741
2025-06-25,506.25000,510.39999,500.79999,502.25000,195698
2025-06-26,504.75000,507.85001,496.50000,500.85001,191230
2025-06-27,502.45001,510.00000,500.29999,501.79999,182303
2025-06-30,503.10001,508.54999,497.50000,498.45001,169373
2025-07-01,500.89999,503.60001,492.10001,494.64999,220221
2025-07-02,496.00000,499.89999,490.89999,492.50000,134369
2025-07-03,496.00000,504.45001,493.35001,497.75000,696925
2025-07-04,499.79999,503.64999,493.04999,494.35001,220243
2025-07-07,494.35001,496.35001,486.75000,489.54999,161236
2025-07-08,490.50000,496.00000,482.95001,493.95001,306761
2025-07-09,492.75000,504.00000,491.50000,502.25000,275756
2025-07-10,503.89999,504.64999,498.00000,500.45001,148793
2025-07-11,502.89999,502.89999,488.54999,490.39999,133724
2025-07-14,493.39999,493.50000,478.89999,483.70001,169976
2025-07-15,484.00000,491.39999,481.04999,483.50000,126683
2025-07-16,485.45001,488.00000,479.00000,480.60001,163178
2025-07-17,481.04999,488.95001,481.04999,487.10001,131570
2025-07-18,490.95001,520.00000,490.10001,509.50000,6492075
2025-07-21,509.50000,514.40002,501.89999,508.10001,344573
2025-07-22,507.00000,511.45001,499.00000,501.60001,218512
2025-07-23,501.89999,503.75000,491.54999,494.64999,159675
2025-07-24,495.00000,499.00000,490.39999,494.14999,117925
2025-07-25,494.54999,498.60001,482.00000,485.64999,150683
2025-07-28,480.70001,485.14999,471.50000,474.39999,126974
2025-07-29,474.89999,482.00000,466.10001,480.70001,116976
2025-07-30,484.29999,491.85001,475.50000,483.10001,225598
2025-07-31,481.00000,498.00000,471.00000,483.29999,556710
2025-08-01,479.85001,490.85001,471.04999,473.54999,216514
2025-08-04,471.50000,476.54999,468.79999,471.14999,236151
2025-08-05,472.00000,483.79999,472.00000,480.79999,168633
2025-08-06,483.20001,516.45001,479.14999,485.60001,3936601
2025-08-07,483.00000,488.79999,476.04999,482.95001,296622
2025-08-08,484.79999,502.70001,480.29999,495.64999,587056
2025-08-11,496.39999,504.00000,483.50000,486.25000,217014
2025-08-12,485.14999,491.95001,478.04999,478.75000,165188
2025-08-13,480.25000,486.89999,475.95001,480.25000,143223
2025-08-14,482.70001,484.89999,477.10001,479.75000,244086
2025-08-18,483.10001,489.00000,481.04999,485.75000,140592
2025-08-19,488.00000,488.00000,481.14999,482.75000,69391
2025-08-20,481.54999,488.00000,480.00000,485.64999,95024
2025-08-21,490.00000,492.10001,480.85001,482.39999,109101
2025-08-22,482.39999,502.85001,480.14999,489.29999,627788
2025-08-25,494.70001,498.95001,485.04999,487.35001,172167
2025-08-26,487.04999,487.04999,475.00000,476.95001,180541
2025-08-28,475.29999,486.04999,475.25000,479.85001,130895
2025-08-29,481.00000,485.70001,479.04999,482.29999,146033
2025-09-01,484.25000,488.89999,479.20001,484.70001,67434
2025-09-02,484.10001,503.39999,484.10001,491.89999,422613
