date,open,high,low,close,volume
2025-03-28,25.25000,25.39000,25.07000,25.20000,75000
2025-03-31,25.00000,25.33000,24.82000,25.33000,81500
2025-04-01,25.44000,25.58000,25.14000,25.35000,104300
2025-04-02,25.30000,25.42000,25.18000,25.31000,60600
2025-04-03,24.98000,25.45000,24.98000,25.14000,104200
2025-04-04,24.72000,24.95000,23.05000,23.28000,230600
2025-04-07,22.87000,23.13000,21.50000,22.25000,219600
2025-04-08,22.66000,23.29000,21.31000,21.46000,157900
2025-04-09,21.22000,23.10000,21.10000,22.96000,128300
2025-04-10,22.86000,22.86000,22.01000,22.39000,87700
2025-04-11,22.27000,22.68000,22.05000,22.51000,48900
2025-04-14,22.66000,23.24000,22.55000,22.93000,57000
2025-04-15,22.90000,23.19000,22.86000,23.03000,93100
2025-04-16,23.06000,23.14000,22.60000,22.85000,63000
2025-04-17,22.88000,23.54000,22.88000,23.49000,50900
2025-04-21,23.39000,23.50000,22.90000,23.29000,48400
2025-04-22,23.48000,23.65000,23.17000,23.58000,36600
2025-04-23,23.90000,24.00000,23.47000,23.71000,62000
2025-04-24,23.91000,24.25000,23.67000,24.03000,87200
2025-04-25,24.02000,24.30000,23.80000,24.26000,70600
2025-04-28,24.30000,24.60000,24.30000,24.56000,75100
2025-04-29,24.58000,24.65000,24.29000,24.50000,40700
2025-04-30,24.44000,24.53000,24.00000,24.37000,39800
2025-05-01,24.46000,24.76000,24.38000,24.58000,116300
2025-05-02,24.69000,25.10000,24.67000,24.91000,65500
2025-05-05,25.20000,25.43000,24.96000,25.01000,159400
2025-05-06,24.71000,24.91000,24.56000,24.86000,47200
2025-05-07,25.02000,25.11000,24.63000,24.68000,102400
2025-05-08,23.85000,23.85000,22.22000,22.72000,375200
2025-05-09,22.87000,23.60000,22.75000,23.40000,163800
2025-05-12,23.74000,24.00000,23.60000,23.82000,141000
2025-05-13,23.69000,24.30000,23.69000,24.12000,101600
2025-05-14,24.26000,24.26000,23.88000,24.04000,108600
2025-05-15,24.13000,24.35000,24.00000,24.30000,65200
2025-05-16,24.39000,24.50000,24.02000,24.39000,103600
2025-05-19,24.35000,24.66000,24.26000,24.66000,81400
2025-05-20,24.59000,24.77000,24.55000,24.71000,71600
2025-05-21,24.74000,24.74000,24.34000,24.41000,69200
2025-05-22,24.40000,24.60000,24.24000,24.45000,65700
2025-05-23,24.31000,24.53000,24.30000,24.48000,46100
