date,open,high,low,close,volume
2016-02-01,85.85000,86.05000,84.40000,85.00000,5485
2016-02-02,86.05000,87.10000,85.00000,85.65000,8249
2016-02-03,82.20000,85.65000,76.30000,78.40000,46374
2016-02-04,80.00000,81.70000,79.00000,79.45000,16148
2016-02-05,80.95000,81.40000,77.65000,81.00000,5834
2016-02-08,84.00000,84.00000,78.15000,80.30000,3795
2016-02-09,78.05000,80.00000,75.20000,77.65000,8770
2016-02-10,75.10000,76.10000,70.00000,72.60000,41333
2016-02-11,73.00000,73.70000,61.00000,64.90000,21822
2016-02-12,68.00000,68.70000,61.00000,66.20000,20577
2016-02-15,68.00000,71.25000,68.00000,70.35000,9412
2016-02-16,72.35000,72.35000,65.30000,66.15000,8100
2016-02-17,69.40000,69.40000,61.65000,62.60000,31588
2016-02-18,63.10000,65.50000,61.20000,62.10000,16952
2016-02-19,63.85000,64.20000,62.05000,63.20000,12023
2016-02-22,62.00000,64.70000,60.05000,61.20000,15614
2016-02-23,62.00000,62.80000,58.10000,59.00000,8987
2016-02-24,57.80000,59.60000,52.70000,53.45000,34437
2016-02-25,53.40000,55.95000,48.60000,52.65000,29657
2016-02-26,52.25000,55.00000,52.25000,53.55000,17054
2016-02-29,51.05000,57.00000,51.05000,55.90000,7723
2016-03-01,56.20000,58.00000,55.40000,56.10000,30800
2016-03-02,57.70000,65.80000,57.70000,64.00000,43699
2016-03-03,64.60000,68.00000,63.20000,64.00000,29112
2016-03-04,66.00000,66.70000,63.45000,65.70000,5548
2016-03-08,67.90000,68.10000,63.70000,63.80000,13345
2016-03-09,62.30000,64.75000,62.10000,64.15000,6384
2016-03-10,64.00000,64.85000,62.05000,62.60000,14568
2016-03-11,62.30000,63.40000,62.00000,62.05000,6076
2016-03-14,64.50000,64.50000,62.50000,63.40000,7036
2016-03-15,61.55000,63.90000,61.55000,62.55000,8528
2016-03-16,62.00000,64.00000,62.00000,63.00000,16990
2016-03-17,63.10000,63.90000,62.00000,62.45000,3130
2016-03-18,62.00000,64.45000,61.25000,62.15000,11032
