date,open,high,low,close,volume
2023-10-02,24.98000,25.16000,24.98000,25.14600,14900
2023-10-03,25.11000,25.15000,25.01000,25.09000,4800
2023-10-04,25.07000,25.14000,25.06000,25.06000,1000
2023-10-05,25.12000,25.19000,25.01000,25.13000,5800
2023-10-06,25.07000,25.10000,25.07000,25.10000,900
2023-10-09,25.16000,25.18000,25.09500,25.18000,2300
2023-10-10,25.17000,25.20000,25.17000,25.20000,2700
2023-10-11,25.17000,25.17000,25.00000,25.00000,4000
2023-10-12,25.00000,25.11000,24.99000,25.11000,1400
2023-10-13,25.19000,25.19000,25.15000,25.17000,3900
2023-10-16,25.20000,25.20000,25.13000,25.13000,800
2023-10-17,25.08500,25.10000,25.01000,25.10000,1300
2023-10-18,25.11400,25.13000,25.05800,25.05800,400
2023-10-19,25.13000,25.15000,25.01000,25.01000,3400
2023-10-20,25.03000,25.15000,25.02000,25.03000,9200
2023-10-23,25.13000,25.13000,25.00000,25.00000,9600
2023-10-24,25.05000,25.16500,25.05000,25.15000,2400
2023-10-25,25.20000,25.20000,25.00000,25.00000,2600
2023-10-26,25.21000,25.22000,24.92000,25.10000,5300
2023-10-27,25.17000,25.17000,25.00000,25.02000,1600
2023-10-30,25.22000,25.22000,24.90000,24.90000,2800
2023-10-31,25.17000,25.17000,24.85000,25.00000,7900
2023-11-01,25.05000,25.16000,25.05000,25.16000,900
2023-11-02,25.18600,25.20000,25.18600,25.20000,500
2023-11-03,25.20000,25.23000,25.16000,25.16000,3000
2023-11-06,25.20000,25.23000,25.17000,25.17000,3100
2023-11-07,25.25000,25.25000,25.25000,25.25000,1600
2023-11-08,25.12000,25.26000,25.12000,25.15000,5600
2023-11-09,25.27000,25.27000,25.07500,25.07500,2800
2023-11-10,25.27000,25.27000,25.27000,25.27000,1400
2023-11-13,25.29000,25.29000,25.09000,25.28000,4500
2023-11-14,25.09000,25.09000,24.64500,24.84000,11300
2023-11-15,24.90000,24.93000,24.78900,24.88000,5700
2023-11-16,24.94000,24.94000,24.66000,24.90000,15100
2023-11-17,24.90000,24.93000,24.72000,24.93000,1500
2023-11-20,24.91000,25.10000,24.79000,25.10000,7500
2023-11-21,25.10000,25.10000,24.99000,25.01000,3000
2023-11-22,24.99000,25.19000,24.87000,24.97000,11600
2023-11-24,24.95000,24.99000,24.91000,24.94000,2800
2023-11-27,25.02000,25.03000,25.00000,25.03000,5200
2023-11-28,25.03000,25.14000,24.98200,25.01000,4600
2023-11-29,25.03000,25.08000,24.89100,25.01000,2300
2023-11-30,25.03000,25.03000,25.00000,25.00000,800
2023-12-01,25.03000,25.14000,24.96000,25.14000,5900
2023-12-04,25.09000,25.09000,24.96000,25.05000,3500
2023-12-05,25.05000,25.09000,25.02000,25.09000,1200
2023-12-06,25.08000,25.08000,25.00000,25.00000,1600
2023-12-07,25.00000,25.09000,25.00000,25.09000,2400
2023-12-08,25.09000,25.09000,25.09000,25.09000,1200
2023-12-11,24.92000,25.11000,24.92000,25.10900,4400
2023-12-12,25.12000,25.14500,25.12000,25.12000,2300
2023-12-13,25.14000,25.14000,25.04500,25.04500,800
2023-12-14,25.16000,25.16000,25.13100,25.13100,6300
2023-12-15,25.18000,25.18000,25.12000,25.13300,2400
2023-12-18,25.14000,25.25000,25.14000,25.25000,2500
2023-12-19,25.25000,25.30000,25.16000,25.23400,10900
2023-12-20,25.21000,25.27000,25.06200,25.16000,6000
2023-12-21,25.20000,25.20000,25.13500,25.20000,5500
2023-12-22,25.20000,25.25000,25.20000,25.25000,5000
2023-12-26,25.18000,25.18000,25.17500,25.17500,800
2023-12-27,25.20000,25.28000,25.19000,25.28000,7700
2023-12-28,25.15200,25.27500,25.15000,25.25000,1200
2023-12-29,25.29800,25.29800,25.27100,25.27100,700
2024-01-02,25.14000,25.35000,25.09000,25.09000,2700
2024-01-03,25.30000,25.31000,25.25800,25.31000,700
