date,open,high,low,close,volume
2023-10-02,28.67000,28.67000,28.35000,28.51000,114400
2023-10-03,28.27000,28.32000,27.81000,27.93000,97600
2023-10-04,28.11000,28.11000,27.66000,27.95000,85200
2023-10-05,27.96000,28.47000,27.96000,28.38000,96600
2023-10-06,28.14000,28.79000,27.97000,28.59000,200800
2023-10-09,28.43000,28.91000,27.85000,28.67000,71900
2023-10-10,28.76000,28.90000,28.45000,28.56000,46700
2023-10-11,28.63000,29.04000,28.43000,28.64000,60200
2023-10-12,28.58000,28.58000,28.20000,28.56000,73100
2023-10-13,28.80000,28.80000,27.86000,27.97000,54800
2023-10-16,28.22000,28.54000,28.11000,28.49000,73100
2023-10-17,28.46000,29.29000,28.45000,29.01000,100800
2023-10-18,28.80000,28.87000,28.42000,28.45000,78500
2023-10-19,28.35000,28.69000,28.23000,28.24000,84600
2023-10-20,28.33000,28.33000,27.53000,27.56000,131000
2023-10-23,27.39000,27.99000,27.38000,27.62000,92000
2023-10-24,27.70000,27.71000,27.08000,27.58000,89800
2023-10-25,27.34000,28.37000,27.19000,28.25000,138200
2023-10-26,26.01000,28.14000,25.71000,27.82000,187800
2023-10-27,27.55000,28.00000,26.34000,27.27000,218500
2023-10-30,27.42000,27.55000,26.60000,27.30000,139700
2023-10-31,27.29000,28.20000,26.55000,26.70000,131900
2023-11-01,26.65000,27.57000,26.51000,26.85000,120700
2023-11-02,27.21000,28.20000,27.21000,28.17000,94800
2023-11-03,29.24000,29.94000,29.15000,29.44000,156500
2023-11-06,29.33000,29.42000,28.79000,28.98000,97300
2023-11-07,28.94000,28.97000,28.07000,28.17000,94100
2023-11-08,28.29000,28.34000,27.57000,27.89000,115000
2023-11-09,28.00000,28.04000,27.19000,27.41000,98700
2023-11-10,27.52000,27.54000,26.93000,27.35000,100700
2023-11-13,27.33000,27.63000,26.96000,27.58000,62900
2023-11-14,28.58000,29.63000,28.24000,29.49000,136200
2023-11-15,29.45000,30.07000,29.45000,29.66000,139300
2023-11-16,29.70000,30.07000,28.71000,28.75000,114100
2023-11-17,29.22000,29.61000,28.95000,29.18000,129400
2023-11-20,29.33000,29.33000,28.85000,29.08000,79100
2023-11-21,28.70000,28.75000,28.11000,28.11000,66600
2023-11-22,28.38000,28.39000,27.84000,27.98000,68100
2023-11-24,27.92000,28.19000,27.31000,28.04000,20200
2023-11-27,27.85000,27.90000,27.49000,27.59000,86000
2023-11-28,27.61000,27.61000,27.13000,27.40000,83400
2023-11-29,27.53000,28.00000,27.53000,27.63000,88000
2023-11-30,27.79000,27.79000,27.27000,27.43000,148600
2023-12-01,27.23000,29.22000,27.23000,29.12000,130200
2023-12-04,28.91000,29.65000,28.91000,29.59000,132200
2023-12-05,29.44000,29.87000,29.26000,29.36000,61600
2023-12-06,29.59000,30.39000,29.56000,29.66000,123600
2023-12-07,29.88000,30.26000,29.50000,30.26000,98800
2023-12-08,30.34000,30.67000,30.06000,30.39000,87600
2023-12-11,30.27000,30.27000,30.00000,30.20000,78600
2023-12-12,30.16000,30.21000,29.85000,29.89000,74300
2023-12-13,29.90000,31.66000,29.58000,31.55000,233900
2023-12-14,32.40000,33.20000,30.61000,32.03000,167700
2023-12-15,32.39000,32.39000,31.50000,31.79000,479700
2023-12-18,32.14000,32.21000,31.33000,31.71000,98400
2023-12-19,31.96000,32.55000,31.80000,32.26000,110400
2023-12-20,32.29000,33.25000,31.93000,31.96000,145300
2023-12-21,32.16000,32.22000,31.70000,32.10000,95100
2023-12-22,32.10000,32.80000,32.06000,32.12000,100200
2023-12-26,32.32000,32.83000,31.82000,32.65000,81500
2023-12-27,32.61000,32.75000,32.34000,32.50000,67200
2023-12-28,32.41000,32.51000,32.10000,32.12000,60200
2023-12-29,32.12000,32.20000,31.02000,31.32000,98500
2024-01-02,31.05000,31.78000,31.04000,31.74000,150700
2024-01-03,31.59000,31.65000,31.02000,31.12000,151900
2024-01-04,31.17000,31.52000,30.98000,31.12000,97600
2024-01-05,30.87000,31.36000,30.87000,31.24000,121200
2024-01-08,31.07000,31.32000,30.74000,31.10000,64300
2024-01-09,30.66000,30.93000,30.23000,30.77000,96500
2024-01-10,30.61000,30.83000,30.50000,30.80000,121200
2024-01-11,30.51000,30.51000,29.32000,29.95000,133700
2024-01-12,30.27000,30.52000,29.44000,30.02000,93900
2024-01-16,29.50000,29.80000,29.47000,29.79000,108500
2024-01-17,29.26000,30.04000,29.26000,30.01000,112900
