date,open,high,low,close,volume
2025-03-12,45.00000,45.39000,44.21000,44.47000,639636
2025-03-13,45.30000,45.79000,44.25000,44.47000,979303
2025-03-17,44.72000,45.39000,43.60000,43.89000,1018459
2025-03-18,44.10000,45.25000,44.09000,44.79000,1117464
2025-03-19,45.00000,46.99000,45.00000,45.97000,1989332
2025-03-20,46.30000,52.75000,46.30000,50.55000,8134281
2025-03-21,49.60000,50.20000,48.16000,48.76000,2298018
2025-03-24,49.51000,51.76000,49.06000,49.56000,2939611
2025-03-25,50.10000,53.01000,47.20000,47.66000,2191608
2025-03-26,47.26000,48.66000,47.26000,47.83000,1996399
2025-03-27,47.80000,48.95000,46.51000,46.78000,1956808
2025-03-28,46.90000,48.30000,46.00000,46.23000,1422918
2025-04-01,46.29000,48.50000,46.26000,47.60000,946158
2025-04-02,47.75000,48.52000,46.99000,48.33000,628848
2025-04-03,47.10000,50.40000,47.10000,48.59000,1602559
2025-04-04,48.80000,48.80000,46.90000,47.78000,661705
2025-04-07,44.01000,46.36000,44.00000,45.81000,1436833
2025-04-08,46.35000,47.27000,45.89000,46.85000,641711
2025-04-09,46.50000,46.86000,46.00000,46.24000,313203
2025-04-11,47.25000,47.84000,46.80000,47.21000,517656
2025-04-15,48.10000,48.89000,47.65000,48.58000,860312
2025-04-16,48.81000,50.40000,48.63000,49.28000,1837116
2025-04-17,49.50000,50.50000,48.95000,49.19000,1006779
2025-04-21,49.74000,50.60000,48.96000,50.39000,863598
2025-04-22,50.80000,51.10000,50.11000,50.36000,816423
2025-04-23,50.99000,52.07000,50.25000,50.81000,1452367
2025-04-24,51.49000,53.12000,51.01000,51.24000,1655229
2025-04-25,51.74000,51.74000,46.47000,48.02000,2341914
2025-04-28,48.42000,49.35000,47.28000,48.36000,1439739
2025-04-29,48.40000,50.50000,48.40000,48.62000,1595234
2025-04-30,48.62000,49.01000,47.50000,47.74000,853822
2025-05-02,47.98000,48.40000,47.13000,47.35000,595050
2025-05-05,47.45000,47.87000,47.00000,47.53000,1019772
2025-05-06,48.25000,48.25000,44.71000,45.25000,2061402
2025-05-07,44.50000,46.73000,44.02000,46.33000,1253700
2025-05-08,46.41000,47.21000,44.80000,45.44000,911755
2025-05-09,44.15000,46.14000,44.15000,45.20000,827020
2025-05-12,48.97000,48.97000,47.01000,47.45000,881091
2025-05-13,48.00000,48.87000,47.20000,48.28000,729380
2025-05-14,48.55000,49.61000,48.22000,48.82000,1012301
2025-05-15,49.10000,49.58000,48.77000,48.89000,1008662
2025-05-16,49.25000,53.00000,48.89000,52.37000,4569852
2025-05-19,52.63000,55.60000,52.34000,53.70000,2802413
2025-05-20,54.00000,54.03000,51.21000,51.59000,1395370
2025-05-21,51.34000,52.50000,51.14000,51.64000,649856
2025-05-22,51.64000,54.95000,51.40000,53.06000,3250867
2025-05-23,53.48000,54.84000,52.70000,52.87000,1418876
2025-05-26,53.00000,53.60000,52.50000,52.64000,551192
2025-05-27,52.40000,53.48000,52.35000,52.99000,820514
2025-05-28,52.50000,55.35000,52.50000,54.20000,1890755
2025-05-29,54.34000,54.49000,53.25000,53.60000,565443
2025-05-30,53.84000,53.84000,52.55000,52.72000,593280
2025-06-02,52.80000,55.37000,52.21000,54.13000,1486421
2025-06-03,54.47000,55.78000,53.91000,54.07000,1247980
2025-06-04,54.00000,55.69000,53.70000,55.08000,1889365
2025-06-05,55.40000,56.80000,54.82000,54.96000,1549497
2025-06-06,55.10000,55.87000,54.15000,55.01000,742522
2025-06-09,55.01000,57.70000,54.61000,56.21000,2164004
2025-06-10,56.49000,56.58000,55.32000,55.77000,748506
2025-06-11,55.99000,57.27000,55.33000,55.86000,1214469
2025-06-12,56.00000,56.36000,53.63000,54.04000,895272
2025-06-13,53.45000,60.34000,52.30000,56.00000,13400690
2025-06-16,56.84000,57.91000,54.50000,55.45000,2510967
2025-06-17,55.15000,55.49000,52.86000,53.19000,1543764
2025-06-18,52.60000,54.36000,52.60000,53.95000,1148269
2025-06-19,53.40000,54.60000,53.35000,53.48000,1223295
2025-06-20,53.00000,53.86000,52.60000,53.32000,639916
2025-06-23,53.10000,54.73000,53.10000,53.82000,948702
2025-06-24,54.25000,54.59000,53.30000,53.55000,506541
2025-06-25,54.10000,54.40000,53.70000,54.16000,496734
2025-06-26,54.25000,54.68000,53.65000,54.16000,407713
2025-06-27,54.42000,55.30000,53.80000,53.96000,674113
2025-06-30,54.30000,54.72000,53.49000,53.67000,493896
2025-07-01,54.00000,54.18000,53.40000,53.60000,309050
2025-07-02,53.90000,54.00000,53.02000,53.16000,349425
2025-07-03,53.28000,53.40000,52.60000,53.01000,413537
2025-07-04,53.08000,53.49000,52.70000,52.80000,290903
2025-07-07,52.50000,54.50000,52.41000,53.70000,802212
2025-07-08,54.10000,54.17000,53.40000,53.68000,246525
2025-07-09,53.68000,53.92000,53.23000,53.61000,218115
2025-07-10,53.61000,53.95000,53.21000,53.51000,326480
2025-07-11,53.00000,53.72000,52.81000,53.10000,234473
2025-07-14,52.84000,53.09000,51.69000,52.01000,488810
2025-07-15,52.54000,52.99000,51.40000,51.58000,551860
2025-07-16,51.58000,53.80000,51.58000,53.54000,888053
2025-07-17,55.00000,58.70000,52.60000,53.14000,7414479
2025-07-18,53.65000,53.80000,52.80000,53.43000,559082
2025-07-21,53.36000,53.45000,52.61000,52.96000,342807
2025-07-22,53.10000,53.35000,52.45000,52.64000,268845
2025-07-23,52.89000,53.48000,52.10000,52.72000,454542
2025-07-24,52.95000,53.27000,52.30000,52.36000,286313
