date,open,high,low,close,volume
2016-02-04,8.74000,9.02000,8.54000,8.59000,91200
2016-02-05,8.65000,9.08000,8.52000,8.58000,95200
2016-02-08,8.57000,8.80000,8.35000,8.49000,65600
2016-02-09,8.31000,8.55000,8.17000,8.18000,52000
2016-02-10,8.18000,8.28000,8.03000,8.03000,25500
2016-02-11,7.85000,8.01000,7.15000,7.99000,102400
2016-02-12,8.06000,8.06000,7.60000,7.90000,50100
2016-02-16,8.00000,8.36000,7.94000,8.13000,64000
2016-02-17,8.49000,8.57000,8.21000,8.36000,38000
2016-02-18,8.43000,8.52000,8.18000,8.22000,22100
2016-02-19,8.20000,8.23000,8.00000,8.04000,28700
2016-02-22,8.08000,8.20000,7.80000,7.85000,91000
2016-02-23,7.85000,7.89000,7.80000,7.85000,32000
2016-02-24,7.80000,7.91000,7.80000,7.88000,34200
2016-02-25,7.65000,7.93000,7.63000,7.85000,30600
2016-02-26,7.76000,8.04000,7.76000,8.00000,22200
2016-02-29,7.91000,8.55000,7.91000,8.55000,40500
2016-03-01,8.55000,8.65000,8.46000,8.55000,27200
2016-03-02,8.54000,8.55000,8.35000,8.38000,16300
2016-03-03,8.37000,8.59000,8.37000,8.45000,31300
2016-03-04,8.50000,9.40000,8.50000,9.34000,65100
2016-03-07,9.34000,9.58000,9.34000,9.54000,30200
2016-03-08,9.46000,9.58000,9.35000,9.38000,20500
2016-03-09,9.40000,9.58000,9.39000,9.49000,13900
2016-03-10,9.40000,9.55000,9.40000,9.49000,15400
2016-03-11,9.55000,9.74000,9.52000,9.68000,34600
2016-03-14,9.62000,9.74000,9.47000,9.47000,23300
2016-03-15,9.59000,9.59000,9.42000,9.55000,39000
2016-03-16,9.63000,9.75000,9.35000,9.61000,90200
2016-03-17,9.55000,9.90000,9.55000,9.82000,35300
2016-03-18,9.85000,10.03000,9.85000,9.99000,46800
2016-03-21,10.00000,10.07000,9.80000,10.01000,32700
2016-03-22,9.98000,10.08000,9.98000,10.03000,20900
2016-03-23,10.02000,10.13000,9.99000,10.06000,18500
2016-03-24,10.03000,10.06000,9.98000,9.99000,14400
2016-03-28,10.04000,10.20000,10.03000,10.14000,39000
2016-03-29,9.82000,10.05000,9.80000,10.02000,30000
2016-03-30,10.08000,10.16000,9.87000,10.00000,39000
2016-03-31,9.95000,10.22000,9.90000,10.22000,41600
