date,open,high,low,close,volume
2016-02-04,88.35000,92.40000,88.00000,89.00000,3853
2016-02-05,92.95000,92.95000,86.05000,89.90000,1337
2016-02-08,89.00000,89.00000,84.65000,87.90000,6017
2016-02-09,87.00000,88.05000,85.10000,86.95000,7771
2016-02-10,89.05000,89.05000,85.25000,86.80000,16504
2016-02-11,86.00000,86.00000,75.65000,77.35000,4676
2016-02-12,83.50000,83.50000,72.00000,77.60000,11996
2016-02-15,76.00000,82.80000,74.50000,77.60000,3073
2016-02-16,83.00000,83.00000,77.05000,77.55000,34056
2016-02-17,76.00000,80.80000,75.00000,76.60000,42234
2016-02-18,79.85000,84.00000,79.00000,81.05000,8048
2016-02-19,83.80000,83.80000,79.55000,80.20000,5698
2016-02-22,79.30000,81.85000,77.40000,79.10000,2742
2016-02-23,78.75000,80.30000,78.75000,79.05000,2700
2016-02-24,80.15000,80.35000,76.00000,77.45000,35648
2016-02-25,76.50000,77.00000,73.75000,75.40000,697
2016-02-26,75.05000,82.00000,75.05000,78.50000,5134
2016-02-29,77.00000,79.95000,75.30000,79.50000,28035
2016-03-01,79.75000,80.00000,77.25000,80.00000,20683
2016-03-02,78.55000,87.00000,78.55000,79.45000,4147
2016-03-03,79.50000,82.80000,79.45000,80.55000,8208
2016-03-04,80.20000,82.40000,80.00000,80.80000,5961
2016-03-08,80.10000,86.95000,78.65000,79.90000,51112
2016-03-09,81.85000,81.85000,79.45000,81.25000,11520
2016-03-10,81.20000,82.00000,79.00000,80.90000,14565
2016-03-11,80.85000,82.00000,79.65000,80.25000,10024
2016-03-14,80.30000,82.00000,79.00000,80.30000,45720
2016-03-15,79.80000,80.30000,76.80000,79.40000,18121
2016-03-16,80.00000,80.00000,78.05000,78.50000,58784
2016-03-17,79.10000,81.25000,78.10000,79.30000,60741
2016-03-18,78.15000,79.65000,78.00000,78.55000,44189
2016-03-21,78.30000,79.80000,77.85000,78.55000,11684
2016-03-22,79.30000,80.50000,78.50000,79.85000,5858
2016-03-23,80.00000,81.40000,80.00000,80.50000,4381
2016-03-28,80.45000,80.45000,74.00000,75.30000,44826
2016-03-29,75.00000,76.00000,70.20000,70.95000,42698
2016-03-30,72.50000,73.50000,66.10000,67.65000,74987
2016-03-31,68.20000,72.80000,63.50000,65.60000,284266
2016-04-01,67.15000,69.90000,65.70000,69.20000,21714
2016-04-04,69.40000,72.25000,68.80000,71.65000,16621
