date,open,high,low,close,volume
2025-03-27,3.45000,3.52000,3.32000,3.42000,4536000
2025-03-28,3.38000,3.43000,3.30000,3.31000,3879800
2025-03-31,3.24000,3.33000,3.15000,3.32000,5345500
2025-04-01,3.32000,3.33000,3.10000,3.26000,4674900
2025-04-02,3.21000,3.31000,3.18000,3.26000,2716500
2025-04-03,3.17000,3.20000,3.00000,3.05000,4777000
2025-04-04,3.00000,3.17000,2.92000,3.14000,5175600
2025-04-07,2.99000,3.52000,2.93000,3.38000,12269700
2025-04-08,3.45000,3.53000,3.04000,3.17000,7720000
2025-04-09,3.12000,3.75000,2.97000,3.66000,9845300
2025-04-10,3.51000,3.51600,3.18000,3.36000,5979800
2025-04-11,3.38000,3.41700,3.17000,3.41000,3997100
2025-04-14,3.43000,3.45800,3.08000,3.33000,4984600
2025-04-15,3.33000,3.42000,3.26000,3.29000,2952100
2025-04-16,3.30000,3.44000,3.25900,3.33000,4117800
2025-04-17,3.31000,3.41000,3.20000,3.38000,3650800
2025-04-21,3.32000,3.32000,2.92000,3.25000,8273900
2025-04-22,3.25000,3.44000,3.17000,3.35000,3130000
2025-04-23,3.37000,3.45000,3.26000,3.30000,5147800
2025-04-24,3.34000,3.40000,3.30000,3.40000,6184700
2025-04-25,3.37000,3.66000,3.33500,3.64000,6761700
2025-04-28,3.70000,3.76500,3.52500,3.73000,5465300
2025-04-29,3.75000,3.86000,3.71500,3.79000,5431800
2025-04-30,3.60000,3.72000,3.49500,3.61000,7840400
2025-05-01,3.64000,3.84000,3.62500,3.77000,5391600
2025-05-02,3.80000,3.85000,3.72000,3.84000,6051200
2025-05-05,3.83000,3.88000,3.65000,3.76000,7200100
2025-05-06,4.29000,4.64000,4.00000,4.41000,15866200
2025-05-07,4.50000,4.78000,4.41000,4.71000,6627700
2025-05-08,4.63000,4.93000,4.60000,4.82000,7738300
2025-05-09,4.91000,5.10000,4.80000,5.09000,9731700
2025-05-12,5.32500,5.50000,5.19500,5.36000,11238400
2025-05-13,5.60000,6.45500,5.58000,6.03000,17410500
2025-05-14,5.95000,6.29000,5.82000,6.11000,11063300
2025-05-15,4.82000,5.01000,4.38000,4.58000,24722900
2025-05-16,4.92000,5.03500,4.72000,4.85500,11166500
2025-05-19,4.74000,4.78000,4.46000,4.72000,7978400
2025-05-20,4.80000,4.92000,4.73000,4.78500,6375500
2025-05-21,4.73000,4.78000,4.62000,4.71000,3589300
2025-05-22,3.90000,4.71000,3.81000,4.57000,9350100
2025-05-23,4.47000,4.64000,4.47000,4.59000,4217800
2025-05-27,4.63000,4.73500,4.48000,4.72000,2868700
2025-05-28,4.78000,4.78000,4.39000,4.49000,5003700
2025-05-29,4.53500,4.59000,4.28000,4.31000,8294800
2025-05-30,4.36000,4.85500,4.32500,4.72000,7750100
2025-06-02,4.80000,4.84000,4.49000,4.56000,3936000
2025-06-03,4.56000,5.00000,4.48000,4.87000,5548200
2025-06-04,4.91000,4.94000,4.79000,4.90000,2885600
2025-06-05,4.90000,5.10000,4.70000,4.94000,6221000
2025-06-06,5.00000,5.19000,4.93500,5.16000,3981400
2025-06-09,5.26000,5.34000,5.07000,5.10000,3795100
2025-06-10,5.19000,5.25000,5.09000,5.20000,4524900
2025-06-11,5.26000,5.33000,4.98000,5.09000,5027500
2025-06-12,5.05000,5.13000,4.92000,4.95000,3528400
2025-06-13,4.91000,5.17000,4.82000,5.11000,6292300
2025-06-16,5.12000,5.37000,5.09500,5.34000,6305400
2025-06-17,4.65000,5.46000,4.65000,5.26000,7617000
2025-06-18,5.26000,5.45000,5.21500,5.22500,4307700
2025-06-20,5.26000,5.38000,4.89000,4.98000,6479400
2025-06-23,4.90200,5.05000,4.81500,4.95000,2229500
2025-06-24,5.00000,5.17000,4.79000,5.00000,4141400
2025-06-25,5.11000,5.14200,4.80000,4.87000,4197700
2025-06-26,4.97000,5.08000,4.87500,4.88000,3309800
2025-06-27,4.91000,4.92000,4.63000,4.73000,9592800
2025-06-30,4.23000,4.43000,3.99000,4.25000,14512900
2025-07-01,4.30000,5.33000,4.18000,5.26500,13777200
2025-07-02,5.26000,5.54500,5.22000,5.47000,5805500
2025-07-03,5.59000,6.11000,5.59000,5.98000,4768900
2025-07-07,6.20000,6.37000,5.81000,6.30000,9142600
2025-07-08,5.97000,6.13000,5.56000,5.71500,6464100
2025-07-09,5.78000,5.90000,5.66200,5.74500,3592300
2025-07-10,5.74000,5.93000,5.67800,5.78000,4291600
2025-07-11,5.73000,5.97000,5.68500,5.85000,3443300
2025-07-14,5.69000,5.94000,5.65000,5.75000,5321900
2025-07-15,5.87000,6.04000,5.80000,5.83000,2910500
2025-07-16,5.90000,5.90000,5.71000,5.81000,2686500
2025-07-17,5.95000,6.00000,5.64000,5.70000,4134700
2025-07-18,5.77000,5.77000,5.43000,5.52000,4908000
2025-07-21,5.65000,5.76000,5.57500,5.64000,3928100
2025-07-22,5.69000,6.15500,5.67000,6.00000,5475800
2025-07-23,6.00000,6.03200,5.76000,5.81000,4075600
2025-07-24,5.80000,5.80000,5.51000,5.61000,3116100
2025-07-25,5.65000,5.96000,5.61000,5.84000,3533400
2025-07-28,5.85000,5.94500,5.79000,5.83000,3256600
2025-07-29,5.87500,5.87500,5.51500,5.58000,2636200
2025-07-30,5.60000,5.62000,5.31000,5.39000,3586400
2025-07-31,5.36000,5.48000,5.31000,5.39000,3459300
2025-08-01,5.35000,5.40000,5.15000,5.16000,2926900
2025-08-04,5.19000,5.44000,5.14000,5.38000,6377100
2025-08-05,5.80000,5.81000,4.65000,4.67000,11392600
2025-08-06,4.61000,4.87000,4.54000,4.62000,5828800
2025-08-07,5.01000,5.18500,4.74000,4.77000,7217600
2025-08-08,4.87000,4.98000,4.70000,4.72000,5865600
2025-08-11,4.70000,4.79000,4.45000,4.46000,4937700
2025-08-12,4.46000,4.77500,4.43000,4.62000,6326400
2025-08-13,4.71000,5.01000,4.63000,4.88000,7004000
2025-08-14,4.74000,4.80000,4.45000,4.59000,7935700
2025-08-15,4.64000,5.37000,4.57400,5.19000,9895400
2025-08-18,5.40000,6.07000,5.40000,6.04000,9461100
2025-08-19,6.04000,6.26000,5.91000,6.13000,5799000
2025-08-20,6.13000,6.30000,5.92000,6.15000,5137700
2025-08-21,6.11000,6.14000,5.72000,5.76000,4236600
2025-08-22,5.80000,6.49500,5.72000,6.48000,4152400
2025-08-25,6.48000,6.82000,6.27000,6.80000,5591300
