date,open,high,low,close,volume
2025-03-28,99.15000,100.26000,95.86100,96.68000,13202800
2025-03-31,92.72000,96.11000,89.23500,95.48000,15801900
2025-04-01,95.80000,99.54000,93.96000,97.64000,10309400
2025-04-02,95.02500,101.45000,94.65000,100.65000,7892000
2025-04-03,87.32500,87.70000,81.25000,82.29000,28920200
2025-04-04,77.48000,78.27000,69.84000,76.89000,29707500
2025-04-07,70.29500,83.47000,69.99000,78.82000,22525900
2025-04-08,83.93000,86.36000,75.23000,77.09000,18606200
2025-04-09,75.38000,94.14000,74.67000,91.40000,26917500
2025-04-10,87.24000,87.39700,81.38700,84.63000,16133700
2025-04-11,84.72500,85.21000,78.00000,83.71000,18099200
2025-04-14,87.06000,88.27000,81.91500,82.77000,10460400
2025-04-15,82.71000,84.68000,81.93000,83.91000,6986400
2025-04-16,81.61000,85.35000,81.32000,83.96000,8811900
2025-04-17,84.00000,85.08000,81.84000,83.65000,11592900
2025-04-21,82.27000,83.14000,80.35000,81.64000,8153000
2025-04-22,82.99000,86.61000,81.64000,85.71000,8664000
2025-04-23,91.53000,95.45000,89.92000,90.96000,14029000
2025-04-24,90.64500,95.26500,89.41000,95.12000,7847300
2025-04-25,95.79000,98.64000,95.36000,97.12000,7824800
2025-04-28,96.85000,99.07000,96.50000,98.57000,5892900
2025-04-29,98.83000,99.81700,97.84000,98.92000,6797200
2025-04-30,96.13500,96.13500,92.40000,95.00000,13233200
2025-05-01,98.21500,98.89000,95.55000,97.01000,8288000
2025-05-02,98.10000,100.49000,97.63000,99.25000,11140800
2025-05-05,95.40000,99.46000,95.24200,98.38000,7652400
2025-05-06,97.05000,97.40000,93.58000,93.83000,13082100
2025-05-07,94.66500,96.60000,94.23000,94.50000,14723900
2025-05-08,89.68500,95.82000,88.14000,94.00000,36455400
2025-05-09,94.47000,94.91000,88.90000,91.77000,15360700
2025-05-12,104.00000,106.35000,99.01000,104.34000,30713700
2025-05-13,106.35000,109.00000,106.06000,107.68000,14517900
2025-05-14,108.41000,111.88000,108.25000,111.45000,16384000
2025-05-15,109.92500,111.73000,108.39000,110.21000,13577300
2025-05-16,111.56000,112.38000,109.79700,110.75000,96081400
2025-05-19,108.81000,109.92000,106.82000,109.10000,9809700
2025-05-20,108.63000,109.09000,104.61300,106.43000,8294500
2025-05-21,104.99000,105.58000,101.55000,102.32000,9251300
2025-05-22,102.42000,104.76000,101.78000,103.29000,6216400
2025-05-23,100.81000,102.96000,100.31000,101.51000,5999500
2025-05-27,104.35500,107.48000,103.90000,106.74000,7556600
2025-05-28,106.53000,108.14000,105.57000,107.11000,6823400
2025-05-29,109.69500,110.68000,107.15000,107.70000,6636000
2025-05-30,107.31500,107.69000,103.91000,107.22000,12183300
2025-06-02,106.25500,107.35000,103.73000,106.54000,5341400
2025-06-03,104.80000,106.56000,104.29000,105.11000,7236200
2025-06-04,105.44000,105.75000,102.81000,103.58000,7465100
2025-06-05,104.00000,106.56000,103.10000,105.03000,11085300
2025-06-06,106.99100,112.08000,106.66000,111.41000,8736300
2025-06-09,110.42000,111.00000,107.76000,107.80000,7738800
2025-06-10,108.36000,110.61000,107.35000,110.26000,6548500
2025-06-11,111.62500,117.36000,111.29000,114.13000,14078100
2025-06-12,113.25000,113.57000,108.87000,109.21000,8669300
2025-06-13,105.53000,107.01000,104.66000,105.34000,7979400
2025-06-16,107.96000,109.48000,107.01000,108.37000,7266600
2025-06-17,107.30000,108.54000,106.34000,106.53000,4910900
2025-06-18,106.52000,107.70000,105.30000,105.97000,5960400
2025-06-20,107.72000,109.12000,105.73000,106.40000,10354900
2025-06-23,106.19500,110.06000,103.91200,109.98000,8834000
2025-06-24,112.23000,115.16000,111.85000,114.42000,8907500
2025-06-25,114.28000,114.50000,112.86000,113.89000,9134700
2025-06-26,113.76000,113.76000,108.33000,113.07000,11368200
2025-06-27,113.09000,115.06000,111.91000,113.65000,6377900
2025-06-30,115.09000,116.60000,113.96000,115.35000,7107500
2025-07-01,114.31000,116.12000,112.07000,112.67000,5537900
2025-07-02,111.80000,117.17500,111.78000,114.77000,6726100
2025-07-03,114.98000,117.46000,114.97000,116.52000,3773600
2025-07-07,115.95000,117.07000,114.89000,116.66000,5420500
2025-07-08,117.41400,118.35000,111.33000,112.48000,7718000
2025-07-09,113.17000,114.93000,112.59000,114.32000,6125800
2025-07-10,114.46000,116.54000,112.36000,115.16000,6836200
2025-07-11,114.03000,116.31000,111.39000,112.11000,5582800
2025-07-14,112.90000,118.46000,111.72500,116.74000,10225400
2025-07-15,116.99000,118.65000,114.65000,115.05000,5440500
2025-07-16,114.29000,120.18000,112.59000,120.00000,12714100
2025-07-17,120.04000,127.34000,119.67000,126.75000,13380600
2025-07-18,127.83000,129.08000,125.89000,127.07000,8473600
2025-07-21,126.83500,129.28999,126.60000,128.42999,6419800
2025-07-22,126.59500,127.23800,122.54000,123.71000,9045400
2025-07-23,122.81000,123.11000,118.87000,122.21000,8523600
2025-07-24,122.85000,122.85000,120.71000,122.08000,4313100
2025-07-25,122.19000,125.57000,121.60000,124.43000,6935300
2025-07-28,126.10000,128.14999,125.81000,126.84000,5335800
2025-07-29,126.59500,127.62000,123.28000,124.85000,5911800
2025-07-30,123.97000,125.94000,122.16000,123.01000,6702700
2025-07-31,125.35000,126.58000,122.05000,122.21000,8493500
2025-08-01,118.05000,120.19000,115.95000,118.60000,9886700
2025-08-04,120.23000,125.49000,120.23000,125.21000,6881700
2025-08-05,125.00000,127.23000,123.00000,127.00000,9223300
2025-08-06,145.16000,156.39000,145.11000,154.89999,38572100
2025-08-07,154.46001,156.85001,147.50000,151.07001,15934800
2025-08-08,150.49001,150.73000,148.03000,149.61000,9571000
2025-08-11,150.75500,153.32001,147.22000,147.50000,10131000
2025-08-12,148.02499,150.70000,147.08000,149.30000,7173100
2025-08-13,150.21001,151.64999,148.39000,150.09000,6660700
2025-08-14,148.37500,148.50000,142.92999,144.27000,9499700
2025-08-15,144.27000,145.22000,140.70000,141.47000,7198800
2025-08-18,141.38499,143.37000,140.07001,143.11000,4435700
2025-08-19,143.00000,144.41000,138.97000,139.25000,6339500
2025-08-20,137.92000,138.53000,134.75000,137.28999,7256000
2025-08-21,136.25999,137.96001,134.88000,136.67999,4420400
2025-08-22,136.78000,143.17000,135.38499,142.11000,7649800
2025-08-25,140.75000,142.85600,139.50000,140.53000,4945000
2025-08-26,140.89000,141.17999,139.12000,140.85001,4409000
2025-08-27,142.08000,142.50000,137.28000,139.89000,5272200
2025-08-28,140.82001,144.20000,140.59000,141.53999,6339600
2025-08-29,141.42999,143.09000,139.91000,141.28000,4617000
