date,open,high,low,close,volume
2025-03-27,10.00000,10.25000,9.37500,9.87500,1548
2025-03-28,9.40000,9.82500,8.90000,9.72500,1852
2025-03-31,9.17500,10.22500,8.75000,9.72500,2044
2025-04-01,9.62500,10.62500,9.50000,10.20000,3244
2025-04-02,10.70000,11.37500,10.25000,10.47500,4308
2025-04-03,10.00000,10.75000,10.00000,10.00000,1336
2025-04-04,10.95000,10.95000,9.40000,9.75000,3468
2025-04-07,10.40000,13.62500,10.25000,11.07500,126928
2025-04-08,11.25000,11.50000,9.75000,10.17500,30064
2025-04-09,9.17500,10.75000,9.00000,10.00000,17332
2025-04-10,10.50000,12.45000,9.75000,10.37500,325120
2025-04-11,12.25000,12.32500,9.00000,9.15000,340472
2025-04-14,8.60000,8.72500,7.55000,7.62500,70644
2025-04-15,7.50000,7.50000,5.75000,6.52500,49320
2025-04-16,6.40000,7.50000,6.12500,6.40000,26312
2025-04-17,6.25000,6.45000,5.75000,6.35000,16572
2025-04-21,6.35000,6.50000,5.82500,6.27500,11408
2025-04-22,6.12500,9.25000,6.07500,6.27500,276308
2025-04-23,7.22500,7.67500,6.30000,7.55000,102816
2025-04-24,7.32500,7.87500,6.77500,7.42500,47216
2025-04-25,7.50000,7.92500,7.20000,7.75000,16192
2025-04-28,7.62500,7.75000,7.27500,7.32500,16940
2025-04-29,7.37500,7.50000,7.07500,7.32500,11208
2025-04-30,7.07500,7.32500,6.62500,6.67500,20520
2025-05-01,6.97500,7.25000,6.50000,7.02500,3924
2025-05-02,7.25000,7.32500,6.90000,7.12500,10004
2025-05-05,6.87500,7.32500,6.82500,7.10000,6368
2025-05-06,7.10000,7.10000,6.55000,6.82500,9016
2025-05-07,6.82500,6.97500,6.25000,6.45000,35748
2025-05-08,6.55000,6.87500,6.50000,6.75000,379744
2025-05-09,11.07500,11.25000,5.25000,5.82500,7434640
2025-05-12,5.95000,6.22500,5.02500,5.80000,794016
2025-05-13,5.62500,5.62500,5.12500,5.20000,139228
2025-05-14,5.45000,6.75000,5.20000,5.82500,388208
2025-05-15,5.65000,5.82500,5.27500,5.55000,106324
2025-05-16,5.30000,5.40000,5.10000,5.40000,65336
2025-05-19,5.25000,5.35000,5.07500,5.17500,41828
2025-05-20,5.05000,5.17500,4.80000,5.02500,74628
2025-05-21,4.85000,4.97500,4.52500,4.65000,54032
2025-05-22,4.62500,4.75000,4.27500,4.47500,57780
2025-05-23,4.17500,4.47500,4.10000,4.35000,48320
2025-05-27,4.60000,4.60000,4.12500,4.37500,36644
2025-05-28,4.15000,4.42500,4.15000,4.25000,40008
2025-05-29,4.20000,4.60000,4.20000,4.52500,75012
2025-05-30,4.52500,4.67500,4.30000,4.37500,41960
2025-06-02,4.25000,4.50000,4.15000,4.32500,48688
2025-06-03,4.25000,4.37500,4.10000,4.20000,39404
2025-06-04,4.10000,4.75000,4.10000,4.62500,141468
2025-06-05,4.55000,4.57500,4.27500,4.37500,50528
2025-06-06,4.25000,4.70000,4.25000,4.57500,119032
2025-06-09,4.62500,4.85000,4.50000,4.82500,92900
2025-06-10,4.82500,5.75000,4.82500,5.55000,633452
2025-06-11,5.50000,6.20000,4.97500,5.57500,378444
2025-06-12,4.07500,4.07500,3.47500,3.67500,541908
2025-06-13,3.62500,3.62500,3.12500,3.32500,167872
2025-06-16,3.22000,3.48000,3.00000,3.26000,161200
2025-06-17,3.27000,3.74000,3.06000,3.45000,374500
2025-06-18,3.43000,3.70000,3.30800,3.60000,131900
2025-06-20,3.61000,4.10000,3.60000,3.80000,308200
2025-06-23,3.75000,3.79000,3.36000,3.50000,108100
2025-06-24,3.71000,3.74000,3.26000,3.46000,213000
2025-06-25,3.45000,3.69900,3.45000,3.53000,120100
2025-06-26,3.45000,3.54500,3.34200,3.37000,79800
2025-06-27,3.40000,3.50000,3.29000,3.43000,50200
2025-06-30,3.44000,4.05800,3.43000,3.76500,330000
2025-07-01,3.70000,4.59900,3.70000,4.34000,396700
2025-07-02,4.35000,4.48000,3.86000,3.97000,170700
2025-07-03,3.90000,3.97900,3.72000,3.91000,60300
2025-07-07,3.89000,4.14000,3.86000,4.04000,78100
2025-07-08,3.95600,4.34800,3.95600,4.25000,108000
2025-07-09,4.38000,4.38000,4.09000,4.16000,61100
2025-07-10,4.11000,4.49000,4.07000,4.24500,67400
2025-07-11,4.23000,4.25000,3.81000,3.98000,132100
2025-07-14,3.89000,4.18000,3.67000,3.94000,95600
2025-07-15,3.92000,4.70000,3.92000,4.70000,1290700
2025-07-16,4.48000,4.48000,3.54000,3.91000,849200
2025-07-17,3.90000,4.02000,3.85000,3.94000,137300
2025-07-18,3.94000,4.03600,3.68000,3.81000,110200
2025-07-21,3.85000,3.90000,3.76000,3.88000,60200
2025-07-22,3.78000,4.14000,3.77000,3.88000,78900
2025-07-23,4.03500,4.08000,3.91000,3.97000,75500
2025-07-24,3.91000,3.91000,3.81000,3.83000,37600
2025-07-25,3.87000,3.94400,3.85000,3.87000,18800
2025-07-28,3.88000,4.10000,3.88000,3.95000,54300
2025-07-29,3.93000,3.96000,3.80100,3.82000,42400
2025-07-30,3.86500,3.88500,3.65100,3.72000,34600
2025-07-31,3.85000,3.85000,3.65000,3.65000,39400
2025-08-01,3.60000,3.69700,3.33300,3.50000,29900
2025-08-04,3.41000,3.73000,3.41000,3.63000,34100
2025-08-05,3.56000,3.83000,3.56000,3.70000,65900
2025-08-06,3.69000,3.75000,3.60000,3.60000,34300
2025-08-07,3.57000,3.68800,3.48000,3.52000,26200
2025-08-08,3.64000,3.80000,3.37000,3.42000,40200
2025-08-11,3.45000,3.60500,3.42000,3.44000,61500
2025-08-12,3.44000,3.60300,3.44000,3.59000,18700
2025-08-13,3.54000,3.59000,3.46000,3.54000,22900
2025-08-14,3.47500,3.68000,3.42200,3.50000,65700
2025-08-15,3.46100,3.49000,3.28000,3.32000,48900
2025-08-18,3.32000,3.40500,3.26100,3.28000,27500
2025-08-19,3.27000,3.32000,3.10000,3.14000,17800
2025-08-20,3.09000,3.35000,3.09000,3.31000,22200
2025-08-21,3.35500,3.49000,3.30900,3.38000,9600
2025-08-22,3.25000,3.45000,3.25000,3.43900,28300
2025-08-25,3.38000,3.38000,3.28000,3.32000,25800
2025-08-26,3.27000,3.42000,3.27000,3.41000,13700
2025-08-27,3.39200,3.47200,3.31000,3.33500,10600
2025-08-28,3.37000,3.42500,3.32000,3.32000,19300
2025-08-29,3.39000,3.39000,3.29600,3.30000,12700
2025-09-02,3.37100,3.41000,3.31000,3.38000,8200
2025-09-03,3.35200,3.68000,3.30000,3.60900,93500
2025-09-04,3.60000,3.61800,3.33000,3.41000,28400
2025-09-05,3.41000,3.46000,3.33000,3.37000,14500
2025-09-08,3.37000,3.38000,3.26000,3.34800,7300
2025-09-09,3.20000,3.67000,3.20000,3.50000,23500
2025-09-10,3.48900,3.54000,3.41200,3.45000,12600
2025-09-11,3.35300,3.60000,3.34000,3.48000,45200
2025-09-12,3.40000,3.68000,3.40000,3.59000,93100
2025-09-15,3.53000,3.58000,3.42000,3.47000,36600
2025-09-16,3.45000,3.62000,3.41000,3.58000,32200
2025-09-17,3.64200,4.54000,3.61900,4.36000,485900
2025-09-18,4.40000,4.53900,4.30000,4.44000,131700
2025-09-19,4.20000,4.37000,4.09000,4.09000,93600
2025-09-22,4.09000,4.96000,3.94000,4.35000,450600
2025-09-23,4.49000,4.55000,4.26100,4.38000,101900
2025-09-24,4.26000,4.46000,4.16000,4.42000,73700
2025-09-25,4.29000,4.41000,4.11000,4.14500,107300
2025-09-26,4.23000,4.23000,4.00000,4.01000,74000
2025-09-29,3.96000,4.11000,3.73000,3.80000,61300
2025-09-30,3.73000,3.79000,3.52000,3.55000,37500
2025-10-01,3.56000,3.94000,3.56000,3.80000,74200
2025-10-02,3.90000,4.45000,3.79000,4.23000,331200
2025-10-03,4.25000,4.59000,4.24000,4.48000,103100
2025-10-06,4.44000,4.45900,4.14000,4.31000,66600
2025-10-07,4.29000,4.57600,4.16000,4.20000,52100
2025-10-08,4.29000,4.69000,4.21000,4.39000,412200
2025-10-09,4.50000,4.96000,4.50000,4.76000,1311900
2025-10-10,5.58000,5.59000,3.30000,4.10000,1963800
2025-10-13,3.70000,3.99000,3.45000,3.80000,260500
2025-10-14,3.76000,3.97000,3.69000,3.92000,74400
2025-10-15,3.93000,4.07300,3.77000,3.85000,51200
2025-10-16,3.83000,3.83000,3.62000,3.68000,33000
2025-10-17,3.69000,3.72000,3.37000,3.63000,79000
2025-10-20,3.60000,3.72500,3.38000,3.68000,16900
2025-10-21,3.65000,3.75000,3.40000,3.47000,968400
2025-10-22,3.62000,3.66500,3.15000,3.22000,769500
2025-10-23,3.15000,3.15000,3.02000,3.09000,75300
2025-10-24,3.15000,3.18800,3.01000,3.07000,35500
2025-10-27,3.06000,3.23900,3.02000,3.20000,67500
2025-10-28,3.19000,3.25000,3.11000,3.12000,55100
2025-10-29,3.13000,3.25000,3.11000,3.13000,53500
2025-10-30,3.10000,3.11500,3.02100,3.05000,43000
2025-10-31,3.00000,3.05500,2.91000,2.97000,81500
2025-11-03,3.38000,3.56000,3.00000,3.10000,4250200
2025-11-04,3.05000,3.10000,2.83000,2.89000,230800
2025-11-05,2.92000,2.95000,2.60000,2.67000,84000
2025-11-06,2.75000,2.75000,2.36000,2.55000,86200
2025-11-07,2.48000,2.50900,2.24600,2.50000,84400
2025-11-10,2.46000,2.46000,2.31000,2.40000,45100
2025-11-11,2.39000,2.58300,2.39000,2.53000,27400
2025-11-12,2.58000,2.63000,2.48000,2.51000,25000
2025-11-13,2.42000,2.62500,2.29000,2.31000,64800
2025-11-14,2.30000,2.41000,2.22000,2.32000,49200
2025-11-17,2.26000,2.30000,1.85000,1.92000,86600
2025-11-18,1.90000,2.12000,1.88400,2.11000,65400
2025-11-19,2.08000,2.10000,1.94000,1.98000,31400
2025-11-20,1.99000,2.06000,1.82000,1.83000,710700
2025-11-21,2.09000,2.11100,1.51000,1.60000,4186300
2025-11-24,1.31000,1.49000,1.31000,1.37000,271100
2025-11-25,1.37000,1.40000,1.32100,1.33000,125900
