date,open,high,low,close,volume
2023-09-25,94.80000,94.90000,92.00000,92.65000,603401
2023-09-26,92.75000,93.75000,91.20000,91.60000,309040
2023-09-27,92.25000,93.40000,91.70000,91.95000,300321
2023-09-28,92.00000,92.55000,90.10000,90.65000,253574
2023-09-29,91.00000,92.00000,90.25000,91.00000,241252
2023-10-03,91.05000,92.65000,91.00000,91.35000,368484
2023-10-04,91.35000,93.30000,90.10000,91.05000,515621
2023-10-05,91.65000,92.50000,91.25000,92.00000,280913
2023-10-06,92.50000,93.85000,91.90000,93.25000,666116
2023-10-09,91.70000,93.20000,89.35000,89.70000,461819
2023-10-10,90.10000,90.90000,89.75000,90.65000,206631
2023-10-11,91.35000,94.00000,91.00000,92.75000,552856
2023-10-12,93.25000,94.90000,92.70000,93.65000,458899
2023-10-13,93.65000,96.30000,92.50000,92.90000,544880
2023-10-16,92.50000,94.00000,91.25000,91.95000,460905
2023-10-17,92.75000,93.25000,91.05000,91.45000,357803
2023-10-18,91.75000,95.60000,91.75000,93.45000,976810
2023-10-19,92.95000,95.00000,92.55000,94.60000,566328
2023-10-20,94.50000,96.30000,92.20000,92.50000,488976
2023-10-23,93.00000,93.00000,87.00000,87.60000,829897
2023-10-25,89.00000,89.30000,85.50000,87.00000,384474
2023-10-26,85.70000,86.95000,83.20000,86.30000,616289
2023-10-27,87.30000,90.70000,86.30000,86.85000,1355687
2023-10-30,87.40000,87.70000,85.05000,86.00000,367004
2023-10-31,86.45000,87.35000,85.10000,85.85000,194410
2023-11-01,86.30000,86.35000,85.00000,85.25000,208370
2023-11-02,85.95000,86.20000,85.00000,85.55000,169208
2023-11-03,86.00000,87.15000,85.50000,86.25000,277091
2023-11-06,86.45000,87.25000,85.50000,85.85000,344337
2023-11-07,85.60000,88.90000,85.60000,87.85000,384607
2023-11-08,88.60000,88.90000,86.55000,86.75000,193418
2023-11-09,87.35000,87.35000,86.00000,86.15000,141574
2023-11-10,85.80000,86.40000,85.20000,85.45000,204266
2023-11-13,86.70000,88.00000,85.70000,87.60000,276761
2023-11-15,88.50000,90.00000,88.00000,89.15000,433114
2023-11-16,89.50000,90.15000,88.30000,88.65000,249406
2023-11-17,88.05000,89.20000,87.50000,87.90000,275606
2023-11-20,88.00000,88.55000,86.45000,86.70000,236562
2023-11-21,86.80000,87.70000,85.90000,86.10000,199106
