date,open,high,low,close,volume
2022-08-29,21.80000,22.40000,21.55000,21.95000,120794
2022-08-30,22.25000,22.80000,21.50000,21.80000,230594
2022-09-01,22.00000,22.85000,21.50000,22.80000,139636
2022-09-02,23.20000,23.90000,22.85000,23.90000,194135
2022-09-05,24.85000,25.05000,24.00000,25.05000,328145
2022-09-06,25.05000,25.60000,23.80000,23.95000,228635
2022-09-07,23.10000,24.10000,22.80000,22.95000,163838
2022-09-08,22.25000,23.65000,22.25000,23.50000,85356
2022-09-09,23.90000,24.35000,23.10000,24.00000,90361
2022-09-12,24.95000,24.95000,23.75000,24.25000,143133
2022-09-13,24.65000,24.65000,23.50000,23.90000,108963
2022-09-14,23.50000,24.05000,22.90000,23.45000,159297
2022-09-15,23.60000,23.60000,22.30000,22.80000,122616
2022-09-16,22.85000,23.35000,22.10000,22.75000,114012
2022-09-19,23.00000,23.40000,22.50000,22.60000,103130
2022-09-20,23.25000,23.25000,22.55000,23.10000,67300
2022-09-21,23.35000,23.35000,22.35000,22.45000,87147
2022-09-22,23.00000,23.40000,22.35000,23.30000,121176
2022-09-23,23.60000,24.10000,22.80000,23.00000,94738
2022-09-26,23.20000,23.20000,21.85000,22.00000,112965
2022-09-27,22.10000,22.45000,21.50000,21.70000,81340
2022-09-28,21.50000,21.80000,20.95000,21.15000,121242
2022-09-29,21.00000,21.75000,21.00000,21.50000,85694
2022-09-30,22.40000,22.40000,20.70000,22.10000,77242
2022-10-03,22.15000,22.20000,21.70000,21.95000,54950
2022-10-04,21.80000,22.35000,21.80000,22.10000,49940
2022-10-06,22.60000,22.70000,21.80000,21.95000,69512
2022-10-07,22.20000,22.45000,21.80000,22.20000,70765
2022-10-10,22.85000,22.85000,22.00000,22.20000,65868
2022-10-11,22.65000,22.65000,22.10000,22.30000,58807
2022-10-12,22.05000,22.40000,21.85000,22.10000,44916
2022-10-13,22.00000,22.25000,21.65000,21.90000,37261
2022-10-14,21.90000,22.55000,21.90000,22.10000,35931
2022-10-17,22.10000,22.35000,21.80000,22.15000,37838
2022-10-18,22.25000,22.55000,22.05000,22.30000,45251
2022-10-19,22.45000,22.50000,21.90000,22.05000,46087
2022-10-20,22.00000,23.15000,22.00000,23.00000,109862
2022-10-21,23.90000,24.15000,23.10000,23.45000,135065
2022-10-24,24.40000,24.60000,23.45000,24.60000,124024
2022-10-25,25.20000,25.80000,25.05000,25.80000,114409
2022-10-27,27.00000,27.05000,27.00000,27.05000,115358
2022-10-28,28.40000,28.40000,28.05000,28.40000,146778
2022-10-31,29.80000,29.80000,29.80000,29.80000,82019
2022-11-01,31.25000,31.25000,28.35000,28.35000,352356
2022-11-02,26.95000,26.95000,26.95000,26.95000,64155
2022-11-03,25.65000,26.95000,25.65000,26.75000,197308
2022-11-04,25.80000,28.05000,25.45000,28.00000,440476
2022-11-07,28.00000,29.40000,28.00000,29.05000,428234
2022-11-09,29.90000,30.50000,29.50000,30.50000,192851
2022-11-10,30.45000,31.00000,29.00000,29.80000,326381
2022-11-11,30.00000,30.65000,28.35000,28.55000,178403
2022-11-14,28.70000,29.25000,27.25000,27.55000,186461
2022-11-15,26.60000,27.50000,26.20000,26.25000,270112
2022-11-16,26.30000,27.55000,25.15000,27.55000,229395
2022-11-17,28.60000,28.80000,27.00000,27.15000,140684
2022-11-18,27.40000,27.50000,25.80000,26.60000,181715
2022-11-21,26.45000,26.45000,25.75000,25.95000,88786
2022-11-22,26.10000,27.20000,25.50000,27.20000,109207
2022-11-23,28.00000,28.30000,26.80000,27.85000,122126
2022-11-24,28.00000,28.00000,26.55000,27.00000,118842
2022-11-25,26.55000,27.50000,26.50000,26.95000,111112
2022-11-28,27.15000,27.95000,26.55000,27.25000,119948
2022-11-29,27.45000,27.95000,27.05000,27.80000,126116
2022-11-30,28.15000,28.25000,27.55000,27.80000,86454
2022-12-01,28.05000,28.35000,27.80000,28.00000,116259
2022-12-02,28.25000,28.30000,27.85000,27.95000,74821
2022-12-05,28.45000,28.70000,28.00000,28.45000,151991
2022-12-06,29.00000,29.00000,28.10000,28.45000,115889
2022-12-07,28.70000,28.70000,28.10000,28.45000,78720
2022-12-08,28.55000,28.60000,27.40000,28.15000,99752
2022-12-09,28.00000,28.00000,27.10000,27.20000,96598
2022-12-12,28.05000,28.55000,27.75000,28.55000,122793
2022-12-13,29.95000,29.95000,29.95000,29.95000,152430
2022-12-14,31.40000,31.40000,31.40000,31.40000,104805
2022-12-15,29.85000,32.45000,29.85000,31.85000,657213
2022-12-16,32.90000,33.40000,31.90000,33.40000,575794
2022-12-19,35.05000,35.05000,33.80000,35.05000,326207
2022-12-20,36.75000,36.80000,36.40000,36.80000,188547
2022-12-21,38.60000,38.60000,35.00000,35.00000,714076
2022-12-22,33.25000,33.25000,33.25000,33.25000,32420
2022-12-23,31.60000,31.60000,31.60000,31.60000,22793
2022-12-26,30.05000,31.90000,30.05000,31.25000,385249
2022-12-27,31.30000,31.50000,29.70000,30.00000,205113
2022-12-28,30.00000,31.50000,28.65000,31.50000,145386
2022-12-29,31.80000,33.05000,31.50000,33.05000,206532
2022-12-30,33.90000,34.70000,33.70000,34.70000,259034
2023-01-02,36.40000,36.40000,35.40000,36.40000,218334
2023-01-03,36.70000,37.90000,34.60000,36.25000,440890
2023-01-04,37.00000,37.00000,34.85000,35.15000,149726
2023-01-05,35.15000,35.85000,33.40000,33.80000,177807
2023-01-06,33.80000,35.45000,33.40000,35.00000,134013
2023-01-09,35.50000,35.80000,34.05000,34.35000,109379
2023-01-10,34.30000,34.30000,32.80000,33.10000,139739
2023-01-11,33.75000,34.00000,31.65000,33.40000,73453
2023-01-12,33.40000,34.90000,32.50000,32.75000,71192
2023-01-13,32.85000,33.00000,31.80000,32.55000,124137
2023-01-16,33.00000,33.00000,31.90000,32.35000,53214
2023-01-17,32.55000,32.80000,32.00000,32.40000,96340
2023-01-18,32.40000,32.70000,32.00000,32.20000,66827
2023-01-19,32.30000,32.40000,31.00000,31.30000,66678
2023-01-20,31.35000,32.85000,30.30000,32.85000,75589
2023-01-23,34.00000,34.30000,33.15000,33.45000,102726
2023-01-24,33.90000,33.90000,32.25000,32.50000,52264
2023-01-25,33.30000,33.30000,31.35000,31.85000,54253
2023-01-27,32.40000,32.60000,30.30000,30.65000,87747
2023-01-30,30.65000,31.40000,30.20000,30.50000,53339
2023-01-31,30.60000,31.80000,30.05000,31.55000,65446
2023-02-01,31.70000,32.45000,30.15000,30.35000,54337
2023-02-02,30.30000,30.85000,29.30000,29.90000,45839
2023-02-03,30.05000,30.90000,28.55000,29.75000,90606
2023-02-06,29.75000,31.20000,29.55000,31.20000,82166
2023-02-07,32.75000,32.75000,32.00000,32.60000,180693
2023-02-08,31.95000,32.00000,31.00000,31.00000,131886
2023-02-09,29.70000,31.55000,29.65000,30.40000,71973
2023-02-10,30.50000,30.65000,29.55000,29.90000,62936
2023-02-13,30.85000,30.85000,29.75000,29.90000,46899
2023-02-14,30.25000,30.65000,29.55000,29.90000,35581
2023-02-15,30.00000,30.00000,28.95000,29.15000,66350
2023-02-16,29.35000,29.65000,28.95000,29.30000,58772
2023-02-17,29.00000,29.25000,28.60000,29.10000,42947
2023-02-20,29.95000,30.55000,29.75000,30.55000,84746
2023-02-21,31.10000,31.75000,30.10000,30.45000,77973
2023-02-22,30.00000,30.50000,29.10000,29.35000,77834
2023-02-23,30.15000,30.15000,29.05000,29.30000,35848
2023-02-24,29.30000,29.70000,28.15000,28.95000,65488
2023-02-27,29.60000,29.60000,27.65000,27.85000,46362
2023-02-28,27.85000,28.70000,27.55000,27.60000,50923
2023-03-01,28.35000,28.95000,27.85000,28.95000,34330
2023-03-02,29.40000,29.65000,28.70000,29.05000,42227
2023-03-03,29.35000,30.50000,28.45000,30.10000,183977
2023-03-06,30.50000,30.95000,30.15000,30.60000,65605
2023-03-08,31.20000,31.20000,29.10000,29.75000,171880
2023-03-09,29.80000,29.80000,29.20000,29.35000,56716
2023-03-10,29.55000,29.55000,28.30000,28.65000,58577
2023-03-13,28.65000,29.35000,28.30000,28.50000,65156
2023-03-14,28.95000,28.95000,28.00000,28.05000,54406
