date,open,high,low,close,volume
2023-09-26,68.80000,68.80000,64.00000,64.30000,838448
2023-09-27,63.05000,63.05000,63.05000,63.05000,19315
2023-09-28,61.80000,61.80000,61.80000,61.80000,58793
2023-09-29,62.75000,63.00000,61.90000,62.75000,211202
2023-10-03,63.70000,64.00000,63.70000,63.70000,164400
2023-10-04,62.45000,62.45000,62.45000,62.45000,13374
2023-10-05,61.20000,62.40000,61.20000,61.20000,33699
2023-10-06,60.00000,60.00000,60.00000,60.00000,13120
2023-10-09,58.80000,58.80000,58.80000,58.80000,1385
2023-10-10,57.65000,57.65000,57.65000,57.65000,51331
2023-10-11,58.70000,58.80000,58.70000,58.70000,255664
2023-10-12,59.85000,59.85000,59.85000,59.85000,53928
2023-10-13,61.00000,61.00000,61.00000,61.00000,27253
2023-10-16,62.20000,62.20000,62.20000,62.20000,25240
2023-10-17,63.40000,63.40000,63.40000,63.40000,34374
2023-10-18,64.65000,64.65000,64.65000,64.65000,170463
2023-10-19,65.90000,65.90000,65.90000,65.90000,26414
2023-10-20,67.20000,67.20000,67.20000,67.20000,43037
2023-10-23,68.50000,68.50000,68.50000,68.50000,90245
2023-10-25,67.15000,68.45000,67.15000,67.15000,203174
2023-10-26,66.60000,66.60000,65.80000,66.60000,364295
2023-10-27,65.65000,67.90000,65.65000,65.65000,363594
2023-10-30,64.50000,64.50000,64.35000,64.50000,117991
2023-10-31,65.35000,65.75000,65.00000,65.35000,227411
2023-11-01,66.65000,66.65000,66.65000,66.65000,90270
2023-11-02,67.90000,67.90000,66.55000,67.90000,281374
2023-11-03,66.60000,68.50000,66.55000,66.60000,90123
2023-11-06,67.25000,67.40000,65.30000,67.25000,117629
2023-11-07,68.55000,68.55000,67.10000,68.55000,185108
2023-11-08,68.00000,69.90000,68.00000,68.00000,137044
2023-11-09,66.65000,69.00000,66.65000,66.65000,137273
2023-11-10,67.00000,67.00000,66.10000,67.00000,146551
2023-11-13,68.30000,68.30000,67.00000,68.30000,80823
2023-11-15,69.65000,69.65000,68.90000,69.65000,77427
2023-11-16,71.00000,71.00000,71.00000,71.00000,12346
2023-11-17,72.40000,72.40000,72.40000,72.40000,17263
2023-11-20,73.80000,73.80000,73.80000,73.80000,25630
2023-11-21,75.25000,75.25000,75.25000,75.25000,8631
2023-11-22,76.75000,76.75000,76.75000,76.75000,12954
2023-11-23,78.25000,78.25000,78.25000,78.25000,23301
2023-11-24,79.80000,79.80000,79.80000,79.80000,15243
2023-11-28,78.30000,78.50000,78.20000,78.30000,256914
2023-11-29,79.20000,79.80000,77.00000,79.20000,86462
