date,open,high,low,close,volume
2025-03-11,397.95001,415.95001,390.00000,412.70001,601812
2025-03-12,415.60001,417.70001,397.45001,400.54999,340582
2025-03-13,404.00000,406.20001,391.29999,394.35001,317742
2025-03-17,396.00000,402.35001,383.20001,385.20001,381894
2025-03-19,411.50000,430.00000,408.89999,427.04999,526591
2025-03-20,431.79999,441.25000,428.14999,436.95001,508023
2025-03-21,438.39999,467.00000,438.39999,462.70001,778106
2025-03-24,468.00000,483.89999,463.54999,466.10001,672457
2025-03-25,470.75000,477.00000,453.64999,459.29999,541759
2025-03-26,462.00000,475.20001,452.35001,454.85001,638183
2025-03-27,454.85001,459.00000,444.04999,449.35001,590470
2025-03-28,452.39999,466.25000,434.29999,437.25000,574323
2025-04-01,429.25000,449.35001,428.60001,436.95001,327389
2025-04-02,441.39999,446.54999,427.04999,444.50000,261317
2025-04-03,436.35001,449.70001,436.14999,448.35001,215904
2025-04-04,450.00000,452.35001,423.10001,425.29999,356490
2025-04-07,345.10001,413.29999,342.50000,403.60001,548145
2025-04-08,425.00000,430.64999,413.00000,421.14999,340763
2025-04-09,420.00000,427.60001,401.00000,403.20001,281276
2025-04-11,422.00000,427.85001,411.75000,426.20001,352160
2025-04-15,435.00000,445.00000,431.04999,443.89999,271284
2025-04-16,445.50000,448.00000,438.50000,440.45001,204215
2025-04-17,435.00000,446.50000,435.00000,438.10001,184963
2025-04-21,439.85001,455.00000,437.60001,453.45001,317165
2025-04-22,457.00000,466.00000,451.60001,458.45001,356000
2025-04-23,467.75000,469.39999,449.95001,456.95001,308099
2025-04-24,452.54999,466.20001,452.54999,459.20001,416240
2025-04-25,460.00000,461.85001,435.14999,442.95001,381054
2025-04-28,442.00000,457.95001,436.89999,454.50000,431921
2025-04-29,454.89999,471.79999,454.50000,466.54999,456440
2025-04-30,467.89999,471.54999,450.54999,458.60001,420101
2025-05-02,470.00000,498.50000,465.10001,473.95001,3844586
2025-05-05,476.10001,477.35001,460.45001,470.14999,433565
2025-05-06,473.95001,474.00000,436.50000,441.45001,552432
2025-05-07,433.00000,460.85001,430.64999,452.75000,725537
2025-05-08,455.00000,467.00000,438.00000,442.10001,444850
2025-05-09,430.00000,447.60001,425.00000,440.50000,395755
2025-05-12,467.00000,474.00000,456.70001,466.50000,413732
2025-05-13,469.20001,472.00000,460.00000,466.04999,348172
2025-05-14,470.00000,477.70001,460.50000,466.50000,711938
2025-05-15,468.85001,485.00000,468.85001,476.50000,590357
2025-05-16,478.39999,485.20001,469.10001,472.20001,438766
2025-05-19,476.00000,509.70001,473.29999,504.00000,1478416
2025-05-20,514.65002,519.00000,482.00000,489.64999,789226
2025-05-21,491.95001,499.39999,478.50000,496.35001,405342
2025-05-22,495.00000,509.00000,490.00000,501.25000,624912
2025-05-23,503.50000,503.50000,492.00000,493.79999,335957
2025-05-26,497.20001,515.00000,496.25000,503.50000,809926
2025-05-27,502.29999,507.50000,495.20001,497.14999,328012
2025-05-28,499.64999,505.79999,493.00000,494.25000,283726
2025-05-29,496.50000,507.04999,496.00000,500.39999,421346
2025-05-30,503.50000,504.54999,490.10001,491.60001,275118
2025-06-02,493.39999,503.00000,483.10001,485.89999,441479
2025-06-03,488.79999,498.00000,485.20001,490.25000,239121
2025-06-04,491.95001,500.00000,486.20001,495.75000,398710
2025-06-05,498.00000,501.89999,486.35001,487.45001,378888
2025-06-06,491.35001,493.89999,484.70001,486.75000,264927
2025-06-09,487.89999,529.00000,487.45001,523.90002,1905958
2025-06-10,530.04999,541.50000,521.09998,526.59998,1894803
2025-06-11,527.00000,536.15002,510.54999,514.25000,681635
2025-06-12,515.59998,523.95001,501.60001,508.50000,632761
2025-06-13,497.00000,516.34998,493.29999,510.64999,493654
2025-06-16,513.00000,518.90002,495.29999,515.45001,493519
2025-06-17,517.90002,517.90002,498.00000,500.10001,304562
2025-06-18,500.00000,512.00000,489.10001,490.60001,411491
2025-06-19,491.45001,501.20001,474.00000,475.60001,459309
2025-06-20,475.64999,485.95001,472.95001,482.45001,548088
2025-06-23,479.95001,495.00000,475.20001,492.20001,284740
2025-06-24,503.00000,503.70001,490.20001,491.89999,321953
2025-06-25,494.00000,503.29999,494.00000,500.25000,285159
2025-06-26,502.00000,506.00000,489.00000,493.54999,253438
2025-06-27,495.95001,504.04999,495.95001,499.04999,189955
2025-06-30,500.89999,516.75000,500.89999,508.10001,592056
2025-07-01,509.89999,514.79999,507.00000,509.29999,274267
2025-07-02,511.95001,512.59998,493.04999,496.29999,293490
2025-07-03,498.75000,501.00000,492.85001,494.95001,169463
2025-07-04,496.39999,498.50000,491.00000,495.10001,150582
2025-07-07,492.64999,494.50000,487.00000,487.75000,155045
2025-07-08,488.79999,491.75000,475.25000,479.85001,271317
2025-07-09,481.10001,490.25000,480.04999,484.79999,149063
2025-07-10,486.85001,489.95001,482.04999,485.29999,150281
2025-07-11,486.79999,489.00000,478.14999,479.29999,150432
2025-07-14,479.29999,479.39999,472.00000,475.20001,163746
2025-07-15,476.00000,492.89999,476.00000,491.25000,303519
2025-07-16,492.25000,504.39999,491.50000,495.04999,451289
2025-07-17,496.95001,504.39999,494.50000,501.39999,368685
2025-07-18,502.45001,505.00000,489.79999,491.20001,212561
2025-07-21,491.00000,492.39999,480.10001,481.04999,268785
2025-07-22,482.10001,485.75000,476.50000,479.54999,182111
2025-07-23,480.89999,482.89999,474.04999,475.79999,184921
2025-07-24,477.00000,477.50000,469.10001,470.70001,264143
2025-07-25,469.89999,471.14999,456.00000,458.14999,291692
2025-07-28,460.00000,464.64999,450.00000,452.10001,295660
2025-07-29,450.00000,484.75000,446.60001,479.70001,484351
2025-07-30,484.00000,493.00000,481.04999,485.29999,337385
2025-07-31,479.70001,508.95001,479.00000,485.64999,1627267
2025-08-01,496.45001,548.00000,491.29999,516.25000,14575406
2025-08-04,523.95001,534.34998,515.25000,524.40002,1366744
2025-08-05,525.00000,564.70001,513.84998,527.20001,5043259
2025-08-06,529.20001,529.90002,502.00000,508.35001,894700
2025-08-07,508.35001,518.00000,496.14999,514.40002,832920
2025-08-08,517.65002,517.95001,500.00000,503.20001,493969
2025-08-11,502.95001,515.00000,493.35001,512.90002,418584
2025-08-12,510.25000,510.70001,495.95001,503.20001,505815
2025-08-13,505.54999,546.79999,505.10001,542.59998,2271421
2025-08-14,542.70001,545.00000,520.04999,522.34998,676504
2025-08-18,529.79999,537.95001,522.90002,534.09998,496172
2025-08-19,538.25000,552.00000,531.90002,539.84998,793350
2025-08-20,539.84998,548.00000,533.00000,540.54999,409733
2025-08-21,538.20001,561.00000,535.54999,548.29999,1563576
2025-08-22,550.00000,554.00000,538.40002,539.79999,406557
2025-08-25,542.20001,558.95001,535.75000,546.50000,797343
2025-08-26,548.00000,549.50000,522.20001,524.29999,615799
2025-08-28,524.54999,529.45001,512.79999,527.09998,361880
2025-08-29,526.65002,527.95001,511.14999,512.95001,364854
2025-09-01,513.00000,542.84998,512.00000,535.70001,540387
2025-09-02,537.04999,549.59998,530.70001,543.75000,473932
2025-09-03,543.45001,551.00000,539.75000,543.95001,372639
2025-09-04,550.00000,567.00000,544.50000,549.75000,1279288
2025-09-05,549.75000,573.79999,548.50000,568.34998,1143716
2025-09-08,573.70001,588.00000,555.54999,560.50000,1076195
2025-09-09,564.40002,565.45001,550.00000,552.95001,396321
2025-09-10,554.75000,562.59998,535.09998,538.20001,578647
2025-09-11,538.90002,546.70001,530.00000,532.50000,357991
2025-09-12,534.40002,540.04999,530.84998,533.40002,290413
2025-09-15,534.45001,546.00000,531.65002,542.50000,307763
2025-09-16,546.50000,550.00000,536.20001,539.15002,259997
2025-09-17,542.90002,542.90002,526.00000,540.45001,431201
2025-09-18,543.09998,549.00000,530.75000,535.54999,356236
2025-09-19,536.40002,539.70001,530.70001,535.29999,230464
2025-09-22,535.50000,559.54999,532.50000,548.15002,708807
2025-09-23,550.00000,555.00000,536.59998,542.65002,314974
2025-09-24,542.04999,545.95001,534.00000,536.29999,208846
2025-09-25,533.00000,539.40002,528.25000,532.84998,218510
2025-09-26,528.70001,528.79999,508.20001,511.35001,521222
2025-09-29,514.00000,525.00000,508.20001,512.20001,291903
2025-09-30,514.79999,519.90002,510.54999,515.04999,181295
2025-10-01,514.79999,528.00000,512.00000,526.45001,183031
2025-10-03,523.90002,529.00000,520.29999,524.25000,170587
2025-10-06,526.90002,528.00000,519.50000,520.50000,160434
2025-10-07,521.09998,523.20001,511.89999,515.04999,224033
2025-10-08,515.84998,519.25000,509.85001,514.84998,273572
2025-10-09,514.00000,516.40002,505.10001,509.89999,189534
2025-10-10,509.89999,523.75000,509.64999,516.09998,299510
2025-10-13,515.00000,517.79999,508.25000,512.95001,220738
2025-10-14,514.90002,517.59998,477.85001,505.50000,307595
2025-10-15,507.39999,514.79999,505.25000,511.95001,207388
2025-10-16,512.90002,518.00000,508.89999,513.34998,224754
2025-10-17,511.00000,513.00000,495.70001,505.45001,438371
2025-10-20,508.79999,515.20001,498.70001,510.64999,274592
2025-10-21,510.00000,514.34998,507.00000,510.10001,68895
2025-10-23,510.10001,530.25000,507.00000,524.04999,509026
2025-10-24,524.79999,527.50000,519.65002,521.79999,134171
2025-10-27,521.75000,524.00000,514.25000,517.59998,150069
2025-10-28,519.00000,522.50000,510.10001,514.34998,143090
2025-10-29,514.00000,524.00000,511.29999,522.20001,197182
2025-10-30,524.40002,528.25000,520.00000,524.25000,168401
2025-10-31,523.00000,531.34998,519.29999,524.45001,299936
2025-11-03,524.00000,527.79999,516.45001,520.04999,122574
2025-11-04,520.04999,523.50000,512.90002,515.75000,154028
2025-11-06,510.00000,520.65002,508.14999,517.59998,384757
2025-11-07,517.00000,530.50000,500.10001,509.64999,954808
2025-11-10,501.00000,514.00000,476.54999,502.25000,1120774
2025-11-11,500.00000,502.00000,485.54999,488.75000,292155
2025-11-12,490.14999,492.00000,479.35001,480.35001,337610
2025-11-13,480.35001,492.75000,475.20001,476.29999,288984
2025-11-14,475.00000,502.85001,473.39999,500.29999,644574
2025-11-17,502.00000,502.00000,488.75000,491.60001,147743
2025-11-18,494.20001,502.85001,490.45001,500.35001,174150
2025-11-19,499.20001,499.20001,489.39999,492.70001,127479
2025-11-20,493.00000,495.64999,487.60001,489.95001,83777
2025-11-21,486.00000,489.00000,477.89999,484.85001,170260
2025-11-24,484.85001,484.85001,476.00000,477.85001,89843
2025-11-25,478.95001,480.35001,465.64999,466.85001,159336
2025-11-26,468.95001,477.70001,467.20001,476.25000,83166
2025-11-27,476.25000,481.79999,465.60001,470.00000,126410
2025-11-28,470.00000,474.75000,467.00000,470.70001,89702
2025-12-01,471.14999,478.00000,462.60001,474.89999,167151
2025-12-02,473.25000,474.45001,466.39999,467.39999,79468
2025-12-03,467.85001,469.45001,455.25000,459.04999,127452
2025-12-04,459.75000,464.00000,451.20001,454.85001,110378
2025-12-05,451.20001,462.50000,449.00000,451.54999,162475
2025-12-08,440.00000,453.00000,432.04999,438.25000,294415
2025-12-09,434.29999,442.00000,424.50000,438.29999,176901
2025-12-10,438.29999,449.00000,429.75000,436.20001,228082
2025-12-11,437.04999,438.50000,429.60001,433.70001,109395
2025-12-12,440.00000,443.00000,432.64999,437.79999,158103
2025-12-15,436.64999,445.00000,434.39999,443.75000,93006
2025-12-16,440.45001,442.70001,436.04999,438.45001,104712
2025-12-17,436.00000,439.50000,429.04999,434.79999,107881
2025-12-18,433.79999,433.79999,414.20001,418.85001,572557
2025-12-19,421.00000,425.50000,418.00000,423.04999,163085
2025-12-22,423.00000,428.25000,419.60001,426.14999,168345
2025-12-23,426.14999,431.70001,423.20001,424.50000,135547
2025-12-24,428.54999,436.54999,420.10001,422.79999,439626
2025-12-26,422.50000,434.00000,415.29999,422.85001,186008
2025-12-29,421.29999,426.25000,412.20001,417.00000,287795
2025-12-30,412.50000,413.35001,401.85001,410.79999,459445
2025-12-31,412.00000,440.25000,411.00000,435.04999,476887
2026-01-01,436.70001,438.95001,426.39999,430.54999,163037
2026-01-02,431.50000,462.39999,428.79999,452.85001,777752
2026-01-05,455.79999,455.79999,432.50000,435.00000,285789
2026-01-06,436.00000,439.00000,427.35001,431.14999,404025
2026-01-07,433.39999,439.04999,430.39999,432.04999,166588
2026-01-08,431.95001,434.95001,415.10001,417.54999,193442
2026-01-09,417.10001,425.39999,407.14999,408.75000,263313
2026-01-12,406.00000,406.95001,391.79999,400.50000,413376
2026-01-13,403.54999,403.54999,392.00000,398.64999,272380
2026-01-14,395.00000,399.85001,393.45001,395.00000,213640
2026-01-16,395.75000,396.04999,380.00000,381.39999,383648
2026-01-19,380.00000,383.25000,368.10001,370.89999,406114
2026-01-20,368.50000,373.50000,352.00000,353.60001,440197
2026-01-21,353.00000,354.60001,338.64999,340.85001,591034
2026-01-22,349.00000,357.00000,345.04999,355.50000,371117
2026-01-23,358.00000,358.00000,333.54999,336.89999,281652
2026-01-27,336.89999,342.64999,327.10001,341.10001,366218
2026-01-28,341.64999,364.10001,338.10001,362.70001,499016
2026-01-29,362.00000,374.00000,350.00000,365.25000,1502037
2026-01-30,366.50000,368.79999,345.00000,361.70001,846525
2026-02-02,362.54999,362.70001,342.25000,357.00000,344753
2026-02-03,370.00000,393.00000,370.00000,383.10001,1228866
2026-02-04,385.00000,405.10001,375.50000,401.85001,453331
2026-02-05,401.50000,401.50000,385.54999,389.10001,211056
2026-02-06,389.60001,391.04999,381.00000,386.70001,150447
2026-02-09,395.00000,409.29999,390.04999,407.20001,314212
2026-02-10,405.89999,410.00000,399.25000,400.85001,179483
2026-02-11,388.70001,390.54999,365.79999,387.64999,1175062
2026-02-12,385.00000,395.70001,380.04999,381.14999,326467
2026-02-13,375.20001,378.79999,371.60001,373.79999,178409
2026-02-16,371.25000,375.14999,365.50000,369.45001,239848
2026-02-17,367.00000,384.00000,366.79999,380.10001,313032
2026-02-18,378.00000,392.00000,375.00000,386.14999,252123
2026-02-19,386.14999,387.89999,373.50000,376.79999,378930
2026-02-20,373.00000,382.14999,370.95001,380.60001,221043
2026-02-23,381.85001,390.10001,375.39999,376.85001,168577
2026-02-24,374.95001,378.25000,366.89999,370.95001,190893
2026-02-25,371.00000,376.20001,362.89999,366.14999,134277
2026-02-26,366.54999,374.95001,366.29999,368.85001,128938
2026-02-27,367.00000,369.64999,363.00000,366.35001,199404
2026-03-02,350.00000,361.95001,340.10001,353.04999,295723
2026-03-04,345.70001,349.00000,338.54999,340.95001,245406
2026-03-05,344.79999,352.00000,341.10001,348.64999,236507
2026-03-06,348.00000,355.95001,345.04999,346.10001,153875
2026-03-09,338.00000,344.00000,327.04999,330.39999,342513
2026-03-10,336.00000,343.39999,333.20001,342.14999,179464
2026-03-11,343.00000,355.00000,339.39999,340.50000,179455
2026-03-12,338.50000,369.70001,330.20001,351.35001,2351522
2026-03-13,351.29999,356.54999,335.04999,346.60001,482435
2026-03-16,347.14999,351.54999,333.00000,338.14999,315550
2026-03-17,340.75000,348.70001,337.20001,345.20001,212723
2026-03-18,344.00000,361.54999,343.50000,355.00000,299563
2026-03-19,347.00000,356.00000,344.45001,351.25000,276150
