date,open,high,low,close,volume
2025-03-18,5.56000,5.83000,5.25000,5.60000,350
2025-03-19,5.83000,6.10000,5.70000,5.83000,2110
2025-03-20,5.97000,5.97000,5.70000,5.77000,840
2025-03-21,5.47000,6.20000,5.20000,5.20000,590
2025-03-24,6.05000,6.10000,5.43000,5.70000,2650
2025-03-25,5.70000,5.90000,5.58000,5.59000,1360
2025-03-26,5.60000,5.98000,5.59000,5.59000,1110
2025-03-27,5.87000,5.87000,5.28000,5.29000,1620
2025-03-28,5.60000,6.08000,5.20000,5.50000,4500
2025-03-31,5.50000,5.50000,5.05000,5.20000,5120
2025-04-01,5.20000,5.28000,4.57000,4.91000,4530
2025-04-02,4.70000,5.10000,4.60000,4.84000,3430
2025-04-03,4.52000,5.10000,4.51000,5.00000,2410
2025-04-04,4.55000,5.30000,4.42000,4.66000,1950
2025-04-07,4.40000,4.70000,4.40000,4.70000,5030
2025-04-08,4.40000,4.88000,4.40000,4.40000,2090
2025-04-09,4.40000,4.50000,4.20000,4.45000,5600
2025-04-10,4.25000,4.52000,4.02000,4.10000,10800
2025-04-11,4.20000,4.30000,4.10000,4.30000,1920
2025-04-14,4.21000,5.07000,4.11000,4.28000,9920
2025-04-15,4.28000,5.20000,4.11000,5.00000,2750
2025-04-16,4.81000,5.10000,4.80000,4.80000,240
2025-04-17,4.95000,7.40000,4.20000,5.50000,576720
2025-04-21,5.40000,7.99000,5.10000,5.85000,107990
2025-04-22,6.07000,6.50000,5.60000,5.97000,14390
2025-04-23,5.82000,7.20000,5.82000,7.00000,16980
2025-04-24,6.89000,7.80000,6.44000,7.76000,11010
2025-04-25,7.70000,7.87000,7.01000,7.82000,4370
2025-04-28,7.86000,8.31000,7.10000,8.12000,3800
2025-04-29,8.20000,8.80000,7.94000,8.51000,5380
2025-04-30,8.10000,9.00000,6.18000,7.60000,8080
2025-05-01,6.98000,8.40000,6.89000,7.74000,25210
2025-05-02,7.75000,8.20000,7.11000,7.30000,14500
2025-05-05,7.10700,7.75500,4.11000,4.42000,187300
2025-05-06,4.80000,7.66000,4.40000,7.66000,277300
2025-05-07,6.90000,7.97000,6.56500,7.72000,79600
2025-05-08,7.62000,7.73000,7.11000,7.73000,14600
2025-05-09,7.45000,7.85000,7.40000,7.85000,15400
2025-05-12,7.61000,7.64000,6.81000,7.50000,24400
2025-05-13,7.43000,7.65000,7.22000,7.57000,9000
2025-05-14,7.49000,8.26000,7.14000,7.81400,25000
2025-05-15,7.40800,7.67000,7.40800,7.67000,2500
2025-05-16,7.68000,7.68000,7.35000,7.47000,19000
2025-05-19,7.41000,7.71500,7.41000,7.71500,3200
2025-05-20,7.90000,7.95000,7.63200,7.79500,10100
2025-05-21,7.98000,7.99000,7.80000,7.80000,3500
2025-05-22,7.95000,7.95000,7.41600,7.68500,4900
2025-05-23,7.21000,7.80000,7.21000,7.59000,4600
2025-05-27,7.19000,7.70000,7.19000,7.46300,2400
2025-05-28,7.35000,7.45000,7.25000,7.25000,4000
