date,open,high,low,close,volume
2025-03-19,3.40000,3.47000,3.38000,3.44000,32200
2025-03-20,3.42000,3.47000,3.35000,3.40000,73600
2025-03-21,3.36000,3.42000,3.17000,3.17000,270500
2025-03-24,3.28000,3.32000,3.18000,3.22000,18400
2025-03-25,3.22500,3.28000,3.15000,3.16000,36200
2025-03-26,3.16000,3.21000,3.16000,3.21000,21300
2025-03-27,3.19000,3.22000,3.18000,3.20000,12700
2025-03-28,3.22500,3.22500,3.12000,3.12000,35800
2025-03-31,3.06000,3.11000,2.99000,2.99000,30400
2025-04-01,3.03000,3.03000,2.97000,2.97000,17900
2025-04-02,2.96000,3.05000,2.94000,3.02000,27600
2025-04-03,2.93000,3.00000,2.86000,2.97000,28300
2025-04-04,2.85000,2.91000,2.68000,2.84000,46600
2025-04-07,2.75000,2.93000,2.75000,2.91000,29800
2025-04-08,3.08000,3.08000,2.84000,2.87000,36900
2025-04-09,2.91500,3.28000,2.84000,3.12000,52400
2025-04-10,3.08000,3.16000,3.00000,3.04000,14600
2025-04-11,3.05000,3.20000,3.05000,3.20000,11700
2025-04-14,3.23000,3.32000,3.17000,3.17000,9000
2025-04-15,3.17000,3.21000,3.03000,3.04000,13800
2025-04-16,3.06000,3.18000,3.01000,3.17000,41100
2025-04-17,3.12000,3.22000,3.04000,3.17000,21800
2025-04-21,3.16000,3.20000,3.10000,3.10000,7400
2025-04-22,3.17000,3.17000,3.05500,3.17000,24400
2025-04-23,3.17000,3.24000,3.03000,3.20000,37400
2025-04-24,3.18000,3.27000,2.91000,3.25000,89300
2025-04-25,3.21000,3.25000,3.13000,3.19000,18500
2025-04-28,3.14000,3.20000,3.14000,3.17000,9000
2025-04-29,3.19000,3.35000,3.19000,3.30000,29500
2025-04-30,3.26000,3.33500,3.20000,3.24000,21400
2025-05-01,3.24000,3.40000,3.17000,3.30000,19800
2025-05-02,3.31000,3.31000,3.22000,3.23000,17400
2025-05-05,3.12000,3.25000,3.11000,3.22000,18800
2025-05-06,3.18000,3.30000,3.18000,3.24000,91600
2025-05-07,3.28000,3.53500,3.22000,3.36000,29500
2025-05-08,3.36000,3.42000,3.32100,3.35000,69100
2025-05-09,3.37000,3.60000,3.33000,3.50000,85300
