date,open,high,low,close,volume
2023-09-25,50.49000,52.06000,50.49000,51.77000,478400
2023-09-26,51.06000,52.65000,51.06000,52.45000,737000
2023-09-27,52.14000,53.91000,51.58000,52.95000,1052300
2023-09-28,52.86000,53.19000,51.23000,51.89000,934900
2023-09-29,52.73000,53.56000,51.48000,51.68000,523700
2023-10-02,51.32000,51.32000,47.56000,47.62000,976900
2023-10-03,47.50000,48.14000,46.73000,47.15000,837700
2023-10-04,47.47000,48.03000,46.91000,47.83000,642300
2023-10-05,47.48000,47.88000,45.60000,46.34000,879100
2023-10-06,45.95000,47.65000,45.14000,47.09000,567600
2023-10-09,46.52000,47.34000,46.28000,47.08000,425900
2023-10-10,47.59000,49.19000,47.38000,48.91000,555400
2023-10-11,48.97000,49.17000,48.31000,48.64000,501100
2023-10-12,48.65000,48.65000,46.62000,46.94000,521600
2023-10-13,47.27000,48.11000,46.87000,47.77000,550400
2023-10-16,48.32000,49.60000,47.58000,49.02000,634000
2023-10-17,48.80000,50.91000,48.80000,50.48000,571600
2023-10-18,50.00000,51.16000,48.83000,50.03000,763200
2023-10-19,49.84000,50.02000,46.99000,47.01000,625100
2023-10-20,46.78000,47.34000,46.30000,46.46000,467900
2023-10-23,46.04000,46.10000,43.67000,43.74000,820100
2023-10-24,44.41000,45.96000,44.39000,45.20000,937100
2023-10-25,44.74000,46.04000,44.40000,45.44000,743900
2023-10-26,45.61000,45.89000,44.26000,44.86000,653800
2023-10-27,45.24000,45.27000,44.18000,45.00000,724000
2023-10-30,45.79000,46.44000,44.41000,45.15000,992500
2023-10-31,44.98000,45.39000,43.98000,44.44000,941200
2023-11-01,48.88000,54.18000,47.78000,52.68000,2780000
2023-11-02,53.09000,54.01000,50.76000,52.51000,1636200
2023-11-03,53.72000,55.03000,53.10000,54.29000,1123300
2023-11-06,54.16000,54.16000,52.70000,53.00000,819500
2023-11-07,52.81000,53.16000,51.74000,52.17000,682900
2023-11-08,51.67000,51.94000,50.28000,50.94000,803300
2023-11-09,51.25000,51.47000,48.45000,48.59000,631500
2023-11-10,49.12000,50.00000,48.30000,50.00000,503500
2023-11-13,49.42000,50.70000,48.84000,49.99000,644000
2023-11-14,51.90000,54.89000,51.60000,54.72000,823800
2023-11-15,55.20000,58.29000,55.20000,58.05000,1209700
2023-11-16,57.67000,57.72000,56.33000,56.87000,595500
2023-11-17,57.32000,57.91000,56.22000,57.88000,1352600
2023-11-20,57.70000,57.70000,56.24000,56.26000,779600
2023-11-21,55.52000,56.13000,54.61000,55.30000,768900
2023-11-22,55.88000,56.22000,54.80000,56.20000,657800
2023-11-24,55.12000,56.73000,55.00000,56.29000,251500
2023-11-27,55.87000,56.49000,55.26000,56.02000,677700
2023-11-28,56.03000,56.73000,55.33000,56.42000,621200
2023-11-29,57.01000,58.20000,55.64000,55.89000,677300
2023-11-30,55.32000,56.54000,54.25000,55.66000,992400
2023-12-01,55.64000,58.15000,54.83000,58.15000,747200
2023-12-04,57.62000,59.76000,57.31000,59.58000,653600
2023-12-05,59.10000,60.62000,58.43000,59.85000,744900
2023-12-06,60.66000,62.06000,60.07000,60.87000,698600
2023-12-07,60.77000,61.96000,60.58000,61.57000,468300
2023-12-08,61.57000,61.81000,59.95000,60.60000,597100
2023-12-11,60.32000,60.64000,57.03000,58.03000,715700
2023-12-12,58.02000,58.02000,56.60000,57.12000,487400
2023-12-13,56.83000,60.78000,56.05000,60.34000,1244300
2023-12-14,61.55000,64.78000,61.12000,61.98000,992300
2023-12-15,61.54000,61.93000,59.93000,60.83000,1381700
2023-12-18,60.95000,61.27000,59.78000,59.82000,435300
2023-12-19,60.60000,63.40000,60.20000,63.02000,685500
2023-12-20,62.47000,63.77000,61.56000,61.68000,459600
2023-12-21,62.85000,64.47000,61.75000,64.31000,748400
2023-12-22,64.50000,65.34000,63.47000,64.04000,475300
2023-12-26,63.66000,65.62000,63.66000,64.96000,550700
2023-12-27,64.91000,65.77000,64.91000,65.53000,543800
2023-12-28,64.75000,65.47000,64.41000,65.08000,362600
2023-12-29,64.40000,65.39000,63.67000,63.75000,511300
2024-01-02,62.96000,65.04000,62.44000,64.39000,790700
2024-01-03,62.63000,63.70000,60.91000,60.96000,843900
2024-01-04,60.77000,62.02000,60.48000,61.15000,605500
2024-01-05,60.81000,63.32000,60.73000,61.86000,515800
2024-01-08,61.73000,64.38000,60.78000,63.26000,476300
2024-01-09,62.05000,62.72000,61.40000,62.00000,326100
2024-01-10,61.50000,61.89000,60.81000,61.08000,371500
2024-01-11,60.91000,61.25000,59.65000,59.91000,560000
2024-01-12,60.41000,60.88000,58.39000,58.95000,682100
2024-01-16,57.87000,58.80000,56.60000,58.48000,681600
2024-01-17,57.22000,57.72000,56.12000,57.46000,447400
2024-01-18,57.80000,58.64000,57.27000,58.39000,584700
2024-01-19,58.46000,59.31000,57.31000,58.86000,466100
2024-01-22,59.11000,60.63000,59.11000,59.74000,655100
2024-01-23,61.00000,61.59000,58.67000,59.52000,558200
2024-01-24,60.16000,60.16000,57.34000,57.65000,827800
2024-01-25,58.36000,58.98000,56.50000,57.62000,468200
2024-01-26,58.20000,59.27000,57.65000,57.81000,611500
2024-01-29,57.81000,59.20000,57.24000,58.97000,969600
2024-01-30,58.49000,58.96000,56.24000,57.17000,606900
2024-01-31,57.00000,58.51000,55.94000,56.26000,823200
2024-02-01,56.66000,58.02000,56.03000,57.94000,669100
2024-02-02,56.93000,58.07000,55.08000,57.44000,806700
2024-02-05,56.30000,56.96000,53.50000,53.53000,1046400
2024-02-06,53.43000,55.54000,53.43000,55.13000,1021900
2024-02-07,60.05000,60.91000,55.59000,57.16000,1489900
2024-02-08,56.68000,57.91000,55.62000,57.66000,931600
2024-02-09,57.83000,57.83000,55.16000,55.78000,843800
2024-02-12,55.85000,58.76000,55.56000,57.88000,726800
2024-02-13,56.15000,56.60000,54.74000,56.25000,916900
2024-02-14,57.17000,57.51000,56.19000,57.40000,780400
2024-02-15,57.94000,59.79000,57.94000,59.73000,790400
2024-02-16,59.17000,59.93000,57.70000,57.81000,414100
2024-02-20,57.04000,57.76000,56.54000,57.35000,551700
2024-02-21,56.94000,57.40000,56.18000,57.23000,635000
2024-02-22,56.74000,58.92000,56.01000,58.42000,981700
2024-02-23,58.42000,58.98000,57.46000,58.84000,472800
2024-02-26,58.41000,60.04000,58.41000,58.83000,860300
2024-02-27,59.41000,60.88000,59.15000,60.86000,673900
2024-02-28,60.56000,63.44000,60.41000,63.02000,992600
2024-02-29,63.72000,66.66000,63.63000,65.70000,1627200
2024-03-01,65.70000,67.40000,64.50000,67.18000,1327300
2024-03-04,66.98000,67.58000,64.55000,65.77000,1215700
2024-03-05,65.11000,65.66000,61.51000,64.00000,1182500
2024-03-06,65.18000,68.50000,64.79000,65.71000,1146700
2024-03-07,66.16000,67.03000,64.95000,66.83000,852700
2024-03-08,67.86000,69.38000,67.23000,68.03000,823400
2024-03-11,67.22000,68.37000,65.52000,65.75000,696400
2024-03-12,65.65000,65.92000,64.91000,65.51000,532200
2024-03-13,65.51000,67.29000,65.51000,66.45000,540200
2024-03-14,66.01000,66.45000,64.66000,65.60000,733700
2024-03-15,65.46000,69.68000,65.46000,68.76000,2286300
2024-03-18,68.74000,68.74000,67.11000,67.53000,725500
2024-03-19,67.50000,68.14000,65.31000,68.06000,733100
2024-03-20,68.29000,70.42000,67.93000,70.17000,563100
2024-03-21,70.78000,73.99000,70.78000,72.83000,929300
2024-03-22,72.30000,73.43000,71.45000,73.35000,664000
2024-03-25,71.46000,73.55000,71.46000,72.57000,886300
2024-03-26,72.97000,73.42000,71.44000,71.61000,525200
2024-03-27,72.49000,73.63000,72.14000,73.61000,337700
2024-03-28,73.50000,74.97000,73.50000,74.59000,489400
2024-04-01,74.59000,74.74000,71.41000,71.77000,854000
2024-04-02,70.86000,72.49000,70.25000,72.33000,698300
2024-04-03,72.16000,74.83000,72.16000,74.35000,673700
2024-04-04,77.00000,77.95000,73.82000,74.06000,1065300
2024-04-05,73.87000,75.51000,73.84000,74.95000,736700
2024-04-08,75.60000,76.32000,74.40000,74.98000,510200
2024-04-09,75.55000,76.62000,74.80000,76.06000,742300
2024-04-10,73.73000,74.34000,71.97000,72.27000,782300
2024-04-11,72.84000,72.98000,71.02000,71.83000,515400
2024-04-12,71.00000,71.39000,69.04000,69.44000,519900
2024-04-15,69.98000,70.15000,67.92000,68.73000,502100
2024-04-16,68.17000,68.87000,67.18000,67.81000,417100
