date,open,high,low,close,volume
2025-03-21,39.67000,40.16000,39.11000,39.62000,3375300
2025-03-24,40.39000,41.49000,40.16000,40.34000,1470100
2025-03-25,40.20000,40.53000,39.41000,40.07000,1768800
2025-03-26,39.82000,40.20000,38.07000,38.69000,1511000
2025-03-27,37.92000,38.60000,36.91000,36.95000,1888900
2025-03-28,36.55000,36.86000,34.62000,35.05000,2155800
2025-03-31,33.79000,34.65000,32.54000,34.40000,2855500
2025-04-01,34.80000,35.13000,33.56000,34.86000,2320700
2025-04-02,33.80000,37.36000,33.76000,36.62000,1691900
2025-04-03,33.57000,34.00000,29.56000,29.71000,4204500
2025-04-04,27.82000,28.23000,25.17000,28.01000,3816600
2025-04-07,26.01000,31.10000,25.59000,28.31000,3017900
2025-04-08,30.29000,30.56000,24.72000,25.86000,4084600
2025-04-09,26.22000,30.71000,25.40000,29.98000,4553800
2025-04-10,28.72000,29.14000,26.58000,27.00000,3226600
2025-04-11,27.00000,27.25000,25.54000,26.60000,3042200
2025-04-14,27.68000,28.31000,26.43000,27.00000,2464500
2025-04-15,26.93000,28.08000,26.93000,27.30000,1593900
2025-04-16,26.00000,26.63000,25.40000,25.99000,2808700
2025-04-17,26.09000,26.80000,25.75000,26.24000,1919600
2025-04-21,25.23000,25.74000,24.05000,24.34000,2504900
2025-04-22,24.71000,25.69000,24.46000,24.69000,1909700
2025-04-23,27.09000,28.75000,26.85000,27.15000,3187200
2025-04-24,27.90000,29.88000,27.60000,29.34000,2176000
2025-04-25,29.04000,30.67000,28.91000,30.03000,1830000
2025-04-28,29.71000,30.30000,29.32000,29.93000,1919000
2025-04-29,29.51000,31.36000,29.45000,31.19000,2748200
2025-04-30,29.56000,31.30000,29.29000,31.25000,2196900
2025-05-01,32.37000,33.28000,32.30000,32.34000,2790200
2025-05-02,33.18000,34.38000,32.77000,34.13000,3072000
2025-05-05,33.25000,34.82000,33.25000,34.66000,2637200
2025-05-06,33.55000,34.66000,33.06000,33.90000,1963600
2025-05-07,33.68000,34.42000,33.06000,34.37000,1359800
2025-05-08,35.40000,35.84000,34.16000,34.73000,1324400
2025-05-09,35.30000,35.74000,34.85000,35.07000,1409500
2025-05-12,37.95000,38.68000,37.52000,38.22000,2603000
2025-05-13,38.64000,39.87000,38.53000,39.54000,1745400
2025-05-14,39.97000,40.36000,39.28000,39.93000,2025000
2025-05-15,39.21000,39.88000,38.67000,39.64000,1045300
2025-05-16,39.52000,40.69000,39.25000,40.42000,1443800
2025-05-19,39.01000,40.16000,38.92000,40.14000,1057500
2025-05-20,39.82000,40.23000,39.30000,39.35000,1282700
2025-05-21,38.90000,40.14000,38.28000,38.51000,2394900
2025-05-22,38.48000,38.80000,37.65000,37.79000,1515200
2025-05-23,36.66000,37.83000,36.37000,37.28000,1649200
2025-05-27,38.75000,39.09000,38.04000,38.78000,4136900
