date,open,high,low,close,volume
2025-03-27,12.11429,12.13333,11.90476,12.00952,43785
2025-03-28,11.91429,11.99048,11.43810,11.57143,30765
2025-03-31,11.19048,11.74286,10.96190,11.52381,76965
2025-04-01,11.51429,11.51429,10.53333,10.66667,59220
2025-04-02,10.59048,10.92381,10.57143,10.80952,35175
2025-04-03,10.45714,10.45714,9.72381,9.82857,73080
2025-04-04,9.54286,9.68571,9.05714,9.12381,66990
2025-04-07,8.20952,9.08571,7.32381,8.77143,133035
2025-04-08,8.90476,8.97143,8.40000,8.65714,75705
2025-04-09,8.60000,9.26667,8.49524,9.17143,67305
2025-04-10,9.04762,9.15238,8.54286,8.75238,38220
2025-04-11,8.80952,8.89524,8.49524,8.72381,50610
2025-04-14,8.82857,9.05714,8.60952,8.72381,36540
2025-04-15,8.74286,9.02857,8.68571,8.80000,31500
2025-04-16,8.80000,8.85714,8.60952,8.67619,30870
2025-04-17,8.70476,8.78095,8.48571,8.53333,41790
2025-04-21,8.48571,8.84762,8.48571,8.70476,64680
2025-04-22,8.82857,9.31429,8.82857,9.02857,36120
2025-04-23,9.22857,9.52381,9.00952,9.11429,50190
2025-04-24,9.16191,9.34286,9.15238,9.31429,27090
2025-04-25,9.31429,9.55238,9.18095,9.33333,18270
2025-04-28,9.28571,9.60000,9.23810,9.59048,38955
2025-04-29,9.49524,9.69524,9.49524,9.60000,37380
2025-04-30,9.48571,9.75238,9.36191,9.75238,35175
2025-05-01,9.76190,10.00000,9.69524,9.69524,23100
2025-05-02,9.74286,10.14286,9.60952,10.13333,23835
2025-05-05,10.14286,10.40000,9.72381,9.74286,32655
2025-05-06,9.67619,10.04762,9.62857,9.64762,30450
2025-05-07,9.52381,9.61905,9.40952,9.52381,28665
2025-05-08,9.56190,9.95238,9.50476,9.85714,23310
2025-05-09,9.85714,9.94286,9.55238,9.76190,27090
2025-05-12,10.17143,10.17143,9.74286,9.77143,21735
2025-05-13,9.71429,10.06667,9.71429,9.86667,13020
2025-05-14,9.87619,10.20952,9.80000,10.10476,30135
2025-05-15,10.13333,10.34286,9.88571,10.05714,33285
2025-05-16,9.94286,10.20000,9.66667,9.71429,35385
2025-05-19,9.60952,10.03810,9.60952,9.88571,26145
2025-05-20,9.88571,10.36191,9.85714,9.85714,24990
2025-05-21,9.73333,9.73333,9.27619,9.35238,88935
2025-05-22,9.35238,10.47619,9.20000,9.33333,47565
2025-05-23,9.31429,9.36191,9.18095,9.25714,19950
2025-05-27,9.42857,9.79048,9.24762,9.38095,74445
2025-05-28,9.45714,9.54286,9.34286,9.40000,40740
2025-05-29,9.49524,9.63809,9.41905,9.61905,31080
2025-05-30,9.62857,9.67619,9.27619,9.39048,27510
2025-06-02,9.49524,9.75238,9.34286,9.38095,44625
2025-06-03,9.52381,9.67619,9.33333,9.40000,40950
2025-06-04,9.35238,9.64762,9.31429,9.34286,38535
2025-06-05,9.45714,9.53333,9.29524,9.44762,40425
2025-06-06,9.51429,9.67619,9.38095,9.56190,57855
2025-06-09,9.54286,9.57143,9.44762,9.44762,31710
2025-06-10,9.53333,9.60952,9.42857,9.50476,38325
2025-06-11,9.50476,9.65714,9.47619,9.51429,27510
2025-06-12,9.51429,9.61905,9.38095,9.58095,83370
2025-06-13,9.52381,9.64762,9.34286,9.36191,52710
2025-06-16,9.50476,9.54286,9.05714,9.06667,74655
2025-06-17,9.04762,9.34286,8.90476,9.11429,46935
2025-06-18,9.09524,9.46667,9.09524,9.39048,55860
2025-06-20,9.37143,9.42857,9.26667,9.33333,35700
2025-06-23,9.30476,9.48571,8.96190,9.04762,94710
2025-06-24,9.08571,9.22857,8.96190,9.13333,64785
2025-06-25,9.27619,9.41905,8.93333,8.94286,74130
2025-06-26,9.11429,9.20952,8.92381,9.00000,59850
2025-06-27,9.04762,9.35238,8.87619,9.01905,1935780
2025-06-30,9.10476,9.42857,9.05714,9.38095,123480
2025-07-01,9.32381,9.94286,9.32381,9.74286,120960
2025-07-02,9.71429,10.00000,9.53333,9.72381,76545
2025-07-03,9.81905,9.94286,9.70476,9.91429,38955
2025-07-07,9.90476,9.95238,9.41905,9.63809,90510
2025-07-08,9.69524,9.88571,9.61905,9.81905,77700
2025-07-09,9.83809,9.95238,9.47619,9.55238,65415
2025-07-10,9.56190,9.74286,9.48571,9.48571,61005
2025-07-11,9.67000,9.85000,9.35000,9.38000,53700
2025-07-14,9.33000,9.37000,9.02000,9.09000,39100
2025-07-15,9.07000,9.09000,8.71000,8.75000,58900
2025-07-16,8.78000,8.80000,8.62000,8.72000,35000
2025-07-17,8.67000,8.88000,8.67000,8.85000,37600
2025-07-18,8.94000,9.52000,8.76000,8.76000,35200
2025-07-21,8.68000,8.80000,8.66000,8.75000,47700
2025-07-22,8.75000,8.86000,8.71000,8.75000,38900
2025-07-23,8.73000,9.11000,8.73000,9.07000,52000
2025-07-24,9.25000,9.25000,8.86000,8.88000,27500
2025-07-25,8.89000,8.95000,8.79000,8.87000,26900
2025-07-28,8.88000,8.90000,8.65000,8.77000,57000
2025-07-29,8.81000,8.82000,8.55000,8.63000,30000
2025-07-30,8.63000,8.78000,8.31000,8.40000,46900
2025-07-31,8.39000,8.71000,8.31000,8.48000,40900
2025-08-01,8.40000,8.45000,8.31000,8.41000,47400
2025-08-04,8.48000,8.67000,8.41000,8.64000,28900
2025-08-05,8.69000,8.98000,8.59000,8.92000,43500
2025-08-06,8.91000,9.02000,8.85000,8.90000,24200
2025-08-07,8.91000,8.95000,8.72000,8.80000,22800
2025-08-08,8.79000,9.01000,8.77000,8.80000,15700
2025-08-11,8.91000,8.95000,8.67000,8.94000,46000
2025-08-12,9.02000,9.34000,9.01000,9.27000,41000
2025-08-13,9.38000,9.49000,9.24000,9.30000,47200
2025-08-14,8.92000,9.29000,8.92000,9.13000,29900
2025-08-15,9.24000,9.24000,8.26000,8.47000,124700
2025-08-18,8.50000,8.63000,8.32000,8.45000,32700
2025-08-19,8.42000,8.73000,8.30000,8.40000,23100
2025-08-20,8.70000,8.70000,8.38000,8.41000,37700
2025-08-21,8.50000,8.81000,8.34000,8.35000,17400
2025-08-22,8.53000,9.06000,8.31000,9.03000,55400
2025-08-25,8.94000,9.11000,8.63000,8.71000,31400
2025-08-26,8.71000,8.89000,8.65000,8.70000,25500
2025-08-27,8.66000,8.88000,8.66000,8.79000,30000
2025-08-28,8.90000,8.95000,8.63000,8.78000,28600
2025-08-29,8.78000,9.05000,8.77000,9.00000,79100
2025-09-02,8.86000,9.03000,8.72000,8.79000,50300
2025-09-03,8.67000,8.89000,8.34000,8.40000,47600
2025-09-04,8.40000,8.54000,8.31000,8.39000,31100
2025-09-05,8.37000,8.48000,8.25000,8.42000,42400
2025-09-08,8.50000,8.62000,8.38000,8.54000,45700
2025-09-09,8.58000,8.65000,8.50000,8.53000,32200
2025-09-10,8.46000,8.63000,8.44000,8.46000,30900
2025-09-11,8.38000,8.70000,8.38000,8.68000,33000
2025-09-12,8.70000,8.87000,8.55000,8.68000,45900
2025-09-15,8.74000,8.82000,8.60000,8.61000,34900
2025-09-16,8.59000,9.03000,8.59000,8.92000,50300
2025-09-17,8.99000,9.10000,8.80000,8.85000,52300
2025-09-18,9.08000,9.17000,8.97000,9.09000,45600
2025-09-19,9.09000,9.09000,8.83000,8.87000,274600
2025-09-22,8.79000,8.95000,8.65000,8.71000,27900
2025-09-23,8.67000,8.81000,8.67000,8.76000,35600
2025-09-24,8.73000,8.96000,8.73000,8.83000,24000
2025-09-25,8.71000,8.85000,8.71000,8.73000,16600
2025-09-26,8.90000,8.90000,8.72000,8.76000,15200
2025-09-29,8.75000,8.77000,8.58000,8.59000,14800
2025-09-30,8.54000,8.96000,8.46000,8.67000,32600
2025-10-01,8.67000,8.71000,8.47000,8.54000,116900
2025-10-02,8.54000,8.77000,8.38000,8.57000,22000
2025-10-03,8.73000,8.75000,8.55000,8.58000,17000
2025-10-06,8.74000,8.96000,8.42000,8.47000,28200
2025-10-07,8.40000,8.68000,8.29000,8.33000,25800
2025-10-08,8.78000,8.78000,8.35000,8.39000,25800
2025-10-09,8.31000,8.57000,8.18000,8.22000,24600
2025-10-10,8.15000,8.55000,7.93000,7.93000,44300
2025-10-13,8.06000,8.22000,8.02000,8.11000,28700
2025-10-14,7.97000,8.35000,7.97000,8.26000,19800
2025-10-15,8.27000,8.42000,8.11000,8.34000,23900
2025-10-16,8.36000,8.36000,8.01000,8.07000,19200
2025-10-17,8.04000,8.28000,7.90000,7.95000,32300
2025-10-20,8.06000,8.51000,7.98000,8.23000,42800
2025-10-21,7.96000,8.25000,7.91000,8.18000,14600
2025-10-22,8.15000,8.34000,8.02000,8.33000,31700
2025-10-23,8.42000,8.42000,8.24000,8.30000,9700
2025-10-24,8.30000,8.43000,8.15000,8.32000,21500
2025-10-27,8.36000,8.53000,8.26000,8.28000,14400
2025-10-28,8.24000,8.38000,8.23000,8.26000,24600
2025-10-29,8.28000,8.32000,7.97000,8.03000,22500
2025-10-30,8.04000,8.14000,8.02000,8.02000,11700
2025-10-31,7.96000,8.13000,7.92000,7.97000,22700
2025-11-03,8.01000,8.23000,7.90000,8.10000,36400
2025-11-04,8.00000,8.13000,7.92000,7.96000,21100
2025-11-05,8.04000,8.14000,7.99000,8.11000,19600
2025-11-06,8.10000,8.20000,7.91000,8.02000,39200
2025-11-07,7.98000,8.04000,7.90000,7.97000,23300
2025-11-10,8.10000,8.11000,7.99000,8.09000,7400
2025-11-11,8.18000,8.18000,8.06000,8.18000,5700
2025-11-12,8.18000,8.22000,8.11000,8.15000,16400
2025-11-13,8.06000,8.35000,8.06000,8.27000,14600
2025-11-14,8.23000,8.39000,8.09000,8.19000,22100
2025-11-17,8.15000,8.24000,7.75000,7.76000,44800
2025-11-18,7.75000,7.89000,7.75000,7.79000,15200
2025-11-19,7.80000,7.92000,7.70000,7.86000,25200
2025-11-20,8.01000,8.23000,7.84000,7.93000,29800
2025-11-21,7.93000,8.39000,7.76000,8.34000,32700
2025-11-24,8.34000,8.36000,8.09000,8.15000,24200
2025-11-25,8.24000,8.60000,8.19000,8.59000,28200
2025-11-26,8.50000,8.74000,8.48000,8.70000,36600
2025-11-28,8.72000,8.72000,8.56000,8.64000,14300
2025-12-01,8.61000,8.65000,8.52000,8.62000,14200
2025-12-02,8.60000,8.75000,8.56000,8.69000,20600
2025-12-03,8.69000,8.82000,8.57000,8.79000,79000
2025-12-04,8.79000,8.79000,8.66000,8.74000,14400
2025-12-05,8.73000,8.77000,8.53000,8.53000,30100
