date,open,high,low,close,volume
2018-06-27,265.00000,265.00000,251.75000,251.75000,28655
2018-06-28,239.20000,239.20000,239.20000,239.20000,1780
2018-06-29,227.25000,227.25000,227.25000,227.25000,101313
2018-07-02,215.89999,215.89999,215.89999,215.89999,696
2018-07-03,205.14999,205.14999,205.14999,205.14999,834
2018-07-04,194.89999,194.89999,194.89999,194.89999,1894
2018-07-05,185.20000,185.20000,185.20000,185.20000,1875
2018-07-06,175.95000,175.95000,175.95000,175.95000,3198
2018-07-09,167.20000,167.20000,167.20000,167.20000,8281
2018-07-10,158.85001,175.55000,158.85001,166.00000,574528
2018-07-11,159.39999,162.95000,149.39999,149.39999,393685
2018-07-12,141.30000,144.89999,134.50000,136.60001,704888
2018-07-13,137.25000,150.25000,137.25000,150.25000,570800
2018-07-16,155.00000,165.25000,155.00000,165.25000,494446
2018-07-17,169.50000,172.00000,154.10001,169.55000,251155
2018-07-18,169.00000,179.70000,166.70000,170.75000,161900
2018-07-19,170.00000,176.00000,166.00000,169.70000,179532
2018-07-20,170.00000,173.00000,167.00000,167.64999,106738
2018-07-23,163.00000,171.75000,160.00000,168.05000,37910
2018-07-24,164.10001,170.25000,164.10001,166.14999,38636
2018-07-25,164.00000,169.00000,149.55000,159.39999,46386
2018-07-26,156.30000,168.70000,156.30000,166.75000,60215
2018-07-27,168.00000,172.75000,162.30000,167.25000,71244
2018-07-30,165.00000,177.00000,165.00000,174.85001,67290
2018-07-31,180.00000,181.39999,175.10001,177.20000,51408
2018-08-01,176.25000,194.89999,176.25000,194.89999,141201
2018-08-02,206.00000,214.35001,192.00000,199.85001,488572
2018-08-03,201.70000,209.80000,189.89999,209.80000,361084
2018-08-06,220.25000,220.25000,216.25000,220.25000,92267
2018-08-07,231.25000,231.25000,210.10001,217.25000,278392
2018-08-08,219.00000,221.55000,211.00000,213.39999,62660
2018-08-09,210.10001,224.05000,210.10001,224.05000,34210
2018-08-10,235.00000,235.25000,226.95000,235.25000,67086
2018-08-13,243.00000,247.00000,239.00000,247.00000,113726
2018-08-14,259.35001,259.35001,259.35001,259.35001,3473
2018-08-16,272.29999,272.29999,272.29999,272.29999,6901
2018-08-17,285.89999,285.89999,285.89999,285.89999,2893
2018-08-20,300.14999,300.14999,286.39999,300.14999,427703
2018-08-21,310.00000,315.14999,302.00000,315.14999,243057
2018-08-23,329.95001,330.89999,299.39999,330.89999,462076
2018-08-24,347.39999,347.39999,336.60001,347.39999,82847
2018-08-27,364.75000,364.75000,360.20001,364.75000,83031
2018-08-28,382.95001,382.95001,370.25000,382.95001,87979
2018-08-29,402.04999,402.04999,363.85001,366.39999,672044
2018-08-30,362.70001,382.00000,350.25000,370.50000,162787
2018-08-31,352.00000,372.89999,352.00000,352.04999,229410
2018-09-03,337.54999,352.04999,337.54999,349.85001,114834
2018-09-04,349.95001,360.95001,340.14999,346.39999,69077
2018-09-05,347.04999,348.29999,329.10001,330.85001,94770
