date,open,high,low,close,volume
2025-03-20,60.25000,66.54000,60.25000,65.19000,926683
2025-03-21,64.15000,66.90000,63.08000,65.42000,529316
2025-03-24,66.00000,67.99000,65.61000,67.12000,312374
2025-03-25,68.15000,68.44000,65.50000,65.91000,535399
2025-03-26,65.99000,67.40000,64.20000,64.52000,345562
2025-03-27,64.01000,66.01000,64.00000,64.50000,330284
2025-03-28,64.95000,66.89000,64.00000,64.17000,345694
2025-04-01,65.05000,66.86000,64.70000,65.91000,135047
2025-04-02,66.60000,67.60000,64.01000,66.17000,222278
2025-04-03,66.00000,69.21000,65.11000,68.15000,234649
2025-04-04,68.09000,68.09000,64.40000,64.84000,157030
2025-04-07,62.00000,63.85000,60.10000,63.02000,277201
2025-04-08,63.20000,64.19000,62.34000,63.65000,91600
2025-04-09,63.30000,63.45000,61.71000,62.24000,179342
2025-04-11,63.15000,63.57000,62.50000,63.01000,63552
2025-04-15,63.55000,65.70000,63.55000,65.24000,102906
2025-04-16,64.81000,68.39000,64.81000,67.71000,106585
2025-04-17,67.47000,69.70000,66.85000,69.03000,142107
2025-04-21,68.99000,70.50000,67.71000,69.45000,258827
2025-04-22,69.85000,70.18000,68.20000,68.60000,107220
2025-04-23,69.39000,69.98000,67.46000,69.50000,226541
2025-04-24,69.20000,71.99000,68.60000,68.97000,161450
2025-04-25,69.05000,69.42000,66.15000,66.51000,68736
2025-04-28,66.95000,66.95000,63.33000,64.46000,253454
2025-04-29,63.80000,65.46000,62.85000,63.98000,82385
2025-04-30,63.75000,64.20000,62.33000,62.60000,61277
2025-05-02,61.80000,64.21000,61.80000,62.46000,67970
2025-05-05,62.35000,64.01000,61.72000,63.28000,65037
2025-05-06,63.27000,63.78000,60.67000,61.04000,86149
2025-05-07,60.08000,62.30000,60.08000,60.85000,68695
2025-05-08,61.01000,63.25000,59.85000,61.13000,181803
2025-05-09,57.55000,60.90000,57.55000,59.83000,109392
2025-05-12,61.45000,64.17000,61.45000,63.30000,71992
2025-05-13,63.59000,64.49000,63.05000,63.39000,37073
2025-05-14,63.05000,66.50000,63.05000,65.39000,179893
2025-05-15,65.92000,66.75000,64.84000,65.87000,115910
2025-05-16,64.50000,65.49000,63.41000,64.66000,203193
2025-05-19,67.14000,70.00000,65.50000,67.25000,563755
2025-05-20,68.21000,68.30000,64.80000,65.36000,221204
2025-05-21,65.08000,66.00000,64.70000,65.67000,82725
2025-05-22,65.95000,66.45000,64.79000,64.99000,103424
2025-05-23,65.85000,66.94000,65.20000,65.76000,184117
2025-05-26,65.75000,66.12000,64.25000,64.54000,78067
2025-05-27,64.80000,64.95000,63.70000,64.12000,61068
2025-05-28,64.20000,65.10000,64.15000,64.45000,68097
2025-05-29,64.75000,70.19000,62.90000,64.02000,1347346
2025-05-30,64.30000,64.65000,63.45000,64.28000,134520
2025-06-02,64.25000,64.49000,63.06000,63.56000,128419
2025-06-03,64.00000,64.00000,62.62000,63.19000,128376
2025-06-04,63.19000,66.95000,57.71000,60.31000,1335968
2025-06-05,60.50000,62.48000,60.50000,62.17000,240604
2025-06-06,62.40000,62.40000,60.91000,61.23000,157137
2025-06-09,62.15000,64.40000,61.59000,62.53000,342324
2025-06-10,63.00000,65.20000,62.16000,64.78000,387586
2025-06-11,64.79000,66.80000,64.10000,65.02000,490159
2025-06-12,65.20000,66.20000,63.09000,63.49000,157407
2025-06-13,62.51000,63.49000,61.86000,62.61000,79236
2025-06-16,62.01000,63.60000,61.72000,63.06000,83045
2025-06-17,63.50000,64.75000,62.05000,62.35000,160208
2025-06-18,62.10000,67.79000,61.66000,65.18000,713691
2025-06-19,64.62000,65.70000,62.00000,62.25000,217319
2025-06-20,61.81000,63.40000,61.81000,62.41000,190024
2025-06-23,62.05000,62.60000,60.85000,61.16000,204568
2025-06-24,62.00000,63.90000,62.00000,62.39000,134471
2025-06-25,62.51000,63.80000,62.16000,62.96000,137275
2025-06-26,62.35000,64.45000,62.35000,63.70000,130028
2025-06-27,63.91000,66.00000,63.51000,64.52000,291862
2025-06-30,64.50000,65.00000,63.00000,63.95000,125703
2025-07-01,64.60000,64.91000,63.50000,64.09000,108141
2025-07-02,64.75000,64.75000,62.28000,62.92000,188224
2025-07-03,62.80000,63.63000,61.58000,61.87000,268265
2025-07-04,62.50000,62.91000,61.62000,62.26000,118356
2025-07-07,62.30000,62.76000,60.86000,61.21000,124925
2025-07-08,61.02000,61.91000,61.02000,61.32000,77204
2025-07-09,61.33000,61.84000,60.60000,60.83000,120691
2025-07-10,61.47000,61.48000,60.80000,60.95000,61822
2025-07-11,61.50000,62.71000,60.40000,61.65000,325162
2025-07-14,61.70000,61.90000,60.70000,61.54000,104533
2025-07-15,61.20000,62.10000,60.80000,60.98000,127927
2025-07-16,61.44000,61.75000,59.71000,60.34000,234215
2025-07-17,60.80000,63.42000,60.55000,61.88000,204362
2025-07-18,61.89000,62.09000,60.82000,61.79000,149178
2025-07-21,61.80000,62.00000,60.65000,60.98000,67934
2025-07-22,61.00000,61.70000,60.88000,61.39000,66991
2025-07-23,61.51000,62.20000,60.79000,61.54000,62341
2025-07-24,61.64000,61.70000,60.52000,60.60000,66023
2025-07-25,61.49000,62.27000,60.02000,60.91000,233533
2025-07-28,61.03000,61.04000,59.21000,60.41000,151021
2025-07-29,60.15000,60.81000,59.90000,60.20000,32562
2025-07-30,60.66000,61.48000,59.30000,59.80000,139490
2025-07-31,58.55000,59.47000,58.00000,58.31000,91904
2025-08-01,59.19000,59.19000,57.25000,57.50000,67618
2025-08-04,57.11000,59.10000,57.05000,57.78000,83228
2025-08-05,57.50000,58.14000,57.10000,57.20000,45208
2025-08-06,57.01000,57.26000,55.30000,55.54000,89051
2025-08-07,55.25000,56.45000,55.00000,55.24000,78342
2025-08-08,55.52000,55.75000,53.76000,54.15000,77986
2025-08-11,54.17000,56.40000,53.85000,55.78000,80752
2025-08-12,54.62000,56.59000,54.54000,56.13000,55895
