date,open,high,low,close,volume
2025-03-13,37.72000,39.49000,37.72000,39.20000,11936
2025-03-17,40.15000,40.15000,36.25000,36.94000,40282
2025-03-19,37.75000,39.88000,37.51000,38.75000,35537
2025-03-20,39.70000,41.28000,39.70000,40.54000,26907
2025-03-21,40.54000,41.99000,39.51000,40.25000,23206
2025-03-24,41.25000,41.50000,38.25000,39.10000,65633
2025-03-25,39.00000,40.45000,36.81000,37.45000,91115
2025-03-26,37.65000,38.00000,34.70000,35.69000,38368
2025-03-27,35.43000,35.80000,32.97000,33.30000,104233
2025-03-28,33.94000,35.00000,32.10000,32.72000,99162
2025-04-01,33.06000,34.47000,31.60000,31.92000,112732
2025-04-02,32.00000,32.37000,31.75000,31.84000,42493
2025-04-03,32.78000,35.00000,31.76000,34.53000,150386
2025-04-04,35.48000,35.50000,33.50000,33.80000,38635
2025-04-07,32.00000,32.42000,30.40000,31.65000,24922
2025-04-08,33.39000,33.64000,32.21000,33.30000,11132
2025-04-09,33.39000,34.23000,32.72000,33.41000,8891
2025-04-11,33.41000,34.70000,32.80000,33.39000,7514
2025-04-15,34.80000,34.80000,32.86000,34.31000,4761
2025-04-16,33.46000,34.97000,33.46000,34.48000,5269
2025-04-17,34.99000,35.49000,33.35000,34.70000,9974
2025-04-21,35.00000,36.05000,34.50000,35.40000,18140
2025-04-22,35.90000,37.17000,34.93000,36.70000,12843
2025-04-23,36.25000,38.29000,35.20000,37.96000,15162
2025-04-24,38.72000,38.72000,36.50000,37.39000,10317
2025-04-25,38.79000,38.79000,35.82000,36.10000,4361
2025-04-28,37.50000,37.50000,35.58000,36.08000,2334
2025-04-29,37.40000,37.40000,35.25000,35.99000,2530
2025-04-30,35.99000,37.00000,35.50000,35.70000,4336
2025-05-02,34.55000,36.99000,34.55000,36.00000,860
2025-05-05,35.16000,36.91000,33.76000,35.62000,6060
2025-05-06,34.26000,36.99000,34.26000,35.57000,1550
2025-05-07,35.00000,36.35000,34.00000,35.83000,2387
2025-05-08,36.20000,37.60000,35.81000,37.20000,20636
2025-05-09,37.00000,37.60000,35.50000,35.80000,4345
2025-05-12,36.00000,37.59000,35.80000,37.39000,6759
2025-05-13,37.50000,38.50000,36.45000,38.50000,667
2025-05-14,38.50000,39.00000,37.80000,38.83000,6235
2025-05-15,38.83000,40.19000,38.05000,39.77000,11909
2025-05-16,39.50000,39.60000,38.00000,39.30000,8331
2025-05-19,38.05000,40.50000,38.05000,39.77000,7008
2025-05-20,38.90000,40.35000,38.30000,39.08000,3864
2025-05-21,38.30000,38.90000,37.82000,38.13000,9424
2025-05-22,38.20000,39.20000,37.60000,38.18000,4655
2025-05-23,38.37000,38.95000,36.31000,37.64000,7186
2025-05-26,38.30000,38.30000,37.80000,38.02000,6715
2025-05-27,37.80000,38.90000,37.40000,38.85000,5000
2025-05-28,39.00000,39.91000,38.17000,39.21000,7046
2025-05-29,39.30000,39.74000,37.24000,39.04000,21716
2025-05-30,38.97000,39.00000,37.75000,37.99000,17948
2025-06-02,37.99000,37.99000,36.70000,37.76000,2881
2025-06-03,38.00000,38.40000,37.00000,37.30000,2856
2025-06-04,37.25000,38.45000,36.20000,37.99000,4131
2025-06-05,37.80000,38.90000,37.30000,37.47000,4087
2025-06-06,37.46000,38.40000,36.60000,37.45000,16628
2025-06-09,38.70000,38.70000,37.02000,37.90000,5154
2025-06-10,38.08000,38.77000,37.52000,37.97000,10468
2025-06-11,38.90000,39.86000,37.90000,39.57000,16533
2025-06-12,39.20000,40.50000,38.65000,38.83000,9397
2025-06-13,38.00000,39.48000,37.50000,38.96000,5612
2025-06-16,39.49000,39.49000,38.40000,38.96000,3198
2025-06-17,38.30000,39.74000,38.01000,38.79000,2924
2025-06-18,38.10000,38.80000,38.05000,38.15000,8707
2025-06-19,39.80000,39.80000,37.01000,37.31000,13164
2025-06-20,37.31000,38.70000,37.31000,38.49000,4448
2025-06-23,38.40000,39.19000,38.40000,38.97000,4841
2025-06-24,38.97000,40.00000,38.97000,39.35000,8203
2025-06-25,37.80000,41.31000,37.80000,41.31000,37389
2025-06-26,42.90000,42.90000,41.32000,41.41000,10048
2025-06-27,42.98000,43.48000,42.00000,43.48000,27695
2025-06-30,45.40000,45.40000,42.49000,44.23000,21245
2025-07-01,44.45000,45.79000,42.50000,45.50000,30405
2025-07-02,45.00000,46.40000,44.60000,46.02000,10897
2025-07-03,45.09000,45.09000,45.09000,45.09000,515
2025-07-04,44.18000,44.18000,44.18000,44.18000,2512
2025-07-07,43.29000,43.29000,43.29000,43.29000,1580
2025-07-08,42.42000,42.42000,42.42000,42.42000,724
2025-07-09,41.77000,41.77000,41.57000,41.77000,11164
2025-07-10,41.00000,41.50000,41.00000,41.00000,1463
2025-07-11,41.00000,41.00000,40.80000,41.00000,2351
2025-07-14,41.06000,41.06000,41.00000,41.06000,309
2025-07-15,40.55000,41.06000,40.55000,40.55000,975
2025-07-16,41.00000,41.00000,40.56000,41.00000,3467
2025-07-17,41.25000,41.50000,41.25000,41.25000,514
2025-07-18,41.95000,42.00000,41.25000,41.95000,1365
2025-07-21,41.80000,42.50000,41.80000,41.80000,448
2025-07-22,41.00000,41.00000,40.96000,41.00000,617
2025-07-23,41.18000,41.18000,41.00000,41.18000,562
2025-07-24,40.50000,41.18000,40.50000,40.50000,1117
2025-07-25,40.50000,40.50000,40.50000,40.50000,1723
2025-07-28,40.00000,40.50000,40.00000,40.00000,574
2025-07-29,40.10000,40.10000,39.80000,40.10000,1376
2025-07-30,40.90000,40.90000,40.30000,40.90000,1771
2025-07-31,41.51000,41.71000,40.10000,41.51000,16367
2025-08-01,41.31000,41.31000,41.31000,41.31000,222
2025-08-04,40.50000,41.25000,40.50000,40.50000,1980
2025-08-05,40.50000,40.50000,39.69000,40.50000,4819
2025-08-06,40.50000,40.50000,40.50000,40.50000,13
2025-08-07,39.69000,39.69000,39.69000,39.69000,348
2025-08-08,38.89000,38.89000,38.89000,38.89000,5354
2025-08-11,38.00000,39.00000,36.94000,38.85000,23208
2025-08-12,38.50000,39.75000,37.04000,37.17000,5333
2025-08-13,38.45000,38.45000,36.20000,36.26000,9500
2025-08-14,36.50000,37.99000,35.05000,35.46000,3272
2025-08-18,37.00000,37.00000,34.36000,34.85000,3374
2025-08-19,35.00000,36.59000,35.00000,35.50000,8848
2025-08-20,35.50000,37.25000,35.50000,37.00000,1605
2025-08-21,38.50000,38.50000,37.25000,37.48000,5248
2025-08-22,37.26000,39.00000,36.00000,38.75000,2272
2025-08-25,39.65000,42.55000,39.01000,40.13000,16545
2025-08-26,40.89000,44.00000,39.50000,40.85000,153152
2025-08-28,41.26000,41.49000,38.50000,40.21000,24445
2025-08-29,40.80000,42.18000,39.30000,40.23000,15782
2025-09-01,39.37000,41.50000,38.35000,39.09000,24000
2025-09-02,39.00000,40.40000,38.71000,39.05000,3889
2025-09-03,39.01000,39.99000,38.80000,39.24000,6874
2025-09-04,41.30000,41.38000,38.00000,38.38000,9428
2025-09-05,38.41000,39.50000,38.27000,38.40000,11999
2025-09-08,39.17000,42.94000,38.13000,39.74000,83465
2025-09-09,39.10000,42.03000,39.10000,40.64000,34215
2025-09-10,39.70000,41.60000,39.70000,40.01000,2382
2025-09-11,40.01000,41.95000,39.65000,40.67000,40876
2025-09-12,40.25000,40.90000,39.21000,39.72000,10318
2025-09-15,39.16000,41.10000,39.16000,39.79000,18521
2025-09-16,39.80000,40.50000,39.20000,39.56000,6530
2025-09-17,39.00000,40.99000,39.00000,39.94000,6913
2025-09-18,39.73000,40.65000,39.55000,40.20000,3865
2025-09-19,40.51000,40.99000,39.65000,40.10000,12799
2025-09-22,40.31000,40.50000,38.55000,39.37000,16880
2025-09-23,39.37000,40.25000,39.10000,40.16000,6557
2025-09-24,40.00000,40.78000,38.31000,39.36000,7286
2025-09-25,38.52000,40.17000,38.52000,39.93000,24057
2025-09-26,41.29000,41.29000,38.62000,38.86000,8349
2025-09-29,39.26000,40.35000,38.13000,38.36000,8518
2025-09-30,39.15000,39.89000,38.26000,38.57000,5319
2025-10-01,38.60000,39.73000,38.26000,38.69000,1767
2025-10-03,40.38000,41.99000,38.26000,39.11000,15396
2025-10-06,39.90000,39.90000,38.31000,38.71000,2476
2025-10-07,39.69000,39.69000,38.46000,38.76000,2194
2025-10-08,39.15000,39.20000,38.00000,38.14000,4821
2025-10-09,37.57000,38.93000,37.57000,38.16000,7899
2025-10-10,38.20000,39.50000,37.53000,38.90000,11677
