date,open,high,low,close,volume
2023-10-05,158.73000,159.57001,154.62000,157.31000,1299100
2023-10-06,155.64000,161.38000,154.83000,160.53000,1156500
2023-10-09,155.84000,157.83000,153.16499,156.45000,1412000
2023-10-10,156.21001,160.14999,155.21500,157.60001,1601400
2023-10-11,157.42000,159.74001,153.31000,156.57001,1531600
2023-10-12,159.52000,162.46001,156.02000,158.12000,1992700
2023-10-13,156.86000,157.69000,152.89999,153.56000,1759000
2023-10-16,153.52000,158.25999,152.78999,158.12000,1396300
2023-10-17,157.45000,159.36000,156.57001,157.33000,1048600
2023-10-18,156.00000,156.17500,148.66000,148.92000,1736100
2023-10-19,152.61000,154.53000,149.56000,149.97000,1678100
2023-10-20,149.30000,151.45000,145.75999,149.92000,1941900
2023-10-23,146.06000,155.83000,145.78999,154.61000,3272700
2023-10-24,163.98000,173.45000,163.00000,170.63000,7498600
2023-10-25,169.94000,170.50000,160.05000,161.82001,4657800
2023-10-26,162.75000,165.35001,155.00000,158.38000,2981500
2023-10-27,158.59000,162.06000,158.10001,159.35001,1971300
2023-10-30,161.20000,164.27000,159.75000,162.67000,1959300
2023-10-31,163.03000,165.57001,161.39000,164.75999,1566400
2023-11-01,165.00000,167.89999,163.64999,167.63000,1366100
2023-11-02,170.50000,171.00000,167.24001,167.31000,2154900
2023-11-03,167.50000,170.95000,167.05000,169.98000,1370100
2023-11-06,169.58000,169.69501,165.59000,167.24001,1127200
2023-11-07,168.45000,168.77000,165.28000,165.50000,1474000
2023-11-08,165.87000,170.30000,164.83000,169.97000,1403300
2023-11-09,171.20000,175.14999,170.21001,170.28000,1451000
2023-11-10,169.52000,171.67000,167.64000,170.98000,977400
2023-11-13,170.00000,173.23000,169.02000,171.17000,1307500
2023-11-14,174.56000,175.00000,171.05000,174.41000,1236100
2023-11-15,174.42999,176.64999,173.67999,173.75999,1248100
2023-11-16,171.85001,176.34000,170.62000,175.28000,1301500
2023-11-17,175.72000,177.02000,174.67000,176.05000,1024200
2023-11-20,175.03999,180.95000,175.00000,179.86000,1317300
2023-11-21,178.53999,180.17999,178.00999,178.67999,1479400
2023-11-22,179.63000,182.50000,179.00000,181.20000,1229900
2023-11-24,179.22000,182.30499,178.73000,181.70000,499100
2023-11-27,182.00000,184.48500,181.36000,183.03999,1204300
2023-11-28,183.00000,184.92000,182.03999,182.61000,845900
2023-11-29,183.00000,184.28000,180.42000,182.31000,1013300
2023-11-30,183.03000,185.59000,180.64600,185.11000,1597400
2023-12-01,180.73000,183.34000,179.66000,180.69000,1628200
2023-12-04,193.00000,201.41499,192.00000,194.17000,6862800
2023-12-05,192.89999,199.97000,191.25999,199.32001,3133100
2023-12-06,199.00000,202.88000,193.58000,193.78999,1864600
