date,open,high,low,close,volume
2025-03-26,2.65000,2.92100,2.41000,2.49000,105900
2025-03-27,2.45000,2.80000,2.41000,2.44000,83600
2025-03-28,2.42000,2.60100,2.42000,2.47000,24900
2025-03-31,2.41000,2.46500,2.32500,2.41000,36800
2025-04-01,2.34000,2.34000,2.08000,2.12000,56800
2025-04-02,2.08000,2.23000,2.03000,2.12000,167100
2025-04-03,2.06000,2.24000,1.99000,2.09000,1040000
2025-04-04,2.05000,2.08500,1.89000,1.89000,123500
2025-04-07,1.77000,2.08000,1.77000,2.00000,136000
2025-04-08,2.01000,2.14000,1.91000,1.91000,92100
2025-04-09,1.89000,2.18000,1.89000,2.10000,115600
2025-04-10,2.05000,2.20000,2.02100,2.12000,56000
2025-04-11,2.11000,2.16000,2.02000,2.05000,33900
2025-04-14,2.09000,2.16000,2.00000,2.07000,22300
2025-04-15,2.05000,2.10000,1.99600,2.02000,17200
2025-04-16,1.99000,2.10000,1.98000,2.02000,54000
2025-04-17,2.01000,2.09000,2.01000,2.07000,26000
2025-04-21,2.03000,2.43000,1.97000,2.03000,186400
2025-04-22,2.05000,2.26000,1.97000,2.05000,93700
2025-04-23,2.08000,2.17000,1.93000,1.97000,89600
2025-04-24,1.97000,2.08000,1.94000,1.95000,57500
2025-04-25,1.94000,2.01000,1.92000,1.94000,51400
2025-04-28,1.94000,2.02000,1.94000,1.99000,46000
2025-04-29,1.96000,2.06000,1.96000,1.98000,51000
2025-04-30,1.96000,2.06000,1.94000,2.01000,77200
2025-05-01,2.02000,2.13000,2.02000,2.02000,52500
2025-05-02,2.03000,2.10000,2.01000,2.04000,58500
2025-05-05,2.05000,2.14500,2.03000,2.05000,58000
2025-05-06,2.01000,2.05000,1.82000,1.83000,67100
2025-05-07,1.84000,1.87000,1.76000,1.76000,36000
2025-05-08,1.76000,2.06000,1.57000,1.75000,215400
2025-05-09,1.77000,1.77000,1.60000,1.66000,60300
2025-05-12,1.70000,1.75400,1.57000,1.57000,165500
2025-05-13,1.56000,1.93000,1.42000,1.58000,392300
2025-05-14,1.70000,1.77000,1.53000,1.58000,597000
2025-05-15,1.60000,1.85600,1.58000,1.77000,156400
2025-05-16,1.76000,2.20000,1.75100,2.14000,346700
2025-05-19,2.11000,2.11000,1.96000,1.97000,62500
2025-05-20,2.00000,2.05000,1.91300,2.02000,87000
2025-05-21,1.96000,2.00500,1.91700,1.96000,23300
2025-05-22,1.94000,2.00000,1.91000,1.92000,22100
2025-05-23,1.92100,2.00200,1.92100,1.96000,6300
2025-05-27,1.95000,2.03000,1.89000,1.96000,29400
2025-05-28,1.97000,2.06000,1.93000,1.97000,7500
2025-05-29,1.97000,2.08900,1.94400,1.95000,11100
2025-05-30,1.93000,2.08000,1.92000,1.98000,172300
2025-06-02,2.00000,2.07000,2.00000,2.02000,19700
2025-06-03,2.02000,2.05000,1.96500,1.99000,18300
2025-06-04,1.98000,1.98800,1.94000,1.95000,10100
2025-06-05,1.93000,1.95000,1.89000,1.90000,16800
2025-06-06,1.89000,1.93600,1.88000,1.90000,45400
2025-06-09,1.90000,1.94000,1.85500,1.90000,26300
2025-06-10,1.90000,1.96200,1.87000,1.90000,14200
2025-06-11,1.90000,1.95000,1.90000,1.91000,8600
2025-06-12,1.90000,1.93500,1.85800,1.87000,13200
2025-06-13,1.84000,1.90000,1.81000,1.84000,24300
2025-06-16,1.85000,1.99000,1.85000,1.94000,64300
2025-06-17,1.90000,1.97100,1.85000,1.93000,99200
2025-06-18,1.90000,2.14000,1.81800,1.95000,164100
2025-06-20,1.93000,2.14000,1.93000,2.04000,156300
