date,open,high,low,close,volume
2023-10-05,7.40000,7.49000,7.32500,7.48000,146900
2023-10-06,7.42000,7.56000,7.36200,7.49000,159200
2023-10-09,7.33000,7.53000,7.33000,7.52000,148200
2023-10-10,7.50000,7.74500,7.50000,7.67000,251500
2023-10-11,7.72000,7.89000,7.66500,7.82000,249700
2023-10-12,7.80000,7.86000,7.63000,7.71000,292600
2023-10-13,7.75000,7.80000,7.66000,7.72000,160200
2023-10-16,7.73000,7.82000,7.67000,7.75000,194100
2023-10-17,7.72000,8.07000,7.72000,7.92000,327100
2023-10-18,7.82000,7.82500,7.66100,7.72000,233400
2023-10-19,7.67000,7.77000,7.53500,7.55000,181400
2023-10-20,7.54000,7.59500,7.51000,7.57000,150400
2023-10-23,7.51000,7.57500,7.41000,7.41000,302500
2023-10-24,7.50000,7.54000,7.39000,7.40000,208700
2023-10-25,7.34000,7.40900,7.26000,7.36000,205000
2023-10-26,7.39000,7.49000,7.35000,7.38000,126700
2023-10-27,7.38000,7.38000,7.10000,7.12000,360400
2023-10-30,7.17000,7.25000,7.08000,7.19000,153800
2023-10-31,7.27000,7.28000,7.07000,7.24000,177000
2023-11-01,7.27000,7.27000,7.13000,7.25000,162600
2023-11-02,7.40000,7.63000,7.40000,7.54000,307500
2023-11-03,7.65000,7.99500,7.65000,7.82000,374400
2023-11-06,7.84000,7.84000,7.48500,7.51000,184700
2023-11-07,7.45000,7.52000,7.39100,7.46000,149300
2023-11-08,7.52000,7.52000,7.38000,7.44000,170500
2023-11-09,8.25000,8.89000,7.70500,8.64000,2038600
2023-11-10,8.75000,9.13000,8.69000,9.01000,1048600
2023-11-13,8.99000,9.17000,8.94000,9.03000,597900
2023-11-14,9.30000,9.33000,9.02000,9.09000,662700
2023-11-15,9.13000,9.28000,9.06000,9.10000,514400
2023-11-16,9.13000,9.13000,8.89500,8.94000,314000
2023-11-17,8.91000,9.01000,8.79000,9.00000,334600
2023-11-20,9.10000,9.20500,8.97000,9.05000,156900
2023-11-21,8.95000,8.99500,8.86000,8.92000,214000
2023-11-22,8.96000,8.99000,8.88000,8.96000,107500
2023-11-24,8.87000,9.09500,8.87000,9.03000,93400
2023-11-27,9.00000,9.19500,8.96000,9.11000,462400
2023-11-28,9.04000,9.11000,8.98000,9.10000,201400
2023-11-29,9.12000,9.23000,9.01500,9.05000,241200
2023-11-30,9.07000,9.08000,8.88800,8.99000,201800
2023-12-01,8.97000,9.21500,8.73000,9.14000,307700
2023-12-04,9.15000,9.27000,9.13000,9.25000,430900
2023-12-05,9.23000,9.29000,9.14000,9.20000,221600
2023-12-06,9.20000,9.30000,9.03000,9.08000,278100
2023-12-07,9.08000,9.19000,9.00000,9.14000,261300
2023-12-08,9.14000,9.26000,9.08000,9.18000,349100
2023-12-11,9.13000,9.19000,9.03000,9.06000,341000
2023-12-12,9.08000,9.08000,8.86000,8.94000,460700
2023-12-13,8.96000,9.18000,8.76500,9.14000,669600
2023-12-14,9.25000,9.33000,8.97000,9.03000,545700
2023-12-15,9.05000,9.05000,8.78000,8.96000,622800
2023-12-18,9.14000,9.14000,8.87500,8.95000,477600
2023-12-19,8.99000,9.13500,8.95500,9.12000,354800
2023-12-20,9.12000,9.48000,9.01000,9.19000,715400
2023-12-21,9.23000,9.49500,9.23000,9.47000,367700
2023-12-22,9.48000,9.53000,9.26000,9.38000,406700
2023-12-26,9.34000,9.51500,9.33000,9.44000,373600
2023-12-27,9.52000,9.64500,9.40000,9.56000,322700
2023-12-28,9.64000,9.73000,9.58000,9.68000,353200
2023-12-29,9.60000,9.67000,9.34000,9.35000,369200
2024-01-02,9.30000,9.48500,9.30000,9.40000,169800
2024-01-03,9.23000,9.42000,9.13000,9.33000,307200
2024-01-04,9.27000,9.39000,9.23500,9.28000,321300
