date,open,high,low,close,volume
2025-03-27,77.63000,77.93000,77.10000,77.49000,360800
2025-03-28,77.87000,78.53000,77.43000,78.20000,508600
2025-03-31,78.32000,79.11000,77.64000,78.25000,412200
2025-04-01,78.28000,78.90000,77.81000,78.75000,453600
2025-04-02,78.39000,79.22000,78.27000,78.83000,268200
2025-04-03,78.17000,79.81000,77.99000,79.07000,576400
2025-04-04,77.56000,78.43000,74.41000,75.79000,718400
2025-04-07,73.89000,76.29000,72.17000,73.73000,721500
2025-04-08,74.89000,76.15000,73.27000,73.96000,746200
2025-04-09,73.27000,76.44000,71.28000,74.56000,618800
2025-04-10,74.25000,75.84000,73.11000,74.65000,475200
2025-04-11,74.74000,75.65000,73.45000,75.04000,371000
2025-04-14,76.08000,76.61000,74.80000,76.30000,347500
2025-04-15,76.47000,77.16000,76.25000,76.77000,384300
2025-04-16,77.02000,78.13000,76.93000,77.52000,508100
2025-04-17,77.39000,79.02000,77.39000,77.60000,365300
2025-04-21,77.59000,77.93000,75.97000,76.70000,474300
2025-04-22,77.18000,78.48000,77.15000,77.88000,402500
2025-04-23,77.48000,78.23000,76.85000,77.51000,389300
2025-04-24,77.36000,78.07000,76.88000,77.96000,371400
2025-04-25,76.57000,78.54000,76.27000,77.02000,472400
2025-04-28,76.85000,77.41000,76.26000,77.39000,438500
2025-04-29,77.22000,77.58000,76.86000,77.06000,563600
2025-04-30,77.58000,77.58000,73.05000,76.54000,715100
2025-05-01,76.91000,76.91000,75.55000,76.29000,527200
2025-05-02,76.56000,77.07000,75.53000,76.48000,399900
2025-05-05,76.15000,76.43000,75.52000,76.04000,329100
2025-05-06,76.30000,77.00000,75.72000,76.62000,426400
2025-05-07,76.47000,76.95000,75.99000,76.11000,280500
2025-05-08,75.95000,76.41000,74.91000,75.02000,357900
2025-05-09,75.15000,75.22000,74.26000,74.66000,336700
2025-05-12,75.03000,75.03000,72.05000,72.19000,334400
2025-05-13,72.12000,72.67000,71.50000,71.79000,351600
2025-05-14,71.46000,71.60000,69.94000,71.03000,310300
2025-05-15,71.72000,72.83000,71.62000,72.59000,446100
2025-05-16,72.54000,73.33000,72.34000,73.31000,285700
2025-05-19,73.32000,74.50000,72.89000,74.45000,331200
2025-05-20,74.47000,75.94000,74.42000,75.14000,548900
2025-05-21,75.03000,75.56000,73.93000,74.24000,525700
2025-05-22,73.88000,74.04000,72.70000,73.47000,399000
2025-05-23,73.90000,74.76000,73.06000,74.62000,385500
2025-05-27,75.06000,75.69000,74.60000,75.40000,467200
2025-05-28,75.19000,75.28000,73.50000,73.74000,481600
2025-05-29,73.50000,74.90000,73.11000,74.79000,412300
2025-05-30,74.91000,75.54000,74.69000,75.28000,496300
2025-06-02,74.87000,75.28000,73.90000,74.65000,436200
2025-06-03,74.92000,75.32000,73.96000,75.21000,536700
2025-06-04,74.86000,74.86000,73.18000,73.31000,685500
2025-06-05,73.15000,73.81000,72.69000,73.60000,355900
2025-06-06,74.20000,74.31000,73.18000,73.63000,344500
2025-06-09,73.38000,74.24000,73.10000,73.84000,316200
2025-06-10,73.96000,74.57000,73.87000,74.55000,309400
2025-06-11,73.85000,74.24000,73.05000,73.23000,316200
2025-06-12,73.17000,73.30000,72.48000,73.30000,608900
