date,open,high,low,close,volume
2025-03-26,19.02000,19.43000,18.64000,19.07000,66800
2025-03-27,18.92000,19.00400,18.27000,18.52000,208400
2025-03-28,18.33000,18.60000,17.06000,17.44000,73200
2025-03-31,17.12000,17.38000,16.80000,16.95000,73600
2025-04-01,16.79000,17.00700,16.27000,16.60000,35500
2025-04-02,16.30000,17.01000,16.30000,16.93000,53900
2025-04-03,16.01000,16.44500,15.65000,16.24000,64800
2025-04-04,15.40000,15.97000,15.30000,15.56000,68000
2025-04-07,14.90000,16.05500,14.60000,15.42000,48300
2025-04-08,15.60000,16.10000,14.89000,15.19000,65800
2025-04-09,14.64000,16.86000,14.64000,16.26000,99400
2025-04-10,15.86000,16.48000,15.72000,16.36000,47100
2025-04-11,16.26000,16.92200,16.04000,16.76000,56800
2025-04-14,17.13000,17.30000,16.55000,17.20000,55600
2025-04-15,17.20000,17.26500,16.14000,16.21000,44600
2025-04-16,16.68000,17.01100,15.80000,16.02000,26500
2025-04-17,15.94000,16.00000,15.46500,15.87000,34300
2025-04-21,15.79000,16.16000,14.79000,15.25500,36900
2025-04-22,15.16000,15.93000,14.85000,15.65000,44900
2025-04-23,16.16000,16.31100,15.19500,15.34000,35700
2025-04-24,15.34000,15.65200,15.07900,15.34500,39800
2025-04-25,15.24000,15.53000,15.08000,15.40000,33600
2025-04-28,15.38000,15.55000,15.00000,15.52000,75600
2025-04-29,15.45000,16.04000,14.60000,15.95000,51900
2025-04-30,15.65000,15.88500,15.06000,15.52000,32700
2025-05-01,15.66000,16.20000,15.45000,15.61000,27100
2025-05-02,15.81000,16.13200,15.55000,15.78000,29600
2025-05-05,15.62000,15.92000,15.18000,15.26000,34400
2025-05-06,15.08000,15.46000,14.62000,15.08000,23900
2025-05-07,15.17500,15.36500,14.94000,15.14000,26100
2025-05-08,15.20000,16.15000,15.20000,15.74000,36600
2025-05-09,15.84000,16.00900,15.31000,15.68000,16400
2025-05-12,16.49000,16.49000,15.50000,15.84000,31600
2025-05-13,15.90000,16.34900,15.38000,16.22000,51800
2025-05-14,17.42900,17.42900,15.05000,16.00000,136200
2025-05-15,16.08000,16.08000,14.69500,14.84000,71800
2025-05-16,15.10000,15.91000,14.60000,15.51000,61000
2025-05-19,15.56000,15.92900,14.84000,14.95000,38000
2025-05-20,15.38000,15.46000,14.79000,15.16000,24600
2025-05-21,14.97000,15.70000,14.48000,14.65000,23400
2025-05-22,14.41000,15.04000,14.05000,14.75000,30600
2025-05-23,14.39000,15.10000,14.33000,14.46000,28800
2025-05-27,14.70000,15.11900,14.45600,14.92000,27100
2025-05-28,14.83000,15.18000,14.34000,15.14000,95600
