date,open,high,low,close,volume
2022-09-09,90.47000,91.64000,89.00000,89.27000,10555
2022-09-12,89.56000,93.80000,88.56000,91.50000,63140
2022-09-13,93.80000,93.80000,89.00000,89.45000,42270
2022-09-14,87.00000,90.96000,87.00000,89.41000,28335
2022-09-15,90.82000,93.00000,87.26000,88.59000,89665
2022-09-16,89.98000,89.98000,84.78000,86.45000,42275
2022-09-19,85.04000,89.20000,85.04000,87.24000,24075
2022-09-20,88.97000,90.20000,88.15000,89.99000,49035
2022-09-21,90.45000,92.99000,89.19000,90.89000,48300
2022-09-22,88.42000,91.36000,88.42000,90.15000,55695
2022-09-23,89.22000,90.80000,89.22000,90.20000,23515
2022-09-26,91.99000,92.00000,85.98000,87.12000,63040
2022-09-27,86.80000,89.85000,86.00000,87.53000,22560
2022-09-28,87.65000,89.08000,86.44000,87.58000,10390
2022-09-29,87.04000,89.02000,85.21000,86.00000,21565
2022-09-30,86.44000,86.80000,84.80000,86.03000,24415
2022-10-03,85.48000,86.40000,85.48000,85.73000,9010
2022-10-04,84.60000,89.20000,84.60000,88.83000,13155
2022-10-06,90.59000,90.59000,86.61000,88.88000,46640
2022-10-07,89.81000,89.81000,86.80000,87.13000,10940
2022-10-10,85.20000,88.87000,84.71000,87.01000,47500
2022-10-11,84.32000,88.00000,84.32000,85.16000,43625
2022-10-12,85.92000,87.17000,85.24000,86.18000,25150
2022-10-13,88.60000,88.60000,86.57000,87.35000,10380
2022-10-14,88.25000,89.00000,87.02000,87.36000,40315
2022-10-17,87.36000,87.89000,86.62000,86.88000,32565
2022-10-18,88.61000,88.61000,84.42000,86.30000,107190
2022-10-19,86.13000,90.00000,86.13000,88.87000,56995
2022-10-20,90.63000,95.53000,87.20000,90.33000,99340
2022-10-21,95.00000,100.35000,92.02000,93.14000,598700
2022-10-24,95.90000,98.98000,93.20000,94.81000,33855
2022-10-25,96.40000,96.69000,88.45000,89.52000,110885
2022-10-27,89.40000,91.32000,86.20000,87.02000,131695
2022-10-28,88.74000,90.79000,87.31000,88.15000,66205
2022-10-31,89.72000,90.00000,87.59000,89.20000,135315
2022-11-01,90.00000,92.60000,89.00000,92.19000,158800
2022-11-02,97.00000,97.00000,92.20000,92.85000,113210
2022-11-03,92.85000,93.98000,91.19000,92.02000,55290
2022-11-04,93.85000,94.94000,91.80000,92.40000,28635
2022-11-07,92.40000,93.00000,88.44000,89.55000,47645
2022-11-09,90.98000,92.79000,86.99000,90.70000,89180
2022-11-10,94.80000,94.80000,88.90000,91.65000,79305
2022-11-11,91.65000,94.40000,90.24000,91.92000,127500
2022-11-14,92.19000,92.20000,85.10000,86.72000,92325
2022-11-15,87.00000,91.20000,86.81000,90.88000,75735
2022-11-16,91.60000,91.60000,89.43000,90.47000,27965
2022-11-17,90.47000,90.82000,89.00000,89.90000,8415
2022-11-18,90.18000,90.18000,86.23000,87.87000,34915
2022-11-21,87.87000,90.00000,87.70000,89.61000,18975
2022-11-22,89.64000,90.80000,88.51000,90.40000,13465
2022-11-23,92.19000,92.19000,87.03000,87.93000,63755
2022-11-24,88.33000,88.60000,87.81000,88.25000,18645
2022-11-25,87.82000,91.15000,87.70000,88.05000,15850
2022-11-28,88.00000,89.00000,87.00000,87.39000,45395
2022-11-29,89.33000,89.33000,86.40000,86.67000,34450
2022-11-30,86.80000,89.22000,86.80000,87.93000,29260
2022-12-01,89.66000,90.37000,87.00000,87.36000,20350
2022-12-02,88.38000,88.38000,87.00000,87.53000,9115
2022-12-05,86.00000,91.18000,85.80000,89.05000,62675
2022-12-06,90.73000,91.10000,87.00000,87.21000,17340
2022-12-07,88.95000,93.00000,87.21000,91.31000,157250
2022-12-08,92.02000,94.80000,91.60000,92.10000,151090
2022-12-09,93.80000,99.59000,90.19000,97.68000,239305
2022-12-12,98.00000,105.99000,97.60000,104.84000,1192840
2022-12-13,105.80000,107.88000,102.00000,104.34000,580680
2022-12-14,104.89000,109.20000,104.40000,107.03000,1006685
2022-12-15,106.91000,108.40000,105.25000,107.01000,154450
2022-12-16,106.80000,109.05000,105.02000,106.38000,228150
2022-12-19,107.36000,108.99000,100.67000,102.61000,242025
2022-12-20,100.40000,107.99000,100.01000,107.47000,461845
2022-12-21,107.54000,112.62000,98.46000,100.22000,386915
2022-12-22,101.79000,102.19000,93.00000,95.01000,264400
2022-12-23,96.00000,96.19000,89.58000,91.86000,331985
2022-12-26,90.00000,94.97000,89.53000,90.95000,128405
2022-12-27,91.52000,94.88000,91.24000,92.56000,293455
2022-12-28,93.20000,93.54000,87.10000,88.63000,237065
2022-12-29,86.40000,90.99000,86.40000,89.20000,115395
2022-12-30,90.20000,92.44000,89.60000,91.21000,117045
2023-01-02,92.58000,93.40000,90.00000,92.69000,114725
2023-01-03,88.50000,101.00000,88.50000,98.83000,419645
2023-01-04,98.98000,100.80000,96.49000,98.70000,201400
2023-01-05,99.60000,99.98000,95.67000,96.50000,81540
2023-01-06,97.00000,97.00000,90.64000,91.92000,94955
2023-01-09,95.38000,97.16000,93.34000,96.00000,166045
2023-01-10,95.04000,95.04000,93.60000,94.69000,27465
2023-01-11,96.11000,96.11000,94.31000,95.60000,29940
2023-01-12,95.05000,95.80000,94.40000,95.75000,16510
2023-01-13,95.75000,95.90000,91.04000,94.11000,114980
2023-01-16,96.40000,96.40000,93.02000,93.33000,44955
2023-01-17,93.88000,94.92000,93.41000,94.24000,24320
2023-01-18,95.59000,95.59000,91.21000,92.04000,100155
2023-01-19,91.00000,95.94000,91.00000,93.61000,98670
2023-01-20,93.61000,99.54000,93.20000,97.51000,183030
2023-01-23,96.20000,98.31000,95.01000,97.00000,140290
2023-01-24,101.40000,105.00000,97.20000,98.63000,757915
2023-01-25,99.78000,99.99000,96.20000,98.30000,155170
2023-01-27,99.89000,99.90000,91.11000,93.76000,127635
2023-01-30,93.76000,97.74000,91.45000,91.94000,59080
2023-01-31,93.32000,95.82000,91.20000,94.73000,94900
2023-02-01,95.94000,101.18000,92.03000,97.84000,96605
2023-02-02,97.84000,104.01000,96.40000,100.53000,144070
2023-02-03,101.54000,102.20000,96.60000,100.10000,175990
2023-02-06,98.42000,101.09000,98.42000,99.83000,79535
2023-02-07,98.42000,107.50000,98.42000,106.22000,300975
2023-02-08,106.20000,111.99000,106.08000,108.84000,894050
2023-02-09,109.80000,110.76000,103.77000,105.28000,162685
2023-02-10,106.33000,106.33000,103.21000,103.83000,54000
2023-02-13,105.24000,108.77000,102.93000,106.40000,140550
2023-02-14,106.90000,108.50000,106.00000,107.72000,120030
2023-02-15,106.64000,110.00000,106.32000,108.17000,164250
2023-02-16,109.25000,109.40000,104.35000,106.04000,96005
2023-02-17,107.00000,107.39000,104.60000,105.47000,57480
2023-02-20,106.54000,106.54000,100.91000,102.60000,133515
2023-02-21,101.68000,105.00000,100.92000,101.50000,95425
2023-02-22,101.39000,103.78000,99.91000,100.55000,116550
2023-02-23,100.61000,101.51000,98.23000,100.01000,59140
2023-02-24,100.21000,104.99000,99.21000,103.67000,70765
2023-02-27,104.40000,104.71000,98.22000,98.67000,96965
2023-02-28,100.63000,100.63000,96.40000,96.92000,40125
2023-03-01,97.21000,100.88000,97.19000,98.87000,49555
2023-03-02,98.52000,99.48000,97.00000,97.50000,53630
2023-03-03,97.60000,99.80000,97.00000,98.04000,27820
2023-03-06,98.31000,99.19000,97.00000,97.17000,39940
2023-03-08,96.46000,98.60000,96.46000,97.58000,40530
2023-03-09,98.40000,99.98000,97.02000,97.45000,33510
2023-03-10,97.01000,99.18000,97.00000,97.28000,27795
2023-03-13,99.21000,102.25000,97.20000,97.72000,188605
2023-03-14,99.24000,99.24000,95.00000,95.74000,113115
2023-03-15,96.00000,97.24000,94.21000,94.86000,91475
2023-03-16,95.73000,95.80000,88.01000,90.14000,287570
2023-03-17,91.73000,92.28000,87.93000,91.67000,132270
2023-03-20,91.89000,91.99000,87.59000,89.55000,93330
2023-03-21,90.87000,91.73000,88.97000,89.39000,74155
2023-03-22,90.32000,90.98000,89.00000,90.01000,79485
2023-03-23,90.60000,96.34000,89.40000,94.91000,154390
2023-03-24,96.65000,96.94000,92.42000,93.43000,71920
2023-03-27,93.00000,93.48000,88.90000,91.97000,117420
2023-03-28,92.21000,92.52000,89.15000,90.06000,67765
2023-03-29,90.24000,94.88000,90.17000,93.90000,93625
2023-03-31,95.77000,95.77000,90.47000,91.28000,101650
2023-04-03,91.45000,94.40000,91.21000,93.15000,26970
2023-04-05,92.68000,94.96000,92.53000,94.38000,28235
2023-04-06,94.75000,98.88000,93.48000,97.81000,53405
2023-04-10,99.75000,99.75000,96.56000,96.89000,42030
2023-04-11,96.89000,97.48000,95.00000,96.07000,20355
2023-04-12,96.32000,97.64000,95.40000,96.16000,20945
2023-04-13,96.18000,97.40000,95.07000,95.96000,12115
2023-04-17,96.99000,98.86000,95.02000,95.93000,43790
2023-04-18,95.22000,96.55000,94.97000,95.24000,21685
2023-04-19,95.54000,96.78000,95.42000,95.64000,23635
2023-04-20,94.93000,97.11000,94.93000,95.28000,12365
2023-04-21,95.70000,95.81000,94.20000,94.98000,20105
2023-04-24,95.00000,95.00000,91.66000,93.12000,42565
2023-04-25,94.00000,94.16000,91.46000,92.24000,101285
2023-04-26,92.95000,103.60000,91.42000,99.51000,874935
2023-04-27,99.78000,102.90000,99.57000,101.70000,123880
2023-04-28,103.00000,103.14000,101.00000,101.88000,52175
2023-05-02,101.42000,105.80000,101.42000,105.00000,165800
2023-05-03,104.93000,104.93000,100.40000,101.52000,71935
2023-05-04,101.22000,104.69000,101.00000,102.15000,138505
2023-05-05,101.58000,104.30000,101.00000,101.59000,61385
2023-05-08,100.92000,105.80000,99.74000,103.18000,108400
2023-05-09,102.54000,103.58000,101.05000,101.65000,36300
2023-05-10,102.69000,103.40000,101.00000,101.76000,89680
2023-05-11,102.30000,104.59000,102.02000,103.39000,57150
2023-05-12,103.59000,105.12000,102.60000,103.78000,41455
2023-05-15,105.40000,109.34000,100.81000,102.24000,450045
2023-05-16,104.07000,104.23000,101.24000,101.60000,55880
2023-05-17,102.17000,103.59000,101.46000,102.39000,57090
2023-05-18,102.39000,104.90000,100.24000,101.47000,83645
2023-05-19,102.79000,103.79000,101.31000,101.97000,51955
2023-05-22,101.97000,104.68000,100.81000,103.00000,73955
2023-05-23,104.04000,104.96000,93.52000,95.41000,365080
2023-05-24,99.60000,109.39000,96.58000,106.75000,761720
2023-05-25,105.15000,105.15000,98.32000,99.59000,647610
2023-05-26,100.59000,101.96000,100.00000,100.39000,163480
2023-05-29,104.00000,104.00000,99.20000,100.48000,154510
