date,open,high,low,close,volume
2022-10-25,665.79999,668.09998,655.00000,664.34998,42332
2022-10-27,668.00000,671.45001,642.54999,645.90002,51639
2022-10-28,645.90002,666.00000,636.04999,649.75000,39806
2022-10-31,650.25000,656.45001,637.00000,639.79999,35274
2022-11-01,640.50000,647.45001,624.50000,627.25000,51184
2022-11-02,630.25000,631.90002,617.00000,625.34998,34547
2022-11-03,625.34998,632.00000,619.70001,620.54999,49373
2022-11-04,621.20001,624.79999,610.70001,611.79999,65394
2022-11-07,612.79999,639.50000,603.00000,632.65002,134567
2022-11-09,650.00000,658.75000,629.70001,638.04999,250758
2022-11-10,642.00000,643.95001,628.00000,636.15002,61889
2022-11-11,650.00000,650.00000,629.00000,635.95001,44171
2022-11-14,630.00000,649.95001,630.00000,635.54999,38786
2022-11-15,636.00000,637.40002,618.20001,621.79999,31021
2022-11-16,619.00000,630.25000,615.00000,619.09998,45119
2022-11-17,625.20001,631.95001,621.00000,627.70001,67438
2022-11-18,632.70001,635.00000,615.50000,621.59998,42189
2022-11-21,616.20001,619.29999,604.04999,605.84998,50361
2022-11-22,610.00000,610.00000,596.79999,599.90002,60922
2022-11-23,601.59998,610.00000,601.50000,607.50000,46063
2022-11-24,611.00000,611.84998,600.95001,602.95001,36571
2022-11-25,604.20001,610.45001,600.04999,607.75000,110151
2022-11-28,616.79999,628.65002,605.00000,609.65002,138510
2022-11-29,609.95001,616.45001,603.04999,608.15002,105606
2022-11-30,612.00000,617.70001,604.54999,609.29999,92050
2022-12-01,615.00000,615.00000,607.50000,613.20001,88188
2022-12-02,612.00000,613.95001,605.00000,611.59998,98006
2022-12-05,619.00000,620.95001,607.00000,609.15002,64517
2022-12-06,609.20001,613.84998,595.09998,599.09998,119100
2022-12-07,590.09998,594.34998,580.09998,584.84998,202231
2022-12-08,585.00000,590.45001,577.04999,579.95001,69854
2022-12-09,585.75000,587.45001,570.09998,574.25000,85008
2022-12-12,570.04999,574.25000,561.20001,567.65002,59753
2022-12-13,573.95001,585.84998,568.25000,580.70001,56203
2022-12-14,581.00000,581.29999,573.09998,575.15002,41644
2022-12-15,580.50000,580.50000,564.04999,573.29999,49989
2022-12-16,571.00000,573.79999,562.29999,565.40002,35678
2022-12-19,573.90002,573.90002,559.00000,562.75000,67368
2022-12-20,565.59998,570.15002,552.04999,554.04999,64125
2022-12-21,556.25000,591.20001,542.70001,564.59998,230816
2022-12-22,575.00000,579.00000,533.79999,553.54999,131196
2022-12-23,547.50000,549.40002,521.25000,529.04999,125003
2022-12-26,535.00000,542.00000,512.29999,521.09998,210745
2022-12-27,525.59998,527.79999,512.79999,517.65002,216822
2022-12-28,515.00000,521.00000,511.00000,514.15002,172713
2022-12-29,515.04999,515.90002,504.00000,507.50000,378397
2022-12-30,512.04999,523.70001,503.25000,506.39999,712501
2023-01-02,509.00000,552.70001,505.00000,544.40002,421910
2023-01-03,548.00000,574.00000,543.00000,555.00000,594463
2023-01-04,558.00000,558.79999,537.00000,544.65002,202326
2023-01-05,545.20001,556.00000,537.50000,543.20001,293639
2023-01-06,543.00000,556.90002,540.34998,546.00000,104716
2023-01-09,552.75000,552.75000,520.00000,523.29999,196022
2023-01-10,525.95001,533.00000,508.95001,515.95001,150524
2023-01-11,520.00000,533.00000,514.34998,526.34998,123316
2023-01-12,525.09998,529.00000,501.20001,503.39999,463590
2023-01-13,508.20001,514.00000,496.50000,498.45001,405455
2023-01-16,501.10001,505.89999,493.70001,494.75000,233061
2023-01-17,498.70001,500.00000,490.89999,494.85001,142219
2023-01-18,496.00000,500.00000,493.29999,494.89999,177216
2023-01-19,494.60001,498.70001,492.50000,495.85001,92598
2023-01-20,496.04999,515.00000,492.25000,508.95001,128166
2023-01-23,515.00000,519.79999,505.95001,509.10001,167427
2023-01-24,509.50000,517.50000,499.25000,502.54999,145396
2023-01-25,506.00000,509.95001,495.00000,502.39999,151417
2023-01-27,511.45001,511.45001,492.85001,503.04999,156358
2023-01-30,503.04999,510.54999,498.64999,504.64999,94100
2023-01-31,504.64999,513.04999,502.29999,510.70001,50638
2023-02-01,510.00000,534.90002,499.25000,510.89999,275387
2023-02-02,509.89999,528.50000,509.85001,525.45001,139954
2023-02-03,513.79999,513.79999,446.25000,450.89999,753976
2023-02-06,451.95001,461.35001,435.10001,450.00000,346666
2023-02-07,455.00000,456.95001,449.50000,450.45001,142650
2023-02-08,452.00000,472.85001,452.00000,466.54999,213919
2023-02-09,469.85001,471.70001,461.00000,467.29999,52639
2023-02-10,467.29999,470.39999,462.54999,464.35001,64938
2023-02-13,464.00000,465.70001,453.00000,456.70001,51274
2023-02-14,460.50000,460.50000,454.04999,458.45001,36732
2023-02-15,458.50000,458.64999,449.79999,452.25000,63099
2023-02-16,457.89999,461.70001,452.79999,458.64999,45458
2023-02-17,460.00000,460.89999,452.35001,454.79999,38877
2023-02-20,454.95001,460.00000,450.60001,451.64999,34257
2023-02-21,456.95001,456.95001,447.14999,448.29999,62158
2023-02-22,452.00000,452.00000,443.10001,444.25000,41771
2023-02-23,448.70001,449.85001,430.00000,434.10001,80489
2023-02-24,430.00000,438.54999,419.00000,423.95001,135385
2023-02-27,424.00000,429.64999,402.00000,404.70001,194816
