date,open,high,low,close,volume
2025-03-13,491.10001,492.00000,482.54999,486.35001,254307
2025-03-17,482.50000,490.00000,475.70001,488.64999,197300
2025-03-19,490.00000,513.20001,490.00000,510.20001,267784
2025-03-20,512.70001,527.54999,510.20001,524.40002,355522
2025-03-21,524.40002,537.90002,517.50000,535.04999,359984
2025-03-24,529.25000,543.25000,529.09998,535.29999,250721
2025-03-25,536.00000,540.00000,520.29999,526.65002,350408
2025-03-26,527.00000,537.00000,522.29999,534.09998,151728
2025-03-27,533.04999,535.00000,526.90002,530.34998,170599
2025-03-28,530.00000,568.95001,528.45001,559.34998,1273067
2025-04-01,550.04999,578.15002,549.15002,552.75000,955840
2025-04-02,553.70001,575.79999,548.34998,571.04999,727416
2025-04-03,565.00000,579.45001,560.04999,572.90002,381275
2025-04-04,573.95001,577.79999,550.54999,560.15002,389557
2025-04-07,502.00000,542.40002,502.00000,538.20001,310637
2025-04-08,545.09998,567.75000,545.09998,559.75000,434463
2025-04-09,563.40002,570.40002,554.75000,558.59998,312756
2025-04-11,570.00000,574.00000,549.04999,565.25000,389230
2025-04-15,576.84998,576.84998,550.25000,555.25000,698173
2025-04-16,555.00000,562.15002,548.75000,556.79999,389637
2025-04-17,560.00000,565.90002,550.54999,552.84998,251739
2025-04-21,552.84998,561.79999,551.00000,552.95001,237459
2025-04-22,555.50000,572.00000,549.20001,554.45001,838543
2025-04-23,561.90002,563.04999,549.29999,551.15002,299002
2025-04-24,548.00000,548.54999,529.34998,533.34998,571100
2025-04-25,533.34998,536.20001,510.79999,512.79999,470170
2025-04-28,506.50000,524.75000,506.50000,510.04999,377330
2025-04-29,513.70001,520.29999,502.20001,504.79999,412020
2025-04-30,503.00000,514.59998,496.35001,508.60001,566005
2025-05-02,510.00000,529.45001,509.50000,525.29999,307803
2025-05-05,527.20001,528.84998,513.00000,514.20001,148564
2025-05-06,509.50000,524.65002,499.10001,501.45001,308119
2025-05-07,495.04999,519.95001,495.04999,517.54999,249683
2025-05-08,517.54999,522.20001,503.10001,507.54999,169378
2025-05-09,495.04999,507.25000,495.04999,501.20001,146870
2025-05-12,516.00000,522.40002,516.00000,519.20001,181748
2025-05-13,523.84998,524.90002,515.04999,523.29999,141426
2025-05-14,524.00000,531.79999,521.09998,526.04999,137488
2025-05-15,526.04999,530.20001,518.09998,521.40002,125862
2025-05-16,522.00000,542.79999,520.20001,538.45001,415150
2025-05-19,541.45001,542.00000,526.70001,532.15002,180816
2025-05-20,532.15002,549.29999,529.95001,539.15002,471924
2025-05-21,539.20001,544.00000,531.25000,534.70001,218842
2025-05-22,533.00000,538.34998,528.79999,531.54999,119275
2025-05-23,533.00000,536.15002,528.20001,531.40002,124987
2025-05-26,530.09998,537.79999,523.45001,534.04999,276845
2025-05-27,523.00000,528.45001,501.10001,503.20001,1172246
2025-05-28,504.00000,520.95001,501.04999,510.00000,799978
2025-05-29,510.04999,512.40002,498.00000,502.85001,773465
2025-05-30,502.79999,513.04999,501.00000,506.75000,256323
