date,open,high,low,close,volume
2016-02-01,1111.43530,1143.34937,1073.67773,1106.94031,56864
2016-02-02,1101.75073,1119.64880,1092.22961,1108.98352,6301
2016-02-03,1087.77551,1105.01978,1066.56763,1073.84119,9331
2016-02-04,1102.48633,1102.48633,1060.80591,1062.60388,241251
2016-02-05,1076.29309,1082.87195,1050.14063,1074.78113,31983
2016-02-08,1074.69934,1086.34534,1051.03967,1054.55383,11510
2016-02-09,1058.51758,1082.34082,1054.26782,1070.49048,9804
2016-02-10,1076.74255,1078.66309,1039.55713,1044.29724,5643
2016-02-11,1066.36328,1066.36328,993.79047,1011.85193,14078
2016-02-12,1011.77020,1020.76007,970.08984,981.65411,8814
2016-02-15,988.88690,1009.07324,957.01367,965.47229,73068
2016-02-16,953.74463,966.20782,939.85114,943.20190,9433
2016-02-17,939.85114,948.84106,914.18915,939.72858,19504
2016-02-18,956.15552,963.91949,934.94757,944.38696,69250
2016-02-19,931.67853,941.48566,931.67853,938.25751,8183
2016-02-22,941.48566,947.20654,919.41962,933.31305,24310
2016-02-23,939.85114,979.89697,930.04401,970.21246,24035
2016-02-24,948.14636,975.27948,941.11792,964.77765,17496
2016-02-25,976.62793,980.71423,964.36902,972.78680,27004
2016-02-26,972.54163,984.80054,956.19641,964.24640,26608
2016-02-29,956.19641,1024.80554,925.95770,993.54529,57286
2016-03-01,995.42499,1017.49103,986.47595,1012.62836,20222
2016-03-02,1012.58746,1033.75452,989.74500,993.58612,8297
2016-03-03,997.05951,1025.66370,988.64172,1019.32990,16639
2016-03-04,1005.23212,1028.93274,1005.23212,1014.18115,17733
2016-03-08,1021.57733,1028.44238,997.05951,1003.63843,12092
2016-03-09,1004.90521,1009.27753,976.30103,981.04114,10288
2016-03-10,980.87769,1009.31842,980.75513,988.68256,16447
2016-03-11,986.68024,1021.57733,972.54163,990.68488,24203
2016-03-14,1020.76007,1020.76007,992.97321,1013.15955,66646
2016-03-15,1006.09021,1014.91669,998.32623,1002.90289,11810
2016-03-16,998.69403,1012.50574,998.69403,1001.75873,43271
2016-03-17,1004.41486,1070.61304,997.46814,1056.35181,38649
2016-03-18,1038.33118,1056.71960,1006.17194,1031.71143,126928
2016-03-21,1032.20178,1042.74438,1013.40472,1038.00427,33788
2016-03-22,1042.00891,1066.52673,1033.83630,1041.76367,68823
2016-03-23,1041.10986,1054.22693,1033.83630,1050.34497,45607
2016-03-28,1050.18152,1052.63330,1033.83630,1038.90332,23529
2016-03-29,1037.92261,1052.83765,1033.83630,1037.88171,36486
