date,open,high,low,close,volume
2023-10-05,4.45000,4.67000,4.44000,4.62000,22000
2023-10-06,4.66000,4.79800,4.60000,4.71000,38700
2023-10-09,4.71000,4.82500,4.69000,4.78000,38700
2023-10-10,4.83000,4.83000,4.65000,4.68000,46500
2023-10-11,4.73000,4.84800,4.56000,4.61000,61200
2023-10-12,4.67000,4.76000,4.63000,4.74000,36300
2023-10-13,4.71600,4.87900,4.66000,4.66000,51800
2023-10-16,4.65000,4.87000,4.65000,4.74000,53300
2023-10-17,4.77000,4.98000,4.77000,4.94000,47400
2023-10-18,4.87000,5.00000,4.69000,4.71000,41000
2023-10-19,4.70000,4.84000,4.61000,4.66000,27400
2023-10-20,4.62000,4.65000,4.42000,4.43000,67500
2023-10-23,4.47000,4.50000,4.42000,4.42000,13400
2023-10-24,4.50000,4.55000,4.43000,4.55000,20300
2023-10-25,4.54000,4.58300,4.41000,4.42000,50500
2023-10-26,4.40000,4.50000,4.29000,4.35000,68800
2023-10-27,4.41000,4.46000,4.27000,4.31000,49500
2023-10-30,4.32000,4.37000,4.26000,4.32000,33500
2023-10-31,4.33000,4.48000,4.31000,4.34000,47300
2023-11-01,4.34000,4.60000,4.34000,4.47000,46300
2023-11-02,4.53000,4.59000,4.35300,4.55000,55000
2023-11-03,4.61000,4.90000,4.52000,4.81000,146100
2023-11-06,5.10000,5.40000,4.96000,5.15000,563600
2023-11-07,5.23000,5.45000,5.01100,5.30000,305500
2023-11-08,5.24000,5.65000,5.20000,5.53000,423800
2023-11-09,5.55000,5.55000,5.03000,5.23000,147900
2023-11-10,5.28000,5.34000,5.15000,5.19000,110000
2023-11-13,5.29000,5.63000,5.16000,5.58000,335300
2023-11-14,5.65000,5.90000,5.53900,5.72000,313400
2023-11-15,5.90000,6.10000,5.50000,5.52000,420100
2023-11-16,5.69000,5.69000,5.15200,5.35000,236100
2023-11-17,5.45000,5.94000,5.45000,5.91000,571200
2023-11-20,6.04000,6.60000,6.00000,6.36000,606800
2023-11-21,6.25000,6.34000,5.95000,6.27000,200200
2023-11-22,6.35000,6.45000,6.22000,6.33000,151600
2023-11-24,6.33000,6.67000,6.33000,6.63000,225200
2023-11-27,6.68000,6.97000,6.64200,6.83000,326500
2023-11-28,6.76000,6.94000,6.53000,6.62000,173400
2023-11-29,6.60000,6.83000,6.60000,6.64000,175200
2023-11-30,6.84000,6.84000,6.26000,6.45000,207800
2023-12-01,6.45000,6.79000,6.45000,6.76000,134600
2023-12-04,6.67000,6.79000,5.61000,5.99500,784000
2023-12-05,6.00000,6.07400,5.68600,5.78000,179800
2023-12-06,5.86000,5.96000,5.68000,5.75000,156800
2023-12-07,5.80000,5.84500,5.64500,5.73000,136500
2023-12-08,5.75000,5.83000,5.57000,5.60000,241800
2023-12-11,5.60000,5.75000,5.45000,5.55000,250700
2023-12-12,5.51000,5.57000,4.99000,5.09000,408000
2023-12-13,5.22000,5.41000,5.02000,5.39000,274300
2023-12-14,5.66000,5.66000,5.23000,5.38000,198500
2023-12-15,5.36000,5.48800,5.17000,5.35000,338400
2023-12-18,5.34000,5.38000,5.05000,5.33000,267400
2023-12-19,5.33000,5.48000,5.10000,5.43000,147600
2023-12-20,5.55000,5.73000,5.42000,5.47000,132200
2023-12-21,5.53000,5.63000,5.46000,5.56000,103500
2023-12-22,5.55000,5.88900,5.53500,5.88000,152600
2023-12-26,5.94000,5.99000,5.69000,5.89000,141400
2023-12-27,5.90000,6.09000,5.84500,6.04000,95900
2023-12-28,6.04000,6.15000,5.93200,6.07000,122300
2023-12-29,6.07000,6.66000,5.85000,6.45000,472700
2024-01-02,6.73000,7.20000,6.46000,7.10000,530400
2024-01-03,7.02000,7.28000,6.90600,7.07000,343500
2024-01-04,7.03000,7.60000,6.58000,6.66000,584400
2024-01-05,6.66000,6.68000,6.19000,6.35000,495000
2024-01-08,6.50000,7.25800,6.40000,7.17000,490200
2024-01-09,7.31000,7.80000,7.13000,7.69000,855000
2024-01-10,7.70000,7.81000,7.28000,7.31000,740600
2024-01-11,7.45000,7.80000,7.16000,7.35000,530300
2024-01-12,7.33000,7.61000,7.03000,7.47000,551100
2024-01-16,7.50000,7.65000,6.78000,6.96500,859800
2024-01-17,6.88000,6.90000,6.35000,6.60000,1145800
2024-01-18,5.87000,5.90000,5.48000,5.70000,2470900
2024-01-19,6.00000,6.54000,5.90000,6.25000,865800
2024-01-22,6.50000,6.89000,6.35000,6.81000,681600
2024-01-23,6.78000,6.81000,6.22000,6.47000,659300
2024-01-24,6.63000,6.94000,6.32000,6.40000,668500
2024-01-25,6.60000,6.63000,6.35000,6.52000,296200
2024-01-26,6.61000,6.64000,6.32000,6.38000,377300
2024-01-29,6.67000,7.17000,6.56000,7.15000,1040500
2024-01-30,7.15000,7.23000,6.57500,6.94000,619300
2024-01-31,6.94000,7.30000,6.92000,7.00000,492300
2024-02-01,7.36000,7.36000,6.93000,7.34000,594900
2024-02-02,7.32000,7.56000,6.90000,7.51000,677300
2024-02-05,7.68000,8.00000,7.32000,7.95000,1026900
2024-02-06,8.14000,8.33000,7.90000,8.12000,1330000
2024-02-07,8.25000,8.34000,7.67000,8.22000,871400
2024-02-08,8.28000,8.98000,8.02000,8.08000,1189400
2024-02-09,8.10000,8.74000,7.96000,8.43000,1147300
2024-02-12,8.71000,9.20000,8.57000,8.97000,1141300
2024-02-13,8.84000,9.23000,8.40000,8.79000,1028600
2024-02-14,9.10000,9.19000,8.69000,8.72000,864100
2024-02-15,8.89000,9.16000,8.57000,8.83000,921700
2024-02-16,9.00000,9.00000,7.81000,8.16500,1806500
2024-02-20,8.06000,8.08000,7.12000,7.22500,1444400
2024-02-21,7.31000,7.43000,7.00000,7.08500,575900
2024-02-22,7.25000,7.37000,6.96000,7.37000,651700
2024-02-23,7.38000,7.51500,6.91000,7.01000,847800
2024-02-26,7.04000,7.43000,7.04000,7.43000,573900
2024-02-27,7.47000,8.04000,7.41000,7.97000,792300
2024-02-28,7.94000,8.05000,7.20000,7.30000,799300
2024-02-29,7.35000,7.99000,7.35000,7.76000,765700
2024-03-01,7.84000,7.87000,7.31000,7.60000,778000
2024-03-04,7.61000,7.66000,7.06000,7.18000,802300
2024-03-05,7.05000,7.19000,6.61000,6.63500,862300
2024-03-06,6.70000,7.12000,6.70000,7.01000,543900
2024-03-07,7.02000,7.31500,6.63000,6.72000,684500
2024-03-08,6.54000,6.67000,5.92000,6.30000,1364700
2024-03-11,6.25000,6.44500,6.25000,6.30000,701600
2024-03-12,6.33000,7.03000,6.32000,6.99000,1506200
2024-03-13,5.35000,5.49000,4.51000,5.02000,4223300
2024-03-14,4.84000,4.94000,4.50000,4.57500,1386800
2024-03-15,4.50000,4.74000,4.50000,4.62500,578200
2024-03-18,4.58000,4.58000,4.03000,4.03000,1337200
2024-03-19,4.00000,4.01000,3.65400,3.93000,1074800
2024-03-20,3.81000,4.16000,3.81000,4.07000,595200
2024-03-21,4.17000,4.27000,4.02000,4.10000,668900
2024-03-22,4.27000,4.64000,4.03200,4.55000,895700
2024-03-25,4.58000,4.60800,4.08000,4.10000,647600
2024-03-26,4.10000,4.21000,3.80000,3.86000,776100
2024-03-27,3.88000,3.92000,3.68000,3.73000,514500
2024-03-28,3.72000,3.98000,3.71500,3.85000,609400
2024-04-01,3.85000,3.98000,3.71000,3.93000,561900
2024-04-02,3.88000,3.92000,3.76000,3.84000,218400
2024-04-03,3.86000,4.21000,3.77000,4.17000,438800
2024-04-04,4.25000,4.25000,3.92000,3.92000,364500
2024-04-05,4.03000,4.09000,3.85000,3.93000,232500
2024-04-08,3.99000,4.06000,3.93000,3.99000,190500
2024-04-09,4.04000,4.04000,3.87000,3.95000,154300
2024-04-10,3.90000,4.22000,3.87200,4.08000,290000
2024-04-11,4.09000,4.20000,4.02000,4.12000,124300
2024-04-12,4.09000,4.10000,3.95000,3.96000,192500
2024-04-15,3.95000,3.96000,3.72000,3.74000,286300
2024-04-16,3.72000,3.79000,3.64000,3.66000,174400
2024-04-17,3.66000,3.83000,3.66000,3.76000,217900
2024-04-18,3.73000,3.86000,3.69000,3.73000,113000
2024-04-19,3.66000,3.79500,3.66000,3.70000,182300
2024-04-22,3.68000,3.73700,3.30000,3.41000,394400
2024-04-23,3.35000,3.52000,3.33000,3.51500,189400
2024-04-24,3.47000,3.54000,3.28000,3.33000,223300
2024-04-25,3.33000,3.39000,3.28000,3.36000,119200
2024-04-26,3.52000,3.52000,3.37000,3.39000,153600
2024-04-29,3.40000,3.83000,3.39000,3.79000,318600
2024-04-30,3.80000,3.80000,3.61000,3.64000,127300
2024-05-01,3.66000,3.84000,3.66000,3.69000,81900
2024-05-02,3.70000,3.78000,3.64000,3.77000,69200
2024-05-03,3.80000,3.83900,3.69000,3.78000,103700
2024-05-06,3.83000,4.07200,3.83000,4.03000,210300
2024-05-07,4.05000,4.09000,3.81000,3.82000,156300
2024-05-08,3.97000,4.01000,3.75000,3.90000,179400
2024-05-09,3.91000,4.09000,3.90000,4.09000,151500
2024-05-10,4.13000,4.28000,3.75000,3.83000,302600
2024-05-13,3.85000,4.10000,3.76000,3.77000,337100
2024-05-14,3.84000,4.31500,3.75000,4.27000,608900
2024-05-15,4.28000,4.37000,4.16000,4.29000,244700
2024-05-16,4.24000,4.34000,4.02000,4.06000,330000
2024-05-17,4.22000,4.37000,4.14300,4.21500,252500
2024-05-20,4.18000,4.27000,4.12000,4.18000,162900
2024-05-21,4.17000,4.17000,3.84000,3.92000,209000
2024-05-22,3.90000,4.00500,3.85800,4.00000,168300
2024-05-23,4.01000,4.02000,3.79000,3.88000,137000
2024-05-24,3.88000,3.94000,3.78000,3.93000,115100
2024-05-28,3.89000,3.92000,3.81000,3.83000,75700
2024-05-29,3.80000,3.84000,3.76000,3.77000,63500
2024-05-30,3.76000,3.79000,3.60000,3.63000,169000
2024-05-31,3.66000,3.70000,3.59000,3.66000,111100
2024-06-03,3.61000,3.61000,3.42000,3.42000,220100
2024-06-04,3.45000,3.67000,3.43000,3.59000,263900
2024-06-05,3.59000,3.82000,3.56000,3.71000,160800
2024-06-06,3.74000,4.20000,3.72300,3.99000,744800
2024-06-07,4.06000,4.38000,3.98000,4.28000,406900
2024-06-10,4.30000,4.34000,3.96000,4.09000,306100
2024-06-11,4.10000,4.11000,3.91000,4.02000,189600
2024-06-12,4.07000,4.16000,3.87000,3.91000,203600
2024-06-13,3.92000,3.92000,3.72000,3.86000,170700
2024-06-14,3.85000,3.91000,3.77000,3.80000,103200
2024-06-17,3.77000,3.80000,3.61000,3.73000,185400
2024-06-18,3.70000,3.75000,3.48000,3.53000,265000
2024-06-20,3.52000,3.52000,3.33000,3.43000,215400
2024-06-21,3.41000,3.52000,3.35000,3.40000,165300
2024-06-24,3.39000,3.46000,3.33000,3.33000,116300
2024-06-25,3.32000,3.40000,3.12000,3.13000,355100
2024-06-26,3.13000,3.23000,3.08000,3.23000,109300
2024-06-27,3.23000,3.26000,3.11000,3.17000,228700
2024-06-28,3.12000,3.20000,3.03000,3.19000,175300
