date,open,high,low,close,volume
2025-03-13,353.00000,357.85001,343.70001,353.20001,4894809
2025-03-17,356.00000,359.29999,349.20001,354.70001,6949570
2025-03-19,357.85001,369.70001,352.10001,360.60001,7872167
2025-03-20,364.00000,366.00000,348.14999,354.35001,6777598
2025-03-21,354.39999,358.39999,348.20001,350.64999,4553941
2025-03-24,353.10001,357.25000,350.60001,351.45001,3218583
2025-03-25,354.50000,356.39999,331.75000,337.50000,5518715
2025-03-26,330.70001,336.00000,321.20001,323.85001,7488889
2025-03-27,323.85001,341.00000,312.64999,335.75000,19591307
2025-03-28,335.00000,342.20001,326.54999,330.20001,10683126
2025-04-01,328.70001,339.29999,325.50000,331.89999,5731994
2025-04-02,330.00000,351.39999,328.79999,344.60001,10629913
2025-04-03,341.00000,349.50000,338.14999,345.14999,3395256
2025-04-04,342.00000,346.60001,335.10001,337.35001,3339600
2025-04-07,310.00000,327.45001,306.95001,321.70001,6536264
2025-04-08,329.00000,334.60001,322.54999,333.29999,6086723
2025-04-09,331.00000,345.00000,329.39999,339.75000,8437070
2025-04-11,347.00000,347.10001,331.35001,333.00000,6373180
2025-04-15,338.00000,342.79999,332.79999,334.00000,2904801
2025-04-16,334.50000,340.60001,334.25000,336.25000,5653384
2025-04-17,337.00000,350.70001,329.45001,340.79999,10107653
2025-04-21,342.45001,347.39999,341.64999,343.85001,3326600
2025-04-22,343.85001,345.64999,338.54999,343.35001,7967985
2025-04-23,344.79999,349.45001,339.45001,348.04999,4461816
2025-04-24,344.25000,351.45001,339.29999,340.60001,5934561
2025-04-25,342.10001,343.35001,320.00000,321.39999,6237853
2025-04-28,322.10001,328.70001,319.70001,323.75000,4572731
2025-04-29,327.39999,328.35001,318.50000,319.85001,2140615
2025-04-30,326.85001,326.85001,309.14999,316.39999,8197937
2025-05-02,314.00000,317.89999,303.00000,304.00000,6157429
2025-05-05,310.00000,356.64999,304.20001,343.95001,44623517
2025-05-06,337.00000,344.89999,332.60001,342.50000,18751451
2025-05-07,322.04999,338.75000,322.04999,328.79999,12816563
2025-05-08,332.89999,335.35001,311.54999,315.20001,7026155
2025-05-09,306.00000,314.60001,303.60001,313.10001,7752428
2025-05-12,319.39999,325.00000,306.25000,320.29999,22530437
2025-05-13,305.00000,315.70001,297.00000,310.54999,99269069
2025-05-14,313.20001,313.39999,306.00000,307.29999,23571274
2025-05-15,310.00000,318.14999,308.14999,316.25000,24138544
2025-05-16,317.79999,327.20001,315.29999,321.20001,23405796
2025-05-19,321.79999,328.79999,319.20001,323.50000,19845567
2025-05-20,325.00000,325.29999,310.14999,311.35001,17531661
2025-05-21,313.64999,315.00000,308.70001,313.79999,14723896
2025-05-22,311.04999,318.20001,310.14999,315.04999,7794455
2025-05-23,317.04999,326.50000,311.45001,323.64999,14197901
2025-05-26,324.89999,327.10001,318.54999,320.85001,8612919
2025-05-27,322.00000,325.35001,317.89999,320.14999,7969088
2025-05-28,320.35001,326.89999,318.50000,320.20001,11061254
2025-05-29,321.29999,331.20001,320.00000,328.85001,21764736
2025-05-30,328.95001,338.20001,327.64999,333.04999,19704228
2025-06-02,330.85001,343.54999,327.95001,333.29999,16854594
2025-06-03,338.00000,347.25000,330.60001,333.20001,25827808
2025-06-04,335.39999,364.95001,335.10001,362.75000,52634733
2025-06-05,361.00000,370.00000,357.10001,364.14999,40086834
2025-06-06,365.75000,376.50000,365.14999,374.45001,23372942
2025-06-09,376.00000,376.25000,360.10001,364.60001,17070230
2025-06-10,364.54999,369.50000,352.54999,361.60001,17183361
2025-06-11,360.50000,361.60001,352.00000,356.04999,15836583
2025-06-12,357.00000,366.00000,352.85001,356.10001,12378876
2025-06-13,350.00000,357.89999,345.75000,354.20001,12527621
2025-06-16,355.00000,362.00000,352.20001,360.95001,10330332
2025-06-17,361.95001,364.20001,351.89999,355.75000,7081371
2025-06-18,357.50000,366.89999,352.64999,365.39999,13208158
2025-06-19,364.54999,385.00000,362.10001,374.14999,47446089
2025-06-20,376.50000,398.89999,371.00000,389.50000,51835877
2025-06-23,385.85001,395.85001,378.04999,389.00000,16573120
2025-06-24,390.89999,399.39999,384.25000,391.14999,13783191
2025-06-25,393.14999,402.50000,389.29999,399.95001,17314395
2025-06-26,399.50000,412.00000,398.39999,405.25000,17362686
2025-06-27,408.50000,410.00000,395.20001,406.95001,17772506
2025-06-30,405.50000,406.95001,398.64999,400.39999,8510810
2025-07-01,400.50000,402.10001,391.54999,393.45001,8749440
2025-07-02,394.00000,395.00000,380.00000,381.54999,12607551
2025-07-03,383.25000,388.35001,380.60001,386.00000,6837958
2025-07-04,388.00000,395.00000,381.54999,383.50000,8466011
2025-07-07,386.00000,387.50000,375.04999,376.64999,6436786
2025-07-08,378.14999,383.00000,376.14999,381.45001,7154362
2025-07-09,381.50000,382.95001,374.54999,380.14999,7658449
2025-07-10,380.00000,390.39999,377.60001,384.35001,9000967
2025-07-11,383.85001,389.00000,377.85001,385.10001,11097294
2025-07-14,384.50000,394.70001,380.39999,393.04999,12695624
2025-07-15,393.00000,399.20001,383.29999,388.45001,12334200
2025-07-16,390.00000,400.00000,386.75000,389.85001,16832818
2025-07-17,391.75000,393.20001,383.89999,385.64999,5598050
2025-07-18,387.00000,393.00000,386.04999,388.79999,4840264
2025-07-21,388.79999,400.79999,380.10001,394.75000,17679121
2025-07-22,405.00000,426.29999,403.75000,417.14999,82273537
2025-07-23,418.00000,421.00000,412.60001,418.70001,17008721
2025-07-24,418.00000,429.89999,405.70001,419.25000,21757408
2025-07-25,418.54999,418.54999,406.00000,407.95001,7747460
2025-07-28,405.89999,416.20001,401.35001,407.10001,9524154
2025-07-29,408.10001,415.70001,402.29999,413.79999,5833966
2025-07-30,413.79999,414.00000,399.00000,401.10001,10405480
2025-07-31,400.00000,407.00000,397.70001,403.75000,8479325
2025-08-01,408.00000,408.50000,386.39999,392.35001,22583961
2025-08-04,392.50000,403.14999,381.75000,399.20001,14946689
2025-08-05,397.20001,398.89999,383.00000,385.54999,11103861
2025-08-06,386.89999,399.00000,385.54999,393.95001,16552149
2025-08-07,392.00000,400.54999,387.50000,398.50000,10357031
2025-08-08,402.89999,402.89999,381.85001,384.79999,9492514
2025-08-11,385.00000,404.95001,381.64999,400.70001,9171569
2025-08-12,403.00000,403.50000,391.64999,393.25000,9640468
2025-08-13,396.45001,405.75000,395.10001,400.39999,12854438
2025-08-14,401.00000,403.79999,397.00000,398.39999,7189281
2025-08-18,408.04999,410.85001,397.79999,399.85001,12185716
2025-08-19,401.79999,410.75000,399.50000,409.70001,12943754
2025-08-20,408.50000,422.70001,406.35001,421.04999,26084973
2025-08-21,427.00000,443.39999,424.10001,435.70001,39503599
2025-08-22,431.85001,434.95001,421.20001,427.89999,15407596
2025-08-25,428.00000,432.29999,420.10001,425.64999,13757056
2025-08-26,427.00000,439.39999,419.00000,430.54999,126308057
2025-08-28,430.54999,433.20001,419.60001,421.00000,9101997
2025-08-29,425.00000,425.00000,406.14999,409.75000,13267998
2025-09-01,416.95001,430.00000,413.25000,428.50000,12343339
2025-09-02,427.95001,432.60001,421.45001,425.95001,7323331
2025-09-03,428.10001,434.75000,424.64999,430.60001,8201506
2025-09-04,432.00000,436.25000,421.20001,423.10001,7536276
2025-09-05,425.00000,440.00000,420.70001,439.04999,20282407
2025-09-08,443.00000,458.95001,440.00000,443.14999,19458812
2025-09-09,445.00000,445.00000,432.20001,436.64999,9435995
2025-09-10,438.75000,438.75000,421.39999,423.89999,13012999
2025-09-11,426.95001,432.20001,422.50000,423.70001,8593765
2025-09-12,425.04999,430.00000,415.54999,420.54999,8562600
2025-09-15,422.64999,427.89999,420.45001,424.85001,5200192
2025-09-16,427.89999,439.20001,425.29999,437.20001,12767732
2025-09-17,437.00000,442.60001,432.00000,440.95001,7017969
2025-09-18,440.00000,445.00000,436.25000,444.50000,4542176
2025-09-19,445.00000,474.00000,440.85001,458.45001,66256100
2025-09-22,461.00000,464.35001,446.54999,449.54999,12825424
2025-09-23,450.70001,451.64999,445.20001,449.20001,7987236
2025-09-24,458.20001,460.89999,436.00000,438.45001,19597212
2025-09-25,439.95001,440.79999,425.00000,426.10001,8856362
2025-09-26,425.00000,427.89999,418.00000,420.64999,11140200
2025-09-29,423.54999,423.60001,413.20001,416.50000,19854203
2025-09-30,419.25000,426.50000,416.54999,422.95001,13565339
2025-10-01,423.29999,423.29999,414.25000,417.75000,7083494
2025-10-03,420.00000,421.25000,412.54999,413.85001,7409123
2025-10-06,413.85001,424.70001,408.14999,421.54999,8057127
2025-10-07,422.00000,422.64999,414.45001,420.75000,8625939
2025-10-08,420.00000,423.45001,416.50000,420.89999,4546535
2025-10-09,422.79999,437.79999,421.04999,436.89999,11540849
2025-10-10,436.10001,439.00000,428.70001,435.54999,7920712
2025-10-13,435.00000,437.60001,431.29999,434.79999,7146572
2025-10-14,435.20001,442.00000,432.35001,440.14999,8288544
2025-10-15,440.39999,443.50000,435.70001,442.70001,14283145
2025-10-16,444.45001,459.95001,442.75000,448.39999,24563868
2025-10-17,447.00000,447.00000,424.95001,432.14999,18430213
2025-10-20,435.00000,435.89999,416.10001,421.89999,13304432
2025-10-21,427.00000,433.89999,424.00000,432.10001,2266400
2025-10-23,432.10001,433.04999,423.00000,424.29999,7858545
2025-10-24,426.00000,430.20001,423.00000,424.89999,4343894
2025-10-27,425.95001,427.35001,420.29999,425.64999,3890805
2025-10-28,427.70001,429.00000,419.14999,422.10001,4360893
2025-10-29,423.25000,426.60001,417.64999,418.95001,3267281
2025-10-30,419.95001,422.50000,413.50000,417.95001,4122844
2025-10-31,430.00000,434.00000,407.10001,409.95001,19552018
