date,open,high,low,close,volume
2021-06-11,27.55000,32.94000,27.06000,31.09000,7449700
2021-06-14,30.55000,33.06000,29.30000,31.32000,1336900
2021-06-15,31.56000,32.48000,28.55000,29.15000,1079200
2021-06-16,29.15000,30.84000,28.66000,29.39000,1992600
2021-06-17,29.39000,30.44000,29.31000,29.45000,1304300
2021-06-18,29.10000,29.88000,28.54500,29.11000,349600
2021-06-21,29.34000,33.08000,29.34000,29.88000,1054000
2021-06-22,29.92000,30.98000,29.31000,29.97000,245700
2021-06-23,30.19000,32.49000,29.76000,31.55000,598000
2021-06-24,32.00000,34.26000,31.87000,32.60000,789500
2021-06-25,32.60000,35.62500,32.60000,34.97000,843400
2021-06-28,35.35000,35.60300,33.17000,34.70000,449500
2021-06-29,34.56000,35.22000,33.32000,34.79000,357500
2021-06-30,34.94000,35.20000,33.76000,34.24000,262300
2021-07-01,34.20000,34.49000,31.74500,33.24000,527000
2021-07-02,33.24000,33.24000,32.08000,32.39000,353800
2021-07-06,33.50000,34.00000,31.25000,31.78000,781800
2021-07-07,31.81000,32.73000,31.00000,32.00000,325900
2021-07-08,31.30000,31.90000,30.80000,31.21000,391800
2021-07-09,32.00000,32.44000,31.40000,31.92000,353700
2021-07-12,32.42000,32.69900,30.71000,31.89000,311700
2021-07-13,32.00000,32.32000,30.66000,31.28000,178900
2021-07-14,31.37000,32.24000,29.81000,29.93000,242000
2021-07-15,29.84000,30.24000,29.00000,29.87000,196600
2021-07-16,30.06000,30.52000,28.38000,28.95000,266900
2021-07-19,28.50000,29.27000,26.66000,27.42000,526300
2021-07-20,27.75000,30.85000,27.45500,30.00000,236100
2021-07-21,30.43000,30.75000,29.15000,29.15000,199800
2021-07-22,29.39000,29.67000,28.67000,29.08000,103100
2021-07-23,29.58000,30.98000,29.25200,30.74000,116200
2021-07-26,30.30000,30.62000,30.05100,30.54000,88700
2021-07-27,30.21000,31.61000,29.64300,31.47000,294900
2021-07-28,31.38000,31.81900,30.62000,31.05000,98100
2021-07-29,31.17000,32.20000,30.72200,31.67000,268700
2021-07-30,31.31000,31.70000,30.41000,30.45000,469100
2021-08-02,30.87000,31.22900,29.65000,30.20000,166400
2021-08-03,30.19000,30.28000,29.62400,30.07000,240400
2021-08-04,30.14000,30.30000,28.23000,30.04000,169600
2021-08-05,30.10000,30.44100,29.74500,30.14000,122300
2021-08-06,30.24000,31.47000,29.95000,31.00000,400500
2021-08-09,30.70000,31.43000,30.03000,30.99000,284500
2021-08-10,31.29000,33.00000,30.87000,32.26000,352900
2021-08-11,33.90000,40.77000,33.90000,39.40000,2183900
2021-08-12,40.10000,41.00000,37.16000,38.95000,622000
2021-08-13,38.95000,40.37000,37.88000,40.01000,327500
2021-08-16,40.50000,40.90000,38.06200,39.50000,340000
2021-08-17,39.40000,44.79000,38.78800,44.13000,1364100
2021-08-18,44.50000,48.22000,43.45000,48.03000,1529600
2021-08-19,47.00000,49.50000,45.71000,46.17000,617000
2021-08-20,46.17000,50.98100,45.77000,49.42000,566300
2021-08-23,49.16600,52.51000,48.41100,48.75000,567500
2021-08-24,49.78000,49.80000,46.23000,46.75000,462900
2021-08-25,47.01000,49.43000,46.30300,48.50000,336700
2021-08-26,48.87000,50.87000,46.98000,50.21000,505500
2021-08-27,51.47000,55.60000,50.02000,54.46000,759200
2021-08-30,55.73000,59.85000,55.19800,58.85000,884600
2021-08-31,59.56200,63.95000,57.58000,62.90000,1014000
2021-09-01,63.15100,67.26000,60.61000,65.45000,1306200
2021-09-02,64.75000,68.48000,62.40000,68.20000,677000
2021-09-03,68.71000,72.12000,66.14000,70.82000,1113000
2021-09-07,72.61000,75.96600,69.62000,72.44000,989100
2021-09-08,71.96000,72.06000,67.01100,70.41000,947300
2021-09-09,70.00000,71.89100,64.03000,65.81000,1003100
2021-09-10,67.18900,69.69000,66.60000,68.12000,569500
2021-09-13,69.66500,69.66500,58.50000,60.59000,1123800
2021-09-14,57.88000,61.93000,57.85200,59.92000,622000
2021-09-15,59.62000,65.27000,58.12000,64.46000,968500
2021-09-16,64.17000,69.90000,62.62000,69.54000,1158000
2021-09-17,71.00000,73.33000,70.17000,71.84000,2089600
2021-09-20,68.43000,78.80000,67.76000,73.42000,1747800
2021-09-21,75.05000,77.50800,72.20000,76.30000,1051700
2021-09-22,78.63000,79.18000,74.00000,77.42000,1095300
2021-09-23,78.30000,84.15000,77.42000,83.51000,817000
2021-09-24,83.13300,85.49400,70.95000,72.54000,1454300
2021-09-27,73.67200,73.80000,65.13000,68.34000,1285000
2021-09-28,66.00000,69.28000,63.36000,63.97000,972200
2021-09-29,64.03000,69.87000,64.00000,68.90000,877200
2021-09-30,68.04000,71.61000,65.67000,66.37000,702000
2021-10-01,66.59000,67.91600,60.53000,66.22000,871100
2021-10-04,65.28000,65.91000,58.94000,59.52000,846300
2021-10-05,61.52000,64.49000,58.37000,59.71000,999100
2021-10-06,58.13000,62.97000,58.01000,62.49000,770300
2021-10-07,65.20000,66.81000,57.09000,57.81000,1231100
2021-10-08,58.70000,61.43000,57.11000,58.97000,872400
2021-10-11,58.36000,59.18700,54.51200,56.04000,789400
2021-10-12,55.63000,57.59000,53.53000,56.45000,945900
2021-10-13,57.47000,65.54000,57.20000,64.95000,1459900
2021-10-14,66.58200,71.83000,62.70000,67.17000,1533800
2021-10-15,68.70000,68.87000,63.05000,64.76000,973900
2021-10-18,64.76000,74.21200,64.00000,72.92000,1176900
2021-10-19,68.10000,69.80000,63.35000,67.51000,2295700
2021-10-20,67.32000,71.14000,63.43000,64.36000,1680300
2021-10-21,63.05000,65.22000,60.32000,61.46000,5903600
2021-10-22,61.26000,62.72000,58.72100,59.18000,3004400
2021-10-25,59.76000,61.86000,59.41000,59.69000,1352300
2021-10-26,60.04000,63.29000,56.58000,57.87000,1996900
2021-10-27,58.58000,58.58000,55.30000,57.05000,1448400
2021-10-28,56.35000,59.61000,56.02000,59.36000,1235200
2021-10-29,58.82000,60.11000,56.60000,57.90000,1209600
2021-11-01,57.91000,60.00000,56.70000,59.79000,1088900
2021-11-02,59.77000,62.10000,59.05300,61.21000,1043300
2021-11-03,60.59000,62.38100,57.94000,60.06000,870300
2021-11-04,60.29000,60.34000,57.55000,59.06000,637100
2021-11-05,58.67000,59.90000,56.99000,59.33000,764900
2021-11-08,59.92500,63.60000,59.30000,62.94000,1142400
2021-11-09,63.68000,64.25000,60.25000,61.29000,683500
2021-11-10,60.36000,62.72000,57.34000,58.16000,1330300
2021-11-11,62.97000,64.59000,59.60000,64.05000,1513000
2021-11-12,65.27500,66.00000,63.00000,64.57000,1098600
2021-11-15,64.70000,66.84000,63.14000,63.96000,1025000
2021-11-16,63.59000,64.00000,60.10000,61.49000,857000
2021-11-17,61.00000,62.22000,59.12000,59.17000,568900
2021-11-18,59.18000,59.18000,53.61000,54.41000,1010500
2021-11-19,54.19000,55.79000,49.34000,49.79000,1245400
2021-11-22,49.46000,49.54500,43.91000,45.66000,3753300
2021-11-23,45.43000,46.97000,42.31000,43.43000,1565100
2021-11-24,42.40000,48.48000,42.33000,46.91000,3431100
2021-11-26,45.79000,48.00000,44.80000,45.41000,909500
2021-11-29,47.25000,47.43000,43.33000,46.50000,1052200
2021-11-30,46.22000,47.91000,42.57000,44.55000,2209500
2021-12-01,45.00000,45.60000,39.14000,39.62000,2183000
2021-12-02,39.73000,41.87000,38.56000,41.34000,1078400
2021-12-03,41.49000,41.98200,36.64000,37.81000,1650100
2021-12-06,36.60500,39.82500,35.15000,39.09000,1447500
2021-12-07,41.00000,43.59000,40.64000,42.10000,961300
2021-12-08,42.45000,45.42000,41.25000,43.97000,1725700
2021-12-09,44.96000,45.30000,42.48000,42.95000,1341100
2021-12-10,43.11000,44.98000,41.23000,42.39000,1408600
2021-12-13,43.85000,46.32000,40.93000,42.85000,999800
2021-12-14,41.93000,43.73000,41.45000,42.62000,816400
2021-12-15,43.14900,46.96000,41.71000,46.85000,808000
2021-12-16,48.35000,49.74000,44.15000,44.74000,1051500
2021-12-17,43.70000,48.93000,43.31500,48.46000,916000
2021-12-20,46.58000,47.62000,45.49000,45.71000,763500
2021-12-21,46.25000,50.08500,46.24000,49.54000,651600
2021-12-22,49.33000,52.32000,49.33000,50.60000,832200
2021-12-23,50.60000,51.95000,49.56000,51.65000,362300
2021-12-27,51.75000,55.68000,51.75000,55.24000,867700
2021-12-28,55.24000,55.85000,52.53000,55.02000,689900
2021-12-29,54.54000,56.58000,52.65000,55.36000,414700
2021-12-30,55.38000,55.87000,54.27000,55.02000,359800
2021-12-31,55.24000,56.00000,53.57100,53.96000,347100
2022-01-03,54.74000,55.41500,51.68000,54.42000,976600
2022-01-04,54.91500,55.92000,47.78000,50.28000,1501200
2022-01-05,49.55000,49.84000,45.06000,45.75000,995600
2022-01-06,47.01000,49.69500,45.76000,47.62000,868600
2022-01-07,46.83000,49.36000,45.60000,46.10000,545700
2022-01-10,47.41000,47.62000,43.70000,47.26000,991400
2022-01-11,47.07000,49.00000,45.81600,47.50000,798600
2022-01-12,48.50000,49.20000,46.36500,46.42000,948600
2022-01-13,46.77000,46.98900,41.91000,42.00000,1397600
2022-01-14,41.77500,43.78000,40.26000,40.70000,2149800
2022-01-18,40.00000,41.09000,36.33000,36.78000,2082200
2022-01-19,36.80000,37.45000,34.84000,35.59000,2590300
2022-01-20,33.83500,34.20000,26.57000,30.13000,10497200
2022-01-21,29.02000,30.31800,27.54000,28.79000,2963600
2022-01-24,28.03000,29.97000,26.04000,29.59000,1670500
2022-01-25,28.58000,29.72800,27.75000,28.65000,1695400
2022-01-26,29.38000,32.00000,29.10000,29.94000,1544100
2022-01-27,30.12000,30.52000,27.37000,27.63000,957200
2022-01-28,27.45000,29.20000,26.85000,29.15000,459000
2022-01-31,29.17000,32.25000,28.75000,32.00000,1014400
2022-02-01,32.52000,33.87000,31.36000,33.25000,927000
2022-02-02,33.49000,33.65000,31.73100,31.86000,424600
2022-02-03,30.47000,31.01000,28.79000,29.06000,813400
2022-02-04,29.69000,31.03000,29.05000,30.55000,507400
2022-02-07,30.99000,32.92000,30.63000,30.93000,580700
2022-02-08,30.85000,32.57000,30.38000,32.04000,782600
2022-02-09,32.70000,34.19000,32.38000,34.13000,762400
2022-02-10,32.90000,35.65000,32.62000,33.15000,838000
2022-02-11,33.17000,34.02500,31.68700,32.08000,436300
2022-02-14,32.00000,33.30000,31.03500,31.84000,526600
2022-02-15,32.90000,33.60000,32.42000,33.54000,363800
2022-02-16,33.24000,33.33000,31.61000,32.05000,467100
2022-02-17,31.37000,31.82000,28.82000,29.25000,584200
2022-02-18,29.11000,29.77400,28.35000,28.58000,808600
2022-02-22,28.06000,29.92800,27.76000,28.18000,456100
2022-02-23,28.82000,28.93000,26.64000,26.75000,641500
2022-02-24,25.31000,29.15000,25.12000,28.82000,761000
