date,open,high,low,close,volume
2023-09-25,281.20001,302.50000,280.80499,296.73999,14501980
2023-09-26,297.50000,305.17001,292.10001,300.69000,5567700
2023-09-27,299.42999,332.29999,296.00000,327.09000,16171820
2023-09-28,333.39001,352.10001,327.50000,344.06000,25408880
2023-09-29,343.79501,347.50000,324.55499,327.34000,6922210
2023-10-03,327.79999,328.57999,314.29999,315.98001,1651060
2023-10-04,315.70001,339.50000,309.99500,335.89999,5821970
2023-10-05,336.01999,346.41000,333.30499,338.42499,2547960
2023-10-06,339.54501,340.42499,327.50000,330.60999,1144860
2023-10-09,324.99500,329.78500,317.70001,319.38501,916310
2023-10-10,322.89999,327.50000,320.00000,321.14001,821910
2023-10-11,324.20001,327.10001,322.09500,323.32999,667730
2023-10-12,325.39999,326.25500,319.10001,321.13000,443070
2023-10-13,322.20001,324.49500,316.10999,317.75500,501170
2023-10-16,319.39999,320.45499,310.10001,310.98001,806410
2023-10-17,314.00000,334.89499,314.00000,331.41501,5494750
2023-10-18,331.54501,339.50000,327.39001,330.88501,2010690
2023-10-19,330.10001,335.99500,324.53000,331.04001,1131930
2023-10-20,330.00000,336.01001,326.00000,327.78000,989230
2023-10-23,328.00500,334.00500,308.10001,313.30499,1263020
2023-10-25,314.44000,317.74500,296.20999,302.20499,1634990
2023-10-26,300.29999,307.00000,288.50000,304.19501,1535160
2023-10-27,306.40500,317.00000,306.00500,311.23999,1273610
2023-10-30,314.00000,316.39999,305.14999,306.81500,650070
2023-10-31,309.39999,316.98999,308.51999,310.57501,997030
2023-11-01,312.89999,321.29501,310.54001,312.98499,1024130
2023-11-02,316.09500,323.92999,313.52499,318.57501,1235730
2023-11-03,319.70001,323.89499,318.14001,319.39499,609430
2023-11-06,324.20001,327.29999,320.00000,321.45499,707280
2023-11-07,322.79999,324.79999,317.39999,323.48499,521490
2023-11-08,327.00000,334.50000,324.00000,326.48999,1046920
2023-11-09,325.00000,326.75500,318.10001,319.82501,501120
2023-11-10,319.92001,321.87000,316.66501,319.49500,303950
2023-11-13,322.80499,324.32999,320.00000,322.26501,322350
2023-11-15,324.99500,333.98999,322.79999,324.51501,1124090
2023-11-16,326.00000,329.24500,324.79999,325.74500,477050
2023-11-17,327.00000,390.89001,325.97501,390.89001,24807360
2023-11-20,398.70001,459.87000,396.70001,450.17499,50042990
2023-11-21,450.17499,473.66000,425.00500,428.41501,27952110
2023-11-22,430.39999,440.00000,412.80499,418.03000,8789110
2023-11-23,420.23001,422.20999,404.10001,413.16000,4020700
2023-11-24,415.50000,432.17499,412.50000,414.36499,5277830
2023-11-28,414.79999,416.39999,403.11499,404.23001,2025270
2023-11-29,408.00000,414.70001,404.26001,409.64499,1561390
2023-11-30,410.99500,425.00000,404.00000,423.74500,3890530
2023-12-01,427.00000,428.00000,412.00000,413.92001,1698000
2023-12-04,424.99500,425.39999,414.04501,415.67001,937760
2023-12-05,417.00500,418.50000,408.00000,409.94000,995580
2023-12-06,412.50000,422.44501,404.29999,413.20001,1321090
2023-12-07,413.20001,434.79999,409.10001,421.45001,4102190
2023-12-08,422.79999,429.89999,416.10001,421.21500,1180550
2023-12-11,426.63501,431.39999,420.50000,422.76501,2001090
2023-12-12,425.29999,433.20001,420.50000,422.57001,1533720
2023-12-13,424.10001,432.89999,423.39001,425.01501,1969710
2023-12-14,430.00000,437.70001,426.00000,427.05499,2352230
2023-12-15,430.20001,437.38000,428.10001,430.32001,2074300
2023-12-18,430.50000,443.00000,426.12500,434.15500,2996980
2023-12-19,434.15500,436.07501,429.20499,430.52499,880300
2023-12-20,432.79999,437.50000,406.00000,408.78500,2876510
2023-12-21,409.00500,419.00000,402.00500,417.15500,1241370
2023-12-22,419.50000,424.04501,415.76501,419.92499,718940
2023-12-26,420.75000,423.99500,419.00000,421.53500,582870
2023-12-27,420.17999,433.99500,420.17999,426.04501,1152860
2023-12-28,428.06000,429.63000,422.60001,423.97501,546500
2023-12-29,426.06000,432.00000,422.50000,428.20499,1379720
2024-01-01,432.00000,432.04999,424.14001,425.87000,426030
2024-01-02,427.23999,429.30499,416.84000,421.14499,566380
2024-01-03,424.00000,430.00000,421.14499,425.38501,816520
2024-01-04,427.00000,429.70001,423.00000,424.46500,440780
2024-01-05,426.85501,434.70001,424.28500,429.01501,1376240
2024-01-08,431.50000,433.65500,427.50000,428.46500,716420
2024-01-09,430.00000,439.89999,425.50000,426.70001,1470970
2024-01-10,428.50000,432.39499,425.86499,427.70001,523140
2024-01-11,428.89999,453.29501,428.89999,448.03500,5312500
2024-01-12,452.01999,458.00000,439.03000,442.47501,1665840
2024-01-15,444.00000,445.79999,433.90500,435.54501,1142670
2024-01-16,437.99500,442.50000,429.20001,432.59000,819930
2024-01-17,433.10001,436.49500,423.95499,431.82501,796980
2024-01-18,430.00000,445.34000,424.00500,438.31500,1296210
2024-01-19,443.50000,468.00000,439.52499,456.31500,4139060
2024-01-23,451.00000,461.73499,434.78500,439.25500,1519690
2024-01-24,443.82001,457.98999,433.53000,453.78000,1498620
2024-01-25,456.00000,463.89001,451.56500,454.32999,1136900
2024-01-29,460.00000,494.39999,455.00000,482.83499,6906780
2024-01-30,479.49500,579.40002,475.65500,579.40002,19240960
2024-01-31,600.00000,610.00000,540.06000,563.56500,13036510
2024-02-01,569.50000,597.50000,563.02002,577.52002,4790620
2024-02-02,578.88501,591.00000,564.00000,568.03003,1475600
2024-02-05,572.40002,578.76001,547.65997,552.45001,1070740
2024-02-06,555.97998,564.53003,551.50000,557.34998,594980
2024-02-07,561.00000,582.49500,556.59998,558.22998,881760
2024-02-08,559.04498,563.58502,549.00500,552.20001,487250
2024-02-09,556.00000,564.98999,535.09998,542.69000,669490
2024-02-12,544.98499,544.98499,515.09998,522.80499,736180
2024-02-13,527.00000,538.19501,518.10999,525.31000,570070
2024-02-14,525.31000,550.00000,515.26001,547.31000,762750
2024-02-15,554.00000,560.90002,542.40503,553.48999,611980
2024-02-16,560.90002,573.50000,555.50000,562.17499,929040
2024-02-19,572.00000,582.00000,568.15503,572.15002,962380
2024-02-20,574.90002,589.29498,572.83002,585.20001,770870
2024-02-21,586.00000,672.09998,585.20001,647.46997,7672460
2024-02-22,650.00000,711.11499,635.20502,697.75000,8975400
2024-02-23,702.00000,704.50000,677.50000,680.71002,2505390
2024-02-26,685.70001,730.65002,685.00000,708.06500,2593110
2024-02-27,712.50000,717.40002,699.02502,713.66498,980290
2024-02-28,716.40002,730.29999,686.00000,698.52502,1383490
2024-02-29,702.90997,733.45001,663.59998,728.08502,730830
2024-03-01,758.00000,764.48499,728.00000,764.48499,661150
2024-03-04,837.70001,842.84003,830.00000,842.84003,487310
2024-03-05,874.50000,884.97998,860.00000,884.97998,417050
2024-03-06,926.99500,929.22498,845.09998,929.22498,1599800
2024-03-07,950.00000,975.68500,945.00500,975.68500,492990
2024-03-11,970.00000,971.00000,926.90002,926.90002,424110
2024-03-12,880.55499,880.55499,880.55499,880.55499,220430
2024-03-13,836.53003,836.53003,836.53003,836.53003,200010
2024-03-14,794.70502,794.70502,794.70502,794.70502,193340
2024-03-15,754.96997,754.96997,754.96997,754.96997,725110
2024-03-18,722.50000,749.90002,717.22498,717.22498,1402620
2024-03-19,681.36499,681.36499,681.36499,681.36499,389380
2024-03-20,647.29999,647.29999,647.29999,647.29999,232600
2024-03-21,614.93500,679.66498,614.93500,627.53003,2482890
2024-03-22,605.00000,614.89001,596.15503,596.15503,1055170
2024-03-26,566.34998,590.00000,566.34998,566.34998,1432830
2024-03-27,549.00000,594.66498,541.50000,594.66498,1558250
2024-03-28,618.40002,624.39502,606.50000,624.39502,923520
2024-04-01,644.90002,655.60999,638.50000,655.60999,667370
2024-04-02,684.92999,688.39001,676.40002,688.39001,370660
2024-04-03,722.80499,722.80499,722.80499,722.80499,313440
2024-04-04,754.40002,758.94501,690.00000,747.79999,1785540
2024-04-05,728.50000,740.00000,712.50000,728.78003,759660
2024-04-08,740.00000,745.00000,697.00000,706.02502,602580
2024-04-09,720.00000,720.00000,685.00000,687.89502,398510
2024-04-10,687.90002,700.00000,670.00000,690.50500,308290
2024-04-12,693.00000,714.98999,690.50500,695.20502,340920
2024-04-15,670.00000,690.00000,660.59998,682.62500,455400
2024-04-16,664.00000,697.54498,664.00000,687.41498,249810
2024-04-18,700.00000,704.47998,689.00000,696.56500,379620
2024-04-19,678.10498,690.00000,675.00000,683.33502,235720
2024-04-22,693.00000,694.39001,676.50000,681.07501,255730
2024-04-23,686.79999,691.01001,680.00000,684.19000,170470
2024-04-24,687.98999,689.71997,663.59998,676.19501,275570
2024-04-25,681.00000,683.50000,662.70001,670.87500,297860
2024-04-26,671.50000,675.00000,664.00000,665.03003,194630
2024-04-29,670.00000,673.00000,657.00000,661.72998,198670
2024-04-30,663.88000,669.59998,660.00000,663.00000,139650
2024-05-02,669.50000,669.50000,654.59998,655.96002,206470
2024-05-03,657.00000,662.90002,648.00000,651.89502,172500
2024-05-06,652.50000,654.59998,631.09998,634.47998,205750
2024-05-07,633.50000,639.50000,618.09998,623.60999,202740
2024-05-08,619.00000,654.78998,615.00000,654.78998,133970
2024-05-09,687.52502,687.52502,680.00500,687.40997,671870
2024-05-10,687.50000,689.00000,662.50000,680.90503,412280
