date,open,high,low,close,volume
2025-03-26,19.45000,19.56000,19.15000,19.22000,143100
2025-03-27,19.38000,19.79000,19.23500,19.72000,188300
2025-03-28,19.74000,19.90000,19.30000,19.39000,192500
2025-03-31,19.48000,19.58000,18.89000,19.15000,306600
2025-04-01,19.29000,19.31000,18.92000,19.28000,219600
2025-04-02,19.19000,19.52000,18.91000,19.44000,247300
2025-04-03,18.78000,19.85000,18.53400,19.79000,486900
2025-04-04,19.27000,19.62000,18.39000,18.46000,581400
2025-04-07,17.86000,18.90000,17.72000,18.34000,351800
2025-04-08,19.20000,19.20000,18.21000,18.35000,282000
2025-04-09,19.00000,20.19000,19.00000,19.87000,709800
2025-04-10,19.98000,21.01000,19.90000,20.61000,594900
2025-04-11,21.30000,21.65000,21.11000,21.44000,545400
2025-04-14,20.96000,21.80000,20.91000,21.60000,363100
2025-04-15,21.78000,21.90000,21.50000,21.69000,369800
2025-04-16,22.34000,22.46000,21.89000,22.06000,247300
2025-04-17,21.84000,22.00000,21.62100,22.00000,402800
2025-04-21,22.59000,22.96000,21.76100,22.26000,375900
2025-04-22,22.26000,22.54000,22.05000,22.08000,566200
2025-04-23,21.28000,21.42500,20.92000,21.19000,865600
2025-04-24,21.56000,21.60000,21.02000,21.30000,566800
2025-04-25,20.91000,21.18000,20.69000,20.77000,405700
2025-04-28,20.72000,20.72000,20.31000,20.58000,506800
2025-04-29,20.55000,20.62000,20.20000,20.26000,536300
2025-04-30,20.00000,20.79000,19.87000,20.79000,330200
2025-05-01,20.34000,20.73000,20.34000,20.65000,441200
2025-05-02,21.05000,21.17000,20.60000,20.94000,644200
2025-05-05,21.60000,21.69000,21.20000,21.62000,488100
2025-05-06,22.00000,22.21000,21.79000,22.05000,405000
2025-05-07,21.97000,22.10000,21.66000,21.90000,546800
2025-05-08,21.94000,22.00000,21.47000,21.47000,742900
2025-05-09,21.75000,22.07000,21.57000,22.07000,498600
2025-05-12,21.22000,21.26500,20.01000,20.09000,762300
2025-05-13,20.04000,20.12000,19.74700,19.96000,473000
2025-05-14,19.75000,19.86000,19.36000,19.65000,541600
2025-05-15,19.77000,19.94000,19.53000,19.93000,520700
2025-05-16,19.54000,19.92000,19.41000,19.89000,2898100
2025-05-19,20.05000,20.34000,20.05000,20.34000,340000
2025-05-20,20.33000,20.83000,20.27000,20.81000,383900
2025-05-21,20.90000,21.41700,20.90000,21.32000,318000
2025-05-22,21.30000,21.30000,21.02000,21.13000,638500
2025-05-23,21.50000,21.85000,21.41000,21.78000,612300
2025-05-27,21.63000,22.00000,21.55000,21.56000,458100
2025-05-28,21.65000,21.90000,21.45000,21.81000,263600
2025-05-29,21.97000,21.98000,21.62000,21.74000,269200
2025-05-30,21.65000,21.92000,21.54000,21.91000,1240900
2025-06-02,22.41000,23.26000,22.41000,23.04000,526700
2025-06-03,23.30000,23.93000,22.82400,23.89000,926100
2025-06-04,24.00000,24.57400,23.95000,24.44000,515600
2025-06-05,25.13000,25.36000,24.55000,24.73000,491600
2025-06-06,24.70000,24.75000,23.91000,23.93000,445900
2025-06-09,24.12000,24.35000,23.90000,24.24000,472600
2025-06-10,24.19000,24.30000,23.65000,23.83000,389500
2025-06-11,23.83000,24.18000,23.73000,24.08000,292600
2025-06-12,24.42000,24.73000,24.38000,24.49000,241700
2025-06-13,24.66000,25.45000,24.66000,25.13000,560300
2025-06-16,25.15000,25.15000,24.43000,24.53000,418200
2025-06-17,24.59000,24.64000,24.26000,24.54000,261700
2025-06-18,24.40000,24.83000,24.25900,24.56000,541800
2025-06-20,24.51500,24.92000,24.30000,24.70000,679900
2025-06-23,24.72000,25.41000,24.72000,24.96000,342600
2025-06-24,24.53000,24.56000,23.87000,24.28000,358300
2025-06-25,24.15000,24.25000,23.67500,23.75000,732600
2025-06-26,23.90000,24.10000,23.66000,23.83000,311500
2025-06-27,23.50000,23.54000,22.82000,23.08000,592500
