date,open,high,low,close,volume
2023-09-25,14.88000,14.88000,14.48000,14.55000,2655900
2023-09-26,14.41000,14.76000,14.39000,14.51000,2084600
2023-09-27,14.51000,14.60000,14.44000,14.53000,1296400
2023-09-28,14.57000,14.81000,14.55000,14.68000,1956000
2023-09-29,14.74000,14.80000,14.51000,14.57000,1473400
2023-10-02,14.51000,14.57000,14.39000,14.45000,1859500
2023-10-03,14.41000,14.43000,14.07000,14.14000,2581700
2023-10-04,14.10000,14.18000,13.78000,13.95000,2125200
2023-10-05,13.95000,13.97000,13.77000,13.88000,1887800
2023-10-06,13.87000,13.95000,13.66000,13.87000,1997300
2023-10-09,13.90000,14.36000,13.90000,14.26000,1675500
2023-10-10,14.36000,14.53000,14.27000,14.47000,1799800
2023-10-11,14.51000,14.55000,14.22000,14.25000,1163700
2023-10-12,14.25000,14.31000,13.89000,14.03000,1303200
2023-10-13,14.01000,14.17000,14.01000,14.08000,1109000
2023-10-16,14.20000,14.61000,14.10000,14.56000,1764000
2023-10-17,14.50000,14.66000,14.46000,14.53000,1448100
2023-10-18,14.49000,14.55000,14.31000,14.40000,1688900
2023-10-19,14.38000,14.38000,14.06000,14.13000,2191100
2023-10-20,14.14000,14.25000,14.03000,14.07000,1896700
2023-10-23,13.98000,13.99000,13.73000,13.77000,1762300
2023-10-24,13.88000,14.13000,13.84000,14.10000,2040400
2023-10-25,14.08000,14.27000,13.94000,14.19000,1588100
2023-10-26,14.17000,14.20000,13.90000,14.07000,2136700
2023-10-27,14.07000,14.24000,13.98000,14.20000,3283500
2023-10-30,14.24000,14.56000,14.16000,14.37000,2098100
2023-10-31,14.35000,14.59000,14.34000,14.51000,2787700
2023-11-01,14.48000,14.67000,14.38000,14.53000,2311200
2023-11-02,14.58000,15.13000,14.58000,15.11000,1847000
2023-11-03,15.26000,15.66000,15.25000,15.53000,1810600
2023-11-06,15.43000,15.53000,15.33000,15.41000,2369800
2023-11-07,15.48000,15.80000,14.76000,15.45000,2112900
2023-11-08,15.10000,15.10000,14.74000,15.06000,2873300
2023-11-09,15.27000,15.81000,15.23000,15.33000,3549700
2023-11-10,15.30000,15.70000,15.30000,15.62000,2229300
2023-11-13,15.54000,15.68000,15.47000,15.61000,2626900
2023-11-14,15.83000,15.94000,15.73000,15.82000,2623700
2023-11-15,15.61000,16.05000,15.50000,16.00000,2084800
2023-11-16,15.99000,16.09000,15.73000,15.78000,1482300
2023-11-17,15.85000,15.99000,15.73000,15.80000,2508000
2023-11-20,15.76000,16.07000,15.75000,15.98000,1921600
2023-11-21,15.93000,16.03000,15.84000,15.86000,1645700
2023-11-22,15.89000,16.02000,15.79000,15.83000,1570900
2023-11-24,15.91000,15.97000,15.73000,15.88000,644200
2023-11-27,15.81000,15.97000,15.73000,15.79000,1890300
2023-11-28,15.73000,15.88000,15.29000,15.30000,2670400
2023-11-29,15.35000,15.53000,15.24000,15.47000,2653300
2023-11-30,15.48000,15.50000,15.25000,15.33000,3037800
2023-12-01,15.37000,15.73000,15.29000,15.65000,1941500
2023-12-04,15.56000,15.85000,15.53000,15.64000,2610100
2023-12-05,15.58000,15.60000,15.17000,15.24000,1994400
2023-12-06,15.24000,15.33000,14.97000,14.97000,2328900
2023-12-07,14.96000,15.27000,14.86000,15.19000,2738800
2023-12-08,15.19000,15.50000,15.15000,15.39000,1970200
2023-12-11,15.39000,15.44000,15.18000,15.23000,2480200
