date,open,high,low,close,volume
2025-03-19,3304.75000,3444.85010,3300.50000,3385.69995,132894
2025-03-20,3410.00000,3620.60010,3401.14990,3527.69995,332721
2025-03-21,3528.00000,3585.00000,3462.00000,3496.10010,204664
2025-03-24,3515.00000,3523.85010,3459.80005,3464.05005,147890
2025-03-25,3522.00000,3673.14990,3481.75000,3567.39990,387668
2025-03-26,3580.80005,3589.75000,3450.00000,3477.64990,103374
2025-03-27,3477.64990,3950.00000,3428.05005,3776.75000,218713
2025-03-28,3776.75000,3776.75000,3626.00000,3654.10010,119190
2025-04-01,3635.00000,3638.50000,3532.25000,3550.00000,48323
2025-04-02,3524.00000,3634.35010,3505.05005,3548.25000,102357
2025-04-03,3548.25000,3599.00000,3518.00000,3549.64990,55872
2025-04-04,3550.00000,3588.00000,3450.00000,3546.19995,32441
2025-04-07,3011.94995,3353.94995,3011.94995,3253.50000,66101
2025-04-08,3293.00000,3365.94995,3202.19995,3221.94995,61180
2025-04-09,3242.85010,3242.85010,3052.05005,3072.39990,186024
2025-04-11,3192.50000,3192.50000,3076.00000,3085.44995,111105
2025-04-15,3179.19995,3261.89990,3112.89990,3245.60010,133249
2025-04-16,3240.00000,3406.00000,3221.50000,3366.39990,95193
2025-04-17,3335.00000,3412.60010,3311.50000,3394.39990,43338
2025-04-21,3438.89990,3450.80005,3385.00000,3421.60010,31853
2025-04-22,3421.60010,3481.00000,3421.00000,3448.89990,83785
2025-04-23,3470.00000,3481.00000,3402.00000,3449.60010,43003
2025-04-24,3497.00000,3728.50000,3497.00000,3636.19995,480131
2025-04-25,3628.80005,3628.80005,3410.10010,3444.00000,130673
2025-04-28,3444.00000,3524.00000,3394.30005,3410.69995,79848
2025-04-29,3438.00000,3438.00000,3328.00000,3346.39990,84863
2025-04-30,3346.50000,3394.80005,3221.00000,3291.30005,104455
2025-05-02,3284.89990,3305.00000,3230.10010,3232.80005,44539
2025-05-05,3261.30005,3271.30005,3228.10010,3249.69995,37678
2025-05-06,3255.10010,3298.39990,3186.00000,3219.39990,30768
2025-05-07,3181.00000,3250.00000,3144.60010,3243.10010,48077
2025-05-08,3274.00000,3274.00000,3140.00000,3156.10010,51239
2025-05-09,3103.69995,3252.00000,3085.69995,3239.10010,61105
2025-05-12,3402.50000,3405.10010,3232.10010,3299.30005,243568
2025-05-13,3309.80005,3400.00000,3289.80005,3320.80005,159752
2025-05-14,3350.00000,3428.00000,3332.89990,3405.10010,375902
2025-05-15,3415.00000,3489.69995,3405.10010,3429.80005,144573
2025-05-16,3429.80005,3465.00000,3414.89990,3426.60010,65744
2025-05-19,3450.00000,3605.39990,3443.89990,3512.89990,221593
2025-05-20,3554.60010,3578.80005,3488.00000,3501.80005,130644
2025-05-21,3518.80005,3574.00000,3502.30005,3542.80005,95590
2025-05-22,3560.00000,3631.30005,3529.00000,3597.00000,141419
2025-05-23,3618.00000,3618.00000,3531.10010,3548.00000,48672
2025-05-26,3564.80005,3564.80005,3471.00000,3483.19995,52667
2025-05-27,3497.89990,3499.50000,3435.00000,3451.69995,77974
2025-05-28,3474.00000,3505.50000,3458.50000,3485.69995,64228
2025-05-29,3535.00000,3535.00000,3395.00000,3418.39990,89261
2025-05-30,3429.39990,3468.50000,3355.00000,3388.19995,187261
2025-06-02,3415.19995,3475.00000,3405.10010,3448.69995,68384
2025-06-03,3460.00000,3470.00000,3364.10010,3390.30005,58219
2025-06-04,3394.69995,3528.19995,3384.89990,3515.00000,339111
2025-06-05,3550.00000,3566.60010,3506.39990,3531.39990,106468
2025-06-06,3531.39990,3564.50000,3507.30005,3532.39990,37550
2025-06-09,3563.89990,3604.69995,3520.80005,3562.60010,373059
2025-06-10,3598.00000,3598.00000,3544.69995,3557.00000,92848
2025-06-11,3571.69995,3659.89990,3534.89990,3550.60010,263092
2025-06-12,3552.00000,3606.00000,3535.00000,3570.60010,74282
2025-06-13,3488.10010,3591.89990,3462.30005,3550.80005,49011
2025-06-16,3532.69995,3570.00000,3473.60010,3531.50000,41574
2025-06-17,3532.00000,3554.69995,3461.00000,3474.60010,32140
