date,open,high,low,close,volume
2025-03-26,50.27000,50.61000,49.69000,49.95000,53700
2025-03-27,50.13000,50.39000,49.78000,50.15000,40600
2025-03-28,50.18000,50.18000,48.87000,49.09000,34900
2025-03-31,48.63000,49.28000,48.05000,48.98000,74700
2025-04-01,48.49000,48.67000,47.62000,48.64000,65400
2025-04-02,47.74000,48.88000,46.88000,48.85000,61600
2025-04-03,46.78000,46.98000,45.02000,45.06000,82200
2025-04-04,43.38000,44.32000,42.45000,43.87000,96000
2025-04-07,42.36000,45.59000,42.24000,43.92000,118200
2025-04-08,45.30000,45.47000,42.91000,43.40000,68900
2025-04-09,42.81000,46.55000,42.05000,45.21000,126900
2025-04-10,44.40000,44.40000,42.48000,43.17000,69400
2025-04-11,42.66000,44.22000,42.05000,42.72000,66600
2025-04-14,43.16000,43.46000,42.22000,43.06000,62400
2025-04-15,43.85000,44.88000,42.79000,44.11000,73100
2025-04-16,43.93000,44.07000,43.56000,43.90000,67900
2025-04-17,43.91000,44.85000,43.77000,44.31000,65800
2025-04-21,43.99000,44.26000,43.61000,43.86000,52600
2025-04-22,43.76000,46.41000,43.76000,46.25000,78900
2025-04-23,47.50000,49.28000,47.50000,48.38000,95300
2025-04-24,47.98000,48.26000,46.94000,47.99000,75500
2025-04-25,47.87000,47.87000,47.12000,47.31000,39800
2025-04-28,47.65000,49.27000,47.65000,49.18000,63800
2025-04-29,49.36000,50.07000,49.00000,50.06000,77200
2025-04-30,49.02000,49.98000,46.15000,49.40000,71300
2025-05-01,49.55000,50.14000,48.66000,49.45000,53300
2025-05-02,50.07000,50.80000,50.00000,50.68000,47500
2025-05-05,50.42000,51.09000,49.60000,50.70000,36700
2025-05-06,50.11000,50.84000,49.97000,50.02000,48900
2025-05-07,50.69000,51.12000,49.75000,50.05000,47100
2025-05-08,50.29000,51.64000,50.29000,51.20000,50600
2025-05-09,51.40000,51.54000,50.49000,50.78000,40600
2025-05-12,52.84000,53.07000,51.24000,52.26000,58200
2025-05-13,52.64000,53.36000,52.27000,53.19000,53100
2025-05-14,53.00000,53.13000,52.48000,53.05000,52000
2025-05-15,53.01000,53.50000,52.68000,53.38000,50700
2025-05-16,53.14000,53.36000,52.13000,53.00000,48700
2025-05-19,52.46000,53.09000,52.42000,53.00000,40600
2025-05-20,52.87000,53.15000,51.67000,52.81000,51100
2025-05-21,52.35000,52.49000,51.34000,51.55000,55000
2025-05-22,51.16000,51.84000,50.84000,51.04000,52900
2025-05-23,49.92000,50.88000,49.91000,50.68000,42400
2025-05-27,51.35000,52.21000,50.73000,51.99000,33900
2025-05-28,51.82000,51.94000,51.34000,51.56000,34900
2025-05-29,51.79000,52.06000,51.34000,52.02000,37800
2025-05-30,51.73000,52.22000,51.09000,51.84000,55700
2025-06-02,51.72000,51.76000,50.24000,51.10000,61100
2025-06-03,51.18000,51.69000,50.75000,51.46000,50600
2025-06-04,51.39000,51.89000,50.34000,50.55000,50400
2025-06-05,50.54000,51.26000,49.70000,50.55000,38300
2025-06-06,51.35000,51.72000,51.00000,51.71000,32500
2025-06-09,51.94000,52.08000,51.60000,51.88000,34700
2025-06-10,52.16000,52.97000,52.00000,52.86000,32600
2025-06-11,53.04000,53.26000,52.53000,52.81000,47500
2025-06-12,52.48000,52.86000,51.87000,52.79000,42600
2025-06-13,52.03000,52.03000,51.09000,51.22000,50400
2025-06-16,51.91000,52.62000,50.52000,50.71000,62600
2025-06-17,50.54000,50.94000,50.25000,50.76000,50300
2025-06-18,50.52000,51.41000,49.72000,50.81000,39300
2025-06-20,51.31000,51.76000,50.67000,50.93000,81300
2025-06-23,50.92000,52.67000,50.92000,52.67000,60900
2025-06-24,53.00000,53.63000,52.80000,52.84000,45300
2025-06-25,52.86000,52.92000,51.94000,52.22000,88300
2025-06-26,52.51000,54.21000,51.91000,54.00000,52000
2025-06-27,54.18000,54.63000,53.76000,54.21000,124900
2025-06-30,54.28000,54.60000,53.92000,54.19000,68200
2025-07-01,53.66000,55.57000,52.66000,54.91000,77300
2025-07-02,54.96000,56.10000,54.66000,55.89000,58500
2025-07-03,56.17000,57.16000,55.77000,56.98000,36900
2025-07-07,56.60000,57.43000,55.97000,56.35000,51700
2025-07-08,55.67000,57.00000,55.29000,56.53000,80200
2025-07-09,56.87000,56.87000,56.03000,56.76000,69900
2025-07-10,56.78000,57.18000,56.52000,56.71000,51100
2025-07-11,56.62000,56.62000,55.45000,55.59000,58200
2025-07-14,55.77000,57.91000,55.77000,57.84000,94900
2025-07-15,57.57000,57.57000,55.41000,55.41000,56100
2025-07-16,55.83000,56.26000,54.70000,55.82000,45800
2025-07-17,55.57000,56.80000,55.57000,56.35000,47800
2025-07-18,56.80000,57.41000,55.82000,56.06000,44900
2025-07-21,56.10000,56.67000,55.70000,55.81000,40800
2025-07-22,55.66000,57.43000,55.66000,56.55000,90300
2025-07-23,56.96000,56.96000,55.44000,56.48000,53500
2025-07-24,56.32000,56.34000,55.20000,55.41000,50400
2025-07-25,55.41000,56.05000,54.81000,55.08000,43800
2025-07-28,55.14000,55.86000,54.73000,55.78000,49600
2025-07-29,56.18000,56.18000,55.02000,55.21000,46500
2025-07-30,55.44000,55.71000,53.79000,54.18000,41300
2025-07-31,53.71000,53.83000,53.18000,53.55000,46100
2025-08-01,52.96000,53.17000,51.92000,52.44000,59400
2025-08-04,52.81000,53.29000,52.57000,53.23000,42200
2025-08-05,53.19000,53.52000,52.37000,53.32000,51800
2025-08-06,53.19000,54.01000,52.96000,53.25000,38000
2025-08-07,54.22000,54.22000,52.52000,52.57000,36400
2025-08-08,52.99000,53.54000,52.59000,53.31000,42300
2025-08-11,53.65000,53.83000,53.12000,53.41000,40100
2025-08-12,53.89000,56.09000,53.89000,55.86000,64300
2025-08-13,56.20000,56.64000,55.83000,56.56000,55700
2025-08-14,55.80000,56.32000,55.38000,56.23000,35300
2025-08-15,56.42000,56.42000,54.99000,55.06000,76000
2025-08-18,54.98000,55.59000,54.72000,55.51000,27300
2025-08-19,55.48000,56.14000,55.03000,55.27000,40700
2025-08-20,55.64000,55.88000,55.16000,55.54000,44400
2025-08-21,55.45000,55.62000,55.15000,55.46000,45800
2025-08-22,55.89000,58.57000,55.89000,58.35000,72300
2025-08-25,58.35000,58.56000,57.78000,57.96000,38000
2025-08-26,58.01000,58.77000,57.90000,58.57000,38500
2025-08-27,58.65000,59.29000,58.65000,59.27000,36600
2025-08-28,59.57000,59.70000,58.89000,59.33000,40700
2025-08-29,59.64000,59.64000,58.74000,59.00000,26900
2025-09-02,58.50000,59.45000,58.14000,59.24000,66900
2025-09-03,59.05000,59.74000,58.64000,59.38000,51100
2025-09-04,59.72000,60.21000,59.11000,59.93000,53400
2025-09-05,60.25000,60.77000,58.50000,58.63000,57700
2025-09-08,58.81000,58.81000,58.00000,58.68000,67100
2025-09-09,58.62000,58.79000,58.20000,58.32000,40800
2025-09-10,58.33000,58.91000,58.32000,58.48000,75200
2025-09-11,58.59000,59.07000,57.67000,58.80000,68300
2025-09-12,58.76000,58.84000,58.23000,58.35000,26500
2025-09-15,58.36000,58.79000,57.93000,57.94000,36400
2025-09-16,57.75000,58.09000,56.84000,57.20000,37800
2025-09-17,57.47000,59.50000,57.27000,57.96000,63900
2025-09-18,58.07000,59.72000,57.77000,59.72000,87700
2025-09-19,59.69000,59.69000,58.41000,58.46000,179900
2025-09-22,58.46000,58.82000,58.00000,58.35000,45000
2025-09-23,58.35000,59.50000,58.09000,58.50000,49800
2025-09-24,58.50000,58.82000,57.50000,57.84000,57900
2025-09-25,57.70000,57.92000,57.22000,57.62000,39800
2025-09-26,57.79000,58.92000,57.46000,57.81000,33400
2025-09-29,57.96000,63.04000,56.53000,56.93000,43500
2025-09-30,56.94000,57.38000,55.99000,56.44000,76000
2025-10-01,55.84000,55.84000,54.60000,55.19000,51700
2025-10-02,54.97000,54.97000,54.23000,54.53000,44700
2025-10-03,54.79000,55.34000,54.28000,54.40000,55800
2025-10-06,54.95000,55.33000,54.09000,54.55000,64500
2025-10-07,54.43000,54.96000,53.84000,53.86000,57000
2025-10-08,54.00000,54.02000,53.42000,53.66000,77400
2025-10-09,53.64000,53.64000,52.87000,53.58000,70500
2025-10-10,53.86000,54.56000,52.05000,52.05000,53200
2025-10-13,52.84000,53.11000,52.15000,53.11000,55100
2025-10-14,52.86000,54.76000,52.60000,54.69000,64400
2025-10-15,55.01000,55.01000,53.25000,53.66000,46300
2025-10-16,53.43000,54.30000,51.29000,51.69000,68100
2025-10-17,52.10000,52.48000,51.21000,51.56000,214900
2025-10-20,52.06000,54.20000,51.63000,54.18000,120100
2025-10-21,54.20000,54.50000,53.84000,54.29000,56700
2025-10-22,54.49000,55.46000,54.45000,54.85000,72700
2025-10-23,54.88000,55.23000,53.93000,54.44000,59500
2025-10-24,54.99000,55.72000,54.57000,55.29000,45800
2025-10-27,55.49000,55.49000,54.45000,54.52000,38200
2025-10-28,54.43000,56.29000,54.23000,56.22000,82700
2025-10-29,55.89000,55.89000,52.93000,53.45000,74700
2025-10-30,53.59000,55.76000,53.59000,54.19000,64300
2025-10-31,53.83000,54.00000,53.19000,53.32000,42600
2025-11-03,53.04000,54.05000,52.45000,53.59000,44100
2025-11-04,53.35000,54.14000,53.25000,53.71000,56300
2025-11-05,53.84000,55.65000,53.72000,55.62000,48800
2025-11-06,55.43000,56.16000,54.80000,55.49000,40900
2025-11-07,55.05000,56.19000,54.56000,56.12000,50200
2025-11-10,56.20000,57.45000,55.22000,56.94000,78000
2025-11-11,56.86000,57.21000,56.24000,56.59000,37900
2025-11-12,56.40000,57.93000,56.40000,57.30000,52000
2025-11-13,57.30000,58.00000,56.41000,56.76000,98900
2025-11-14,56.67000,57.13000,55.70000,56.76000,52400
2025-11-17,56.76000,56.99000,54.76000,54.96000,48800
2025-11-18,54.81000,55.49000,54.81000,55.28000,38100
2025-11-19,55.39000,56.06000,55.17000,55.85000,53000
2025-11-20,56.60000,57.00000,55.34000,55.47000,60000
2025-11-21,55.58000,57.60000,55.58000,57.42000,83600
2025-11-24,57.17000,57.69000,56.07000,57.69000,44200
2025-11-25,57.95000,59.71000,57.68000,59.19000,51400
2025-11-26,58.95000,59.35000,58.60000,58.98000,41000
2025-11-28,59.01000,59.01000,58.20000,58.37000,20200
2025-12-01,58.04000,59.49000,58.01000,59.47000,59200
2025-12-02,59.48000,60.00000,59.06000,59.17000,23900
2025-12-03,59.51000,60.56000,59.51000,60.51000,50100
2025-12-04,60.23000,61.39000,60.23000,61.19000,48100
2025-12-05,60.83000,61.44000,60.30000,60.42000,35400
2025-12-08,60.83000,61.24000,60.59000,61.16000,56200
2025-12-09,61.42000,62.35000,61.42000,61.83000,58100
2025-12-10,62.02000,64.57000,61.99000,64.15000,86500
2025-12-11,64.01000,65.00000,63.91000,64.18000,60700
2025-12-12,64.48000,64.48000,63.36000,64.14000,75700
2025-12-15,64.64000,65.08000,64.30000,65.01000,67100
2025-12-16,65.27000,65.69000,64.47000,64.70000,81400
2025-12-17,64.59000,65.36000,64.27000,64.34000,49900
2025-12-18,64.85000,65.79000,64.50000,65.57000,59300
2025-12-19,65.26000,65.50000,63.37000,64.02000,129200
2025-12-22,64.00000,64.70000,63.06000,63.28000,54800
2025-12-23,62.82000,63.78000,62.34000,62.39000,64100
2025-12-24,62.73000,63.24000,62.33000,62.56000,23000
2025-12-26,62.73000,63.05000,61.85000,62.02000,37600
2025-12-29,62.05000,62.60000,61.45000,61.61000,53500
2025-12-30,61.84000,62.41000,60.81000,60.87000,38100
2025-12-31,61.13000,61.25000,60.21000,60.42000,51000
2026-01-02,59.99000,60.01000,59.02000,59.52000,69900
2026-01-05,59.36000,61.61000,59.36000,60.88000,56500
2026-01-06,60.59000,60.91000,60.03000,60.91000,50800
