date,open,high,low,close,volume
2022-08-29,153.35001,166.00000,151.45000,164.45000,2177031
2022-08-30,165.89999,174.00000,162.85001,171.55000,3019147
2022-09-01,171.00000,177.89999,164.10001,165.75000,2285562
2022-09-02,167.50000,169.00000,162.70000,165.25000,1121091
2022-09-05,166.50000,171.95000,164.35001,167.95000,895084
2022-09-06,168.45000,169.39999,163.45000,166.39999,623019
2022-09-07,165.80000,172.95000,165.25000,169.60001,1177504
2022-09-08,171.00000,175.00000,170.00000,170.85001,1533132
2022-09-09,174.00000,175.00000,154.20000,156.80000,2409830
2022-09-12,162.45000,164.39999,158.00000,159.64999,2491900
2022-09-13,159.50000,159.75000,151.70000,155.95000,444463
2022-09-14,153.25000,159.64999,149.60001,155.50000,332051
2022-09-15,154.00000,162.00000,154.00000,160.30000,340742
2022-09-16,158.85001,158.85001,152.30000,152.30000,245448
2022-09-19,152.00000,153.89999,144.70000,149.60001,306965
2022-09-20,150.85001,157.05000,147.50000,154.35001,366794
2022-09-21,154.70000,154.80000,147.75000,148.89999,126949
2022-09-22,149.00000,154.64999,147.50000,150.50000,153412
2022-09-23,147.00000,158.00000,146.55000,150.35001,398295
2022-09-26,153.00000,153.00000,142.85001,142.89999,228876
2022-09-27,143.00000,143.80000,135.80000,141.05000,224143
2022-09-28,142.39999,148.10001,139.00000,147.60001,237023
2022-09-29,147.80000,154.00000,146.70000,149.14999,223392
2022-09-30,149.95000,153.75000,147.60001,149.20000,204034
2022-10-03,149.20000,153.00000,147.00000,148.89999,197255
2022-10-04,150.89999,156.30000,150.89999,155.89999,333746
2022-10-06,158.80000,163.60001,156.60001,159.89999,432592
2022-10-07,160.00000,162.00000,157.55000,160.30000,147828
2022-10-10,159.00000,166.00000,155.60001,162.55000,365892
2022-10-11,163.00000,165.00000,157.39999,157.70000,156441
2022-10-12,157.50000,159.89999,151.00000,157.25000,257942
2022-10-13,156.39999,161.95000,154.50000,160.35001,296634
2022-10-14,161.00000,165.00000,160.75000,161.95000,286319
2022-10-17,158.00000,163.39999,158.00000,162.50000,142966
2022-10-18,164.00000,166.00000,160.00000,161.35001,103672
2022-10-19,160.10001,164.89999,157.60001,162.20000,218417
2022-10-20,160.89999,164.55000,160.00000,162.25000,109578
2022-10-21,162.25000,163.85001,157.00000,158.50000,81709
