date,open,high,low,close,volume
2022-09-07,68.85000,78.90000,68.10000,75.40000,341770
2022-09-08,76.75000,82.00000,76.55000,77.20000,204319
2022-09-09,77.95000,80.50000,77.00000,79.15000,144975
2022-09-12,80.00000,94.10000,80.00000,89.35000,689560
2022-09-13,92.70000,95.95000,86.40000,88.20000,346628
2022-09-14,85.00000,87.90000,81.45000,85.30000,147009
2022-09-15,85.90000,86.95000,83.10000,85.00000,70148
2022-09-16,85.55000,85.65000,77.50000,79.15000,121733
2022-09-19,78.80000,80.45000,76.05000,76.75000,65413
2022-09-20,77.70000,88.50000,77.70000,85.50000,294660
2022-09-21,85.70000,85.70000,81.50000,82.55000,83644
2022-09-22,81.50000,83.50000,79.40000,81.25000,75778
2022-09-23,80.50000,81.95000,78.10000,78.45000,70154
2022-09-26,79.00000,79.00000,71.75000,73.60000,79309
2022-09-27,72.20000,75.95000,72.20000,74.20000,42047
2022-09-28,74.45000,76.50000,71.00000,74.50000,49788
2022-09-29,76.50000,76.70000,73.35000,73.55000,52999
2022-09-30,74.00000,78.20000,73.50000,75.55000,49705
2022-10-03,77.25000,77.25000,73.50000,73.90000,33862
2022-10-04,75.90000,76.45000,74.65000,75.50000,28571
2022-10-06,75.00000,78.20000,75.00000,76.90000,33857
2022-10-07,77.90000,77.90000,75.60000,76.50000,22566
2022-10-10,76.25000,76.35000,74.55000,75.40000,34358
2022-10-11,76.25000,77.05000,73.60000,74.15000,26828
2022-10-12,75.25000,75.25000,72.20000,73.30000,22960
2022-10-13,74.70000,74.70000,69.05000,70.35000,48848
2022-10-14,72.40000,73.50000,70.25000,70.65000,41038
2022-10-17,71.85000,71.95000,67.35000,69.70000,40145
2022-10-18,71.85000,75.00000,70.20000,72.85000,50318
2022-10-19,72.85000,74.50000,71.30000,71.75000,11911
2022-10-20,71.10000,72.50000,70.50000,70.80000,13856
2022-10-21,72.40000,72.40000,70.05000,71.20000,14968
2022-10-24,73.00000,73.00000,67.70000,69.85000,27224
2022-10-25,69.05000,73.40000,69.00000,69.80000,39332
2022-10-27,70.40000,74.65000,70.05000,72.75000,79890
2022-10-28,73.00000,73.50000,70.55000,71.05000,23421
2022-10-31,72.85000,72.85000,70.10000,71.10000,15197
2022-11-01,72.30000,72.30000,70.85000,71.60000,8423
2022-11-02,72.50000,72.55000,71.05000,71.50000,13419
2022-11-03,71.80000,73.70000,69.90000,70.30000,27229
2022-11-04,71.80000,71.80000,70.00000,70.40000,19758
2022-11-07,71.70000,71.70000,70.30000,70.95000,13907
2022-11-09,70.35000,71.50000,70.25000,70.70000,19264
2022-11-10,71.45000,71.45000,68.30000,70.20000,27955
2022-11-11,71.35000,72.50000,70.55000,71.50000,29512
2022-11-14,74.10000,77.90000,73.40000,74.60000,136004
2022-11-15,76.00000,76.15000,72.55000,72.80000,28385
2022-11-16,73.00000,74.40000,72.40000,72.60000,23234
2022-11-17,72.60000,73.70000,70.00000,70.95000,36902
2022-11-18,72.20000,72.20000,69.10000,69.80000,32440
2022-11-21,71.25000,71.25000,69.15000,69.95000,20672
2022-11-22,71.20000,71.20000,69.50000,69.85000,12175
2022-11-23,71.25000,72.65000,69.60000,71.60000,21879
2022-11-24,72.85000,72.85000,71.90000,72.35000,33714
2022-11-25,73.50000,84.90000,72.10000,80.45000,810560
