date,open,high,low,close,volume
2016-02-04,43.74000,44.50000,43.61000,43.90000,1802900
2016-02-05,43.46000,43.68000,43.09000,43.47000,1803100
2016-02-08,42.30000,43.07000,41.78000,42.83000,8004100
2016-02-09,41.87000,42.06000,40.91000,41.40000,2636800
2016-02-10,41.01000,41.84000,40.75000,40.92000,1437200
2016-02-11,40.58000,40.86000,40.08000,40.62000,1579900
2016-02-12,41.59000,43.04000,41.50000,42.99000,6238800
2016-02-16,43.54000,43.59000,42.49000,42.64000,6911000
2016-02-17,42.76000,44.15000,42.74000,43.83000,3424000
2016-02-18,44.40000,44.49000,43.65000,44.03000,5937200
2016-02-19,43.89000,44.66000,43.78000,44.60000,7208300
2016-02-22,44.70000,45.42000,44.70000,45.42000,3166800
2016-02-23,44.52000,44.80000,43.72000,43.80000,4592900
2016-02-24,42.49000,44.10000,42.33000,43.93000,6009600
2016-02-25,44.36000,44.52000,43.69000,44.37000,3521500
2016-02-26,45.01000,45.10000,44.40000,44.71000,3144000
2016-02-29,44.66000,45.06000,44.48000,44.71000,3791300
2016-03-01,45.14000,45.69000,44.91000,45.56000,1971900
2016-03-02,44.94000,46.10000,44.86000,45.96000,1942600
2016-03-03,45.77000,46.49000,45.57000,46.42000,3386700
2016-03-04,46.70000,47.46000,46.58000,47.35000,2817400
2016-03-07,46.17000,47.65000,46.17000,47.23000,7904800
2016-03-08,47.11000,47.14000,46.21000,46.23000,1944200
2016-03-09,46.19000,46.68000,46.00000,46.54000,8275200
2016-03-10,46.31000,46.61000,45.63000,45.69000,2786000
2016-03-11,46.86000,47.60000,46.84000,47.60000,1863800
2016-03-14,46.93000,47.20000,46.51000,47.13000,1266500
2016-03-15,46.06000,46.53000,45.94000,46.32000,910300
2016-03-16,45.50000,46.75000,45.49000,46.49000,2028200
2016-03-17,47.26000,47.90000,46.74000,47.51000,1987800
2016-03-18,47.74000,48.00000,47.59000,47.82000,1717400
2016-03-21,47.02000,47.30000,46.51000,46.72000,2768400
