date,open,high,low,close,volume
2023-10-03,348.29999,355.95001,347.29999,352.10001,39707
2023-10-04,352.10001,354.70001,348.04999,350.35001,31243
2023-10-05,353.00000,354.35001,348.04999,349.95001,25268
2023-10-06,351.95001,354.00000,349.04999,350.70001,31112
2023-10-09,349.00000,349.60001,338.60001,341.70001,48022
2023-10-10,343.95001,348.14999,336.60001,339.04999,61832
2023-10-11,338.00000,406.00000,338.00000,374.14999,881594
2023-10-12,376.00000,376.00000,364.10001,366.20001,129222
2023-10-13,365.39999,382.14999,364.04999,369.10001,163423
2023-10-16,371.00000,379.00000,366.00000,369.50000,86014
2023-10-17,371.00000,374.14999,366.14999,367.54999,52879
2023-10-18,368.79999,373.10001,363.50000,365.35001,50837
2023-10-19,362.10001,366.60001,360.60001,362.54999,40234
2023-10-20,362.25000,364.89999,353.04999,354.70001,52781
2023-10-23,350.00000,354.64999,335.00000,340.00000,59007
2023-10-25,344.00000,359.89999,337.64999,344.29999,96933
2023-10-26,344.00000,345.89999,333.14999,344.60001,50876
2023-10-27,345.00000,362.04999,344.95001,354.29999,71983
2023-10-30,354.29999,360.20001,344.10001,346.70001,46690
2023-10-31,349.85001,358.75000,343.20001,345.39999,99665
2023-11-01,346.89999,351.29999,342.60001,344.10001,38880
2023-11-02,346.89999,349.95001,343.00000,344.45001,31473
2023-11-03,347.00000,354.04999,345.14999,346.39999,51221
2023-11-06,349.39999,354.50000,346.89999,348.70001,37460
2023-11-07,349.64999,352.79999,347.85001,350.14999,33660
2023-11-08,352.70001,354.95001,348.04999,350.29999,43578
2023-11-09,353.39999,360.54999,350.50000,353.14999,106559
2023-11-10,356.50000,367.95001,350.14999,354.60001,169255
2023-11-13,355.00000,357.95001,350.89999,351.75000,35967
2023-11-15,352.20001,356.60001,351.00000,351.79999,33162
2023-11-16,352.45001,362.00000,351.60001,355.75000,94083
2023-11-17,355.95001,356.89999,345.10001,350.29999,55191
2023-11-20,350.29999,351.64999,335.10001,341.29999,63169
2023-11-21,342.95001,350.00000,341.10001,343.04999,65851
2023-11-22,343.04999,345.95001,341.00000,343.20001,39647
2023-11-23,344.10001,346.85001,342.10001,343.64999,26977
2023-11-24,341.25000,353.70001,341.25000,344.20001,31531
2023-11-28,342.00000,347.89999,340.00000,342.75000,60047
2023-11-29,345.00000,346.64999,340.85001,342.79999,53266
2023-11-30,344.64999,348.00000,341.04999,343.04999,44937
2023-12-01,344.25000,347.20001,339.10001,340.25000,75599
2023-12-04,343.29999,352.00000,341.95001,344.39999,80111
2023-12-05,345.79999,349.89999,342.00000,343.60001,49239
2023-12-06,343.25000,362.00000,342.00000,348.10001,167859
2023-12-07,349.95001,356.20001,349.00000,352.45001,100274
2023-12-08,352.75000,356.39999,344.10001,348.35001,73783
2023-12-11,351.00000,354.79999,345.70001,347.29999,61515
2023-12-12,347.29999,416.75000,346.25000,370.25000,2243747
2023-12-13,372.00000,372.79999,360.50000,362.20001,179281
2023-12-14,363.64999,374.79999,349.95001,353.20001,269860
2023-12-15,354.60001,363.04999,352.14999,356.45001,115231
2023-12-18,356.45001,364.79999,354.54999,358.89999,105497
2023-12-19,360.89999,363.50000,354.00000,356.85001,78447
2023-12-20,358.50000,361.50000,340.00000,343.50000,114773
2023-12-21,342.00000,349.45001,340.20001,347.95001,51770
2023-12-22,349.39999,358.00000,347.54999,353.60001,57905
2023-12-26,353.60001,356.95001,351.60001,355.35001,44499
2023-12-27,356.39999,358.79999,351.89999,353.10001,50495
2023-12-28,352.39999,357.00000,351.04999,354.60001,55026
2023-12-29,355.85001,362.04999,353.79999,356.14999,94094
2024-01-01,356.14999,364.79999,355.25000,359.20001,93155
2024-01-02,360.14999,362.54999,354.70001,356.95001,39523
2024-01-03,357.79999,362.20001,350.00000,355.45001,64756
2024-01-04,355.45001,361.00000,355.00000,356.29999,59257
2024-01-05,358.04999,359.50000,353.25000,355.14999,45957
2024-01-08,355.00000,357.45001,348.00000,349.29999,45304
2024-01-09,353.25000,368.00000,350.00000,358.35001,295333
2024-01-10,359.70001,364.79999,353.00000,356.00000,97775
2024-01-11,358.79999,360.25000,355.95001,357.39999,39676
2024-01-12,359.25000,379.29999,357.45001,368.60001,763194
2024-01-15,374.70001,381.89999,372.00000,373.89999,282554
2024-01-16,373.00000,373.89999,362.00000,366.29999,119808
2024-01-17,364.50000,367.64999,360.10001,362.39999,55548
2024-01-18,360.00000,364.54999,350.04999,354.79999,89232
2024-01-19,355.60001,360.95001,350.25000,354.04999,78129
2024-01-23,360.79999,360.79999,343.00000,346.54999,67759
2024-01-24,345.00000,351.89999,342.89999,349.20001,73348
2024-01-25,350.70001,354.00000,349.20001,352.25000,40813
2024-01-29,354.95001,356.54999,345.10001,347.60001,67378
2024-01-30,349.85001,356.95001,347.29999,352.54999,73371
2024-01-31,353.54999,355.00000,351.95001,353.60001,38022
2024-02-01,355.00000,355.04999,346.35001,349.35001,43932
2024-02-02,351.89999,353.50000,345.04999,346.45001,78783
2024-02-05,347.45001,350.79999,344.00000,345.10001,47052
2024-02-06,345.10001,347.85001,343.10001,345.89999,36926
2024-02-07,348.79999,364.20001,346.35001,352.75000,124036
2024-02-08,354.75000,357.95001,350.79999,352.35001,57430
2024-02-09,354.85001,354.85001,341.29999,344.64999,71197
2024-02-12,339.95001,341.95001,320.00000,322.04999,123154
2024-02-13,317.20001,322.75000,307.79999,318.85001,55488
2024-02-14,318.85001,335.00000,318.85001,330.20001,91050
2024-02-15,334.50000,335.64999,325.54999,328.45001,45886
2024-02-16,332.50000,332.50000,325.60001,327.39999,40060
2024-02-19,328.54999,338.00000,328.20001,334.29999,54366
2024-02-20,335.00000,335.54999,330.04999,333.64999,24226
2024-02-21,336.85001,336.85001,327.10001,328.39999,35680
2024-02-22,328.00000,331.35001,319.60001,320.79999,54110
2024-02-23,322.20001,324.75000,318.85001,322.39999,41573
2024-02-26,323.75000,327.75000,319.75000,321.70001,31385
2024-02-27,321.70001,324.00000,321.10001,322.29999,25021
2024-02-28,321.10001,330.00000,310.00000,313.20001,76540
2024-02-29,314.45001,315.54999,309.89999,311.10001,32567
2024-03-01,312.79999,320.54999,312.79999,316.25000,46712
2024-03-04,319.89999,322.25000,313.35001,315.54999,37861
2024-03-05,316.39999,318.00000,310.04999,311.89999,34993
2024-03-06,311.89999,312.89999,301.00000,304.14999,52471
2024-03-07,305.20001,308.89999,303.29999,305.39999,40276
2024-03-11,305.00000,306.50000,290.10001,292.20001,90003
2024-03-12,292.25000,294.54999,277.00000,277.64999,89276
2024-03-13,279.25000,283.89999,241.00000,250.35001,129897
2024-03-14,242.00000,268.64999,238.00000,264.89999,113291
2024-03-15,266.75000,270.00000,257.10001,262.85001,40412
2024-03-18,263.00000,269.50000,262.75000,264.85001,67981
2024-03-19,264.14999,268.89999,256.10001,261.64999,61426
2024-03-20,259.95001,265.70001,252.55000,260.14999,56566
2024-03-21,262.89999,265.39999,258.10001,262.70001,67505
2024-03-22,262.70001,265.00000,261.50000,262.79999,53838
2024-03-26,263.79999,265.95001,251.35001,254.95000,84109
2024-03-27,254.00000,265.79999,246.95000,252.45000,103667
2024-03-28,254.39999,260.79999,248.50000,250.60001,79481
2024-04-01,252.60001,294.00000,250.60001,286.79999,696959
2024-04-02,286.79999,319.95001,278.35001,312.70001,905693
2024-04-03,307.00000,317.79999,298.29999,308.50000,348227
2024-04-04,313.89999,319.00000,303.54999,308.35001,147278
2024-04-05,307.89999,315.00000,302.64999,308.29999,93210
2024-04-08,310.45001,313.70001,304.10001,305.89999,69505
2024-04-09,307.00000,308.04999,298.10001,301.75000,51235
2024-04-10,302.75000,304.00000,297.25000,299.79999,68811
2024-04-12,297.25000,301.50000,295.60001,297.70001,35565
2024-04-15,296.95001,296.95001,282.00000,285.70001,62743
2024-04-16,285.00000,292.95001,284.45001,290.14999,45089
2024-04-18,292.89999,294.75000,288.00000,289.14999,40061
2024-04-19,289.14999,319.89999,281.35001,305.85001,352362
2024-04-22,306.89999,311.75000,297.25000,300.35001,141599
2024-04-23,297.29999,306.50000,297.29999,299.04999,74259
2024-04-24,301.39999,305.70001,299.50000,301.50000,54107
2024-04-25,301.50000,304.35001,298.10001,300.29999,42649
2024-04-26,302.64999,309.70001,301.10001,302.89999,74808
2024-04-29,301.00000,304.89999,299.14999,300.10001,29553
2024-04-30,302.60001,307.45001,299.04999,302.29999,48786
2024-05-02,307.00000,362.75000,306.04999,360.85001,4237953
2024-05-03,363.64999,373.70001,340.00000,342.60001,1950281
2024-05-06,345.95001,349.95001,324.29999,325.89999,295728
