date,open,high,low,close,volume
2023-10-02,7.41000,8.20000,6.72000,7.02000,36700
2023-10-03,6.93000,7.01300,6.52000,6.99000,21200
2023-10-04,6.99000,7.30000,6.75000,6.85000,27600
2023-10-05,7.04000,7.28000,6.87000,7.24000,17300
2023-10-06,7.10000,7.49000,6.59000,7.45000,47600
2023-10-09,6.66000,7.00000,5.25000,5.30000,149700
2023-10-10,5.36000,5.40000,4.70000,4.76000,184300
2023-10-11,4.78000,4.78000,4.00000,4.08000,124200
2023-10-12,4.05000,4.48000,3.60000,4.39000,137000
2023-10-13,4.26000,4.31000,3.95000,4.01000,44000
2023-10-16,4.02000,4.02000,3.48000,3.55000,73100
2023-10-17,3.70000,3.76000,3.51000,3.73000,53500
2023-10-18,3.81000,4.15000,3.54000,3.75000,89500
2023-10-19,3.75000,3.76000,3.35000,3.42000,44200
2023-10-20,3.40000,3.63000,2.97000,3.00000,79100
2023-10-23,3.02000,3.05000,2.62000,2.77000,94000
2023-10-24,2.97000,3.00000,2.83000,2.90000,32100
2023-10-25,2.98000,2.98000,2.79000,2.94000,22900
2023-10-26,2.94000,3.00000,2.78000,2.88000,36100
2023-10-27,2.88000,2.99000,2.81700,2.89000,16900
2023-10-30,2.98000,2.99000,2.73000,2.85000,34400
2023-10-31,2.72500,2.80000,2.51000,2.63000,52200
2023-11-01,2.65000,2.65000,2.44000,2.56000,24100
2023-11-02,2.60000,2.60000,2.39000,2.40000,31800
2023-11-03,2.47000,2.66000,2.41000,2.51000,48700
2023-11-06,2.59000,2.63000,2.42000,2.44000,50500
2023-11-07,2.46000,2.55000,2.15000,2.26000,74000
2023-11-08,2.25000,2.60000,2.08500,2.17000,149300
2023-11-09,2.19000,2.39000,2.10000,2.20000,120800
2023-11-10,2.19000,2.19000,1.80000,1.97000,96800
2023-11-13,2.16000,2.17000,1.98000,1.98000,70000
2023-11-14,2.00000,2.45000,1.88100,2.40000,80500
2023-11-15,2.49000,2.64000,2.11000,2.12000,122000
2023-11-16,2.18000,2.19000,2.07100,2.16000,20600
2023-11-17,2.17000,2.32000,2.17000,2.29000,42600
2023-11-20,2.66000,2.77000,2.40000,2.65000,96500
2023-11-21,2.64000,3.48000,2.60600,3.24000,178300
2023-11-22,3.19000,3.37000,2.86000,3.00000,53900
2023-11-24,2.94000,2.95000,2.62000,2.67000,36300
2023-11-27,2.68000,2.68000,2.15000,2.20000,235800
2023-11-28,2.20000,2.26000,1.98000,1.99000,172800
2023-11-29,2.08000,2.23000,2.05000,2.23000,98600
2023-11-30,2.19000,2.29000,2.14000,2.18000,48300
2023-12-01,2.10000,2.18000,2.09000,2.15000,88500
2023-12-04,2.09000,2.20000,1.95000,1.96000,158500
2023-12-05,2.00000,2.00000,1.85000,1.87000,82000
2023-12-06,1.95000,1.99400,1.88000,1.92000,28300
2023-12-07,1.90000,1.92000,1.83000,1.83000,67800
2023-12-08,1.81000,1.85000,1.80000,1.85000,53500
2023-12-11,1.80000,1.87000,1.80000,1.83000,69200
2023-12-12,1.81000,1.83000,1.72000,1.79000,89100
2023-12-13,1.79000,1.83000,1.75000,1.77000,76200
2023-12-14,1.79000,2.04000,1.79000,1.97000,248500
2023-12-15,1.97000,2.04000,1.96000,2.00000,116700
2023-12-18,2.01000,2.04000,1.96000,2.00000,115500
2023-12-19,2.00000,2.12000,1.94000,2.00000,175500
2023-12-20,1.93000,1.99000,1.83000,1.88000,106700
2023-12-21,1.97000,1.99000,1.91000,1.99000,34500
2023-12-22,2.00000,2.06000,1.96000,2.01000,103800
2023-12-26,1.99000,2.01000,1.91000,1.99000,52600
2023-12-27,1.99000,2.19000,1.95000,2.14000,138100
2023-12-28,2.13000,2.19000,2.10000,2.15000,97500
2023-12-29,2.17000,2.17000,2.05000,2.09000,102800
2024-01-02,2.06000,2.10000,1.95000,1.97000,71400
2024-01-03,1.91000,2.00000,1.79000,1.98000,93500
2024-01-04,1.98000,1.98000,1.78000,1.80000,127900
2024-01-05,1.85000,1.85000,1.71000,1.76000,164800
2024-01-08,1.80000,1.80000,1.62000,1.67000,116200
2024-01-09,1.70000,1.73000,1.47000,1.50000,105100
2024-01-10,1.57000,1.67000,1.53000,1.55000,90300
2024-01-11,1.52800,1.57000,1.40000,1.49000,130800
2024-01-12,1.49000,1.69100,1.49000,1.52000,42400
2024-01-16,1.54000,1.58000,1.46000,1.54000,55300
2024-01-17,1.61000,1.65000,1.40000,1.45000,146100
2024-01-18,1.46000,1.60500,1.46000,1.54000,33600
2024-01-19,1.52000,1.52700,1.42100,1.46000,41700
2024-01-22,1.47000,1.49000,1.45000,1.46000,22400
2024-01-23,1.46000,1.47000,1.44000,1.45000,17900
2024-01-24,1.46000,1.46000,1.35000,1.40000,32500
2024-01-25,1.45000,1.48000,1.40000,1.44000,27700
2024-01-26,1.48000,1.49000,1.42000,1.43000,33500
2024-01-29,1.43000,1.51000,1.42000,1.50000,32700
2024-01-30,1.51000,1.51000,1.47000,1.51000,20000
2024-01-31,1.50000,1.51000,1.42000,1.46000,28700
2024-02-01,1.48000,1.48000,1.42000,1.42000,20700
2024-02-02,1.43000,1.43000,1.34500,1.37000,69900
2024-02-05,1.37000,1.37000,1.29000,1.33000,55700
2024-02-06,1.35000,1.40000,1.34000,1.40000,97600
2024-02-07,1.41000,1.45000,1.38000,1.40000,180000
2024-02-08,1.39000,1.43000,1.38000,1.43000,25500
2024-02-09,1.43000,1.43000,1.33000,1.35000,30900
2024-02-12,1.37000,1.44000,1.37000,1.39000,64900
2024-02-13,1.38000,1.42000,1.38000,1.39000,114600
2024-02-14,1.36000,1.68000,1.36000,1.68000,247900
2024-02-15,1.65000,2.12200,1.60000,2.04000,261900
2024-02-16,2.00000,2.00000,1.68000,1.81000,169600
2024-02-20,1.80000,1.80000,1.45000,1.46000,109700
2024-02-21,1.47000,1.47000,1.25000,1.31000,159200
2024-02-22,1.45000,1.55000,1.45000,1.48000,107700
2024-02-23,1.48000,1.49000,1.26000,1.32000,153800
2024-02-26,1.33000,1.45000,1.33000,1.33000,74000
2024-02-27,1.37000,1.41000,1.32000,1.32000,170200
2024-02-28,1.35000,1.36000,1.31000,1.34000,69500
2024-02-29,1.34000,1.38000,1.26000,1.35000,186100
2024-03-01,1.41000,1.41000,1.26000,1.34000,128200
2024-03-04,1.34000,1.38000,1.28000,1.33000,103000
2024-03-05,1.33000,1.33000,1.17000,1.29000,147200
2024-03-06,1.31000,1.37000,1.30000,1.37000,28800
2024-03-07,1.36000,1.37000,1.29000,1.32000,81200
2024-03-08,1.32000,1.33000,1.20000,1.20000,151000
2024-03-11,1.26000,1.28500,1.19000,1.20000,134400
2024-03-12,1.22000,1.26000,1.20000,1.22000,40800
2024-03-13,1.23000,1.27000,1.22000,1.22000,98300
2024-03-14,1.23000,1.23000,1.15000,1.15000,185600
2024-03-15,1.17000,1.18000,1.01000,1.01000,170000
2024-03-18,1.04000,1.09000,0.98000,0.98000,132900
2024-03-19,1.03000,1.06000,0.93000,0.95000,121700
2024-03-20,0.93000,0.99000,0.86000,0.99000,124100
2024-03-21,1.00000,1.08000,0.99000,1.04000,84800
2024-03-22,1.04000,1.06900,1.00200,1.03000,35400
2024-03-25,1.03000,1.06000,1.01000,1.04000,45300
2024-03-26,1.03000,1.07000,1.01000,1.06000,42800
2024-03-27,1.04500,1.06000,1.03000,1.06000,6600
2024-03-28,1.06000,1.07000,1.04000,1.07000,13600
2024-04-01,1.07000,1.07000,1.05000,1.07000,22900
2024-04-02,1.02000,1.06000,1.00000,1.00000,28900
2024-04-03,1.01000,1.04000,1.00000,1.03000,25200
2024-04-04,1.03000,1.05000,1.00000,1.02000,17600
2024-04-05,1.04000,1.04000,0.99000,1.02500,10500
2024-04-08,1.04000,1.06000,1.00000,1.04000,29000
2024-04-09,1.06000,1.17000,1.03000,1.14000,170500
2024-04-10,1.16000,1.17000,1.06000,1.10000,120600
2024-04-11,1.13000,1.13000,1.08000,1.13000,27100
2024-04-12,1.13000,1.13000,1.02000,1.10000,51700
2024-04-15,1.10000,1.10000,0.99000,1.03000,56100
2024-04-16,1.01000,1.02000,0.97000,1.00000,38200
2024-04-17,1.00000,1.00000,0.91000,0.92000,97400
2024-04-18,0.95500,1.01000,0.93700,0.99900,20800
2024-04-19,0.98900,0.99000,0.89900,0.91700,36600
2024-04-22,0.97000,0.98600,0.92000,0.98600,23300
2024-04-23,0.96000,1.06000,0.96000,1.02000,26300
2024-04-24,1.04000,1.04000,0.96800,0.97000,7400
2024-04-25,0.93200,1.02000,0.92200,0.95000,17500
2024-04-26,0.98000,1.14000,0.95000,1.07000,43500
2024-04-29,1.12000,1.15000,1.05600,1.15000,28700
2024-04-30,1.08000,1.11000,1.03000,1.10000,14000
2024-05-01,1.08500,1.11000,0.99000,1.10000,24700
2024-05-02,1.09000,1.14000,1.00000,1.12000,38900
2024-05-03,1.15000,1.16000,1.02000,1.12000,41100
2024-05-06,1.09000,1.15100,1.07000,1.10000,9800
2024-05-07,1.06000,1.16000,1.06000,1.13000,41100
2024-05-08,1.13000,1.15000,1.05000,1.15000,14100
2024-05-09,1.15000,1.15000,1.10000,1.10000,8600
2024-05-10,1.08000,1.14000,1.06000,1.08000,18200
2024-05-13,1.10700,1.15000,1.10000,1.14000,25600
2024-05-14,1.15000,1.39000,1.14000,1.36000,220900
2024-05-15,1.45000,1.54000,1.30000,1.45000,313900
2024-05-16,1.44000,1.50000,1.43000,1.43000,20400
2024-05-17,1.39000,1.41000,1.06000,1.12000,127200
2024-05-20,1.16000,1.26000,1.15000,1.23000,33300
2024-05-21,1.22000,1.28000,1.20000,1.27000,19500
2024-05-22,1.27000,1.50000,1.24000,1.46000,56700
2024-05-23,1.44000,1.45500,1.22000,1.30000,49400
2024-05-24,1.30000,1.47000,1.20000,1.27000,42800
2024-05-28,1.29000,1.40000,1.28000,1.40000,17400
2024-05-29,1.35000,1.42000,1.33000,1.40000,14000
2024-05-30,1.38000,1.52000,1.32000,1.47000,96300
2024-05-31,1.49000,1.54000,1.45000,1.52000,56300
2024-06-03,1.59000,1.60000,1.53000,1.55000,35800
2024-06-04,1.59000,1.60000,1.45000,1.50000,26300
2024-06-05,1.57000,1.66000,1.52000,1.56000,67300
2024-06-06,1.59000,1.69000,1.51000,1.53000,44900
2024-06-07,1.58000,1.62000,1.54000,1.59000,7000
2024-06-10,1.61000,1.65000,1.54000,1.54000,46800
2024-06-11,1.56800,1.67000,1.56700,1.63000,19700
2024-06-12,1.61000,1.79000,1.61000,1.74000,64000
2024-06-13,1.77000,1.79000,1.65000,1.67000,26900
2024-06-14,1.64000,1.67000,1.57000,1.60000,23000
2024-06-17,1.61000,1.69500,1.60000,1.64000,13800
2024-06-18,1.63000,1.63000,1.50300,1.54000,36100
2024-06-20,1.46000,1.54000,1.38000,1.45000,47300
2024-06-21,1.45000,1.45000,1.36000,1.42000,33800
2024-06-24,1.40000,1.48500,1.28000,1.29000,43900
2024-06-25,1.31000,1.39000,1.29000,1.35000,30200
2024-06-26,1.35000,1.40000,1.27000,1.27000,36000
2024-06-27,1.29700,1.43000,1.27000,1.35000,18300
2024-06-28,1.40000,1.54000,1.40000,1.54000,27500
2024-07-01,1.62000,1.62000,1.48000,1.53000,19100
2024-07-02,1.51000,1.61000,1.44000,1.56000,25800
2024-07-03,1.48000,1.62000,1.41000,1.56000,40100
2024-07-05,1.52900,1.61000,1.42000,1.60000,21000
2024-07-08,1.59100,1.60000,1.48000,1.57000,8900
2024-07-09,1.51000,1.51000,1.39000,1.42000,14900
2024-07-10,1.59000,1.85000,1.45000,1.73000,106800
2024-07-11,1.72000,1.72000,1.60000,1.62000,37300
2024-07-12,1.67000,1.70000,1.60000,1.67000,22800
2024-07-15,1.64000,1.65500,1.52000,1.54000,39600
2024-07-16,1.64000,1.64000,1.46700,1.55000,10500
2024-07-17,1.52000,1.63000,1.52000,1.61000,25400
2024-07-18,1.57000,1.58000,1.54000,1.55000,16500
2024-07-19,1.59000,1.68000,1.55000,1.55000,25500
2024-07-22,1.55000,1.55000,1.47000,1.51000,7400
2024-07-23,1.47000,1.53100,1.45000,1.53100,5200
2024-07-24,1.50800,1.52000,1.39000,1.46000,12800
2024-07-25,1.51000,1.67000,1.44500,1.58000,29200
2024-07-26,1.69000,1.70000,1.60000,1.70000,13800
2024-07-29,1.68000,1.80000,1.64000,1.74000,103400
2024-07-30,1.73000,1.73000,1.54000,1.60000,17300
2024-07-31,1.58000,1.60000,1.58000,1.60000,15100
2024-08-01,1.60000,1.66000,1.54000,1.58000,27000
2024-08-02,1.51000,1.56000,1.46000,1.50000,15000
2024-08-05,1.31000,1.48000,1.30000,1.45000,27300
2024-08-06,1.61000,1.70000,1.43000,1.44000,14100
2024-08-07,1.40000,1.40000,1.27000,1.27000,38100
2024-08-08,1.31000,1.38000,1.27000,1.29000,13700
2024-08-09,1.27000,1.33000,1.19000,1.26000,45100
2024-08-12,1.22000,1.25000,1.14500,1.19000,76700
2024-08-13,1.19000,1.19000,1.08000,1.08000,16700
2024-08-14,1.08000,1.08000,0.96000,0.96000,56100
2024-08-15,0.98000,1.14900,0.98000,1.07000,14000
2024-08-16,1.12000,1.23100,1.00000,1.06000,70600
2024-08-19,1.10000,1.15000,1.10000,1.14000,10700
2024-08-20,1.16000,1.21000,1.15100,1.20000,13500
2024-08-21,1.24000,1.28000,1.12700,1.21000,9500
2024-08-22,1.12000,1.22000,1.08000,1.14000,8600
