date,open,high,low,close,volume
2025-04-07,61.99000,61.99000,57.00000,59.78000,23987
2025-04-08,62.80000,62.80000,59.84000,61.03000,14344
2025-04-09,60.24000,61.24000,59.83000,60.96000,3337
2025-04-11,63.99000,63.99000,60.76000,61.20000,9803
2025-04-15,63.00000,64.00000,61.61000,62.14000,6742
2025-04-16,62.87000,63.58000,61.20000,62.14000,6656
2025-04-17,62.79000,65.61000,57.81000,62.24000,33119
2025-04-21,62.35000,64.43000,62.35000,63.55000,15382
2025-04-22,63.21000,65.00000,62.80000,64.23000,10150
2025-04-23,64.47000,64.95000,62.97000,64.41000,10298
2025-04-24,64.80000,65.04000,63.39000,64.24000,5423
2025-04-25,64.29000,64.31000,61.01000,61.88000,16458
2025-04-28,61.01000,63.50000,60.00000,62.03000,12223
2025-04-29,62.97000,64.85000,62.00000,63.66000,8048
2025-04-30,64.30000,64.30000,58.61000,59.54000,22591
2025-05-02,59.62000,61.09000,59.00000,59.71000,6908
2025-05-05,62.98000,63.39000,58.26000,60.37000,34744
2025-05-06,60.32000,60.32000,58.50000,59.66000,20118
2025-05-07,59.42000,60.25000,57.50000,59.14000,24918
2025-05-08,58.89000,61.99000,58.56000,60.67000,26679
2025-05-09,58.99000,60.28000,57.29000,58.17000,19960
2025-05-12,60.00000,62.50000,56.81000,61.54000,41412
2025-05-13,61.65000,62.68000,60.30000,60.95000,16795
2025-05-14,61.69000,62.38000,60.05000,61.10000,11164
2025-05-15,61.18000,62.40000,60.55000,61.74000,21393
2025-05-16,62.13000,63.00000,61.10000,62.61000,15178
2025-05-19,63.40000,71.90000,62.60000,66.95000,118837
2025-05-20,67.87000,69.00000,64.66000,65.88000,28485
2025-05-21,64.55000,77.89000,64.55000,73.58000,589627
2025-05-22,74.34000,75.67000,72.01000,72.89000,27953
2025-05-23,75.00000,75.00000,70.15000,71.39000,15829
2025-05-26,70.52000,72.79000,66.35000,68.38000,37282
2025-05-27,67.50000,69.10000,66.10000,67.31000,17328
2025-05-28,67.30000,70.39000,67.00000,67.78000,20998
2025-05-29,67.45000,71.75000,67.45000,71.07000,26467
2025-05-30,70.02000,72.29000,69.99000,71.68000,11040
2025-06-02,71.01000,76.90000,69.01000,70.84000,22316
2025-06-03,70.71000,71.96000,68.50000,69.43000,10343
2025-06-04,71.80000,71.80000,68.26000,69.53000,8014
2025-06-05,70.00000,71.40000,69.20000,70.49000,9314
2025-06-06,69.55000,71.00000,68.00000,70.40000,11119
2025-06-09,71.70000,71.70000,69.21000,70.14000,13246
2025-06-10,69.84000,73.85000,69.42000,71.26000,16740
2025-06-11,71.26000,73.80000,69.75000,71.66000,27975
2025-06-12,72.80000,72.99000,68.00000,69.34000,31263
2025-06-13,68.71000,70.79000,67.40000,70.07000,23933
2025-06-16,69.25000,71.69000,68.00000,69.41000,18037
2025-06-17,69.31000,70.46000,68.00000,68.93000,13758
2025-06-18,69.26000,69.99000,67.05000,67.86000,27954
2025-06-19,67.30000,69.76000,66.42000,68.28000,17570
2025-06-20,68.18000,69.99000,67.82000,69.30000,9411
2025-06-23,68.95000,71.70000,67.34000,70.54000,17166
2025-06-24,72.00000,73.12000,70.79000,72.49000,27053
2025-06-25,72.33000,74.00000,72.00000,73.36000,13944
2025-06-26,73.31000,77.50000,72.80000,76.80000,42867
2025-06-27,77.35000,81.25000,75.10000,78.95000,77803
2025-06-30,80.00000,82.98000,75.65000,80.57000,41025
2025-07-01,81.35000,82.00000,79.00000,80.44000,23962
2025-07-02,80.54000,80.54000,77.25000,79.10000,24670
2025-07-03,78.27000,82.07000,77.49000,81.33000,24831
2025-07-04,81.94000,83.90000,79.86000,82.60000,26940
2025-07-07,82.65000,85.79000,82.65000,84.19000,59746
2025-07-08,85.35000,85.35000,83.00000,83.93000,25467
2025-07-09,86.01000,90.24000,80.10000,80.44000,162432
2025-07-10,81.84000,81.93000,80.12000,80.42000,30192
2025-07-11,79.70000,80.66000,76.01000,79.48000,81255
2025-07-14,79.90000,80.86000,78.04000,80.31000,63335
2025-07-15,79.30000,86.50000,78.67000,83.12000,134984
2025-07-16,82.95000,82.95000,80.30000,81.45000,46133
2025-07-17,81.50000,82.45000,80.00000,81.54000,46294
2025-07-18,81.89000,83.90000,80.20000,82.10000,55018
2025-07-21,81.70000,81.98000,77.00000,80.08000,56356
2025-07-22,79.49000,81.49000,78.40000,80.61000,43539
2025-07-23,80.42000,82.80000,78.92000,82.12000,40570
2025-07-24,81.50000,82.77000,78.15000,80.87000,29348
2025-07-25,80.01000,83.90000,78.41000,83.23000,49253
2025-07-28,84.24000,84.24000,81.00000,83.40000,47370
2025-07-29,81.41000,82.90000,77.51000,82.21000,36853
2025-07-30,82.90000,82.90000,80.22000,81.32000,23416
2025-07-31,78.62000,82.40000,78.62000,81.80000,32769
2025-08-01,80.60000,82.53000,80.24000,80.49000,34020
2025-08-04,80.52000,82.00000,80.03000,81.62000,28476
2025-08-05,79.20000,82.30000,79.00000,80.91000,18944
2025-08-06,82.50000,82.50000,79.45000,81.49000,41066
2025-08-07,81.45000,81.88000,79.08000,80.43000,41996
2025-08-08,80.83000,81.82000,79.35000,81.19000,46384
2025-08-11,80.63000,83.49000,79.90000,81.61000,54739
2025-08-12,80.74000,83.78000,80.74000,82.67000,71075
2025-08-13,82.51000,82.78000,80.62000,82.15000,30330
2025-08-14,81.99000,82.78000,81.01000,81.90000,23438
2025-08-18,82.98000,82.98000,81.00000,82.51000,42941
2025-08-19,82.00000,84.64000,81.30000,84.02000,98723
2025-08-20,84.40000,84.99000,81.84000,82.45000,50807
2025-08-21,83.94000,83.94000,81.30000,82.09000,27048
2025-08-22,81.30000,83.40000,78.00000,82.29000,31656
