date,open,high,low,close,volume
2016-02-04,100.95000,101.70000,98.28000,101.05000,151200
2016-02-05,100.87000,100.87000,97.49000,97.97000,121100
2016-02-08,97.19000,101.01000,97.05000,100.75000,103300
2016-02-09,99.43000,102.31000,99.43000,100.04000,66400
2016-02-10,100.80000,102.31000,99.52000,99.87000,60400
2016-02-11,98.42000,99.66000,96.90000,98.80000,82400
2016-02-12,99.80000,100.96000,98.02000,100.19000,80000
2016-02-16,101.15000,102.07000,98.69000,101.60000,104100
2016-02-17,101.92000,102.10000,100.58000,101.16000,65100
2016-02-18,101.09000,102.51000,101.09000,102.07000,90300
2016-02-19,102.10000,105.26000,101.85000,105.02000,155200
2016-02-22,105.50000,105.60000,104.79000,105.28000,126500
2016-02-23,105.16000,106.39000,104.50000,105.39000,97100
2016-02-24,104.43000,106.54000,103.81000,105.91000,64500
2016-02-25,106.46000,106.91000,104.82000,105.39000,95400
2016-02-26,106.06000,106.10000,102.92000,105.69000,80200
2016-02-29,105.71000,106.92000,104.92000,105.41000,102800
2016-03-01,106.31000,106.88000,104.50000,106.69000,122900
2016-03-02,106.33000,107.63000,103.78000,104.61000,101100
2016-03-03,104.16000,106.42000,104.16000,106.36000,74800
2016-03-04,105.96000,107.42000,104.70000,106.69000,84100
2016-03-07,106.44000,108.60000,106.08000,108.51000,112200
2016-03-08,108.47000,108.47000,107.00000,107.48000,105400
2016-03-09,107.72000,108.45000,106.63000,108.14000,93600
2016-03-10,108.10000,109.93000,106.18000,107.21000,79000
2016-03-11,107.75000,109.41000,107.75000,109.19000,103200
2016-03-14,108.62000,109.92000,107.44000,108.00000,63500
2016-03-15,107.99000,108.76000,107.75000,108.19000,80800
2016-03-16,108.24000,109.58000,107.44000,109.15000,54200
2016-03-17,109.01000,110.67000,108.04000,109.99000,96000
2016-03-18,110.72000,111.27000,109.72000,110.36000,109500
2016-03-21,110.52000,111.95000,109.38000,111.37000,161500
2016-03-22,110.65000,113.66000,110.07000,112.85000,140400
2016-03-23,112.67000,113.53000,109.46000,109.74000,167500
2016-03-24,110.08000,111.45000,108.02000,111.34000,112600
2016-03-28,111.45000,111.45000,109.01000,110.03000,113300
2016-03-29,110.45000,112.81000,109.86000,112.81000,127800
2016-03-30,108.01000,110.24000,104.70000,109.66000,171200
2016-03-31,109.18000,110.00000,108.71000,109.12000,135900
2016-04-01,108.63000,110.95000,107.74000,110.66000,99900
2016-04-04,110.65000,110.65000,108.54000,108.74000,101700
2016-04-05,108.10000,109.43000,107.41000,108.10000,132100
2016-04-06,108.13000,108.81000,107.50000,108.49000,120400
