date,open,high,low,close,volume
2023-09-25,35.67000,35.88000,35.29000,35.42000,4100
2023-09-26,35.41000,35.41000,33.56000,33.59000,14100
2023-09-27,33.74000,34.19000,32.08000,32.39000,12100
2023-09-28,32.38000,33.37000,31.53000,31.95000,13100
2023-09-29,31.93000,31.93000,30.01000,30.35000,7600
2023-10-02,29.30000,29.50000,28.46000,28.82000,9300
2023-10-03,29.00000,29.00000,27.28000,27.69000,9900
2023-10-04,28.35000,28.35000,26.48000,27.05000,17200
2023-10-05,27.12000,27.27000,25.79000,26.40000,19900
2023-10-06,26.02000,28.75000,25.89000,26.93000,36400
2023-10-09,26.70000,26.88000,24.96000,26.37000,8800
2023-10-10,26.05000,27.13000,26.05000,26.70000,12500
2023-10-11,26.31000,26.95000,26.31000,26.44000,10900
2023-10-12,26.25000,26.25000,25.56000,26.00000,12500
2023-10-13,25.89000,26.53000,25.89000,26.00000,10100
2023-10-16,26.54000,27.50000,26.06000,26.75000,15400
2023-10-17,26.83000,28.31000,26.63000,26.76000,17000
2023-10-18,27.11000,27.70000,26.91000,27.39000,14500
2023-10-19,27.08000,27.82000,27.08000,27.39000,3700
2023-10-20,27.69000,29.77000,27.15000,27.66000,13900
2023-10-23,27.82000,28.20000,27.00000,27.00000,7700
2023-10-24,27.43000,27.70000,27.01000,27.37000,9200
2023-10-25,27.67000,28.43000,27.35000,28.10000,11600
2023-10-26,28.63000,29.40000,27.93000,29.40000,7300
2023-10-27,28.89000,29.80000,28.89000,29.37000,4600
2023-10-30,29.79000,30.47000,28.86000,30.30000,6800
2023-10-31,29.20000,31.70000,29.20000,30.73000,7800
2023-11-01,31.72000,31.72000,30.01000,30.02000,25000
2023-11-02,31.52000,31.72000,28.81000,31.58000,9600
2023-11-03,31.92000,32.30000,30.22000,32.30000,5700
2023-11-06,31.83000,32.50000,31.77000,31.77000,3100
2023-11-07,31.18000,31.20000,30.98000,31.20000,5600
2023-11-08,30.68000,31.00000,30.55000,31.00000,3700
2023-11-09,31.00000,31.41000,30.84000,31.21000,8300
2023-11-10,31.26000,31.54000,31.21000,31.54000,6500
2023-11-13,31.07000,31.45000,31.04000,31.22000,25200
2023-11-14,31.25000,34.51000,28.86000,34.51000,9700
