date,open,high,low,close,volume
2023-10-03,5.35000,5.45000,5.25000,5.25000,11205856
2023-10-04,5.20000,5.25000,4.80000,4.85000,47917916
2023-10-05,4.85000,5.30000,4.85000,5.25000,39200142
2023-10-06,5.30000,5.40000,5.10000,5.15000,23952495
2023-10-09,5.00000,5.00000,4.65000,4.80000,46106478
2023-10-10,4.85000,5.05000,4.85000,4.90000,17024168
2023-10-11,4.95000,5.05000,4.85000,4.90000,24900921
2023-10-12,4.95000,5.00000,4.90000,4.95000,10667738
2023-10-13,4.95000,5.00000,4.90000,4.90000,7134187
2023-10-16,4.90000,4.95000,4.85000,4.90000,7100215
2023-10-17,4.90000,5.25000,4.90000,5.05000,23796664
2023-10-18,5.10000,5.15000,4.90000,4.90000,19509391
2023-10-19,4.90000,5.00000,4.85000,4.90000,15659653
2023-10-20,4.90000,5.00000,4.85000,4.90000,10157732
2023-10-23,4.90000,4.95000,4.45000,4.65000,18560584
2023-10-25,4.60000,4.70000,4.35000,4.40000,24911274
2023-10-26,4.40000,4.60000,4.15000,4.45000,49845848
2023-10-27,4.50000,4.85000,4.45000,4.85000,22693514
2023-10-30,4.95000,5.00000,4.70000,4.85000,24520391
2023-10-31,4.80000,4.90000,4.55000,4.65000,26958389
2023-11-01,4.65000,4.70000,4.55000,4.65000,9103616
2023-11-02,4.65000,4.75000,4.60000,4.65000,10829726
2023-11-03,4.70000,4.80000,4.65000,4.65000,15621899
2023-11-06,4.75000,4.80000,4.65000,4.70000,11621010
2023-11-07,4.75000,4.85000,4.65000,4.75000,14253855
2023-11-08,4.80000,5.20000,4.80000,5.00000,38125402
2023-11-09,5.20000,5.20000,4.90000,4.90000,12674294
2023-11-10,4.95000,5.05000,4.90000,5.00000,13571561
2023-11-13,5.05000,5.10000,4.95000,5.00000,9962155
2023-11-15,5.05000,5.10000,5.00000,5.05000,9641485
2023-11-16,5.05000,5.10000,5.00000,5.05000,19089802
2023-11-17,5.10000,5.15000,5.05000,5.05000,13899074
2023-11-20,5.45000,5.55000,5.25000,5.50000,76188276
2023-11-21,5.60000,5.75000,5.35000,5.40000,34845506
2023-11-22,5.40000,5.45000,5.05000,5.15000,33592348
2023-11-23,5.20000,5.25000,5.10000,5.15000,13710002
2023-11-24,5.15000,5.20000,5.05000,5.10000,10752637
2023-11-28,5.10000,5.15000,5.00000,5.05000,12008756
2023-11-29,5.10000,5.15000,5.00000,5.05000,8347851
2023-11-30,5.00000,5.05000,4.95000,4.95000,7064919
2023-12-01,5.00000,5.05000,4.95000,5.00000,6108230
2023-12-04,5.05000,5.10000,5.00000,5.00000,11013616
2023-12-05,5.05000,5.05000,4.90000,4.95000,9744314
2023-12-06,4.95000,5.00000,4.90000,4.90000,8991477
2023-12-07,4.95000,5.20000,4.90000,5.05000,40852294
2023-12-08,5.10000,5.15000,4.95000,5.00000,14980859
2023-12-11,5.05000,5.30000,5.00000,5.10000,26029422
2023-12-12,5.15000,5.25000,5.05000,5.05000,26093865
2023-12-13,5.10000,5.25000,5.00000,5.10000,30261645
2023-12-14,5.15000,5.20000,5.05000,5.05000,9612439
2023-12-15,5.10000,5.15000,5.00000,5.05000,11787806
2023-12-18,5.05000,5.35000,5.05000,5.25000,56167512
2023-12-19,5.25000,5.30000,5.10000,5.15000,18416463
2023-12-20,5.15000,5.25000,4.85000,4.90000,49139813
2023-12-21,4.90000,5.05000,4.75000,5.00000,29424638
2023-12-22,5.05000,5.05000,4.95000,5.00000,13579118
2023-12-26,5.00000,5.05000,4.95000,4.95000,9544336
2023-12-27,5.00000,5.05000,4.95000,4.95000,10496273
2023-12-28,5.00000,5.00000,4.95000,4.95000,6060189
2023-12-29,4.95000,5.00000,4.90000,4.95000,20813000
2024-01-01,4.95000,5.00000,4.90000,4.95000,9114828
2024-01-02,4.95000,5.40000,4.90000,5.20000,47111519
2024-01-03,5.20000,5.35000,5.10000,5.15000,35398197
2024-01-04,5.25000,6.10000,5.25000,5.80000,158637609
2024-01-05,5.90000,6.05000,5.60000,5.90000,90036822
2024-01-08,6.00000,6.80000,6.00000,6.65000,159292722
2024-01-09,6.90000,7.30000,6.30000,6.40000,136901676
2024-01-10,6.50000,6.70000,6.25000,6.55000,42540472
2024-01-11,6.80000,6.85000,6.55000,6.60000,29753411
2024-01-12,6.70000,6.70000,6.40000,6.45000,29560785
2024-01-16,6.85000,7.00000,6.45000,6.65000,46874474
2024-01-17,6.65000,6.70000,6.45000,6.60000,25610119
2024-01-18,6.70000,7.05000,6.45000,6.60000,107203755
2024-01-19,6.95000,7.05000,6.70000,6.75000,76466989
2024-01-23,7.90000,8.00000,7.05000,7.30000,167606743
2024-01-24,7.55000,7.75000,7.20000,7.65000,95430648
