date,open,high,low,close,volume
2023-10-03,450.14999,454.29999,445.00000,447.29999,19515
2023-10-04,446.29999,456.95001,443.00000,450.64999,31854
2023-10-05,454.54999,459.04999,450.00000,451.95001,33084
2023-10-06,450.00000,454.29999,445.20001,447.70001,25019
2023-10-09,437.00000,447.00000,429.04999,432.25000,51151
2023-10-10,433.04999,452.00000,433.04999,444.50000,26000
2023-10-11,450.00000,452.50000,444.54999,445.29999,21744
2023-10-12,446.00000,454.00000,445.10001,448.60001,19298
2023-10-13,447.00000,452.04999,442.95001,444.29999,26749
2023-10-16,442.00000,449.00000,441.60001,442.70001,24772
2023-10-17,445.00000,450.54999,442.54999,446.45001,32552
2023-10-18,446.45001,449.75000,440.00000,441.75000,26551
2023-10-19,440.00000,443.95001,438.00000,440.70001,23572
2023-10-20,444.79999,444.79999,436.64999,437.89999,12134
2023-10-23,438.10001,440.29999,414.75000,420.04999,34720
2023-10-25,427.35001,427.35001,389.64999,406.45001,73216
2023-10-26,402.10001,408.20001,390.25000,406.45001,30225
2023-10-27,406.00000,426.00000,405.04999,420.00000,28529
2023-10-30,425.00000,425.00000,416.10001,417.79999,12361
2023-10-31,419.00000,429.75000,416.64999,420.39999,38668
2023-11-01,420.00000,425.60001,415.50000,416.39999,12131
2023-11-02,420.70001,424.25000,415.54999,418.54999,19082
2023-11-03,421.00000,427.79999,380.89999,407.79999,116692
2023-11-06,410.04999,418.60001,408.10001,412.10001,29380
2023-11-07,412.20001,417.00000,411.35001,412.89999,14993
2023-11-08,415.00000,418.64999,414.50000,415.10001,14764
2023-11-09,416.00000,417.89999,404.89999,406.79999,27826
2023-11-10,409.95001,411.04999,405.29999,409.39999,10829
2023-11-13,414.95001,416.00000,406.04999,414.70001,26728
2023-11-15,415.00000,418.95001,411.45001,412.35001,17887
2023-11-16,412.10001,415.14999,410.50000,412.10001,23112
2023-11-17,413.00000,439.00000,412.10001,425.35001,112922
2023-11-20,423.04999,429.79999,418.54999,421.79999,15263
2023-11-21,423.00000,425.70001,412.39999,413.60001,26697
2023-11-22,413.60001,417.95001,411.04999,412.64999,10281
