date,open,high,low,close,volume
2025-03-19,29.73000,29.93500,29.06000,29.56000,1078900
2025-03-20,29.53000,30.04500,29.01500,29.52000,1046100
2025-03-21,29.26000,29.85500,28.87000,29.79000,698900
2025-03-24,31.39000,31.87000,30.53000,31.36000,1051200
2025-03-25,31.35000,32.77000,31.10500,32.46000,757200
2025-03-26,32.25000,32.51500,30.84500,31.00000,601700
2025-03-27,30.83500,31.39000,30.05000,30.27000,641800
2025-03-28,30.27000,30.48500,28.93000,29.72000,879700
2025-03-31,29.15000,30.65000,29.13200,30.47000,1013300
2025-04-01,30.47000,30.99000,29.99100,30.95000,944900
2025-04-02,30.35000,31.88000,30.35000,31.66000,730800
2025-04-03,30.91000,32.77500,30.35000,32.38000,1182700
2025-04-04,31.36000,32.61000,31.06000,32.23000,1166400
2025-04-07,30.35000,33.44000,29.52000,32.69000,1105400
2025-04-08,33.72000,33.99000,31.59000,32.30000,1293700
2025-04-09,31.31000,34.73000,31.31000,33.79000,1718600
2025-04-10,33.33000,33.71000,32.23000,33.09000,967200
2025-04-11,33.25000,34.44300,32.73000,34.01000,752800
2025-04-14,34.45000,34.51000,33.30000,33.62000,844300
2025-04-15,33.71000,34.30500,33.45000,33.75000,642700
2025-04-16,33.68000,33.68000,32.38000,33.03000,626600
2025-04-17,32.84000,33.15000,32.37000,32.99000,681800
2025-04-21,32.71000,33.25500,32.10000,33.06000,998400
2025-04-22,33.08000,34.00000,33.02000,33.49000,609300
2025-04-23,34.00000,34.15000,33.23000,33.73000,768000
2025-04-24,33.47000,33.86500,33.00000,33.61000,548600
2025-04-25,33.49000,33.49000,32.67000,33.38000,455500
2025-04-28,33.36000,33.91000,32.48500,33.64000,629700
2025-04-29,33.59000,33.89000,32.42000,33.83000,492300
2025-04-30,33.37000,34.65000,32.82000,34.24000,651800
2025-05-01,34.35000,35.36000,33.78000,35.07000,606000
2025-05-02,35.27000,36.62000,35.27000,35.77000,718100
2025-05-05,35.75000,35.82000,35.10000,35.54000,723400
2025-05-06,35.61000,36.10000,35.00000,36.03000,746300
2025-05-07,36.04000,36.36000,35.43000,35.92000,577100
2025-05-08,34.96000,35.37500,31.67000,32.57000,1889800
2025-05-09,32.95000,34.28500,32.47000,33.82000,973800
2025-05-12,34.31000,34.69000,33.44000,34.56000,969300
2025-05-13,34.70000,34.98500,33.91000,34.16000,760100
2025-05-14,34.26000,34.94500,33.65000,33.68000,659600
2025-05-15,33.81000,34.55000,33.48500,34.25000,787700
2025-05-16,34.31000,36.15000,34.04000,35.80000,917800
2025-05-19,35.42000,36.20000,35.42000,35.99000,868100
2025-05-20,36.00000,36.28000,34.67000,34.70000,633900
2025-05-21,34.58000,34.82000,34.11000,34.15000,571200
2025-05-22,34.11000,34.76000,33.54000,34.34000,828300
2025-05-23,34.01000,34.14600,32.58000,33.23000,715900
