date,open,high,low,close,volume
2023-10-02,1.62000,1.76000,1.52000,1.56000,329288
2023-10-03,1.52000,1.55200,1.37190,1.40000,236333
2023-10-04,1.38000,1.38000,1.30000,1.33500,161706
2023-10-05,1.35000,1.35000,1.27000,1.27000,103430
2023-10-06,1.25000,1.34000,1.22000,1.29000,57869
2023-10-09,1.25000,1.28990,1.20000,1.24000,80629
2023-10-10,1.23000,1.35630,1.23000,1.28000,36665
2023-10-11,1.28040,1.34000,1.26180,1.27000,26916
2023-10-12,1.29000,1.31000,1.22500,1.25000,25184
2023-10-13,1.23000,1.29000,1.23000,1.24000,15026
2023-10-16,1.25000,1.28900,1.20000,1.20000,43807
2023-10-17,1.21000,1.25000,1.20000,1.20000,45062
2023-10-18,1.18000,1.20960,1.10000,1.13000,112098
2023-10-19,1.11000,1.13000,1.05000,1.08000,63034
2023-10-20,1.09000,1.09000,0.97500,0.99300,76768
2023-10-23,0.99500,1.06000,0.93000,0.96020,46333
2023-10-24,0.95000,1.00000,0.86000,0.91000,96938
2023-10-25,0.88270,0.97740,0.88270,0.90250,16826
2023-10-26,0.91060,0.99000,0.91020,0.91370,27147
2023-10-27,0.99000,0.99000,0.93570,0.93570,36993
2023-10-30,0.91970,0.96830,0.91910,0.96000,3293
2023-10-31,0.94000,0.99000,0.93000,0.94000,14801
2023-11-01,0.94000,1.11000,0.94000,1.06000,117679
2023-11-02,1.06000,1.21000,1.05000,1.17000,57673
2023-11-03,1.17000,1.27100,1.15470,1.20000,53170
2023-11-06,1.18000,1.30000,1.18000,1.20000,82896
2023-11-07,1.26000,1.31000,1.22300,1.26000,108137
2023-11-08,1.26000,1.29000,1.22000,1.29000,44198
2023-11-09,1.28000,1.30990,1.23000,1.25000,27876
2023-11-10,1.23000,1.26000,1.15810,1.20000,25323
2023-11-13,1.19000,1.19000,1.12990,1.17000,9988
2023-11-14,1.15000,1.27000,1.15000,1.24000,23428
2023-11-15,1.23000,1.25000,1.13000,1.17000,54603
2023-11-16,1.24000,1.24000,1.10000,1.14000,16204
2023-11-17,1.18990,1.19290,1.04360,1.12000,48045
2023-11-20,1.15000,1.34000,1.14000,1.24000,241508
2023-11-21,1.23800,1.33500,1.20000,1.22000,142192
2023-11-22,1.27000,1.35000,1.20500,1.29000,75831
2023-11-24,1.35320,1.35320,1.27500,1.29000,28238
2023-11-27,1.21010,1.38000,1.21010,1.32000,62736
2023-11-28,1.28000,1.43700,1.28000,1.40000,45925
2023-11-29,1.40000,1.49990,1.32000,1.35000,64523
2023-11-30,1.32000,1.38000,1.28000,1.29000,43376
2023-12-01,1.36000,1.47000,1.34000,1.34000,49306
2023-12-04,1.32000,1.44990,1.32000,1.37000,41886
