date,open,high,low,close,volume
2025-03-26,55.01000,57.88000,55.01000,56.01000,1452000
2025-03-27,55.80000,55.89000,54.36000,54.69000,858500
2025-03-28,54.59000,55.50000,52.34000,53.10000,717300
2025-03-31,52.50000,54.02000,51.34500,53.55000,1192400
2025-04-01,53.25000,54.60000,52.79000,54.19000,920800
2025-04-02,52.98000,54.70000,52.67000,54.26000,764300
2025-04-03,50.84000,51.00000,45.00000,45.41000,2013000
2025-04-04,42.98000,43.60000,36.99000,39.79000,3660400
2025-04-07,38.46000,42.62400,36.73500,40.74000,2931200
2025-04-08,43.00000,43.55000,38.27300,39.17000,2870300
2025-04-09,38.06000,46.76000,38.06000,45.93000,2563300
2025-04-10,43.57000,44.20000,39.54000,40.12000,1760100
2025-04-11,40.14000,43.06000,39.60000,43.00000,1769700
2025-04-14,44.54000,44.54000,42.44000,43.49000,1304400
2025-04-15,43.53000,44.72000,43.30000,43.48000,774600
2025-04-16,43.45000,45.25000,43.44000,44.28500,903000
2025-04-17,44.91000,47.19000,44.81000,46.68000,1332500
2025-04-21,45.88000,46.01000,43.48000,44.29000,1617600
2025-04-22,45.63000,45.63000,43.27500,44.97000,2191900
2025-04-23,43.12000,46.76000,41.43000,41.74000,3021500
2025-04-24,41.61000,42.70000,41.24000,41.44000,3335700
2025-04-25,41.31000,43.26500,40.11500,42.74000,2610500
2025-04-28,42.84000,43.54900,41.80000,42.12000,1662600
2025-04-29,43.61000,44.75000,42.40000,43.60000,2403900
2025-04-30,42.48000,42.49000,40.80000,41.40000,2022500
2025-05-01,41.20000,43.10000,41.20000,42.61000,2707200
2025-05-02,43.15000,45.00000,42.57000,44.73000,1439300
2025-05-05,43.63000,44.54000,43.15000,43.54000,1147700
2025-05-06,43.51000,44.89000,43.51000,43.72000,1500200
2025-05-07,43.72000,44.14000,42.58000,43.03000,1382600
2025-05-08,43.81000,46.11000,43.68000,45.56000,1282600
2025-05-09,46.37000,47.66000,45.60000,46.07000,1765400
2025-05-12,48.36000,51.17300,48.36000,48.88000,1251800
2025-05-13,49.21000,50.10500,48.96000,49.55000,817000
2025-05-14,48.99000,50.32000,48.99000,49.99000,959600
2025-05-15,48.98000,48.99500,47.26000,48.48000,815800
2025-05-16,48.71000,48.85500,47.82000,48.48000,754400
2025-05-19,47.63000,47.82500,46.86500,47.59000,640300
2025-05-20,47.59000,47.80000,46.94000,47.15000,579500
2025-05-21,46.87000,47.28000,45.38000,45.46000,1018200
2025-05-22,45.19000,46.20000,44.33000,46.13000,943100
2025-05-23,45.04000,45.93000,45.04000,45.50000,748300
2025-05-27,46.26000,46.52500,44.16500,45.64000,1451100
2025-05-28,46.40000,46.82000,45.07000,45.27000,1431300
2025-05-29,45.88000,46.27000,45.06800,45.65000,640200
2025-05-30,44.88000,44.88000,43.54000,43.60000,1399600
2025-06-02,45.09000,45.48000,43.24500,43.85000,1785300
2025-06-03,43.85000,47.58000,42.75000,46.83000,1550000
2025-06-04,46.68000,47.90000,45.97000,46.61000,1073900
2025-06-05,46.97000,47.33000,46.28000,46.83000,1036700
2025-06-06,47.54000,48.99000,47.54000,48.37000,732300
2025-06-09,48.99000,50.13000,48.37000,49.27000,894100
2025-06-10,50.00000,52.35000,49.43000,51.40000,1974300
2025-06-11,52.00000,52.67000,50.54000,52.26000,1621100
2025-06-12,51.44000,52.49300,50.50000,52.47000,626100
2025-06-13,53.44000,54.31000,51.92000,53.02500,1025800
2025-06-16,53.05000,53.25500,50.84000,51.86000,896700
2025-06-17,52.39000,53.22000,51.71000,51.75000,901700
2025-06-18,51.60000,52.10000,51.02000,51.18000,1061300
2025-06-20,51.79000,51.91000,50.74000,51.04000,1599500
2025-06-23,51.49000,51.49000,47.01000,47.06000,1505700
2025-06-24,46.87000,48.48000,46.20000,48.37000,903700
2025-06-25,48.47000,48.52500,47.29100,47.77000,789300
2025-06-26,47.85000,50.21500,47.75500,50.10000,1032700
2025-06-27,50.33000,50.98000,49.37000,50.08000,3195700
2025-06-30,50.30000,50.74000,49.45400,50.31000,1088500
2025-07-01,50.08000,53.77000,49.46700,52.14000,1091300
2025-07-02,53.01000,55.53000,52.07000,55.32000,1324100
2025-07-03,54.83000,55.25000,54.02500,54.15000,715900
2025-07-07,54.06500,54.73800,52.20500,52.94000,785600
2025-07-08,53.35000,57.48500,52.76200,57.14000,1395000
2025-07-09,57.14000,57.84000,56.32000,56.42000,908600
2025-07-10,56.15000,57.75000,55.44000,57.25000,875300
2025-07-11,56.85000,58.55000,56.39000,58.15000,794600
2025-07-14,57.71000,57.71000,55.28900,55.74000,796400
2025-07-15,56.01000,56.01000,53.49000,53.68000,818100
2025-07-16,53.75000,54.07500,52.61000,52.73000,640400
2025-07-17,52.62000,54.36500,52.33000,53.70500,741200
2025-07-18,54.68000,54.86000,52.59000,53.57000,1078700
2025-07-21,54.15000,54.83000,53.06000,53.45000,1047300
2025-07-22,53.55000,56.77000,53.55000,55.73000,1724800
2025-07-23,57.70000,59.60000,56.14000,58.38000,2237800
2025-07-24,57.92000,59.54000,56.44000,57.90000,1827300
2025-07-25,58.12000,58.24500,56.67000,56.86000,896600
2025-07-28,58.49000,60.11000,58.44000,58.97000,1186300
2025-07-29,59.03000,59.36000,57.84000,58.84000,801600
2025-07-30,58.60000,59.02900,57.20000,58.52000,1223100
2025-07-31,57.38000,58.66000,56.37000,56.55000,944900
2025-08-01,55.36000,55.59500,53.50000,54.74000,977400
2025-08-04,54.90000,55.96000,54.38000,55.85000,632900
2025-08-05,55.78000,58.14000,55.42800,57.60000,1005600
2025-08-06,57.22000,58.85500,55.21000,55.24000,814700
2025-08-07,56.16000,57.96000,54.70000,55.29000,719700
2025-08-08,55.38000,56.44500,54.50000,55.44000,661200
2025-08-11,55.74000,56.11000,52.70100,53.78000,991400
2025-08-12,54.44000,56.82000,54.07000,56.72000,885500
2025-08-13,56.33000,57.91500,55.90000,57.55000,849300
2025-08-14,57.45000,57.45000,55.14000,56.48000,921500
2025-08-15,56.23000,56.77000,55.24000,55.29000,627700
2025-08-18,54.85000,57.23000,54.68500,56.63000,602700
2025-08-19,56.79000,57.40000,55.70000,56.32000,529700
2025-08-20,57.16000,57.39200,55.61000,56.36000,619300
2025-08-21,56.27000,57.45000,55.80000,57.31000,554900
2025-08-22,57.03000,61.37000,57.03000,60.82500,790800
2025-08-25,60.44000,62.11000,60.03000,61.98000,959000
2025-08-26,61.06000,62.82000,60.57100,61.56000,1087500
2025-08-27,64.20000,64.80000,62.62000,63.68000,1585800
2025-08-28,64.02000,64.77000,62.53000,64.03000,789200
2025-08-29,64.00000,64.50000,63.09000,63.70500,725900
2025-09-02,63.01000,64.99000,62.30500,64.80000,971700
2025-09-03,63.91000,65.45000,62.31000,62.36000,1222500
2025-09-04,62.01000,63.00000,61.01000,62.67000,1052000
2025-09-05,61.73000,63.69000,61.00000,62.50000,851800
2025-09-08,62.67000,62.67000,60.23500,61.76000,650100
2025-09-09,62.13000,63.03000,61.69000,61.92000,518400
2025-09-10,62.02000,63.94000,61.78500,63.81000,818900
2025-09-11,63.00000,64.27500,62.55000,62.72000,664800
2025-09-12,63.24000,63.99000,61.89000,62.30000,621900
2025-09-15,62.71000,63.17000,61.20000,61.40000,474900
2025-09-16,61.88000,64.31000,61.64000,64.14000,602700
2025-09-17,64.10000,65.95000,63.11000,63.78000,671600
2025-09-18,64.76000,65.63500,63.47000,65.50000,786300
2025-09-19,65.50000,65.88000,63.10000,63.73000,1988700
2025-09-22,63.03000,65.00000,62.16000,64.38000,686700
2025-09-23,65.26000,68.28000,65.09500,67.33000,1065300
2025-09-24,68.43000,69.54000,67.26000,67.50000,954000
2025-09-25,66.36000,68.45000,65.80600,68.09000,745400
2025-09-26,68.74000,70.28000,68.44500,69.61000,768900
2025-09-29,69.29500,69.31000,67.51900,68.63000,554900
2025-09-30,67.52000,68.71000,65.86000,68.43000,713300
2025-10-01,67.96000,70.00000,67.80500,69.87000,668900
2025-10-02,69.35000,70.06000,65.71000,66.29000,1124500
2025-10-03,67.27000,67.53600,65.01000,65.64000,857900
2025-10-06,65.97000,66.39000,65.04000,65.10000,713400
2025-10-07,64.22000,66.39000,63.29200,65.44000,762300
2025-10-08,65.97500,65.97500,64.09000,65.16000,692500
2025-10-09,65.71000,66.64500,63.68000,64.35000,897900
2025-10-10,64.81000,64.95000,60.84000,61.45000,1013300
2025-10-13,63.09000,63.16000,61.19000,62.99000,611400
2025-10-14,61.15000,63.85000,61.00000,63.33000,472300
2025-10-15,64.25000,65.22000,62.00000,63.03000,824400
2025-10-16,64.14000,64.82000,62.04000,63.05000,883200
2025-10-17,62.59000,62.99000,61.75000,62.29000,1161300
2025-10-20,63.17000,65.25500,62.84000,64.92000,650700
2025-10-21,65.59000,67.41000,64.67000,66.72000,1145200
2025-10-22,66.47000,69.88000,65.13000,67.15000,2115400
2025-10-23,68.00000,70.76000,66.54000,70.71000,2022700
2025-10-24,71.35000,72.43100,70.36000,70.40000,880200
2025-10-27,71.89000,72.50000,69.64000,70.54000,722300
2025-10-28,69.59000,70.69000,69.14000,70.49000,1012000
2025-10-29,70.94000,73.79000,70.67500,73.18000,842300
2025-10-30,72.56000,74.00000,71.55000,72.55000,710500
2025-10-31,72.61000,74.29000,71.09000,73.69000,1236800
2025-11-03,73.74000,75.52500,72.49000,75.24000,736500
2025-11-04,74.12000,74.23500,72.61000,73.49000,462600
2025-11-05,73.56000,74.46000,72.26000,72.85000,519100
2025-11-06,73.17000,73.50000,70.56000,71.25000,998300
2025-11-07,71.17000,73.36000,68.86000,73.26000,766500
2025-11-10,74.02000,75.18000,72.64000,74.95000,616300
2025-11-11,75.05000,76.94000,75.00000,76.22000,751400
2025-11-12,75.84000,76.80000,71.89000,72.54000,855800
2025-11-13,73.16000,73.68300,70.71000,72.24000,1413100
2025-11-14,71.80000,73.79000,70.48000,72.20000,1021000
2025-11-17,72.05000,73.25000,70.13000,70.97000,545100
2025-11-18,70.31000,72.11000,69.37000,71.40000,766000
2025-11-19,70.22000,72.28000,69.42400,71.89000,420700
2025-11-20,72.69000,74.04400,69.67000,69.97000,530100
2025-11-21,69.92000,73.69000,68.49000,73.31000,769500
2025-11-24,72.64000,74.40000,71.48500,73.94000,515000
2025-11-25,73.57000,73.96000,71.59000,72.86000,668900
2025-11-26,72.93000,73.70000,72.21000,72.28000,708500
2025-11-28,72.29000,75.02000,72.24000,74.80000,370700
2025-12-01,74.80000,77.64000,74.80000,76.71000,774700
2025-12-02,76.66000,76.66000,73.54900,74.18000,796000
2025-12-03,75.37000,77.42000,75.08500,76.96000,632900
2025-12-04,77.27000,78.04000,76.14000,77.08000,524500
2025-12-05,77.25000,78.00000,76.30000,76.43000,551500
2025-12-08,76.15000,77.29000,75.32500,77.15000,694500
2025-12-09,77.15000,80.22000,77.13000,80.10000,948200
2025-12-10,79.70000,81.43000,79.04000,81.31000,1291000
2025-12-11,80.26000,81.96000,80.02000,81.21000,833500
2025-12-12,81.87000,82.25600,79.53500,80.34000,949800
2025-12-15,80.53000,80.76500,78.57000,78.99000,991400
2025-12-16,78.00000,78.42500,75.22500,76.23000,1465500
2025-12-17,77.16000,77.82000,75.36000,77.40500,1241800
2025-12-18,77.45000,77.45000,76.17000,77.00000,1843700
2025-12-19,76.90000,79.00000,76.69000,78.83000,1898000
2025-12-22,79.94000,81.22000,79.92000,80.47000,875300
2025-12-23,80.47000,81.11000,78.93000,79.83000,711300
2025-12-24,80.05000,80.05000,78.04000,78.10000,407800
2025-12-26,77.87000,78.25000,77.39000,77.66000,363200
2025-12-29,78.19000,78.68000,77.33000,78.07000,797200
2025-12-30,78.76000,79.45000,78.29500,79.13000,470200
2025-12-31,79.15000,79.30000,78.08000,78.26000,335900
2026-01-02,78.62000,81.48000,77.62500,80.89000,537700
2026-01-05,85.91400,91.23000,85.70000,88.61000,2343300
2026-01-06,90.00000,90.00000,87.71000,89.38000,1213300
2026-01-07,89.47000,90.00000,86.08000,86.36000,1210600
2026-01-08,87.28000,89.46000,85.91000,89.21000,1308900
2026-01-09,89.99000,90.93000,87.74000,89.24000,944100
2026-01-12,88.85000,89.39500,85.56500,85.98000,1043700
2026-01-13,87.01000,88.57000,86.94000,87.78000,1682800
2026-01-14,88.05000,88.70500,86.15000,86.70000,989700
2026-01-15,86.38500,86.52500,83.94000,84.11000,1322900
2026-01-16,84.86000,85.08900,83.44000,83.74000,816800
2026-01-20,83.30000,83.80000,82.22000,83.14000,1104900
2026-01-21,85.10000,88.65500,84.77000,88.50000,2336400
2026-01-22,88.50000,89.31500,86.45000,89.12000,1090500
2026-01-23,90.37000,93.13600,89.03500,89.93000,1737400
2026-01-26,90.54000,90.88000,89.37500,90.46000,1028100
2026-01-27,90.99000,93.64000,90.99000,93.26000,835800
2026-01-28,93.62000,93.78500,90.54000,91.44000,1369400
2026-01-29,94.27000,96.15000,92.69000,94.04000,1430700
2026-01-30,92.83000,94.83000,92.25000,94.08000,1042200
2026-02-02,91.01000,94.26000,90.23000,92.39000,1423100
2026-02-03,92.66000,96.16000,92.00000,95.99000,1831000
2026-02-04,97.69000,101.99000,96.60000,99.97000,2027700
2026-02-05,98.22000,101.47000,97.30000,100.96000,1278100
2026-02-06,101.23000,106.41000,101.04500,105.51000,1378200
2026-02-09,104.65000,105.74000,103.52900,104.25000,994400
2026-02-10,103.75000,104.12200,101.16000,101.84000,1016400
2026-02-11,104.23000,105.50000,101.10900,103.62000,1070800
2026-02-12,103.67000,104.25000,99.53000,100.70000,887600
2026-02-13,100.98000,103.05000,99.95000,101.42000,1177400
2026-02-17,101.60000,102.30000,99.60000,102.23000,1418200
2026-02-18,104.06000,105.46500,103.52600,104.85000,785500
2026-02-19,105.35000,107.13000,104.72000,105.54000,1314700
2026-02-20,104.20000,105.39000,102.38000,104.44000,819200
2026-02-23,104.44000,107.06000,104.00000,104.96000,914500
2026-02-24,104.96000,107.05000,104.30000,106.86000,834300
2026-02-25,108.04000,108.14000,103.78000,104.96000,803500
2026-02-26,103.92000,106.04000,102.45000,104.92000,605200
2026-02-27,105.60000,106.04000,104.41000,105.46000,779100
2026-03-02,110.57000,110.57000,102.35000,103.33000,1331500
2026-03-03,102.22000,102.88000,96.92000,97.83000,1933500
2026-03-04,96.98000,98.17000,95.20000,95.80000,1520500
2026-03-05,95.74000,96.29000,93.49000,94.27000,1721700
2026-03-06,94.34000,94.44000,90.04500,90.80000,1410400
2026-03-09,90.68000,91.02000,85.85000,90.95000,2838800
2026-03-10,89.94000,94.72000,89.70000,92.48000,1621900
2026-03-11,90.95000,93.01000,87.96000,92.69000,1481500
2026-03-12,91.51000,91.94000,84.84000,85.12000,2524900
2026-03-13,86.12000,87.47500,84.21000,86.53000,1587500
2026-03-16,87.35000,88.24000,86.04000,86.80000,1828200
2026-03-17,87.94000,89.88000,86.28000,86.40000,1739600
2026-03-18,87.54000,88.30000,83.53000,86.48000,2259500
2026-03-19,85.70000,89.91500,85.33000,87.51000,1769800
2026-03-20,87.26000,89.18600,85.28000,86.14000,2739200
2026-03-23,87.28000,92.26000,86.38300,91.55000,1612700
2026-03-24,91.57000,94.95000,91.01000,93.22000,1238500
2026-03-25,93.30000,97.18000,93.00000,97.03000,1602700
2026-03-27,96.15000,97.39000,94.73000,96.03000,828840
