date,open,high,low,close,volume
2025-02-21,4.35000,4.38000,3.30000,3.81000,396100
2025-02-24,3.50000,3.85000,3.03000,3.03000,121000
2025-02-25,3.06000,3.30000,2.32000,2.73000,154000
2025-02-26,2.81500,2.95000,2.35000,2.76000,107500
2025-02-27,2.70000,3.07000,2.51000,2.97000,146800
2025-02-28,2.86000,3.00500,2.70000,2.70000,43100
2025-03-03,2.80000,3.05000,2.58000,2.70000,116900
2025-03-04,2.73000,2.88000,2.51000,2.78000,104200
2025-03-05,2.57000,2.97000,2.57000,2.90000,58700
2025-03-06,2.80300,2.98000,2.70000,2.90000,21500
2025-03-07,2.71000,2.98700,2.63000,2.87000,52300
2025-03-10,2.80000,2.94400,2.66000,2.66000,11200
2025-03-11,2.70000,2.77600,2.40000,2.54000,52900
2025-03-12,2.40000,2.98000,2.40000,2.89000,132900
2025-03-13,2.74000,3.00000,2.50000,2.67000,152400
2025-03-14,2.75000,2.96000,2.74000,2.90000,89100
2025-03-17,2.81000,3.63000,2.80000,3.49000,85400
2025-03-18,3.50000,4.21000,3.19000,4.00000,52900
2025-03-19,3.95000,4.17000,3.45000,3.98000,61800
2025-03-20,4.17000,4.75000,3.64000,4.73500,857200
2025-03-21,5.16000,5.69000,4.15000,4.96000,965800
2025-03-24,5.34000,5.34000,3.91000,3.95000,414800
2025-03-25,3.73000,4.35000,3.73000,4.19000,128200
2025-03-26,4.07000,4.50000,3.88000,3.95000,104900
2025-03-27,4.00000,4.31100,3.77100,3.87000,119900
2025-03-28,3.63000,4.09100,3.52400,3.82000,99500
2025-03-31,3.72000,4.48000,3.55000,4.32000,153500
2025-04-01,4.46000,4.57000,4.00000,4.57000,107100
2025-04-02,4.61000,4.80000,4.10000,4.56000,83600
2025-04-03,4.35000,4.57000,4.20000,4.51000,32900
2025-04-04,4.39000,4.55000,4.11000,4.11000,54800
2025-04-07,4.00000,4.49400,3.88000,3.94000,104900
2025-04-08,4.19000,4.53000,3.68000,3.82000,115000
2025-04-09,4.21000,4.36000,3.68000,4.30000,366300
2025-04-10,4.63000,4.70000,3.68000,3.91000,348900
2025-04-11,3.92000,4.00000,2.75000,2.89000,404700
2025-04-14,3.01000,4.14000,2.99000,3.83000,448000
2025-04-15,3.67000,3.96000,3.61000,3.94000,47400
2025-04-16,3.81000,4.20000,3.56000,3.67000,144100
2025-04-17,3.62000,3.95000,3.09000,3.29000,149100
2025-04-21,3.27500,3.45000,3.07000,3.10000,51500
2025-04-22,3.15000,3.52500,3.15000,3.49500,63800
2025-04-23,3.55000,4.20000,3.52400,4.17000,143900
2025-04-24,4.18000,4.27000,3.87000,4.27000,42400
2025-04-25,4.01000,4.23000,3.84000,3.95000,49300
2025-04-28,4.01000,4.35200,3.63000,3.94000,32500
2025-04-29,3.85000,4.02000,3.65000,4.02000,68400
2025-04-30,4.00000,4.40000,3.25500,4.34000,107600
2025-05-01,4.25000,4.48000,4.06000,4.30000,62600
2025-05-02,4.26000,4.58000,4.06000,4.46000,60300
2025-05-05,4.43000,4.63500,4.31000,4.57000,22300
2025-05-06,4.57000,4.57000,4.33600,4.54000,15600
2025-05-07,4.37000,4.62300,4.12000,4.32000,24100
2025-05-08,6.60000,7.04000,2.84000,3.00000,12585600
2025-05-09,2.82000,2.85000,2.30000,2.71000,691300
2025-05-12,2.84000,2.93000,2.45600,2.56000,415100
2025-05-13,2.57000,2.66500,2.08000,2.10000,316900
2025-05-14,2.12000,2.14800,1.41000,1.79000,344000
2025-05-15,1.87000,2.60000,1.87000,2.33000,1081800
2025-05-16,2.39000,2.43000,2.21000,2.36000,152100
2025-05-19,2.30000,2.75000,2.29200,2.68000,164600
2025-05-20,3.00000,3.00000,2.60000,2.66000,188200
2025-05-21,2.62000,2.66000,2.19000,2.26000,193500
2025-05-22,2.31000,2.50000,2.30000,2.48000,59200
2025-05-23,2.47000,2.50000,2.25000,2.36000,76000
2025-05-27,2.40000,2.50000,2.35000,2.50000,118200
2025-05-28,2.55000,2.55000,2.29000,2.32000,43200
2025-05-29,2.42000,2.56000,2.32000,2.33000,43600
2025-05-30,2.34000,2.37000,2.00000,2.01000,119800
2025-06-02,2.05000,2.05000,1.77000,1.88000,106500
2025-06-03,1.92000,2.01000,1.85000,1.87000,91600
2025-06-04,1.93000,2.07200,1.92000,1.96000,85700
2025-06-05,2.02000,2.09500,1.71000,1.74000,149900
2025-06-06,1.78000,1.90000,1.42000,1.69000,165300
2025-06-09,1.70000,1.82000,1.70000,1.76000,65600
2025-06-10,1.73000,1.73500,1.42000,1.42000,275000
2025-06-11,1.40000,1.56000,1.40000,1.42000,244300
2025-06-12,1.42000,1.50000,1.35000,1.41000,89800
2025-06-13,1.48000,1.48000,1.30000,1.33000,136200
2025-06-16,1.33000,1.45000,1.33000,1.38000,63700
2025-06-17,1.40000,1.41400,1.28000,1.31000,42500
2025-06-18,1.33000,1.38000,1.17000,1.22000,151900
2025-06-20,1.23000,1.28400,1.20000,1.21000,70300
2025-06-23,1.20000,1.24000,1.03000,1.07000,132300
2025-06-24,1.07000,1.10000,0.97200,1.01000,163100
2025-06-25,1.00000,1.02500,0.90000,0.92000,172600
2025-06-26,0.93100,1.19000,0.93000,1.11000,290900
2025-06-27,1.20000,1.26000,1.01000,1.01000,1396800
2025-06-30,1.05000,1.08000,0.96000,0.96900,288500
2025-07-01,0.94000,0.96000,0.86900,0.90000,284100
2025-07-02,0.93000,0.99900,0.90000,0.91300,259000
2025-07-03,0.92000,0.97500,0.88000,0.91000,85400
2025-07-07,0.94800,0.95300,0.92000,0.94000,124700
2025-07-08,0.93900,0.94500,0.82000,0.88400,235000
2025-07-09,0.91000,0.91500,0.84000,0.86100,151100
2025-07-10,0.89400,1.01000,0.85000,1.00000,414800
2025-07-11,1.01000,1.03000,0.86000,0.91200,321100
2025-07-14,0.91200,0.97900,0.85200,0.86100,220300
2025-07-15,0.86000,0.89100,0.75100,0.80900,224900
2025-07-16,0.80000,0.85000,0.78200,0.85000,91800
2025-07-17,0.86900,0.98000,0.85000,0.92000,317400
2025-07-18,1.00000,1.74000,0.93800,1.01000,32865300
2025-07-21,1.11000,1.27000,1.02000,1.18000,4624700
2025-07-22,1.14000,1.16000,1.00000,1.03000,1174800
2025-07-23,1.06000,1.14000,1.03000,1.06000,580700
2025-07-24,1.07000,1.07000,0.91000,0.95000,783900
2025-07-25,0.91000,0.94500,0.89000,0.94000,543800
2025-07-28,0.99200,1.05000,0.95000,0.99000,1839000
2025-07-29,0.93000,0.97500,0.85000,0.87900,548900
2025-07-30,0.91000,0.94000,0.86000,0.90600,198600
