date,open,high,low,close,volume
2025-03-26,94.10000,94.99000,93.40000,93.87000,616200
2025-03-27,93.49000,94.55000,92.67000,93.00000,528900
2025-03-28,92.52000,92.86000,89.05000,89.51000,1053500
2025-03-31,88.43000,90.90000,87.06000,90.13000,764300
2025-04-01,90.30000,91.58000,88.60000,91.16000,758900
2025-04-02,89.87000,91.68000,89.31000,90.78000,988300
2025-04-03,87.79000,90.09000,85.92000,86.12000,3215300
2025-04-04,83.62000,85.90000,79.70000,85.66000,1817300
2025-04-07,82.68000,86.99000,80.10000,83.10000,1639200
2025-04-08,84.94000,85.50000,76.26000,77.44000,1380000
2025-04-09,75.58000,86.15000,75.04000,85.27000,2132400
2025-04-10,82.61000,83.75000,76.47000,80.95000,1624900
2025-04-11,80.75000,81.72000,77.17000,81.26000,1176600
2025-04-14,82.86000,82.96000,79.43000,80.22000,1206300
2025-04-15,80.29000,81.08000,78.42000,79.43000,1051000
2025-04-16,79.44000,80.72000,76.29000,77.39000,1074200
2025-04-17,77.31000,78.89000,76.76000,78.84000,1097900
2025-04-21,77.21000,77.60000,75.03000,77.04000,1199600
2025-04-22,77.81000,78.89000,76.41000,77.32000,1609500
2025-04-23,79.72000,81.77000,77.42000,77.74000,1746100
2025-04-24,79.85000,80.62000,76.27000,78.97000,2875700
2025-04-25,78.49000,79.69000,76.93000,77.40000,1588900
2025-04-28,77.34000,78.60000,76.13000,77.06000,1098600
2025-04-29,76.07000,77.76000,75.96000,76.58000,1547000
2025-04-30,75.45000,76.44000,73.72000,76.28000,1474500
2025-05-01,76.38000,76.92000,74.50000,75.71000,1337600
2025-05-02,76.44000,78.94000,76.34000,77.87000,1233300
2025-05-05,77.20000,77.85000,76.47000,77.12000,961000
2025-05-06,76.35000,77.20000,75.52000,76.64000,1109500
2025-05-07,76.76000,77.26000,75.90000,76.53000,847900
2025-05-08,77.39000,80.04000,77.34000,79.87000,1042200
2025-05-09,80.06000,80.76000,79.34000,80.03000,1111600
2025-05-12,85.00000,87.28000,82.63000,83.57000,1459500
2025-05-13,84.53000,85.72000,83.86000,84.05000,1406700
2025-05-14,84.03000,84.98000,82.27000,83.63000,1109600
2025-05-15,83.11000,84.31000,82.51000,83.63000,1449200
2025-05-16,81.90000,83.26000,81.65000,82.67000,919400
2025-05-19,81.22000,82.28000,80.25000,82.20000,847800
2025-05-20,81.85000,82.70000,81.62000,82.02000,865800
2025-05-21,81.00000,81.80000,77.01000,77.20000,1478900
2025-05-22,76.50000,78.29000,76.15000,77.73000,952100
2025-05-23,76.07000,77.58000,76.07000,77.28000,785700
2025-05-27,78.40000,79.89000,77.91000,79.67000,940800
2025-05-28,79.52000,80.61000,78.12000,78.14000,929100
2025-05-29,78.97000,79.83000,77.38000,78.62000,856900
2025-05-30,77.92000,78.28000,76.77000,78.09000,1245000
2025-06-02,77.79000,78.63000,76.00000,78.55000,1216100
2025-06-03,78.49000,81.59000,77.71000,81.37000,982200
2025-06-04,81.81000,82.40000,81.12000,81.72000,871600
2025-06-05,81.47000,82.75000,80.22000,82.07000,1878300
2025-06-06,82.55000,83.38000,81.88000,83.03000,1084200
2025-06-09,83.50000,86.25000,83.50000,84.58000,2182100
2025-06-10,85.81000,88.29000,85.04000,87.98000,1301500
2025-06-11,88.69000,89.22000,85.94000,87.39000,1388600
2025-06-12,86.32000,88.02000,85.23000,87.56000,1069700
2025-06-13,90.96000,92.53000,89.74000,90.24000,2582200
2025-06-16,91.43000,93.24000,89.70000,93.05000,1651900
