date,open,high,low,close,volume
2023-10-05,6.25000,6.87000,6.25000,6.70000,4870
2023-10-06,6.95000,7.30000,6.55000,7.10000,10380
2023-10-09,7.00000,7.20000,6.55000,6.83000,12030
2023-10-10,6.80000,7.17000,6.80000,7.00000,7650
2023-10-11,7.17000,7.19000,6.57000,6.93000,10000
2023-10-12,6.99000,6.99000,6.31000,6.70000,21990
2023-10-13,6.20000,6.90000,6.20000,6.80000,19940
2023-10-16,6.80000,7.50000,6.80000,7.48000,27740
2023-10-17,7.30000,7.70000,7.30000,7.70000,5530
2023-10-18,7.70000,7.70000,7.00000,7.08000,7070
2023-10-19,7.08000,7.10000,6.55000,6.60000,10510
2023-10-20,6.85000,7.10000,6.13000,6.15000,15770
2023-10-23,6.10000,6.50000,6.05000,6.40000,7820
2023-10-24,6.20000,6.87000,6.20000,6.85000,5560
2023-10-25,6.80000,6.80000,6.41000,6.69000,9150
2023-10-26,6.54000,6.90000,6.25000,6.31000,9680
2023-10-27,6.60000,6.60000,6.00000,6.01000,12240
2023-10-30,6.01000,6.30000,5.91000,6.08000,9110
2023-10-31,6.03000,6.20000,5.90000,6.15000,10460
2023-11-01,6.25000,6.25000,5.81000,6.00000,7640
2023-11-02,6.00000,6.30000,5.80000,6.00000,14850
2023-11-03,6.20000,6.50000,6.04000,6.12000,16030
2023-11-06,6.41000,6.46000,5.90000,5.90000,25630
2023-11-07,6.00000,6.10000,5.80000,5.81000,11540
2023-11-08,5.90000,6.15000,5.85000,6.01000,7690
2023-11-09,6.25000,6.25000,5.78000,5.78000,15440
2023-11-10,5.70000,6.00000,5.70000,5.80000,7630
2023-11-13,5.60000,6.00000,5.60000,5.96000,12780
2023-11-14,5.90000,6.00000,5.83000,5.92000,11260
2023-11-15,5.93000,6.40000,5.93000,6.40000,27580
2023-11-16,6.30000,6.30000,6.00000,6.19000,5330
2023-11-17,6.00000,6.40000,6.00000,6.38000,8100
2023-11-20,6.05000,6.48000,6.05000,6.41000,18780
2023-11-21,6.40000,6.44000,6.10000,6.26000,5360
2023-11-22,6.10000,6.80000,6.10000,6.80000,15350
2023-11-24,6.70000,7.20000,6.70000,6.90000,15860
2023-11-27,6.93000,6.95000,6.31000,6.79000,18300
2023-11-28,6.40000,6.90000,6.35000,6.90000,14160
2023-11-29,6.90000,7.00000,6.60000,6.60000,15550
2023-11-30,6.64000,6.71000,6.35000,6.35000,7380
2023-12-01,6.70000,6.70000,6.20000,6.70000,9620
2023-12-04,6.63000,6.65000,6.30000,6.30000,13300
2023-12-05,6.50000,6.50000,6.25000,6.25000,13900
2023-12-06,6.40000,7.90000,6.24000,7.19000,149770
2023-12-07,8.59000,9.10000,6.50000,7.00000,1550130
2023-12-08,6.60000,8.89000,6.60000,8.00000,229330
2023-12-11,7.60000,8.00000,7.30000,7.85000,58510
2023-12-12,7.50000,7.79000,6.76000,6.87000,66470
2023-12-13,6.90000,7.20000,6.68000,7.15000,34350
2023-12-14,6.81000,7.50000,6.81000,7.40000,27120
2023-12-15,7.48000,7.90000,7.02000,7.20000,22330
2023-12-18,7.08000,7.50000,7.08000,7.20000,13120
2023-12-19,7.30000,7.90000,7.20000,7.78000,43240
2023-12-20,7.90000,8.25000,7.50000,7.77000,35510
2023-12-21,7.68000,7.90000,7.58000,7.83000,14330
2023-12-22,7.10000,7.83000,7.10000,7.44000,38950
2023-12-26,7.60000,8.20000,7.60000,7.92000,53360
2023-12-27,7.80000,8.88000,7.80000,8.40000,70650
2023-12-28,8.37000,8.75000,8.01000,8.12000,39580
2023-12-29,8.00000,8.59000,7.90000,8.10000,35430
2024-01-02,7.90000,8.44000,7.85000,8.30000,20520
2024-01-03,8.30000,8.30000,7.80000,8.20000,12570
2024-01-04,8.00000,8.25000,7.64000,8.17000,19880
2024-01-05,8.18000,8.20000,7.78000,8.00000,11230
2024-01-08,8.02000,8.20000,7.90000,7.90000,15100
2024-01-09,7.90000,8.00000,7.80000,7.80000,15020
2024-01-10,7.80000,8.10000,7.52000,7.53000,28730
2024-01-11,7.97000,7.97000,7.05000,7.20000,26490
2024-01-12,7.10000,7.49000,7.10000,7.33000,8730
2024-01-16,7.15000,7.30000,7.00000,7.00000,14750
2024-01-17,7.00000,7.00000,6.18000,6.50000,38090
2024-01-18,6.50000,6.70000,6.40000,6.40000,14650
2024-01-19,6.40000,6.70000,6.20000,6.30000,12160
2024-01-22,6.30000,6.70000,6.20000,6.40000,10170
2024-01-23,6.50000,6.90000,6.50000,6.89000,10560
2024-01-24,7.00000,7.20000,7.00000,7.10000,9370
2024-01-25,7.30000,7.30000,6.84000,7.01000,12250
2024-01-26,6.90000,7.10000,6.90000,6.95000,4000
2024-01-29,6.95000,7.20000,6.90000,7.00000,6830
2024-01-30,6.90000,7.20000,6.50000,6.53000,10870
2024-01-31,6.58000,6.91000,6.40000,6.40000,14240
2024-02-01,6.84000,6.89000,6.30000,6.30000,14520
2024-02-02,6.30000,6.40000,6.21000,6.23000,8770
2024-02-05,6.47000,6.47000,6.05000,6.05000,12860
2024-02-06,6.20000,6.75000,6.20000,6.31000,8310
2024-02-07,6.50000,8.29000,6.35000,8.01000,714480
2024-02-08,11.00000,13.90000,8.75000,10.80000,2966940
2024-02-09,9.23000,10.80000,9.12000,9.80000,305450
2024-02-12,9.00000,11.60000,8.68000,10.90000,384460
2024-02-13,10.20000,11.10000,9.20000,9.22000,227060
2024-02-14,9.40000,9.81000,9.10000,9.53000,81340
2024-02-15,9.00000,9.30000,8.06000,8.45000,199360
2024-02-16,8.76000,11.50000,8.26000,10.90000,710530
2024-02-20,11.20000,12.80000,9.95000,10.20000,635160
2024-02-21,10.00000,13.00000,9.94000,12.70000,455010
2024-02-22,13.00000,13.80000,11.30000,11.40000,298070
2024-02-23,10.70000,12.80000,10.10000,11.80000,266660
2024-02-26,11.90000,12.40000,11.40000,12.00000,127550
2024-02-27,11.90000,12.80000,11.70000,12.20000,103110
2024-02-28,12.20000,12.22000,10.70000,11.30000,128110
2024-02-29,11.30000,11.40000,10.70000,11.30000,68970
2024-03-01,11.00000,11.30000,10.30000,10.90000,70030
2024-03-04,10.30000,11.00000,10.10000,10.20000,74270
2024-03-05,10.10000,11.20000,10.10000,10.40000,71010
2024-03-06,10.50000,11.00000,10.40000,10.40000,47930
2024-03-07,10.60000,10.62000,10.40000,10.45000,34270
2024-03-08,10.50000,11.30000,10.50000,11.00000,68590
2024-03-11,11.10000,11.90000,11.10000,11.50000,63720
2024-03-12,11.50000,11.78000,10.70000,10.90000,40950
2024-03-13,10.80000,11.34000,10.70000,11.00000,56780
2024-03-14,13.70000,16.80000,13.00000,14.40000,5430070
2024-03-15,14.32000,18.70000,13.90000,17.30000,2733730
2024-03-18,17.90000,18.30000,10.50000,11.00000,2173470
2024-03-19,11.10000,11.10000,9.11000,9.60000,398550
2024-03-20,9.30000,9.43000,8.41000,8.90000,282330
2024-03-21,9.30000,9.99000,8.85000,8.94000,552460
2024-03-22,8.90000,9.60000,8.45000,9.24000,172340
2024-03-25,9.98000,10.40000,9.13000,9.44000,133600
2024-03-26,9.30000,9.40000,8.70000,9.00000,104290
2024-03-27,8.71000,8.76000,8.50000,8.52000,83200
2024-03-28,8.30000,9.40000,8.30000,9.08000,131380
2024-04-01,8.90000,9.00000,8.57000,8.70000,64660
2024-04-02,8.60000,8.75000,8.31000,8.49000,55950
2024-04-03,8.48000,8.49000,8.00000,8.12000,71250
2024-04-04,8.10000,8.40000,7.60000,7.63000,67450
2024-04-05,7.57000,7.79000,7.12000,7.38000,69190
2024-04-08,7.50000,7.90000,7.22000,7.70000,51460
2024-04-09,7.89000,8.40000,7.60000,8.20000,37870
2024-04-10,8.20000,8.40000,7.80000,8.30000,23150
2024-04-11,8.20000,8.40000,6.90000,7.68000,41040
2024-04-12,7.40000,7.65000,7.00000,7.29000,29800
2024-04-15,7.29000,7.29000,6.33000,6.33000,86960
2024-04-16,6.30000,7.00000,6.30000,6.80000,46790
2024-04-17,6.90000,7.12000,6.70000,6.96000,15770
2024-04-18,7.10000,7.60000,6.80000,7.21000,58230
2024-04-19,7.00000,7.21000,6.42000,6.80000,34070
2024-04-22,6.63000,7.00000,6.63000,6.88000,21090
2024-04-23,6.91000,7.44000,6.90000,7.25000,96580
2024-04-24,8.91000,11.60000,8.16000,11.50000,1912520
2024-04-25,10.50000,10.60000,8.90000,8.96000,205270
2024-04-26,9.20000,11.00000,8.81000,10.20000,320520
2024-04-29,10.20000,11.10000,10.00000,10.20000,136500
2024-04-30,10.30000,10.30000,9.10000,9.29000,58910
2024-05-01,9.20000,9.63000,9.20000,9.32000,25160
2024-05-02,9.31000,9.80000,9.31000,9.45000,31280
2024-05-03,9.45000,10.10000,9.40000,9.60000,26670
2024-05-06,9.80000,9.97000,9.12000,9.50000,20770
2024-05-07,9.50000,9.52000,9.10000,9.52000,15350
2024-05-08,9.20000,9.40000,9.20000,9.35000,11350
2024-05-09,9.45000,9.79000,9.00000,9.07000,27260
2024-05-10,9.10000,9.39000,9.10000,9.30000,13590
2024-05-13,9.13000,9.80000,9.13000,9.30000,21550
2024-05-14,9.80000,10.40000,9.44000,10.00000,109520
2024-05-15,9.89000,10.00000,9.60000,9.70000,27840
2024-05-16,9.82000,9.85000,9.50000,9.60000,25460
2024-05-17,9.60000,10.20000,9.21000,9.60000,51340
2024-05-20,9.52000,10.10000,9.50000,9.50000,39330
2024-05-21,9.60000,9.62000,9.01000,9.10000,21850
2024-05-22,9.10000,9.39000,8.82000,9.05000,22970
2024-05-23,9.10000,9.30000,8.30000,8.82000,26910
2024-05-24,8.59000,8.82000,8.50000,8.60000,12940
2024-05-28,8.60000,8.82000,8.60000,8.79000,13090
2024-05-29,8.60000,8.69000,8.15000,8.35000,26920
2024-05-30,8.23000,8.80000,8.21000,8.79000,14320
2024-05-31,8.80000,9.02000,8.23000,8.79000,11430
2024-06-03,8.44000,8.80000,8.22000,8.60000,22250
2024-06-04,10.00000,12.80000,9.92000,10.80000,5872330
2024-06-05,9.22000,10.40000,9.20000,9.33000,545220
2024-06-06,9.00000,9.38000,8.50000,8.70000,162190
2024-06-07,8.66000,9.00000,8.10000,8.17000,92030
2024-06-10,8.15000,8.60000,7.80000,7.90000,134490
2024-06-11,7.90000,8.20000,7.70000,7.85000,51930
2024-06-12,7.83000,8.46000,7.83000,8.00000,50660
2024-06-13,8.10000,8.39000,8.00000,8.22000,21540
2024-06-14,8.02000,8.20000,7.80000,7.80000,28140
2024-06-17,7.80000,7.99000,7.50000,7.91000,36410
2024-06-18,8.40000,8.51000,8.03000,8.18000,95740
2024-06-20,8.24000,8.40000,7.81000,7.92000,26890
2024-06-21,7.90000,8.06000,7.63000,7.85000,12890
2024-06-24,8.20000,9.70000,7.90000,9.49000,194280
2024-06-25,8.70000,9.10000,8.10000,8.10000,152180
2024-06-26,8.41000,8.50000,7.70000,8.40000,42680
2024-06-27,8.25000,9.00000,8.05000,8.83000,105440
2024-06-28,8.70000,8.80000,8.16000,8.41000,32590
2024-07-01,8.40000,8.79000,8.10000,8.40000,33420
2024-07-02,8.40000,8.67000,8.40000,8.54000,17070
2024-07-03,8.40000,9.20000,8.40000,9.03000,31820
2024-07-05,8.70000,9.02000,8.67000,8.68000,52320
2024-07-08,8.68000,9.05000,8.58000,9.00000,21000
2024-07-09,8.99000,9.09000,8.72000,8.81000,15230
2024-07-10,8.70000,9.00000,8.30000,8.46000,30340
2024-07-11,8.40000,8.84000,8.10000,8.45000,44320
2024-07-12,8.49000,8.67000,8.21000,8.39000,27890
2024-07-15,8.20000,8.68000,8.20000,8.39000,18620
2024-07-16,8.50000,8.60000,8.20000,8.48000,25160
2024-07-17,8.40000,10.60000,8.30000,10.60000,111630
2024-07-18,9.40000,9.60000,8.63000,8.74000,35850
2024-07-19,8.69000,9.70000,8.61000,8.76000,59810
2024-07-22,8.50000,8.75000,8.45000,8.50000,21480
2024-07-23,8.45000,9.32000,8.44000,8.76000,48760
2024-07-24,8.75000,8.99000,8.45000,8.48000,18410
2024-07-25,8.50000,8.79000,8.44000,8.50000,16770
2024-07-26,8.90000,8.90000,8.51000,8.70000,11750
2024-07-29,8.70000,8.76000,8.30000,8.43000,12200
2024-07-30,8.30000,8.34000,8.02000,8.10000,15240
2024-07-31,8.00000,8.48000,7.92000,7.93000,13090
2024-08-01,8.10000,8.38000,7.77000,7.98000,14470
2024-08-02,7.70000,8.03000,7.35000,7.60000,30270
2024-08-05,6.70000,7.49000,6.60000,7.22000,28200
2024-08-06,7.20000,7.80000,7.20000,7.69000,13970
2024-08-07,7.60000,8.06000,7.50000,7.51000,7220
2024-08-08,7.40000,7.80000,7.31000,7.40000,7670
2024-08-09,7.59000,7.60000,7.25000,7.40000,11310
2024-08-12,7.29000,7.44000,7.21000,7.35000,8620
2024-08-13,7.35000,7.40000,7.15000,7.24000,11830
2024-08-14,7.25000,7.31000,7.00000,7.12000,18470
2024-08-15,7.18000,7.38000,7.00000,7.12000,16160
2024-08-16,7.10000,7.38000,7.10000,7.15000,13310
2024-08-19,7.03000,8.05000,7.03000,8.00000,21520
2024-08-20,8.25000,8.31000,7.40000,7.65000,36550
2024-08-21,7.70000,7.90000,7.40000,7.60000,18890
2024-08-22,7.80000,10.60000,7.70000,10.31000,205070
2024-08-23,9.10000,9.10000,8.30000,8.42000,86470
2024-08-26,8.42000,8.88000,8.10000,8.17000,19810
2024-08-27,8.10000,8.17000,7.80000,7.85000,14560
2024-08-28,7.70000,8.11000,7.57000,7.65000,8690
2024-08-29,7.65000,8.08000,7.65000,7.90000,10190
2024-08-30,7.90000,8.04000,7.70000,7.87000,15600
2024-09-03,7.73000,7.87000,7.31000,7.44000,21160
2024-09-04,7.60000,8.10000,7.40000,7.51000,13550
2024-09-05,7.50000,7.80000,7.50000,7.65000,6540
2024-09-06,7.52000,7.70000,7.52000,7.61000,13990
2024-09-09,7.47000,7.61000,7.41000,7.48000,14090
2024-09-10,7.41000,7.49000,7.30000,7.40000,9380
2024-09-11,7.40000,8.25000,7.40000,8.18000,22210
2024-09-12,7.80000,8.09000,7.80000,7.93000,8260
2024-09-13,8.12000,8.30000,7.80000,7.97000,11690
2024-09-16,8.10000,8.60000,7.90000,8.50000,25950
2024-09-17,8.40000,8.77000,8.26000,8.30000,13260
2024-09-18,8.40000,8.49000,8.00000,8.07000,13970
2024-09-19,8.30000,8.58000,8.03000,8.10000,23450
2024-09-20,8.03000,8.26000,7.89000,8.00000,10110
2024-09-23,7.90000,8.40000,7.82000,8.09000,13190
2024-09-24,8.30000,8.75000,8.12000,8.60000,33920
2024-09-25,8.60000,8.70000,8.30000,8.38000,11500
2024-09-26,9.00000,9.30000,8.67000,9.30000,55800
2024-09-27,9.90000,9.90000,9.40000,9.50000,70110
2024-09-30,9.70000,10.56000,9.70000,10.30000,221250
2024-10-01,10.10000,10.10000,8.98000,9.12000,41940
2024-10-02,9.90000,9.90000,9.06000,9.80000,63610
2024-10-03,9.70000,9.90000,9.50000,9.75000,20810
2024-10-04,9.70000,11.00000,9.50000,11.00000,154850
2024-10-07,11.30000,12.00000,11.10000,11.60000,161420
2024-10-08,10.50000,10.50000,9.61000,9.87000,76990
2024-10-09,9.58000,9.69000,8.80000,9.46000,55980
2024-10-10,9.40000,9.60000,9.17000,9.40000,18240
2024-10-11,9.04000,9.59000,9.04000,9.50000,17180
2024-10-14,9.40000,9.50000,9.00000,9.23000,35390
2024-10-15,8.68000,9.40000,8.51000,8.88000,35320
2024-10-16,8.80000,9.30000,8.75000,9.30000,20280
2024-10-17,9.10000,9.20000,8.71000,8.80000,19710
2024-10-18,9.20000,9.20000,8.86000,9.10000,25140
2024-10-21,9.10000,9.14000,8.82000,8.99000,11580
2024-10-22,8.91000,9.10000,8.80000,9.10000,13620
2024-10-23,9.10000,9.20000,8.90000,8.90000,20120
2024-10-24,8.90000,8.95000,8.70000,8.72000,22430
2024-10-25,8.70000,8.94000,8.70000,8.90000,13850
2024-10-28,8.78000,8.94000,8.71000,8.88000,17080
2024-10-29,8.72000,9.00000,8.71000,8.78000,12990
2024-10-30,8.90000,8.90000,8.60000,8.78000,27690
2024-10-31,8.70000,8.89000,8.40000,8.42000,20010
2024-11-01,8.30000,8.75000,8.30000,8.60000,12520
2024-11-04,8.80000,8.80000,8.40000,8.58000,14210
2024-11-05,8.60000,8.80000,8.60000,8.75000,13260
2024-11-06,8.60000,8.68000,8.21000,8.31000,29980
2024-11-07,8.50000,8.71000,8.36000,8.48000,18090
2024-11-08,8.49000,8.60000,8.25000,8.49000,15280
2024-11-11,8.50000,8.80000,8.40000,8.58000,22970
2024-11-12,8.30000,8.55000,8.30000,8.41000,15570
2024-11-13,8.25000,8.38000,8.00000,8.10000,23940
2024-11-14,8.10000,8.32000,7.84000,7.99000,29010
2024-11-15,7.79000,8.20000,7.75000,7.90000,16130
2024-11-18,7.73000,8.00000,7.70000,7.70000,25490
2024-11-19,7.70000,7.91000,7.60000,7.60000,19300
2024-11-20,7.69000,7.90000,7.60000,7.70000,27930
2024-11-21,7.61000,8.00000,7.61000,7.80000,15980
2024-11-22,8.00000,8.50000,7.90000,8.36000,22300
2024-11-25,8.50000,8.80000,8.40000,8.47000,27140
2024-11-26,8.50000,8.58000,7.93000,7.93000,21830
2024-11-27,8.00000,8.50000,8.00000,8.30000,33330
2024-11-29,8.23000,8.38000,8.02000,8.26000,9110
2024-12-02,8.26000,8.59000,8.00000,8.49000,24590
2024-12-03,8.49000,8.93000,8.20000,8.60000,37760
2024-12-04,8.60000,8.60000,7.90000,8.00000,40300
2024-12-05,8.30000,8.30000,7.91000,8.06000,12370
2024-12-06,7.70000,8.30000,7.66000,8.02000,33710
2024-12-09,8.30000,8.80000,8.30000,8.58000,40340
2024-12-10,8.53000,8.80000,8.20000,8.68000,57200
2024-12-11,8.60000,10.20000,8.60000,9.19000,328330
2024-12-12,9.07000,9.21000,7.77000,8.08000,141230
2024-12-13,8.18000,8.45000,7.85000,7.95000,29490
2024-12-16,7.90000,8.65000,7.80000,8.10000,77740
2024-12-17,9.50000,9.77000,8.21000,8.80000,1015730
2024-12-18,10.40000,11.80000,9.60000,10.70000,2575020
2024-12-19,14.50000,15.00000,9.80000,9.99000,2487480
2024-12-20,9.60000,11.00000,9.00000,10.60000,510990
2024-12-23,12.10000,13.90000,11.30000,12.00000,992140
2024-12-24,12.50000,12.70000,10.90000,11.20000,289010
2024-12-26,10.80000,14.20000,10.60000,12.90000,2554350
2024-12-27,21.60000,27.70000,17.00000,22.90000,12948680
2024-12-30,19.90000,29.20000,17.90000,24.00000,4506720
2024-12-31,26.80000,27.20000,18.40000,18.50000,2117740
2025-01-02,19.10000,20.20000,16.10000,16.80000,1305990
2025-01-03,17.60000,18.70000,15.30000,16.10000,1077980
2025-01-06,16.90000,17.38000,13.55000,13.90000,1361550
2025-01-07,14.10000,19.90000,13.50000,18.20000,2140960
2025-01-08,14.50000,14.89000,11.80000,12.00000,1152430
