date,open,high,low,close,volume
2022-09-09,238.89999,242.55000,230.50000,234.70000,67334
2022-09-12,234.70000,234.70000,234.70000,234.70000,74686
2022-09-13,238.05000,261.39999,238.05000,252.80000,465260
2022-09-14,251.85001,252.60001,245.00000,246.25000,91315
2022-09-15,247.95000,250.00000,240.00000,241.75000,55353
2022-09-16,241.20000,244.70000,230.60001,232.14999,58801
2022-09-19,235.00000,235.10001,230.05000,231.10001,26496
2022-09-20,232.00000,253.55000,232.00000,245.35001,210077
2022-09-21,248.95000,251.30000,242.05000,243.64999,77131
2022-09-22,242.50000,246.80000,239.14999,241.95000,35170
2022-09-23,240.20000,242.45000,230.60001,231.75000,35369
2022-09-26,230.14999,239.70000,223.95000,233.80000,51268
2022-09-27,237.30000,239.00000,232.50000,234.85001,28233
2022-09-28,234.85001,235.64999,230.50000,231.70000,18354
2022-09-29,236.25000,237.85001,229.00000,230.30000,17591
2022-09-30,230.30000,236.55000,228.89999,234.14999,27756
2022-10-03,232.00000,243.05000,231.05000,238.10001,32242
2022-10-04,239.50000,243.55000,237.00000,237.55000,14279
2022-10-06,241.05000,242.25000,237.00000,238.25000,15987
2022-10-07,238.50000,244.80000,238.30000,243.50000,32615
2022-10-10,243.10001,243.10001,237.00000,238.35001,13619
2022-10-11,239.20000,241.30000,232.14999,233.35001,10892
2022-10-12,234.80000,236.10001,230.55000,231.30000,11930
2022-10-13,232.30000,233.14999,227.10001,230.10001,27308
2022-10-14,234.10001,239.89999,233.05000,235.50000,27134
2022-10-17,234.75000,238.85001,233.39999,235.10001,13911
2022-10-18,238.20000,238.20000,233.10001,234.20000,18403
2022-10-19,234.20000,238.85001,233.00000,234.05000,13729
2022-10-20,233.45000,236.95000,233.00000,233.89999,8691
2022-10-21,234.95000,235.64999,228.00000,228.70000,24117
2022-10-24,228.70000,228.70000,228.70000,228.70000,11724
2022-10-25,235.95000,236.10001,212.00000,221.95000,316902
2022-10-27,226.25000,226.39999,222.25000,224.25000,25078
2022-10-28,225.35001,226.00000,223.05000,223.95000,20236
2022-10-31,222.10001,243.50000,222.10001,226.14999,26586
2022-11-01,226.20000,228.64999,225.39999,226.50000,16319
2022-11-02,227.14999,232.00000,227.10001,230.95000,25664
2022-11-03,228.00000,248.00000,228.00000,237.39999,254942
2022-11-04,241.45000,248.00000,236.00000,242.89999,95715
2022-11-07,249.95000,257.50000,245.14999,253.35001,157171
2022-11-09,258.95001,259.50000,250.35001,253.10001,194138
2022-11-10,250.00000,252.30000,244.05000,245.39999,48427
2022-11-11,250.00000,253.45000,239.10001,243.60001,89139
2022-11-14,242.25000,243.60001,235.85001,239.45000,51664
2022-11-15,240.95000,245.00000,238.80000,243.05000,22149
2022-11-16,243.05000,243.10001,240.00000,240.20000,25882
2022-11-17,242.00000,244.00000,239.70000,242.60001,21051
2022-11-18,244.45000,245.39999,242.80000,244.60001,42789
2022-11-21,245.30000,251.00000,244.00000,245.00000,70606
2022-11-22,244.75000,246.70000,243.25000,245.00000,22259
2022-11-23,244.20000,255.55000,244.20000,253.75000,69433
2022-11-24,256.00000,260.89999,255.10001,259.75000,185634
2022-11-25,265.00000,269.75000,259.54999,264.35001,195865
2022-11-28,267.25000,268.95001,260.25000,263.35001,60368
2022-11-29,262.35001,264.39999,258.25000,260.14999,40767
2022-11-30,262.45001,267.70001,261.79999,263.79999,63775
2022-12-01,266.70001,266.70001,261.10001,261.95001,31762
2022-12-02,262.95001,263.54999,260.10001,261.95001,23316
2022-12-05,259.35001,264.79999,259.35001,263.25000,29681
2022-12-06,263.25000,265.35001,258.50000,259.29999,31713
2022-12-07,260.10001,261.75000,257.10001,257.60001,18000
2022-12-08,257.60001,260.70001,257.00000,259.20001,21063
2022-12-09,259.20001,262.14999,255.00000,256.50000,59929
2022-12-12,259.79999,259.79999,255.05000,257.00000,15825
2022-12-13,257.00000,259.00000,255.89999,257.10001,21227
2022-12-14,258.79999,262.95001,256.00000,257.85001,30987
2022-12-15,257.85001,258.29999,252.70000,254.80000,74977
2022-12-16,253.25000,255.50000,250.55000,253.75000,44884
2022-12-19,254.95000,255.55000,251.95000,254.45000,23784
2022-12-20,254.39999,256.95001,251.30000,255.50000,39036
2022-12-21,258.04999,258.04999,249.25000,249.95000,76806
2022-12-22,246.14999,254.39999,239.64999,244.80000,48396
2022-12-23,243.89999,243.89999,241.70000,241.89999,36223
2022-12-26,238.25000,247.55000,238.20000,246.00000,26282
2022-12-27,249.00000,250.95000,248.25000,250.10001,11848
2022-12-28,251.89999,253.00000,247.25000,250.89999,13046
2022-12-29,250.89999,253.14999,248.30000,251.60001,22580
2022-12-30,254.00000,254.00000,249.00000,250.10001,19280
2023-01-02,246.35001,252.00000,244.35001,244.80000,43833
2023-01-03,244.85001,246.10001,243.60001,244.95000,16935
2023-01-04,245.05000,245.30000,235.00000,238.89999,62569
2023-01-05,238.50000,247.55000,238.14999,245.14999,24625
2023-01-06,246.70000,246.70000,241.25000,242.39999,11455
2023-01-09,242.60001,251.50000,242.60001,249.00000,31433
2023-01-10,250.95000,250.95000,244.85001,245.85001,6528
2023-01-11,246.05000,248.80000,244.10001,245.14999,8399
2023-01-12,245.14999,247.89999,244.10001,246.30000,8615
2023-01-13,248.70000,248.70000,242.10001,245.55000,8648
2023-01-16,247.70000,247.70000,244.05000,244.80000,5412
2023-01-17,247.00000,257.64999,243.64999,253.95000,54446
2023-01-18,255.89999,259.50000,252.10001,256.85001,30261
2023-01-19,256.60001,258.50000,252.85001,254.10001,14770
2023-01-20,256.60001,256.60001,251.00000,252.89999,8381
2023-01-23,252.25000,252.25000,247.00000,248.30000,11286
2023-01-24,250.00000,250.00000,246.10001,248.70000,12640
2023-01-25,253.85001,253.85001,244.45000,245.70000,11693
2023-01-27,246.25000,246.50000,235.60001,236.80000,24002
2023-01-30,241.45000,253.95000,237.89999,239.39999,29461
2023-01-31,240.30000,247.70000,240.30000,246.50000,10234
2023-02-01,248.50000,249.89999,237.60001,238.95000,13706
2023-02-02,238.95000,242.45000,238.39999,239.39999,10903
2023-02-03,238.50000,243.00000,238.50000,241.45000,18263
2023-02-06,241.45000,243.55000,240.45000,241.70000,8048
2023-02-07,244.89999,244.89999,239.05000,241.45000,8110
