date,open,high,low,close,volume
2023-09-27,129.25000,129.25000,126.10000,127.75000,7235
2023-09-28,128.00000,128.00000,124.20000,126.00000,7647
2023-09-29,126.00000,126.00000,125.50000,125.95000,16988
2023-10-03,122.80000,125.00000,120.00000,121.55000,19088
2023-10-04,121.60000,121.60000,115.60000,116.00000,1655
2023-10-05,116.00000,119.95000,110.20000,110.20000,17521
2023-10-06,110.10000,115.70000,110.00000,110.00000,2450
2023-10-09,109.00000,109.00000,104.50000,104.70000,26484
2023-10-10,104.50000,109.90000,104.00000,109.90000,18186
2023-10-11,107.70000,114.15000,105.00000,110.85000,17096
2023-10-12,113.75000,113.75000,105.30000,105.45000,43280
2023-10-13,105.45000,105.45000,100.20000,101.55000,45452
2023-10-16,104.65000,106.60000,101.60000,106.60000,8263
2023-10-17,111.80000,111.90000,110.00000,111.90000,7166
2023-10-18,115.00000,117.45000,115.00000,117.45000,3138
2023-10-19,117.45000,123.30000,117.45000,123.30000,3245
2023-10-20,129.45000,129.45000,126.10000,129.45000,1988
2023-10-23,135.89999,135.89999,123.00000,124.60000,4455
2023-10-25,124.70000,124.90000,118.50000,118.50000,1514
2023-10-26,118.50000,124.00000,113.15000,122.00000,1770
2023-10-27,122.10000,122.10000,121.85000,121.90000,2405
2023-10-30,124.95000,127.90000,118.00000,122.00000,11333
2023-10-31,124.00000,124.80000,117.00000,117.00000,16026
2023-11-01,122.00000,122.85000,122.00000,122.85000,1365
2023-11-02,122.85000,126.90000,122.85000,124.55000,1404
2023-11-03,125.00000,128.80000,125.00000,128.60001,1363
2023-11-06,128.60001,135.00000,128.60001,132.75000,3655
2023-11-07,136.20000,138.89999,133.00000,135.00000,1286
2023-11-08,141.64999,141.75000,137.00000,141.55000,3150
2023-11-09,141.75000,145.00000,135.60001,145.00000,2439
2023-11-10,144.95000,152.25000,144.95000,152.05000,4047
2023-11-13,150.00000,157.45000,146.00000,151.00000,3271
2023-11-15,157.80000,157.80000,151.00000,154.95000,4445
2023-11-16,154.95000,154.95000,150.00000,153.50000,1654
2023-11-17,153.60001,153.95000,150.10001,153.00000,3736
2023-11-20,160.50000,160.50000,150.00000,154.00000,1339
2023-11-21,154.00000,154.00000,151.00000,151.05000,1469
2023-11-22,151.05000,151.05000,147.64999,147.75000,1104
2023-11-23,147.75000,155.10001,147.75000,155.00000,640
2023-11-24,151.60001,160.00000,150.50000,159.50000,1090
2023-11-28,165.00000,165.00000,156.10001,156.10001,4263
2023-11-29,160.00000,161.00000,156.10001,159.70000,14642
2023-11-30,165.00000,167.64999,158.10001,164.50000,5193
2023-12-01,164.50000,171.75000,161.25000,162.00000,46957
2023-12-04,162.60001,169.95000,162.00000,162.55000,2894
2023-12-05,162.55000,162.55000,156.05000,162.50000,2328
2023-12-06,159.25000,162.50000,159.25000,160.00000,1839
2023-12-07,160.00000,164.00000,160.00000,160.00000,1395
2023-12-08,160.00000,160.00000,156.60001,157.25000,1016
2023-12-11,157.25000,161.50000,157.20000,157.55000,302
2023-12-12,157.55000,157.55000,157.00000,157.20000,1055
2023-12-13,153.80000,165.05000,149.35001,159.00000,12917
2023-12-14,159.00000,161.00000,156.00000,160.95000,1015
2023-12-15,161.00000,165.00000,160.00000,161.00000,1624
2023-12-18,164.00000,165.00000,160.00000,160.00000,1672
2023-12-19,168.00000,168.00000,158.00000,160.00000,2001
2023-12-20,168.00000,168.00000,155.00000,155.00000,16796
2023-12-21,151.60001,161.00000,148.00000,157.00000,2396
2023-12-22,160.14999,164.00000,156.00000,164.00000,2228
2023-12-26,164.00000,164.89999,156.00000,160.30000,4270
2023-12-27,157.00000,164.89999,157.00000,161.00000,1412
2023-12-28,160.00000,165.89999,160.00000,161.50000,727
2023-12-29,155.05000,166.00000,155.05000,161.00000,1029
2024-01-01,161.00000,168.00000,161.00000,165.89999,1118
2024-01-02,162.14999,174.14999,162.14999,173.25000,6653
2024-01-03,179.00000,179.00000,173.25000,177.89999,8575
2024-01-04,177.89999,185.00000,177.89999,178.05000,2750
2024-01-05,178.05000,183.80000,175.00000,180.00000,1025
2024-01-08,180.00000,182.00000,177.50000,180.00000,2777
2024-01-09,180.00000,184.89999,177.50000,182.50000,255
2024-01-10,178.60001,182.50000,178.60001,182.00000,308
2024-01-11,182.00000,185.00000,178.25000,184.95000,2505
2024-01-12,185.00000,185.00000,181.10001,184.89999,565
2024-01-15,185.00000,185.00000,181.05000,185.00000,766
2024-01-16,187.89999,187.89999,181.20000,187.50000,1857
2024-01-17,187.50000,188.00000,180.20000,180.75000,4292
2024-01-18,177.00000,185.95000,177.00000,180.00000,3155
2024-01-19,176.39999,186.00000,176.39999,180.00000,150
2024-01-23,188.00000,194.89999,183.70000,183.70000,727
2024-01-24,183.70000,183.70000,174.55000,176.85001,1925
2024-01-25,176.00000,181.70000,174.00000,180.00000,996
2024-01-29,176.10001,185.00000,172.10001,180.00000,395
2024-01-30,179.89999,179.89999,179.89999,179.89999,1
2024-01-31,185.00000,185.00000,179.89999,181.85001,324
2024-02-01,181.80000,187.00000,172.80000,186.30000,1022
2024-02-02,189.50000,189.50000,180.00000,183.50000,1265
2024-02-05,190.00000,190.00000,175.00000,185.00000,808
2024-02-06,190.00000,190.00000,175.75000,179.64999,9166
2024-02-07,188.00000,188.00000,175.00000,185.14999,2370
2024-02-08,185.14999,185.14999,176.50000,178.00000,613
2024-02-09,180.00000,185.00000,178.10001,180.00000,7599
2024-02-12,171.00000,189.00000,171.00000,187.50000,2794
2024-02-13,188.00000,190.00000,181.00000,187.00000,639
2024-02-14,180.00000,188.39999,180.00000,188.00000,1087
2024-02-15,190.00000,190.00000,180.05000,181.45000,1322
2024-02-16,189.89999,189.89999,180.00000,181.95000,1300
2024-02-19,181.95000,182.00000,175.00000,177.95000,3055
2024-02-20,177.95000,184.95000,175.20000,182.00000,2255
2024-02-21,178.10001,186.00000,173.00000,181.50000,507
2024-02-22,181.00000,181.00000,178.50000,178.50000,172
2024-02-23,178.50000,180.00000,178.00000,178.89999,2477
2024-02-26,178.89999,186.70000,178.89999,180.25000,5511
2024-02-27,183.89999,188.20000,180.25000,181.10001,962
2024-02-28,180.50000,190.00000,180.00000,182.00000,9620
2024-02-29,182.00000,182.00000,177.00000,180.00000,766
2024-03-01,189.00000,189.00000,180.00000,184.55000,462
2024-03-04,181.00000,181.00000,176.25000,180.00000,656
2024-03-05,180.00000,180.00000,180.00000,180.00000,152
2024-03-06,180.00000,180.00000,180.00000,180.00000,9
2024-03-07,180.00000,180.00000,175.00000,175.00000,293
2024-03-11,175.00000,180.00000,172.00000,179.00000,1072
2024-03-12,179.00000,179.00000,170.05000,170.05000,1006
2024-03-13,170.00000,170.00000,163.55000,170.00000,489
2024-03-14,170.00000,170.00000,161.50000,161.50000,20
2024-03-15,155.00000,155.00000,153.45000,153.45000,28392
2024-03-18,153.45000,153.45000,146.00000,146.55000,29047
2024-03-19,146.55000,150.00000,145.00000,150.00000,6095
2024-03-20,153.00000,153.00000,147.10001,150.00000,1500
2024-03-21,157.00000,157.50000,156.00000,156.85001,1318
2024-03-22,157.00000,159.00000,157.00000,158.00000,559
2024-03-26,165.89999,165.89999,157.00000,157.00000,2754
2024-03-27,157.00000,157.00000,152.00000,155.10001,5131
2024-03-28,154.89999,155.00000,151.89999,153.00000,19048
2024-04-01,153.00000,158.00000,153.00000,155.25000,11157
2024-04-02,152.14999,160.00000,152.14999,160.00000,9885
2024-04-03,160.00000,167.00000,158.00000,158.10001,5204
2024-04-04,158.10001,163.00000,158.10001,160.64999,8214
2024-04-05,160.64999,168.00000,160.64999,168.00000,3647
2024-04-08,168.00000,168.00000,162.50000,162.64999,465
2024-04-09,165.00000,167.95000,165.00000,167.00000,2715
2024-04-10,167.00000,167.00000,161.00000,166.80000,2310
2024-04-12,160.05000,164.80000,160.05000,161.20000,1855
2024-04-15,161.20000,169.00000,160.00000,169.00000,11509
2024-04-16,168.50000,168.50000,168.45000,168.50000,709
