date,open,high,low,close,volume
2023-10-02,46.20000,46.80000,42.60000,42.60000,17375
2023-10-03,42.60000,43.40000,41.20000,42.20000,24460
2023-10-04,42.60000,44.20000,42.00000,43.00000,11805
2023-10-05,43.40000,47.60000,43.00000,47.20000,17240
2023-10-06,46.60000,48.40000,44.60000,48.40000,17040
2023-10-09,48.20000,51.20000,47.00000,47.40000,13050
2023-10-10,47.40000,51.20000,46.60000,48.20000,14950
2023-10-11,48.40000,48.60000,43.60000,44.00000,10735
2023-10-12,45.00000,45.00000,43.00000,44.60000,11900
2023-10-13,45.20000,45.80000,43.70000,44.80000,6005
2023-10-16,46.00000,46.20000,44.00000,44.80000,24545
2023-10-17,45.00000,50.00000,45.00000,48.60000,17725
2023-10-18,48.60000,48.60000,45.30000,45.60000,10480
2023-10-19,45.20000,46.40000,42.80000,44.20000,13470
2023-10-20,44.20000,48.60000,43.40000,46.00000,20810
2023-10-23,45.20000,46.40000,44.00000,45.80000,12170
2023-10-24,46.20000,48.00000,45.20000,45.20000,12275
2023-10-25,45.40000,45.80000,43.80000,44.30000,6440
2023-10-26,44.40000,45.70000,43.40000,44.20000,8970
2023-10-27,44.60000,44.60000,42.20000,44.00000,10325
2023-10-30,44.60000,45.80000,44.40000,45.00000,9560
2023-10-31,45.00000,47.40000,44.30000,46.60000,7870
2023-11-01,46.80000,47.66000,45.20000,46.60000,7470
2023-11-02,47.40000,49.60000,46.80000,49.20000,13470
2023-11-03,50.20000,52.20000,45.60000,45.80000,24800
2023-11-06,45.40000,48.06000,41.20000,41.70000,19030
2023-11-07,42.00000,42.20000,40.20000,41.90000,7110
2023-11-08,42.60000,42.60000,38.60000,40.00000,9110
2023-11-09,40.60000,41.40000,38.60000,38.80000,8575
2023-11-10,39.20000,41.60000,38.80000,41.00000,14845
2023-11-13,41.00000,43.30000,39.40000,40.60000,18605
2023-11-14,30.00000,31.80000,23.40000,28.00000,103335
2023-11-15,28.60000,39.20000,28.60000,34.60000,78495
2023-11-16,35.40000,35.40000,30.00000,31.50000,20065
2023-11-17,32.20000,32.60000,29.80000,30.00000,11880
2023-11-20,30.20000,32.80000,29.40000,31.80000,28980
2023-11-21,32.20000,32.40000,30.10000,31.40000,22085
2023-11-22,32.60000,35.40000,32.00000,33.80000,24910
2023-11-24,33.40000,33.80000,31.40000,32.00000,11705
2023-11-27,32.80000,32.80000,31.20000,31.60000,8595
2023-11-28,31.60000,32.10000,30.00000,30.60000,8705
2023-11-29,31.40000,33.20000,31.40000,31.60000,6840
2023-11-30,32.00000,33.60000,31.60000,31.60000,10175
2023-12-01,32.00000,33.60000,30.80000,33.20000,11310
2023-12-04,33.00000,34.00000,31.00000,31.00000,14760
2023-12-05,31.40000,31.80000,29.60000,29.80000,10485
2023-12-06,30.40000,31.20000,29.40000,29.60000,11995
2023-12-07,29.80000,30.60000,28.70000,28.90000,14545
2023-12-08,28.80000,29.52000,28.00000,29.30000,11700
2023-12-11,29.40000,29.60000,27.80000,28.00000,15945
2023-12-12,27.60000,30.80000,27.00000,30.00000,16100
2023-12-13,29.40000,31.40000,29.00000,30.80000,15195
2023-12-14,31.00000,32.82000,31.00000,31.60000,13030
2023-12-15,31.60000,33.60000,30.20000,31.40000,26415
2023-12-18,31.40000,34.00000,30.80000,33.20000,79665
2023-12-19,33.20000,34.60000,33.20000,34.00000,27260
2023-12-20,41.00000,42.20000,38.00000,38.20000,141995
2023-12-21,40.40000,43.40000,38.78000,42.80000,67820
2023-12-22,43.00000,45.60000,40.60000,42.60000,49095
2023-12-26,43.40000,45.20000,41.00000,42.60000,30360
2023-12-27,46.00000,47.20000,42.80000,43.40000,53870
2023-12-28,44.00000,44.00000,39.80000,41.60000,32265
2023-12-29,42.00000,42.00000,37.60000,39.20000,46340
2024-01-02,39.40000,41.70000,38.10000,39.40000,21930
2024-01-03,39.00000,39.40000,36.20000,36.20000,21010
2024-01-04,36.20000,36.60000,34.80000,35.40000,23770
2024-01-05,35.80000,36.00000,34.40000,35.20000,11320
2024-01-08,35.40000,35.98000,34.10000,35.00000,14340
2024-01-09,35.00000,35.80000,34.40000,34.80000,13910
2024-01-10,34.60000,35.00000,33.60000,34.20000,8755
2024-01-11,34.20000,34.20000,32.00000,32.80000,13860
2024-01-12,33.40000,33.82000,32.00000,33.00000,10305
2024-01-16,32.80000,33.20000,31.40000,31.40000,10390
2024-01-17,31.20000,31.20000,27.80000,27.90000,16280
2024-01-18,27.80000,28.60000,26.22000,26.50000,13140
2024-01-19,26.60000,27.40000,23.60000,26.10000,22670
2024-01-22,26.80000,29.76000,26.60000,29.50000,15720
