date,open,high,low,close,volume
2025-03-21,34.51000,35.63000,34.44500,35.34000,475300
2025-03-24,35.54000,36.51000,35.24600,36.45000,460600
2025-03-25,35.54000,36.51000,34.59000,34.90000,375200
2025-03-26,34.83000,35.44500,33.61500,34.78000,482000
2025-03-27,35.01000,35.29000,34.32000,34.46000,316300
2025-03-28,34.38000,34.80000,33.83000,34.26000,288800
2025-03-31,33.73000,33.79500,32.70000,33.55000,576800
2025-04-01,33.57000,33.64000,30.58000,30.64000,1118000
2025-04-02,30.42000,32.18000,30.21000,31.46000,1099200
2025-04-03,30.56000,31.71500,30.07000,30.71000,904000
2025-04-04,29.71000,30.76000,29.20000,29.40000,728300
2025-04-07,28.42000,31.52000,27.56000,30.63000,2251000
2025-04-08,31.43000,31.43000,27.95500,28.23000,1608500
2025-04-09,27.40000,31.74000,26.74000,31.59000,1565900
2025-04-10,31.01000,31.80000,29.03000,30.73000,1341400
2025-04-11,30.70000,31.58500,29.65000,31.40000,970400
2025-04-14,31.91000,33.72000,31.19800,33.44000,858700
2025-04-15,33.31000,34.08000,32.74000,33.03000,476700
2025-04-16,32.92000,33.78000,32.35000,33.78000,695000
2025-04-17,33.71000,35.41000,33.22000,35.11000,825800
2025-04-21,34.86000,36.21000,32.26000,34.70000,678500
2025-04-22,35.04000,37.13000,34.96000,36.73000,957900
2025-04-23,37.43000,38.55000,37.08000,37.59000,701900
2025-04-24,37.37000,38.24000,37.21500,38.20000,637000
2025-04-25,38.05000,38.56000,37.37000,37.62000,436000
2025-04-28,37.65000,38.55000,37.45000,37.84000,502200
2025-04-29,37.76000,38.53000,36.93900,38.37000,944100
2025-04-30,38.16000,38.63000,37.66000,38.20000,1007200
2025-05-01,38.20000,39.01000,37.46000,38.09000,992500
2025-05-02,38.00000,38.96000,37.74500,38.28000,1056400
2025-05-05,38.28000,38.47000,37.44000,37.54000,778300
2025-05-06,37.39000,37.83500,34.99000,35.18000,1350400
2025-05-07,36.02000,36.22000,34.81000,35.33000,1108300
2025-05-08,35.32000,36.44000,34.47000,35.54000,1429600
2025-05-09,35.82000,36.40000,34.97000,35.02000,1055400
2025-05-12,35.70000,36.96000,35.56000,35.85000,1186800
2025-05-13,32.81000,33.00000,28.50000,29.60000,6760500
2025-05-14,29.95000,30.22000,29.26000,29.74000,1437000
2025-05-15,29.93000,30.07000,29.21000,29.57000,1147800
2025-05-16,29.67000,30.57500,29.42600,30.29000,966300
2025-05-19,30.16000,31.16000,30.16000,30.95000,753100
2025-05-20,30.86000,31.74000,30.72100,31.43000,918300
2025-05-21,31.01000,31.30000,30.27000,30.46000,543400
2025-05-22,30.44000,31.23000,30.15000,30.49000,1889400
2025-05-23,30.19000,30.61000,29.38000,29.75000,945500
2025-05-27,30.22000,30.46000,29.43000,29.46000,1064800
2025-05-28,29.46000,29.67500,28.44000,28.49000,873200
2025-05-29,28.60000,29.58500,28.32000,29.04000,1973200
2025-05-30,28.92000,29.25000,28.19000,28.85000,2455500
2025-06-02,29.11000,30.37000,28.97000,30.07000,1042500
2025-06-03,30.14000,31.31000,29.74000,30.72000,985800
2025-06-04,30.75000,31.24500,30.36500,30.46000,636100
2025-06-05,30.46000,31.29500,30.09800,30.73000,656500
2025-06-06,30.91000,32.01000,30.73500,31.64000,576200
2025-06-09,32.00000,32.44000,30.77000,31.45000,571500
2025-06-10,31.90000,32.59000,31.60000,32.16000,579700
2025-06-11,32.44000,33.12000,31.91000,32.26000,1125000
2025-06-12,32.13000,33.32000,31.83000,32.80000,1058600
2025-06-13,32.40000,33.46000,31.88000,32.76000,612200
2025-06-16,32.88000,32.88000,31.51000,32.02000,661200
2025-06-17,31.92000,32.17000,31.31000,31.70000,538100
2025-06-18,31.78000,32.59000,31.22000,31.90000,965100
2025-06-20,32.30000,32.72000,31.68000,32.05000,611700
2025-06-23,31.60000,32.18500,31.15000,31.49000,812900
2025-06-24,31.94000,32.87300,31.11000,32.17000,822800
2025-06-25,32.08000,32.37000,31.54000,31.76000,1442700
2025-06-26,31.72000,32.23000,31.34000,32.20000,1020100
2025-06-27,32.35000,32.99000,32.00000,32.40000,13152800
2025-06-30,32.32000,32.57000,31.16300,31.30000,1071000
2025-07-01,31.16000,32.53400,31.09000,32.09000,1598400
2025-07-02,31.97000,33.44000,31.89500,33.37000,1280100
2025-07-03,33.70000,33.83000,33.05500,33.26000,492500
2025-07-07,32.69000,33.12000,31.63500,31.83000,713300
2025-07-08,31.83000,32.24000,31.22000,31.42000,874100
2025-07-09,31.68000,33.51000,31.65000,32.68000,1258500
2025-07-10,32.60000,33.36000,32.09000,32.98000,732800
2025-07-11,32.79000,33.15000,32.10000,32.21000,595200
2025-07-14,32.21000,33.23300,32.20000,32.60000,618800
2025-07-15,32.79000,32.79000,31.40000,31.48000,896800
2025-07-16,31.49000,32.10000,31.15000,31.62000,938600
2025-07-17,31.68000,32.41000,31.63000,32.12000,639400
2025-07-18,32.46000,32.72000,31.49500,31.59000,1047500
2025-07-21,31.64000,32.32000,31.40000,31.49000,775400
2025-07-22,31.59000,31.98000,31.11500,31.33000,796700
2025-07-23,31.74000,31.82000,30.83500,31.19000,591900
2025-07-24,31.00000,31.45000,30.84000,31.01000,570100
2025-07-25,30.96000,31.39000,30.23500,30.30000,969900
2025-07-28,30.30000,31.05000,30.00000,30.97000,1312900
2025-07-29,31.13000,31.56000,30.47000,30.87000,915900
2025-07-30,31.35000,31.87000,30.56000,30.77000,700800
2025-07-31,30.32000,31.30000,30.28300,30.54000,680400
2025-08-01,30.29000,30.74000,30.00000,30.50000,754200
2025-08-04,30.71000,33.23000,30.65000,33.16000,1882600
2025-08-05,33.40000,36.68000,33.18000,34.40000,2361800
2025-08-06,34.11000,34.50000,33.69200,34.27000,752400
2025-08-07,34.31000,34.63300,32.92500,33.63000,602900
2025-08-08,33.57000,33.87000,32.84000,33.43000,865100
2025-08-11,33.27000,34.42000,32.78000,34.11000,1104700
2025-08-12,36.00000,37.59500,35.10000,35.99000,1992100
2025-08-13,36.10000,38.04500,35.97700,37.67000,1564100
2025-08-14,37.39000,38.27000,36.86000,37.96000,784700
2025-08-15,38.14000,38.50000,37.32000,38.23000,820100
2025-08-18,38.25000,38.30000,37.25000,37.82000,1220800
2025-08-19,37.58000,37.84300,37.02000,37.36000,582700
2025-08-20,37.39000,37.74000,37.01500,37.64000,542900
2025-08-21,37.49000,38.23000,37.05000,38.18000,770700
2025-08-22,38.62000,39.58000,38.01900,38.84000,1186200
2025-08-25,38.65000,38.93500,38.00000,38.14000,460000
2025-08-26,38.17000,38.75000,38.07000,38.65000,577400
2025-08-27,38.50000,39.15000,38.18500,38.87000,407900
2025-08-28,38.92000,39.24000,38.55000,38.60000,399600
2025-08-29,38.57000,39.08000,38.00000,38.71000,677600
2025-09-02,38.89000,39.60000,38.58500,39.30000,622800
2025-09-03,38.85000,39.84000,38.60500,38.83000,750200
2025-09-04,38.60000,38.92300,38.12500,38.64000,744300
2025-09-05,38.75000,39.55000,38.45000,39.21000,646100
2025-09-08,38.88000,38.91000,37.56000,38.19000,706200
2025-09-09,38.13000,38.55000,37.09000,37.51000,666600
2025-09-10,37.42000,37.50000,36.86000,37.11000,615200
2025-09-11,37.12000,37.43000,36.81500,37.22000,491200
2025-09-12,37.11000,37.22000,36.19000,36.21000,562300
2025-09-15,36.11000,36.47000,35.60000,35.99000,554000
2025-09-16,36.01000,36.27000,35.66000,35.66000,768100
2025-09-17,36.06000,37.99000,35.99000,36.70000,928700
2025-09-18,36.93000,37.84000,36.80000,37.76000,470600
2025-09-19,37.88000,37.88000,36.85000,36.95000,1032300
2025-09-22,36.95000,37.82500,36.35000,37.35000,867600
2025-09-23,37.20000,37.63000,36.94000,37.31000,468700
2025-09-24,37.26000,37.56000,36.27000,36.59000,711000
2025-09-25,36.44000,36.84500,35.97000,36.52000,702600
2025-09-26,36.74000,38.06000,36.14500,37.98000,680100
2025-09-29,37.97000,39.31000,37.74000,39.06000,1007800
2025-09-30,38.90000,40.35500,38.32400,40.15000,1241600
2025-10-01,39.97000,40.52000,38.74000,39.12000,1230200
2025-10-02,38.75000,39.41000,38.23000,39.20000,682300
2025-10-03,39.51000,40.17000,39.15500,39.61000,537300
2025-10-06,39.63000,40.22500,38.65000,39.55000,730000
2025-10-07,39.16000,39.65000,38.49000,39.16000,627700
2025-10-08,39.61000,39.99000,38.97500,39.25000,690400
2025-10-09,39.24000,41.35000,39.24000,41.28000,1214700
2025-10-10,41.44000,41.66000,39.55000,39.64000,940800
