date,open,high,low,close,volume
2023-09-27,1.17000,1.20000,1.13000,1.13000,46900
2023-09-28,1.14000,1.18000,1.10000,1.10000,40300
2023-09-29,1.09000,1.17000,1.08000,1.10000,91900
2023-10-02,1.12000,1.18000,1.11000,1.15000,62500
2023-10-03,1.15000,1.17000,1.10000,1.10000,36200
2023-10-04,1.08000,1.15000,1.04000,1.12000,25900
2023-10-05,1.10000,1.12000,1.09000,1.11000,23800
2023-10-06,1.09000,1.17000,1.09000,1.15000,14700
2023-10-09,1.12000,1.19000,1.12000,1.17000,10000
2023-10-10,1.12000,1.21000,1.12000,1.15000,15200
2023-10-11,1.12000,1.15000,1.05000,1.05000,19100
2023-10-12,1.05000,1.12000,1.05000,1.09000,9500
2023-10-13,1.06000,1.09000,1.06000,1.08000,14800
2023-10-16,1.10000,1.16000,1.05000,1.09000,19900
2023-10-17,1.12000,1.20000,1.09000,1.10000,33700
2023-10-18,1.11000,1.14000,1.08000,1.09000,22200
2023-10-19,1.07000,1.09000,1.07000,1.09000,16100
2023-10-20,1.12000,1.12000,1.03000,1.08000,13400
2023-10-23,1.10000,1.10000,0.97000,1.04000,124100
2023-10-24,1.02000,1.14000,1.02000,1.08000,104300
2023-10-25,1.13000,1.17000,1.08000,1.12000,35800
2023-10-26,1.12000,1.15000,1.08000,1.11000,7600
2023-10-27,1.09000,1.11000,1.07000,1.09000,36900
2023-10-30,1.12000,1.12000,1.08000,1.11000,13400
2023-10-31,1.09000,1.18000,1.09000,1.17000,7600
2023-11-01,1.18000,1.18000,1.10000,1.17000,22000
2023-11-02,1.15000,1.23000,1.13000,1.19000,41800
2023-11-03,1.21000,1.22000,1.16000,1.17000,45400
2023-11-06,1.20000,1.23000,1.17000,1.18000,61100
2023-11-07,1.21000,1.21000,1.13000,1.18000,34400
2023-11-08,1.16000,1.23000,1.16000,1.21000,97900
2023-11-09,1.26000,1.32000,1.14000,1.18000,129400
2023-11-10,1.18000,1.19000,1.15000,1.17000,12400
2023-11-13,1.20000,1.28000,1.16000,1.17000,50900
2023-11-14,1.20000,1.20000,1.15000,1.15000,215300
2023-11-15,1.17000,1.21000,1.15000,1.15000,185600
2023-11-16,1.17000,1.20000,1.15000,1.19000,13200
2023-11-17,1.18000,1.24000,1.13000,1.15000,107400
2023-11-20,1.33000,1.33000,1.15000,1.23000,76600
2023-11-21,1.21000,1.23000,1.15000,1.19000,48600
2023-11-22,1.22000,1.27000,1.19000,1.24000,80800
2023-11-24,1.25000,1.35000,1.23000,1.28000,66100
2023-11-27,1.29000,1.43000,1.23000,1.35000,225900
2023-11-28,1.43000,1.45000,1.34000,1.37000,169200
2023-11-29,1.41000,1.45000,1.30000,1.31000,205900
2023-11-30,1.34000,1.36000,1.21000,1.24000,101200
2023-12-01,1.26000,1.35000,1.20000,1.30000,109800
2023-12-04,1.29000,1.35000,1.27000,1.31000,135000
2023-12-05,1.33000,1.45000,1.29000,1.39000,364300
2023-12-06,1.40000,1.42000,1.30000,1.31000,53300
2023-12-07,1.32000,1.36000,1.29000,1.32000,37200
2023-12-08,1.32000,1.36000,1.26000,1.27000,40900
2023-12-11,1.30000,1.30000,1.16000,1.25000,160300
2023-12-12,1.22000,1.24000,1.17000,1.19000,54100
2023-12-13,1.19000,1.25000,1.18000,1.19000,57100
2023-12-14,1.17000,1.21000,1.13000,1.16000,86800
2023-12-15,1.16000,1.24000,1.10000,1.10000,116800
2023-12-18,1.09000,1.17000,1.09000,1.10000,34500
2023-12-19,1.09000,1.19000,1.09000,1.13000,87300
2023-12-20,1.14000,1.19000,1.10000,1.14000,67500
2023-12-21,1.13000,1.17000,1.05000,1.14000,52200
2023-12-22,1.12000,1.22000,1.11000,1.22000,51700
2023-12-26,1.18000,1.24000,1.17000,1.21000,25400
2023-12-27,1.19000,1.24000,1.16000,1.20000,98900
2023-12-28,1.23000,1.24000,1.18000,1.20000,35800
2023-12-29,1.18000,1.19000,1.13000,1.13000,121500
2024-01-02,1.14000,1.24000,1.12000,1.21000,98900
2024-01-03,1.20000,1.22000,1.16000,1.20000,46500
2024-01-04,1.19000,1.31000,1.19000,1.28000,524900
2024-01-05,1.28000,1.30000,1.19000,1.19000,174900
2024-01-08,1.15000,1.21000,1.15000,1.16000,40500
2024-01-09,1.19000,1.20000,1.11000,1.20000,95800
2024-01-10,1.21000,1.21000,1.14000,1.18000,47800
2024-01-11,1.17000,1.17000,1.09000,1.14000,119800
2024-01-12,1.16000,1.16000,1.10000,1.12000,46700
2024-01-16,1.13000,1.13000,1.04000,1.09000,78500
2024-01-17,1.07000,1.11000,0.91000,1.09000,97300
2024-01-18,1.08000,1.10000,1.02000,1.09000,33500
2024-01-19,1.07000,1.11000,1.02000,1.09000,39000
2024-01-22,1.06000,1.09000,0.99000,0.99000,39500
2024-01-23,0.99000,1.14000,0.98000,1.06000,237600
2024-01-24,1.05000,1.13000,1.03000,1.07000,18700
2024-01-25,1.05000,1.11000,1.03000,1.08000,24600
2024-01-26,1.05000,1.09000,1.02000,1.04000,44300
2024-01-29,1.04000,1.06000,1.01000,1.05000,14400
2024-01-30,1.03000,1.07000,0.96000,0.98000,127200
2024-01-31,0.96000,1.00000,0.92000,0.92000,75200
2024-02-01,0.91000,1.10000,0.91000,1.06000,270400
2024-02-02,1.09000,1.10000,0.99000,1.07000,45800
2024-02-05,1.05000,1.08000,1.04000,1.08000,23000
2024-02-06,1.06000,1.08000,1.01000,1.08000,118000
2024-02-07,1.06000,1.07000,1.04000,1.07000,68100
2024-02-08,1.05000,1.07000,1.05000,1.06000,23100
2024-02-09,1.04000,1.10000,1.04000,1.07000,64100
2024-02-12,1.07000,1.09000,1.03000,1.03000,28400
2024-02-13,1.02000,1.04000,1.00000,1.03000,19700
2024-02-14,1.01000,1.06000,1.01000,1.06000,45600
2024-02-15,1.06000,1.09000,1.04000,1.06000,35900
2024-02-16,1.05000,1.08000,1.04000,1.06000,10600
2024-02-20,1.05000,1.07000,1.01000,1.04000,37300
2024-02-21,1.00000,1.02000,0.95000,0.97000,89700
2024-02-22,0.97000,1.00000,0.92000,0.92000,128900
2024-02-23,0.95000,1.04000,0.93000,1.04000,159600
2024-02-26,1.03000,1.17000,0.99000,1.11000,183400
2024-02-27,1.10000,1.20000,1.10000,1.18000,98000
2024-02-28,1.16000,1.28000,1.16000,1.27000,102500
2024-02-29,1.27000,1.30000,1.07000,1.10000,114100
2024-03-01,1.09000,1.21000,1.09000,1.17000,49600
2024-03-04,1.17000,1.22000,1.10000,1.20000,69900
2024-03-05,1.19000,1.21000,1.09000,1.15000,97500
2024-03-06,1.13000,1.18000,1.03000,1.12000,180700
