date,open,high,low,close,volume
2018-09-19,45.00000,60.90000,33.75000,35.91000,2191333
2018-09-20,34.20000,37.50000,33.30000,33.30000,421333
2018-09-21,32.40000,32.40000,28.50000,28.50000,326800
2018-09-24,27.42000,28.14000,25.95000,26.61000,278000
2018-09-25,26.61000,27.42000,26.43000,27.00000,117300
2018-09-26,27.36000,28.71000,27.24000,28.23000,154833
2018-09-27,28.86000,29.01000,25.80000,27.24000,100100
2018-09-28,28.05000,28.05000,26.70000,27.00000,92300
2018-10-01,27.03000,27.60000,26.70000,27.15000,28800
2018-10-02,27.15000,28.20000,27.15000,27.18000,53167
2018-10-03,27.54000,27.96000,27.33000,27.93000,36500
2018-10-04,27.93000,27.93000,26.73000,26.73000,31467
2018-10-05,27.15000,27.15000,24.54000,26.85000,58267
2018-10-08,26.85000,28.89000,25.68000,28.53000,63533
2018-10-09,28.47000,28.68000,27.30000,28.68000,14500
2018-10-10,28.44000,28.65000,27.57000,28.50000,18400
2018-10-11,27.57000,28.50000,27.15000,28.41000,26267
2018-10-12,28.71000,29.64000,27.54000,27.72000,20367
2018-10-15,27.15000,29.04000,27.15000,28.50000,23800
2018-10-16,28.83000,29.07000,27.48000,28.62000,8800
2018-10-17,29.28000,29.28000,27.69000,28.50000,8433
2018-10-18,28.59000,28.65000,27.81000,28.50000,29400
2018-10-19,28.26000,28.26000,26.46000,27.06000,19367
2018-10-22,27.72000,27.87000,27.06000,27.06000,10567
2018-10-23,26.58000,27.00000,25.92000,26.19000,9933
2018-10-24,26.46000,26.70000,25.53000,25.68000,17000
2018-10-25,25.65000,26.13000,24.84000,25.53000,5667
2018-10-26,24.24000,25.41000,24.24000,24.57000,4067
2018-10-29,25.35000,25.35000,23.01000,23.52000,17767
2018-10-30,24.15000,24.30000,22.50000,22.59000,10500
2018-10-31,23.43000,23.43000,22.98000,23.04000,7467
2018-11-01,22.80000,25.05000,22.47000,24.45000,12800
2018-11-02,24.90000,25.02000,24.36000,24.36000,5133
2018-11-05,24.63000,24.63000,23.40000,23.82000,5233
2018-11-06,24.21000,24.75000,24.21000,24.51000,4233
2018-11-07,24.78000,24.78000,22.38000,22.71000,11833
2018-11-08,22.95000,23.16000,22.80000,23.13000,1467
2018-11-09,22.95000,23.22000,21.00000,21.09000,8833
2018-11-12,21.18000,21.75000,20.07000,20.10000,10433
2018-11-13,20.43000,20.46000,20.07000,20.07000,5400
2018-11-14,20.34000,21.36000,20.16000,21.00000,13267
2018-11-15,20.43000,21.51000,20.43000,21.45000,2767
2018-11-16,21.72000,22.05000,21.15000,21.27000,5600
2018-11-19,21.84000,22.02000,21.48000,21.54000,11800
2018-11-20,22.05000,22.05000,21.30000,21.84000,12300
2018-11-21,22.14000,22.14000,20.82000,21.57000,22467
2018-11-23,21.87000,22.50000,21.69000,21.90000,1567
2018-11-26,22.50000,22.50000,22.05000,22.23000,3167
2018-11-27,22.02000,22.20000,21.75000,21.90000,7900
2018-11-28,22.11000,23.10000,21.84000,22.95000,5233
2018-11-29,22.80000,23.76000,22.80000,23.40000,2800
2018-11-30,23.40000,23.49000,21.00000,21.00000,8667
2018-12-03,21.36000,22.92000,21.36000,21.87000,9367
2018-12-04,21.87000,22.02000,21.30000,21.30000,7167
2018-12-06,21.00000,21.42000,20.55000,21.00000,5967
2018-12-07,21.00000,21.00000,18.48000,19.20000,30300
2018-12-10,20.01000,20.01000,19.20000,19.23000,3267
2018-12-11,18.99000,19.14000,18.33000,18.63000,12600
2018-12-12,19.14000,19.14000,18.63000,19.08000,4500
2018-12-13,19.08000,20.52000,19.05000,19.74000,4133
2018-12-14,19.77000,20.34000,19.74000,19.74000,4233
2018-12-17,20.25000,20.25000,19.74000,19.74000,3400
2018-12-18,19.56000,19.95000,19.14000,19.14000,5033
2018-12-19,18.96000,18.96000,18.06000,18.12000,7367
2018-12-20,18.12000,18.15000,17.40000,17.46000,8167
2018-12-21,16.80000,17.40000,16.50000,16.62000,8500
2018-12-24,16.95000,16.95000,15.72000,15.75000,1800
2018-12-26,15.60000,16.11000,14.34000,14.46000,25700
2018-12-27,14.40000,14.55000,13.35000,13.44000,22633
2018-12-28,13.20000,13.47000,12.45000,12.60000,62633
2018-12-31,12.81000,13.77000,12.66000,12.81000,15200
2019-01-02,12.57000,12.99000,12.48000,12.96000,6567
2019-01-03,13.56000,13.56000,12.75000,12.84000,5067
2019-01-04,13.20000,13.65000,12.93000,13.20000,5167
2019-01-07,13.47000,13.47000,13.20000,13.29000,2067
2019-01-08,13.35000,15.42000,13.35000,14.97000,9233
2019-01-09,15.00000,17.61000,15.00000,16.29000,33733
2019-01-10,16.32000,18.84000,16.14000,18.75000,26600
2019-01-11,19.17000,19.17000,17.55000,17.70000,23367
2019-01-14,16.83000,18.27000,15.48000,16.26000,14067
2019-01-15,16.56000,16.71000,16.20000,16.26000,5100
2019-01-16,16.26000,16.80000,15.51000,15.51000,6033
2019-01-17,15.21000,15.75000,15.15000,15.36000,3733
2019-01-18,16.14000,16.14000,15.42000,15.72000,2333
2019-01-22,15.87000,15.87000,15.15000,15.39000,2600
2019-01-23,15.03000,15.51000,15.03000,15.09000,3167
2019-01-24,15.09000,16.14000,15.09000,16.08000,4000
2019-01-25,16.08000,16.17000,15.42000,15.45000,5200
2019-01-28,15.30000,15.99000,14.34000,15.99000,7100
2019-01-29,15.99000,16.08000,15.63000,16.05000,1967
2019-01-30,15.81000,16.35000,15.75000,16.11000,2300
2019-01-31,16.32000,17.01000,16.29000,16.98000,1533
2019-02-01,17.13000,17.85000,17.13000,17.40000,7700
2019-02-04,17.01000,17.01000,16.29000,16.50000,4867
2019-02-05,16.83000,17.16000,16.83000,16.89000,3233
2019-02-06,16.95000,17.10000,16.50000,16.59000,4267
2019-02-07,16.80000,16.80000,15.99000,15.99000,1967
2019-02-08,16.38000,16.38000,14.73000,15.00000,11867
2019-02-11,14.97000,15.57000,14.85000,15.57000,1100
2019-02-12,15.60000,16.17000,15.45000,15.54000,3333
2019-02-13,15.93000,15.93000,15.57000,15.84000,3500
