date,open,high,low,close,volume
2025-03-26,2.16000,2.24000,2.00000,2.06400,10675
2025-03-27,2.08000,2.13600,2.00000,2.08000,29288
2025-03-28,2.01600,2.07200,1.88800,1.92000,23938
2025-03-31,1.92000,1.92000,1.68000,1.84000,18838
2025-04-01,2.16000,3.36000,1.86400,2.66400,1773050
2025-04-02,2.56000,2.64000,2.24000,2.42400,179163
2025-04-03,2.25600,2.32000,1.86400,2.07200,112025
2025-04-04,1.93600,2.00000,1.76000,1.86400,79838
2025-04-07,1.94400,1.96000,1.60000,1.84000,153050
2025-04-08,1.80800,2.22400,1.77600,2.02400,238550
2025-04-09,1.96000,2.23200,1.88800,2.23200,68363
2025-04-10,2.15200,2.24000,2.02400,2.22400,88925
2025-04-11,1.60000,1.84000,1.44800,1.75200,111350
2025-04-14,1.78400,1.92000,1.66400,1.92000,21238
2025-04-15,1.88000,1.99200,1.76000,1.79200,16275
2025-04-16,1.84000,1.87200,1.64000,1.72800,37738
2025-04-17,1.68000,1.84000,1.68000,1.84000,11500
2025-04-21,1.78400,1.92000,1.76000,1.83200,12525
2025-04-22,1.84000,2.00800,1.84000,1.91200,33688
2025-04-23,1.90400,1.99200,1.84000,1.92000,42413
2025-04-24,2.00000,2.04000,1.92000,2.04000,20288
2025-04-25,2.04000,2.12000,1.96000,2.10400,9538
2025-04-28,2.00800,2.08800,1.85600,1.96000,21613
2025-04-29,2.00800,2.00800,1.88000,1.97600,50663
2025-04-30,1.96800,1.97600,1.66400,1.74400,118425
2025-05-01,1.80000,1.80000,1.52000,1.63200,118438
2025-05-02,1.65600,1.65600,1.36000,1.50400,87463
2025-05-05,1.44800,1.53600,1.44000,1.46400,44663
2025-05-06,1.16800,1.16800,0.93600,1.02400,493988
2025-05-07,0.93000,1.05000,0.82000,0.91000,552000
2025-05-08,0.88000,0.92400,0.76000,0.86000,214700
2025-05-09,0.83400,0.93600,0.80000,0.93500,197000
2025-05-12,0.89000,0.95000,0.82100,0.95000,172000
2025-05-13,0.92500,1.09000,0.84000,1.01000,472600
2025-05-14,1.04000,1.11000,0.89000,0.98000,423100
2025-05-15,0.98000,1.03000,0.92000,0.99000,97600
2025-05-16,0.97000,1.00000,0.92200,0.95000,53000
2025-05-19,0.92200,1.00900,0.91000,0.96000,72400
2025-05-20,0.94000,0.98000,0.93000,0.93500,20100
2025-05-21,0.95000,0.97800,0.88700,0.90900,150100
2025-05-22,0.92000,0.94800,0.90000,0.93000,22600
2025-05-23,0.91500,0.93000,0.89000,0.92000,39100
2025-05-27,0.90000,1.01400,0.88900,0.96300,207900
2025-05-28,0.96100,1.00000,0.94200,0.97000,77500
2025-05-29,1.01000,1.01000,0.96000,0.99000,87300
2025-05-30,1.01000,1.10000,0.93000,0.99000,314100
2025-06-02,0.99000,1.02000,0.89000,0.89000,202000
2025-06-03,0.90000,0.98000,0.90000,0.98000,51200
2025-06-04,0.93000,0.97600,0.93000,0.96500,109400
2025-06-05,0.97600,0.98000,0.94000,0.98000,42700
2025-06-06,0.98000,0.98000,0.94000,0.95600,58700
2025-06-09,0.97900,0.97900,0.89100,0.89600,79900
2025-06-10,0.91000,0.96000,0.82000,0.89800,108000
2025-06-11,0.89900,0.92800,0.86100,0.88200,41300
2025-06-12,0.87100,0.88600,0.85000,0.86300,58200
2025-06-13,0.85500,0.91400,0.83000,0.85900,70100
2025-06-16,0.86000,0.90600,0.83200,0.85800,26500
2025-06-17,0.83000,0.85700,0.82200,0.82200,35500
2025-06-18,0.84000,0.85000,0.81000,0.83800,40800
2025-06-20,0.82000,0.92000,0.82000,0.82000,175700
2025-06-23,0.82000,0.86000,0.82000,0.82600,10500
2025-06-24,0.82000,0.88000,0.82000,0.87700,8800
2025-06-25,0.87700,0.93000,0.82800,0.87000,165700
2025-06-26,0.87000,1.00000,0.84300,0.87400,238800
2025-06-27,0.88600,0.96000,0.84300,0.90700,145600
2025-06-30,0.92000,0.95800,0.85200,0.89200,247600
2025-07-01,0.92000,0.92000,0.86100,0.86500,23700
2025-07-02,0.85000,0.91900,0.84000,0.91900,26100
2025-07-03,0.89900,0.91900,0.85300,0.86000,29100
2025-07-07,0.85000,0.90000,0.85000,0.86300,8100
2025-07-08,0.89000,0.91900,0.86400,0.86400,24900
2025-07-09,0.91400,0.94000,0.86500,0.94000,39600
2025-07-10,0.94000,0.94000,0.91000,0.93000,33500
2025-07-11,0.94000,0.96900,0.92100,0.96700,107000
2025-07-14,0.97000,1.01000,0.93100,0.96000,197000
2025-07-15,0.96000,0.97500,0.89000,0.96700,46000
2025-07-16,0.96000,0.96500,0.91100,0.92100,18300
2025-07-17,0.91900,0.96500,0.90000,0.92600,12300
2025-07-18,0.95000,0.97000,0.91000,0.96600,30800
2025-07-21,0.96000,0.97000,0.93300,0.94000,45600
2025-07-22,0.92000,0.98000,0.92000,0.94000,46300
2025-07-23,0.96000,0.97500,0.92000,0.95000,85800
2025-07-24,0.95000,0.99000,0.90000,0.93000,165900
2025-07-25,0.96000,0.96000,0.91000,0.95000,21500
2025-07-28,0.96000,0.96000,0.91100,0.91500,22100
2025-07-29,0.93000,0.93000,0.87400,0.90000,48500
2025-07-30,0.89000,0.97000,0.82300,0.87000,263000
2025-07-31,0.89000,0.90000,0.87000,0.89700,29100
2025-08-01,0.89000,0.91000,0.85000,0.86000,21900
2025-08-04,0.85000,0.90900,0.81500,0.88000,47500
2025-08-05,0.88000,0.88000,0.86000,0.87900,27400
2025-08-06,0.87500,0.90000,0.84000,0.85800,10900
2025-08-07,0.85000,0.87900,0.81200,0.83000,67300
2025-08-08,0.82000,0.88500,0.82000,0.88300,148600
2025-08-11,0.86000,1.00000,0.86000,0.97200,369200
2025-08-12,1.00000,1.01000,0.89500,0.94400,203100
2025-08-13,0.94700,0.95000,0.88700,0.91000,104100
2025-08-14,0.91000,0.96000,0.83900,0.85000,137300
2025-08-15,0.85000,0.90000,0.75500,0.75600,219200
2025-08-18,0.76300,0.76300,0.67300,0.68000,149200
2025-08-19,0.69000,0.69000,0.59000,0.62700,106500
2025-08-20,0.62000,0.73000,0.60000,0.66000,395700
2025-08-21,0.65000,0.66900,0.62000,0.64400,93400
2025-08-22,0.65000,0.67000,0.61000,0.67000,60000
2025-08-25,0.67000,0.75000,0.67000,0.70500,214500
2025-08-26,0.71000,0.73000,0.68000,0.71000,28600
2025-08-27,0.70800,0.71000,0.69000,0.69500,18000
2025-08-28,0.69000,0.78000,0.68000,0.77500,186600
2025-08-29,0.74100,0.79700,0.73900,0.73900,144000
2025-09-02,0.76700,0.79000,0.72600,0.73000,136300
2025-09-03,0.72200,0.76000,0.71100,0.75000,130300
2025-09-04,0.72500,0.75000,0.71700,0.72000,50300
2025-09-05,0.72000,0.75000,0.69100,0.73100,57500
2025-09-08,0.73000,0.73000,0.69600,0.70800,60200
2025-09-09,0.71000,0.72200,0.68000,0.71700,55600
2025-09-10,0.68100,0.70800,0.68100,0.68200,43900
2025-09-11,0.68200,0.73000,0.68200,0.69900,63300
2025-09-12,0.69900,0.72500,0.68000,0.68000,52500
2025-09-15,0.69900,0.70000,0.67000,0.67100,45900
2025-09-16,0.67000,0.75000,0.67000,0.71700,109500
2025-09-17,0.70100,0.72000,0.69100,0.69100,28000
2025-09-18,0.71800,0.72000,0.69200,0.72000,26400
2025-09-19,0.69200,0.72000,0.65800,0.65800,66600
2025-09-22,0.66000,0.70300,0.66000,0.68800,72200
2025-09-23,0.69000,0.69000,0.66200,0.66200,65700
2025-09-24,0.66000,0.70000,0.66000,0.66900,44800
2025-09-25,0.66000,0.68400,0.60200,0.60200,76300
2025-09-26,0.63000,0.64800,0.60000,0.62400,93800
2025-09-29,0.73000,1.94000,0.72200,1.38000,198867600
2025-09-30,1.27000,1.27000,1.05000,1.21000,6490200
2025-10-01,1.22000,1.43000,1.10000,1.14000,4337300
2025-10-02,1.13000,1.43000,1.13000,1.18000,5437100
2025-10-03,1.20000,1.37000,1.13000,1.16000,1675000
2025-10-06,1.16000,1.32000,1.13000,1.30000,1256400
2025-10-07,1.34000,1.51000,1.28000,1.48000,2478700
2025-10-08,1.50000,1.51000,1.37000,1.43000,467600
2025-10-09,1.49000,1.61000,1.43000,1.45000,1238000
2025-10-10,1.43000,1.44000,1.23000,1.23000,707800
2025-10-13,1.25000,1.38000,1.23000,1.28000,210800
2025-10-14,1.25000,1.30000,1.18000,1.19000,336800
2025-10-15,1.22000,1.40000,1.16000,1.19000,961200
2025-10-16,1.20000,1.25000,0.99300,1.05000,619600
2025-10-17,1.00000,1.23000,1.00000,1.15000,325900
2025-10-20,1.13000,1.20000,1.13000,1.15000,153500
2025-10-21,1.11000,1.17000,1.05000,1.06000,190700
2025-10-22,1.07000,1.12000,0.93800,1.00000,450100
2025-10-23,0.99700,1.08000,0.99000,1.04000,292900
2025-10-24,1.07000,1.08500,1.02000,1.06000,91400
2025-10-27,1.08000,1.09000,1.02000,1.02000,129400
2025-10-28,1.03000,1.04500,1.00000,1.03000,79600
2025-10-29,1.04000,1.04000,0.94000,0.95000,260700
2025-10-30,0.94400,0.95300,0.85100,0.88000,256800
2025-10-31,0.86800,0.92000,0.85000,0.87500,126000
2025-11-03,0.84800,0.87600,0.80000,0.84100,166500
2025-11-04,0.79100,0.83000,0.76900,0.80900,139100
2025-11-05,0.79900,0.84000,0.79900,0.81900,69700
2025-11-06,0.80400,0.81000,0.77000,0.78000,70300
2025-11-07,0.77000,0.80300,0.76000,0.80300,116100
2025-11-10,0.80300,0.83500,0.76000,0.80400,148100
2025-11-11,0.78100,0.81000,0.77000,0.80400,163800
2025-11-12,0.79000,0.80300,0.76500,0.77400,72700
2025-11-13,0.76500,0.79600,0.72300,0.73800,115600
2025-11-14,0.66200,0.73000,0.61000,0.64200,324800
2025-11-17,0.52000,0.67800,0.52000,0.60200,301300
2025-11-18,0.59000,0.61800,0.58000,0.60300,69200
2025-11-19,0.59300,0.60300,0.51000,0.53300,381900
2025-11-20,0.52900,0.56000,0.50100,0.50400,115300
2025-11-21,0.54300,0.54300,0.47000,0.47000,127000
2025-11-24,0.48500,0.54200,0.48200,0.52500,238600
2025-11-25,0.51700,0.60000,0.51700,0.55500,71000
2025-11-26,0.56300,0.84100,0.53600,0.53600,15939900
2025-11-28,0.53100,0.62300,0.52800,0.61800,693600
2025-12-01,0.61100,0.61500,0.55200,0.57700,302600
2025-12-02,0.55900,0.61000,0.55500,0.59500,156000
2025-12-03,0.57700,0.61000,0.56200,0.59300,211700
2025-12-04,0.57200,0.64000,0.57100,0.61100,463700
2025-12-05,0.60500,0.63900,0.60000,0.61000,157300
2025-12-08,0.60800,0.67400,0.60300,0.63900,369000
2025-12-09,0.64000,0.65000,0.61200,0.61500,159300
2025-12-10,0.61500,0.64900,0.60000,0.63500,147600
