date,open,high,low,close,volume
2023-09-27,23.50000,25.10000,22.20000,25.00000,36240
2023-09-28,24.50000,26.50000,23.60000,26.10000,25780
2023-09-29,26.10000,26.70000,25.80000,26.50000,8040
2023-10-02,26.00000,26.80000,25.20000,26.10000,12120
2023-10-03,26.70000,26.70000,25.60000,26.40000,3620
2023-10-04,26.00000,26.50000,24.10000,26.10000,8410
2023-10-05,25.80000,26.60000,25.40000,26.30000,7260
2023-10-06,26.50000,26.80000,26.00000,26.80000,2220
2023-10-09,26.80000,28.00000,25.90000,27.50000,8240
2023-10-10,27.80000,27.80000,26.30000,27.20000,4250
2023-10-11,26.50000,27.50000,26.20000,27.10000,1500
2023-10-12,25.90000,26.90000,25.00000,26.90000,4350
2023-10-13,26.20000,26.90000,25.10000,26.10000,3640
2023-10-16,26.80000,26.80000,25.60000,25.80000,2150
2023-10-17,26.10000,26.10000,24.60000,24.60000,2570
2023-10-18,24.60000,24.80000,20.90000,22.00000,5730
2023-10-19,23.00000,25.40000,21.20000,24.20000,10400
2023-10-20,21.20000,25.50000,21.20000,24.80000,10980
2023-10-23,24.20000,25.00000,22.90000,23.60000,6520
2023-10-24,23.50000,26.00000,23.30000,25.90000,6740
2023-10-25,25.90000,26.00000,24.00000,25.90000,5560
2023-10-26,24.50000,26.50000,24.50000,26.10000,4500
2023-10-27,26.10000,27.50000,23.70000,26.60000,7160
2023-10-30,26.60000,27.80000,26.00000,27.80000,6410
2023-10-31,27.50000,28.00000,26.00000,27.90000,12650
2023-11-01,27.90000,28.00000,26.80000,27.50000,4100
2023-11-02,28.00000,28.00000,26.80000,28.00000,2000
2023-11-03,27.70000,28.30000,27.10000,28.10000,5880
2023-11-06,28.10000,28.50000,27.60000,27.90000,3770
2023-11-07,27.80000,28.70000,27.80000,28.60000,3050
2023-11-08,27.60000,29.00000,27.60000,28.90000,2640
2023-11-09,28.90000,29.30000,28.40000,29.30000,2600
2023-11-10,29.30000,29.90000,29.00000,29.90000,3920
2023-11-13,29.50000,30.30000,29.50000,30.30000,4200
2023-11-14,30.00000,30.90000,29.70000,30.30000,2480
2023-11-15,30.30000,30.50000,29.30000,30.50000,2750
2023-11-16,30.40000,30.40000,29.60000,30.30000,1020
